ID;Grootteklasse;SBI93;Periode;Bedrijven_1;WerkzamePersonen_2;NettoOmzetExclBTW_3;BrutoWinst_4;TotaalBedrijfslasten_5;Personeelskosten_6;Afschrijvingen_7;Huisvestingskosten_8;InventarisEnMachinekosten_9;Autokosten_10;Verkoopkosten_11;AndereBedrijfslasten_12;Bedrijfsresultaat_13;ResultaatVoorBelasting_14;InvesteringenInVasteActiva_15
0;Alle bedrijven;3;1998;61.0;473.7;201.8;19.2;15.9;6.9;1.0;1.0;0.2;0.8;3.4;2.7;4.0;3.8;3.4
1;Alle bedrijven;3;1999;58.8;495.5;220.7;20.2;16.4;7.3;1.0;0.9;0.2;0.7;3.4;2.8;4.5;4.4;3.7
2;Alle bedrijven;1;1998;10.4;75.4;44.5;12.8;10.8;4.5;0.9;0.7;0.3;0.7;2.1;1.6;2.7;2.3;0.8
3;Alle bedrijven;1;1999;10.1;73.6;49.1;13.3;11.1;4.8;1.0;0.7;0.3;0.6;2.1;1.6;2.9;2.7;0.8
4;Alle bedrijven;2;1998;6.1;39.1;21.5;11.5;10.3;4.2;0.7;0.7;0.2;0.7;2.3;1.6;2.0;1.7;0.3
5;Alle bedrijven;2;1999;6.0;39.4;22.0;12.3;11.0;4.7;0.8;0.7;0.2;0.7;2.3;1.6;2.3;2.1;0.3
6;Alle bedrijven;9;1998;4.2;36.2;23.0;13.9;11.3;4.8;1.1;0.8;0.4;0.6;1.9;1.7;3.2;2.9;0.5
7;Alle bedrijven;9;1999;4.1;34.3;27.2;14.0;11.2;4.9;1.1;0.8;0.4;0.6;2.0;1.6;3.4;3.2;0.5
8;Alle bedrijven;6;1998;28.6;189.0;82.3;19.5;16.4;6.2;0.9;1.0;0.2;0.8;4.3;3.1;3.9;3.7;1.3
9;Alle bedrijven;6;1999;27.1;198.8;87.4;20.0;16.7;6.7;1.0;1.0;0.2;0.7;4.2;3.0;4.0;4.1;1.4
10;Alle bedrijven;4;1998;7.7;77.5;40.4;13.1;11.3;4.8;0.9;0.8;0.2;0.7;2.5;1.6;2.6;2.4;0.6
11;Alle bedrijven;4;1999;7.4;80.8;42.1;13.7;11.9;5.2;1.0;0.8;0.2;0.6;2.5;1.6;2.6;2.3;0.6
12;Alle bedrijven;8;1998;20.9;111.5;41.9;25.9;21.4;7.6;1.0;1.2;0.1;0.8;6.1;4.6;5.2;5.0;0.7
13;Alle bedrijven;8;1999;19.7;118.0;45.3;25.8;21.2;8.0;1.1;1.1;0.2;0.7;5.8;4.3;5.4;5.8;0.7
14;Alle bedrijven;5153 en 5154 Bouwmaterialen;1998;5.7;55.2;15.4;22.8;19.0;9.9;1.3;1.5;0.4;1.1;2.3;2.5;4.3;3.9;0.4
15;Alle bedrijven;5153 en 5154 Bouwmaterialen;1999;5.6;55.6;16.3;23.4;19.4;10.2;1.4;1.4;0.4;1.1;2.3;2.6;4.7;4.4;0.5
16;Alle bedrijven;516,51711-51714 Kapitaalgoederen;1998;16.3;154.1;59.5;22.9;18.5;9.0;1.0;1.0;0.2;0.9;3.4;3.1;5.1;4.9;1.0
17;Alle bedrijven;516,51711-51714 Kapitaalgoederen;1999;16.0;167.5;67.8;24.7;19.3;9.2;1.0;0.9;0.2;0.8;3.7;3.4;6.1;6.1;1.1
18;Alle bedrijven;516 Machines, apparaten en toebehoren;1998;13.8;139.5;55.5;22.7;18.4;8.9;0.9;0.9;0.2;0.8;3.5;3.1;5.0;4.9;0.8
19;Alle bedrijven;516 Machines, apparaten en toebehoren;1999;13.6;151.7;63.6;24.6;19.1;9.1;1.0;0.9;0.2;0.8;3.7;3.4;6.1;6.1;1.0
20;Alle bedrijven;51711-51714 Bedrijfsmeubels,emballage;1998;2.5;14.6;4.0;25.4;20.4;9.8;1.4;1.8;0.2;1.1;2.9;3.1;5.7;5.3;0.1
21;Alle bedrijven;51711-51714 Bedrijfsmeubels,emballage;1999;2.4;15.8;4.2;26.0;21.4;10.9;1.3;1.8;0.2;1.0;2.9;3.3;5.5;5.2;0.1
22;0 tot 10 werknemers;3;1998;54.2;160.6;47.4;18.9;15.2;6.3;1.2;1.1;0.1;1.2;2.0;3.3;4.3;3.9;1.1
23;0 tot 10 werknemers;3;1999;51.8;157.0;49.3;20.9;16.9;7.9;1.3;1.2;0.1;1.1;2.0;3.1;4.7;4.5;1.2
24;0 tot 10 werknemers;1;1998;9.3;27.8;11.8;13.0;10.2;3.8;0.9;0.7;0.1;1.1;1.2;2.3;3.4;3.0;0.2
25;0 tot 10 werknemers;1;1999;9.1;24.0;12.4;14.9;11.3;5.0;1.1;0.7;0.1;1.0;1.1;2.2;4.1;3.9;0.2
26;0 tot 10 werknemers;2;1998;5.7;15.6;6.7;11.3;9.2;3.1;0.8;0.7;0.1;1.1;1.2;2.2;2.7;2.4;0.2
27;0 tot 10 werknemers;2;1999;5.6;15.1;6.8;13.5;10.5;4.5;1.0;0.6;0.1;1.1;1.2;2.0;3.6;3.4;0.1
28;0 tot 10 werknemers;9;1998;3.6;12.0;5.1;15.3;11.4;4.7;1.1;0.8;0.1;1.1;1.2;2.3;4.2;3.8;0.1
29;0 tot 10 werknemers;9;1999;3.5;9.0;5.6;16.6;12.2;5.5;1.3;0.9;0.1;0.9;1.0;2.4;4.8;4.5;0.1
30;0 tot 10 werknemers;6;1998;26.0;69.1;19.7;19.6;15.9;6.1;1.2;1.3;0.1;1.2;2.6;3.6;4.2;3.8;0.5
31;0 tot 10 werknemers;6;1999;24.5;65.6;20.5;20.5;16.6;7.3;1.2;1.3;0.1;1.0;2.5;3.2;4.4;4.1;0.4
32;0 tot 10 werknemers;4;1998;6.7;22.1;9.0;12.4;10.0;3.8;0.8;0.7;0.0;0.9;1.1;2.6;3.0;3.0;0.1
33;0 tot 10 werknemers;4;1999;6.4;21.2;9.2;12.7;10.2;4.6;0.9;0.7;0.1;0.7;1.1;2.2;2.8;2.4;0.1
34;0 tot 10 werknemers;8;1998;19.3;47.0;10.7;25.6;20.9;7.9;1.5;1.7;0.1;1.5;3.8;4.4;5.3;4.5;0.3
35;0 tot 10 werknemers;8;1999;18.1;44.4;11.3;26.8;21.9;9.6;1.5;1.7;0.1;1.3;3.7;4.0;5.6;5.5;0.2
36;0 tot 10 werknemers;5153 en 5154 Bouwmaterialen;1998;4.8;18.6;4.0;21.4;17.4;8.1;1.3;1.4;0.1;1.4;1.8;3.3;4.6;4.2;0.1
37;0 tot 10 werknemers;5153 en 5154 Bouwmaterialen;1999;4.6;17.1;4.2;22.7;18.6;9.0;1.6;1.3;0.2;1.4;1.8;3.2;5.3;5.0;0.2
38;0 tot 10 werknemers;516,51711-51714 Kapitaalgoederen;1998;14.2;45.1;11.9;22.6;18.2;8.7;1.3;1.3;0.1;1.2;1.9;3.7;5.2;4.7;0.3
39;0 tot 10 werknemers;516,51711-51714 Kapitaalgoederen;1999;13.5;50.3;12.3;27.1;22.3;11.5;1.6;1.5;0.1;1.3;2.3;4.0;5.6;5.7;0.4
40;0 tot 10 werknemers;516 Machines, apparaten en toebehoren;1998;11.9;39.2;10.4;22.5;18.2;8.8;1.3;1.2;0.1;1.2;1.9;3.7;5.2;4.7;0.2
41;0 tot 10 werknemers;516 Machines, apparaten en toebehoren;1999;11.4;43.9;10.7;27.4;22.6;11.8;1.7;1.4;0.1;1.3;2.3;4.0;5.4;5.6;0.3
42;0 tot 10 werknemers;51711-51714 Bedrijfsmeubels,emballage;1998;2.3;6.0;1.5;23.0;18.3;8.3;1.6;1.7;0.1;1.4;2.0;3.2;5.5;4.9;0.0
43;0 tot 10 werknemers;51711-51714 Bedrijfsmeubels,emballage;1999;2.1;6.4;1.5;25.2;20.2;9.7;1.3;1.6;0.0;1.3;2.2;4.1;6.4;6.4;0.0
44;10 tot 100 werknemers;3;1998;6.4;199.0;93.4;18.1;14.7;6.8;0.9;0.9;0.2;0.7;3.1;2.1;4.2;3.9;1.3
45;10 tot 100 werknemers;3;1999;6.6;208.4;99.0;18.8;15.1;7.0;1.0;1.0;0.2;0.7;3.1;2.2;4.5;4.2;1.5
46;10 tot 100 werknemers;1;1998;1.0;30.2;22.1;11.2;9.3;4.2;0.7;0.6;0.3;0.5;1.9;1.2;2.5;2.1;0.2
47;10 tot 100 werknemers;1;1999;1.0;30.6;23.9;11.7;9.8;4.3;0.8;0.7;0.3;0.5;2.0;1.2;2.7;2.4;0.4
48;10 tot 100 werknemers;2;1998;0.4;14.4;9.3;10.8;9.6;4.4;0.6;0.7;0.2;0.6;2.1;1.1;2.2;1.8;0.1
