ID;Geslacht;Leeftijd;Herkomstland;Geboorteland;GeboortelandOuders;Perioden;BevolkingOpDeEersteVanDeMaand_1
0;Totaal mannen en vrouwen;Totaal leeftijd;Totaal;Totaal;Totaal;2022 januari;17590672.0
1;Totaal mannen en vrouwen;Totaal leeftijd;Totaal;Totaal;Totaal;2022 februari;17597138.0
2;Totaal mannen en vrouwen;Totaal leeftijd;Totaal;Totaal;Totaal;2022 maart;17608511.0
3;Totaal mannen en vrouwen;Totaal leeftijd;Totaal;Totaal;Totaal;2022 april;17641242.0
4;Totaal mannen en vrouwen;Totaal leeftijd;Totaal;Totaal;Totaal;2022 mei;17674959.0
5;Totaal mannen en vrouwen;Totaal leeftijd;Totaal;Totaal;Totaal;2022 juni;17695767.0
6;Totaal mannen en vrouwen;Totaal leeftijd;Totaal;Totaal;Totaal;2022 juli;17709879.0
7;Totaal mannen en vrouwen;Totaal leeftijd;Totaal;Totaal;Totaal;2022 augustus;17719705.0
8;Totaal mannen en vrouwen;Totaal leeftijd;Totaal;Totaal;Totaal;2022 september;17749472.0
9;Totaal mannen en vrouwen;Totaal leeftijd;Totaal;Totaal;Totaal;2022 oktober;17781465.0
10;Totaal mannen en vrouwen;Totaal leeftijd;Totaal;Totaal;Totaal;2022 november;17796366.0
11;Totaal mannen en vrouwen;Totaal leeftijd;Totaal;Totaal;Totaal;2022 december;17809895.0
12;Totaal mannen en vrouwen;Totaal leeftijd;Totaal;Totaal;Totaal;2023 januari;17811291.0
13;Totaal mannen en vrouwen;Totaal leeftijd;Totaal;Totaal;Totaal;2023 februari;17817175.0
14;Totaal mannen en vrouwen;Totaal leeftijd;Totaal;Totaal;Totaal;2023 maart;17829300.0
15;Totaal mannen en vrouwen;Totaal leeftijd;Totaal;Totaal;Totaal;2023 april;17837995.0
16;Totaal mannen en vrouwen;Totaal leeftijd;Totaal;Totaal;Totaal;2023 mei;17845211.0
17;Totaal mannen en vrouwen;Totaal leeftijd;Totaal;Totaal;Totaal;2023 juni;17855886.0
18;Totaal mannen en vrouwen;Totaal leeftijd;Totaal;Totaal;Totaal;2023 juli;17863881.0
19;Totaal mannen en vrouwen;Totaal leeftijd;Totaal;Totaal;Totaal;2023 augustus;17869405.0
20;Totaal mannen en vrouwen;Totaal leeftijd;Totaal;Totaal;Totaal;2023 september;17894349.0
21;Totaal mannen en vrouwen;Totaal leeftijd;Totaal;Totaal;Totaal;2023 oktober;17920145.0
22;Totaal mannen en vrouwen;Totaal leeftijd;Totaal;Totaal;Totaal;2023 november;17934666.0
23;Totaal mannen en vrouwen;Totaal leeftijd;Totaal;Totaal;Totaal;2023 december;17943831.0
24;Totaal mannen en vrouwen;Totaal leeftijd;Totaal;Totaal;Totaal;2024 januari;17942942.0
25;Totaal mannen en vrouwen;Totaal leeftijd;Totaal;Totaal;Totaal;2024 februari;17946556.0
26;Totaal mannen en vrouwen;Totaal leeftijd;Totaal;Totaal;Totaal;2024 maart;17955743.0
27;Totaal mannen en vrouwen;Totaal leeftijd;Totaal;Totaal;Totaal;2024 april;17962763.0
28;Totaal mannen en vrouwen;Totaal leeftijd;Totaal;Totaal;Totaal;2024 mei;17970044.0
29;Totaal mannen en vrouwen;Totaal leeftijd;Totaal;Totaal;Totaal;2024 juni;17977676.0
30;Totaal mannen en vrouwen;Totaal leeftijd;Totaal;Totaal;Totaal;2024 juli;17981933.0
31;Totaal mannen en vrouwen;Totaal leeftijd;Totaal;Totaal;Totaal;2024 augustus;17985368.0
32;Totaal mannen en vrouwen;Totaal leeftijd;Totaal;Totaal;Totaal;2024 september;18005142.0
33;Totaal mannen en vrouwen;Totaal leeftijd;Totaal;Totaal;Totaal;2024 oktober;18028211.0
34;Totaal mannen en vrouwen;Totaal leeftijd;Totaal;Totaal;Totaal;2024 november;18038726.0
35;Totaal mannen en vrouwen;Totaal leeftijd;Totaal;Totaal;Totaal;2024 december;18045683.0
36;Totaal mannen en vrouwen;Totaal leeftijd;Totaal;Totaal;Totaal;2025 januari;18045532.0
37;Totaal mannen en vrouwen;Totaal leeftijd;Totaal;Totaal;Totaal;2025 februari;18051856.0
38;Totaal mannen en vrouwen;Totaal leeftijd;Totaal;Totaal;Totaal;2025 maart;18060445.0
39;Totaal mannen en vrouwen;Totaal leeftijd;Totaal;Totaal;Twee ouders geboren in NL;2022 januari;13151772.0
40;Totaal mannen en vrouwen;Totaal leeftijd;Totaal;Totaal;Twee ouders geboren in NL;2022 februari;13148781.0
41;Totaal mannen en vrouwen;Totaal leeftijd;Totaal;Totaal;Twee ouders geboren in NL;2022 maart;13146111.0
42;Totaal mannen en vrouwen;Totaal leeftijd;Totaal;Totaal;Twee ouders geboren in NL;2022 april;13142062.0
43;Totaal mannen en vrouwen;Totaal leeftijd;Totaal;Totaal;Twee ouders geboren in NL;2022 mei;13138054.0
44;Totaal mannen en vrouwen;Totaal leeftijd;Totaal;Totaal;Twee ouders geboren in NL;2022 juni;13135778.0
45;Totaal mannen en vrouwen;Totaal leeftijd;Totaal;Totaal;Twee ouders geboren in NL;2022 juli;13134346.0
46;Totaal mannen en vrouwen;Totaal leeftijd;Totaal;Totaal;Twee ouders geboren in NL;2022 augustus;13132651.0
47;Totaal mannen en vrouwen;Totaal leeftijd;Totaal;Totaal;Twee ouders geboren in NL;2022 september;13131415.0
