ID;Omzetklassen;Perioden;Bedrijven_1;Bedrijfsopbrengsten_2;TotaalNettoOmzet_3;VerleendeDiensten_4;Handelsgoederen_5;OverigeOpbrengsten_6;TotaalBedrijfslasten_7;KostprijsVanDeOmzet_8;Personeelskosten_9;Afschrijvingen_10;OverigeBedrijfslasten_11;TotaalOverigeBedrijfslasten_12;Huisvestingskosten_13;InventarisEnMachinekosten_14;Autokosten_15;Verkoopkosten_16;AndereKosten_17;Bedrijfsresultaat_18;SaldoFinancieleResultaten_19;ResultaatVoorBelastingen_20;BrutoWinstmarge_21;OperationeleWinstmarge_22;WinstmargeVoorBelastingen_23;Investeringsquote_24;NettoOmzetPerFte_25;LoonkostenPerFte_26;NettoOmzet_27;InterieurVanGebouwen_28;Glazenwassen_29;BrandEnRoetreiniging_30;Gevelreiniging_31;Schoorsteenreiniging_32;Transportmiddelen_33;SpecialistischIndustrieelSchoonmaken_34;SpecialistischIndustrieelSchoonmaken_35;GezondheidszorgSchoonmaken_36;Asbestsanering_37;OverigeSchoonmaakactiviteiten_38;OverigeBedrijfsdiensten_39;TotaalVerleendeDiensten_40;OntvangstenVoorUitleenEnSubsidie_41;TotaalPersoneelskosten_42;BrutoLonenEnSalarissen_43;SocialeLasten_44;Pensioenpremies_45;KostenUitzendkrachten_46;KostenIngeleendPersoneel_47;OverigePersoneelskosten_48;TotaalOverigeBedrijfslasten_49;TotaalHuisvestingskosten_50;BetaaldeHurenPachtenEDVanLeasing_51;OnroerendeZaakbelastingMilieuheffing_52;Energiekosten_53;ReparatieEnOnderhoudskosten_54;Verzekeringen_55;OverigeHuisvestingskosten_56;TotaalInventarisEnMachinekosten_57;BetaaldeHurenEnKostenVanOperLease_58;Onderhoudskosten_59;OverigeInventarisEnMachinekosten_60;TotaalAutokosten_61;BetaaldeHurenEnKostenVanOperLease_62;Brandstof_63;OverigeAutokosten_64;TotaalVerkoopkosten_65;ReclameEnAdvertentiekosten_66;ReisVerblijfsEnRepresentatiekosten_67;OverigeVerkoopkosten_68;TotaalAndereKosten_69;AccountantsEnAdviesdiensten_70;KantoorbenodigdhDrukwerkVakliteratuur_71;OverigeVerzekeringen_72;OverigeKostprijsverhogendeBelastingen_73;Communicatiekosten_74;Beheerskosten_75;OverigeAutomatiseringskosten_76;NogNietEerderGenoemdeBedrijfskosten_77;TotaalAantalWerkzamePersonen_78;WerknemersOpDeLoonlijst_79;WerknemersNietOpLoonlijst_80;OverigPersoneel_81;AantalVte_82;TotaalInvesteringen_83;TotaalMaterieleVasteActiva_84;Bedrijfsruimten_85;Vervoermiddelen_86;Computers_87;OverigeMachinesApparatenED_88;OverigeMaterieleVasteActiva_89;TotaalImmaterieleVasteActiva_90
0;Totaal SBI 74701;1996;57.2;1824;1818;1802;15;6;1627;12.3;70.7;3.0;14.0;227;24;11;65;27;101;197;-13;184;89.0;10.3;10.1;3.8;26.2;18.3;1818;72.8;9.2;3.3;1.6;0.6;2.6;1.5;1.3;1.9;0.2;2.9;1.3;99.2;0.6;1150;81.6;7.3;1.8;5.5;1.8;2.6;227;24;64.6;1.7;10.8;9.2;1.9;11.8;11;25.2;39.0;35.8;65;34.1;27.4;38.4;27;44.7;37.2;18.1;101;17.1;10.6;5.7;0.1;11.0;39.4;2.5;13.6;1524;93.0;3.9;3.1;694;70;95.2;12.1;42.7;2.9;26.1;11.3;4.8
1;Totaal SBI 74701;1997;57.2;1914;1910;1889;20;4;1709;13.1;70.1;2.9;13.9;237;27;14;67;26;104;205;-9;196;88.3;10.3;10.2;3.2;27.0;18.8;1910;72.5;9.4;3.1;2.0;0.7;2.3;1.2;1.5;1.4;0.2;3.2;1.4;98.9;1.1;1199;82.4;6.9;1.9;5.5;1.8;2.6;237;27;63.9;1.5;11.6;10.6;2.6;9.7;14;28.1;39.1;32.7;67;37.3;28.3;34.4;26;47.6;37.8;14.5;104;16.8;10.5;5.8;0.1;12.3;39.6;2.2;12.6;1573;93.1;3.9;3.1;708;61;97.7;10.4;41.0;5.0;30.4;10.9;2.3
2;Totaal SBI 74701;1998;57.6;1976;1971;1947;23;5;1781;13.1;70.3;2.7;13.9;248;24;17;68;27;112;195;-11;184;88.2;9.5;9.3;3.6;27.2;19.2;1971;70.9;9.8;3.3;2.1;0.9;2.4;1.1;1.4;2.6;0.0;2.7;1.5;98.8;1.5;1252;78.4;11.4;2.2;5.1;1.5;3.0;248;24;;;;;;;17;;;;68;;;;27;;;;112;;;;;;;;;1583;93.2;3.9;2.9;725;71;98.1;14.5;40.3;4.5;23.1;15.8;1.9
3;Totaal SBI 74701;1999;57.5;2160;2155;2130;24;5;1942;12.8;71.2;2.6;13.4;261;27;17;74;29;114;217;-8;209;88.5;9.8;9.7;4.2;;;2155;69.9;9.9;2.9;2.0;0.7;2.6;1.4;1.7;2.8;0.0;3.5;1.4;98.8;1.9;1384;77.6;11.8;1.9;6.5;1.3;2.8;261;27;;;;;;;17;;;;74;;;;29;;;;114;;;;;;;;;1609;93.3;3.5;3.1;739;90;95.0;19.0;31.6;4.9;17.5;22.0;5.0
4;Tot 50 000 euro;1996;29.5;63;62;62;0;1;30;25.9;18.8;10.8;44.5;14;1;1;6;1;5;33;0;33;87.4;51.3;51.3;5.8;;;62;59.8;29.7;0.1;0.7;5.4;0.0;0.4;1.2;0.2;0.0;2.0;0.4;99.7;0.2;6;85.9;6.7;0.9;3.3;1.0;2.4;14;1;70.6;0.0;10.1;6.1;2.9;10.3;1;27.4;19.5;53.1;6;20.0;34.8;45.2;1;45.2;49.7;5.1;5;45.6;9.6;4.3;0.2;14.7;0.5;0.5;24.7;45;27.1;71.5;1.4;39;4;99.2;0.0;83.9;1.1;9.6;4.6;0.8
5;Tot 50 000 euro;1997;30.4;65;64;64;1;1;30;26.2;15.7;10.8;47.4;14;1;1;6;1;5;36;-1;35;87.9;53.5;53.6;7.1;;;64;58.8;29.7;0.1;0.9;6.5;0.0;0.2;1.6;0.0;0.0;0.9;0.2;99.0;0.9;5;88.2;6.6;1.0;2.4;1.3;1.4;14;1;68.3;0.0;9.6;4.4;12.2;5.5;1;21.2;34.4;44.4;6;15.8;41.8;42.4;1;57.5;32.2;10.3;5;46.0;9.5;4.3;0.0;16.1;1.1;0.7;22.2;44;22.9;76.1;1.0;38;5;98.3;0.2;75.9;5.7;12.5;4.1;1.7
6;Tot 50 000 euro;1998;31.0;65;64;64;1;1;30;21.8;15.0;12.7;50.5;15;1;1;6;1;6;35;-1;34;89.9;52.8;53.2;13.1;;;64;57.8;29.5;0.1;2.6;6.4;0.0;0.5;1.8;0.2;0.0;0.2;0.1;99.1;0.3;4;80.3;8.2;1.0;6.5;1.6;2.8;15;1;;;;;;;1;;;;6;;;;1;;;;6;;;;;;;;;47;21.5;76.4;2.1;41;8;100.0;5.1;63.6;1.9;7.8;21.7;0.0
7;Tot 50 000 euro;1999;31.5;71;70;70;0;1;30;18.9;14.9;13.3;52.9;16;1;1;7;1;6;41;0;41;92.0;57.3;57.4;6.5;;;70;55.4;30.0;0.1;1.9;6.1;0.0;0.2;1.6;0.0;0.8;1.6;1.7;99.3;0.0;4;85.7;7.9;1.0;3.1;0.3;2.1;16;1;;;;;;;1;;;;7;;;;1;;;;6;;;;;;;;;43;17.6;81.4;1.1;39;5;99.7;3.3;67.2;3.3;21.7;4.3;0.3
8;50 000 tot 100 000 euro;1996;10.8;80;79;78;0;1;49;22.1;36.9;8.6;32.4;16;2;0;5;1;7;31;0;31;86.3;38.3;38.4;8.5;;;79;62.8;24.8;0.2;2.3;3.0;0.1;0.7;0.6;0.1;0.0;0.4;4.5;99.5;1.8;18;86.3;8.2;1.5;2.4;0.0;3.5;16;2;80.4;4.2;6.9;2.4;0.7;5.3;0;25.6;33.6;40.8;5;9.7;36.4;53.9;1;52.0;32.6;15.5;7;30.8;18.8;7.0;0.0;14.6;10.5;0.5;17.8;45;70.2;29.3;0.6;25;7;96.7;2.5;72.7;0.8;16.9;3.9;3.3
9;50 000 tot 100 000 euro;1997;8.7;66;65;63;2;1;41;28.3;37.6;6.7;27.3;11;1;1;5;1;4;25;0;25;82.3;37.4;37.3;6.1;;;65;55.3;29.8;0.1;1.6;3.4;0.0;1.3;0.6;0.0;0.0;3.4;1.5;96.9;0.6;15;84.6;8.0;2.0;1.0;0.3;4.8;11;1;62.4;7.9;14.2;6.9;0.8;7.8;1;14.9;29.6;55.5;5;24.6;37.6;37.8;1;48.1;42.1;9.8;4;34.2;16.2;10.7;0.0;17.0;2.2;0.9;18.8;40;69.4;30.6;0.0;20;4;100.0;0.7;75.9;6.2;15.1;2.1;0.0
