ID;KenmerkenDagtochten;Perioden;TotaleUitgavenAanDagtochten_1;TotaleEntreeEnDeelnamekosten_2;TotaleConsumptiekosten_3;TotaleReiskosten_4;UitgavenPerPersoonPerDagtocht_5;EntreeEnDeelnamekostenPPPDagt_6;ConsumptiekostenPerPersoonPerDagt_7;ReiskostenPerPersoonPerDagtocht_8
0;1;1990 mei - 1991 april;5259;1045;3259;954;6.06;1.2;3.76;1.1
1;1;1995 september - 1996 augustus;6714;1608;3990;1116;7.17;1.72;4.26;1.19
2;1;2001 december - 2002 november;11511;2863;6845;1803;11.73;2.92;6.97;1.84
3;1;2006 oktober - 2007 september;12715;3116;7526;2073;14.02;3.44;8.3;2.29
4;2;1990 mei - 1991 april;204;62;98;44;3.43;1.04;1.65;0.74
5;2;1995 september - 1996 augustus;208;81;86;42;3.91;1.51;1.61;0.78
6;2;2001 december - 2002 november;340;128;148;64;5.87;2.22;2.56;1.1
7;2;2006 oktober - 2007 september;357;137;156;64;8.62;3.3;3.78;1.54
8;3;1990 mei - 1991 april;62;3;43;16;6.66;0.36;4.6;1.7
9;3;1995 september - 1996 augustus;50;3;32;15;5.86;0.4;3.73;1.73
10;3;2001 december - 2002 november;91;3;65;23;8.61;0.29;6.14;2.18
11;3;2006 oktober - 2007 september;101;7;65;28;14.93;1.1;9.62;4.2
12;5;1990 mei - 1991 april;21;9;10;1;2.25;1.04;1.06;0.16
13;5;1995 september - 1996 augustus;14;7;5;2;2.47;1.29;0.91;0.27
14;5;2001 december - 2002 november;24;15;7;1;3.47;2.18;1.09;0.19
15;5;2006 oktober - 2007 september;11;6;4;1;3.39;1.84;1.29;0.25
16;4;1990 mei - 1991 april;23;3;15;5;2.71;0.33;1.75;0.63
17;4;1995 september - 1996 augustus;13;3;7;3;2.59;0.56;1.49;0.53
18;4;2001 december - 2002 november;29;5;16;8;4.67;0.75;2.61;1.31
19;4;2006 oktober - 2007 september;10;1;5;4;3.72;0.47;1.95;1.29
20;6;1990 mei - 1991 april;16;1;7;8;3.96;0.27;1.73;1.97
21;6;1995 september - 1996 augustus;24;2;12;10;5.33;0.52;2.65;2.16
22;6;2001 december - 2002 november;33;7;14;13;7.04;1.47;2.9;2.67
23;6;2006 oktober - 2007 september;44;4;28;12;9.0;0.87;5.65;2.47
24;7;1990 mei - 1991 april;83;45;24;13;2.89;1.59;0.84;0.47
25;7;1995 september - 1996 augustus;107;65;29;13;3.62;2.19;0.99;0.44
26;7;2001 december - 2002 november;163;99;46;18;5.52;3.35;1.54;0.62
27;7;2006 oktober - 2007 september;183;112;53;18;7.8;4.77;2.25;0.79
28;8;1990 mei - 1991 april;993;263;546;184;3.4;0.9;1.87;0.63
29;8;1995 september - 1996 augustus;1167;397;584;186;3.92;1.33;1.96;0.63
30;8;2001 december - 2002 november;1970;723;939;308;6.48;2.38;3.09;1.01
31;8;2006 oktober - 2007 september;2038;719;969;350;8.12;2.87;3.86;1.39
32;Fietsen;1990 mei - 1991 april;69;7;58;5;1.85;0.17;1.54;0.14
33;Fietsen;1995 september - 1996 augustus;103;9;83;11;2.4;0.2;1.94;0.26
34;Fietsen;2001 december - 2002 november;204;16;160;28;4.27;0.34;3.35;0.59
35;Fietsen;2006 oktober - 2007 september;215;20;171;24;6.18;0.58;4.91;0.69
36;9;1990 mei - 1991 april;154;7;97;49;2.57;0.12;1.63;0.83
37;9;1995 september - 1996 augustus;169;7;108;54;2.85;0.13;1.81;0.92
38;9;2001 december - 2002 november;306;25;191;91;4.65;0.37;2.9;1.38
39;9;2006 oktober - 2007 september;328;31;183;114;6.82;0.64;3.8;2.38
40;Golfen;1990 mei - 1991 april;13;7;4;2;6.86;3.43;2.24;1.19
41;Golfen;1995 september - 1996 augustus;47;24;17;6;12.38;6.36;4.47;1.56
42;Golfen;2001 december - 2002 november;143;76;50;17;22.92;12.25;7.98;2.69
43;Golfen;2006 oktober - 2007 september;180;105;57;17;26.53;15.55;8.41;2.58
44;Watersport;1990 mei - 1991 april;27;8;12;8;3.98;1.15;1.68;1.16
45;Watersport;1995 september - 1996 augustus;33;13;12;8;6.14;2.4;2.25;1.49
46;Watersport;2001 december - 2002 november;68;22;32;13;9.45;3.1;4.47;1.88
47;Watersport;2006 oktober - 2007 september;74;25;34;16;10.26;3.44;4.63;2.19
48;Vissen;1990 mei - 1991 april;19;8;6;6;3.27;1.28;0.96;1.03
49;Vissen;1995 september - 1996 augustus;21;9;5;7;3.47;1.45;0.82;1.19
50;Vissen;2001 december - 2002 november;27;12;8;6;7.02;3.24;2.11;1.67
51;Vissen;2006 oktober - 2007 september;21;8;6;7;6.37;2.27;1.89;2.22
52;Paardrijden (manege en buitenritten);1990 mei - 1991 april;36;24;8;4;3.84;2.58;0.89;0.38
53;Paardrijden (manege en buitenritten);1995 september - 1996 augustus;65;44;12;8;5.34;3.66;1.02;0.66
54;Paardrijden (manege en buitenritten);2001 december - 2002 november;82;53;19;9;7.08;4.62;1.67;0.79
