ID;Marges;RegioS;Perioden;SAvondsLichtBrandenBijAfwezigheid_1;FietsInBewaakteFietsenstalling_2;WaardevolleSpullenMeenemenUitAuto_3;WaardevolleSpullenThuisLaten_4;SociaalPreventiefGedragSchaalscore_5;ExtraVeiligheidsslotenOpBuitendeuren_6;RolluikenVoorRamenEnOfDeuren_7;Buitenverlichting_8;Alarminstallatie_9;PreventieInRondWoningSomscore_10
0;Waarde;Nederland;2012;41.1;34.7;70.1;33.4;1.8;67.5;18.7;77.3;13.0;1.8
1;Waarde;Nederland;2013;41.4;35.1;69.9;34.4;1.8;66.8;18.7;76.4;12.8;1.7
2;Waarde;Nederland;2014;42.3;35.3;69.9;33.5;1.8;66.5;18.9;76.6;13.1;1.8
3;Waarde;Nederland;2015;43.1;36.1;69.4;33.1;1.8;66.5;19.5;76.9;13.1;1.8
4;Waarde;Nederland;2016;42.5;36.7;68.9;31.4;1.8;65.3;19.5;76.2;12.8;1.7
5;Waarde;Nederland;2017;42.2;36.2;68.2;30.4;1.8;64.9;19.1;76.0;12.9;1.7
6;Waarde;Nederland;2019;45.1;36.7;69.3;29.4;1.8;63.4;20.6;74.3;12.3;1.7
7;Waarde;Noord-Nederland (LD);2012;36.5;26.0;62.5;30.2;1.6;62.4;9.4;80.7;9.8;1.6
8;Waarde;Noord-Nederland (LD);2013;36.6;25.9;63.7;30.0;1.6;63.9;8.7;79.9;10.2;1.6
9;Waarde;Noord-Nederland (LD);2014;37.9;26.6;62.9;30.0;1.6;62.3;9.5;80.2;10.0;1.6
10;Waarde;Noord-Nederland (LD);2015;39.2;27.9;61.9;29.7;1.6;61.4;10.3;80.2;9.0;1.6
11;Waarde;Noord-Nederland (LD);2016;39.0;28.6;62.8;28.6;1.6;61.8;10.0;79.5;9.2;1.6
12;Waarde;Noord-Nederland (LD);2017;38.4;27.4;60.8;27.2;1.5;61.2;9.8;79.3;10.0;1.6
13;Waarde;Noord-Nederland (LD);2019;42.5;29.1;61.2;26.6;1.6;60.7;10.6;78.4;9.1;1.6
14;Waarde;Oost-Nederland (LD);2012;42.9;34.2;70.0;33.0;1.8;67.8;20.0;83.0;13.3;1.8
15;Waarde;Oost-Nederland (LD);2013;43.2;35.1;70.6;34.1;1.8;66.6;20.4;81.8;12.2;1.8
16;Waarde;Oost-Nederland (LD);2014;44.3;35.3;70.7;33.3;1.8;66.5;20.4;83.0;12.6;1.8
17;Waarde;Oost-Nederland (LD);2015;44.4;35.4;70.0;32.8;1.8;67.0;21.0;82.1;12.7;1.8
18;Waarde;Oost-Nederland (LD);2016;43.7;35.9;69.7;31.2;1.8;64.7;21.3;82.5;12.4;1.8
19;Waarde;Oost-Nederland (LD);2017;43.2;35.6;68.8;30.1;1.8;64.5;20.7;81.5;12.1;1.8
20;Waarde;Oost-Nederland (LD);2019;47.1;36.5;70.0;29.7;1.8;63.8;23.2;81.6;11.9;1.8
21;Waarde;West-Nederland (LD);2012;37.8;32.5;70.2;31.9;1.7;67.5;12.8;71.8;12.8;1.6
22;Waarde;West-Nederland (LD);2013;38.6;32.8;69.1;33.1;1.7;66.7;12.7;70.7;12.6;1.6
23;Waarde;West-Nederland (LD);2014;39.3;33.3;69.4;32.2;1.7;66.8;12.7;70.5;13.1;1.6
24;Waarde;West-Nederland (LD);2015;40.4;34.2;69.0;31.5;1.8;66.4;13.5;71.8;12.9;1.6
25;Waarde;West-Nederland (LD);2016;39.9;35.0;68.3;30.0;1.7;65.3;13.5;70.1;12.7;1.6
26;Waarde;West-Nederland (LD);2017;39.9;34.7;67.5;29.0;1.7;65.0;13.2;70.6;12.4;1.6
27;Waarde;West-Nederland (LD);2019;42.0;35.0;69.0;27.8;1.7;62.9;14.6;67.5;12.1;1.6
28;Waarde;Zuid-Nederland (LD);2012;48.8;44.0;73.7;38.5;2.0;69.6;34.5;82.2;14.5;2.0
29;Waarde;Zuid-Nederland (LD);2013;47.8;44.5;73.7;39.7;2.1;68.7;34.6;81.7;15.1;2.0
30;Waarde;Zuid-Nederland (LD);2014;49.1;43.8;73.4;38.2;2.0;67.9;35.2;81.8;15.2;2.0
31;Waarde;Zuid-Nederland (LD);2015;49.7;44.5;73.3;38.4;2.1;68.8;35.4;81.5;15.8;2.0
32;Waarde;Zuid-Nederland (LD);2016;48.7;44.9;72.2;35.8;2.0;67.4;35.4;81.9;15.0;2.0
33;Waarde;Zuid-Nederland (LD);2017;48.3;44.4;72.5;35.3;2.0;66.6;34.7;80.8;15.9;2.0
34;Waarde;Zuid-Nederland (LD);2019;51.4;44.3;73.0;34.3;2.0;65.5;36.1;80.5;14.8;2.0
35;Waarde;Groningen (PV);2012;34.1;28.3;59.4;29.9;1.5;60.6;9.1;76.0;9.2;1.5
36;Waarde;Groningen (PV);2013;33.4;28.1;61.9;29.4;1.5;61.3;7.9;74.4;9.2;1.5
37;Waarde;Groningen (PV);2014;33.4;27.6;60.5;29.3;1.5;58.3;8.2;73.2;8.6;1.5
38;Waarde;Groningen (PV);2015;35.8;29.6;59.8;28.4;1.5;58.3;9.9;75.4;7.5;1.5
39;Waarde;Groningen (PV);2016;33.2;30.3;60.7;27.5;1.5;58.2;10.7;73.2;8.3;1.5
40;Waarde;Groningen (PV);2017;34.6;28.5;60.7;25.6;1.5;59.0;9.0;73.7;8.4;1.5
41;Waarde;Groningen (PV);2019;37.9;28.7;59.7;25.9;1.5;56.5;10.1;71.1;7.7;1.5
42;Waarde;Friesland (PV);2012;36.6;23.6;62.6;29.7;1.5;62.4;7.4;81.4;9.7;1.6
43;Waarde;Friesland (PV);2013;36.6;23.7;62.7;28.6;1.5;64.6;6.1;80.6;10.2;1.6
44;Waarde;Friesland (PV);2014;39.6;24.8;63.4;30.2;1.6;64.7;7.6;82.1;10.1;1.6
45;Waarde;Friesland (PV);2015;39.9;25.6;60.9;29.2;1.6;62.0;7.4;80.3;8.7;1.6
46;Waarde;Friesland (PV);2016;41.6;27.0;61.8;27.6;1.6;61.8;7.0;80.3;8.6;1.6
47;Waarde;Friesland (PV);2017;37.9;26.0;58.7;27.8;1.5;60.9;7.2;79.2;10.3;1.6
48;Waarde;Friesland (PV);2019;44.4;28.4;59.7;26.3;1.6;61.7;6.8;80.7;8.9;1.6
49;Waarde;Drenthe (PV);2012;39.4;26.4;66.0;31.4;1.6;64.6;12.4;85.5;10.7;1.7
50;Waarde;Drenthe (PV);2013;40.3;26.3;67.2;32.5;1.7;65.9;13.2;85.7;11.3;1.8
51;Waarde;Drenthe (PV);2014;41.2;27.7;64.9;30.7;1.6;63.8;13.7;86.4;11.6;1.8
52;Waarde;Drenthe (PV);2015;42.4;28.8;65.8;31.8;1.7;64.5;14.5;85.9;11.3;1.8
53;Waarde;Drenthe (PV);2016;42.9;28.7;66.5;31.1;1.7;66.1;13.2;86.1;11.2;1.8
54;Waarde;Drenthe (PV);2017;43.7;28.0;63.7;28.5;1.6;64.3;14.2;86.2;11.5;1.8
55;Waarde;Drenthe (PV);2019;45.4;30.5;64.8;27.9;1.7;64.6;16.2;84.2;11.2;1.8
56;Waarde;Overijssel (PV);2012;42.1;32.0;65.8;31.3;1.7;65.1;18.8;81.8;10.7;1.8
57;Waarde;Overijssel (PV);2013;42.0;32.8;68.7;34.5;1.8;65.6;19.6;80.7;10.1;1.8
58;Waarde;Overijssel (PV);2014;43.0;32.2;67.9;32.3;1.8;64.1;18.7;81.3;10.7;1.7
59;Waarde;Overijssel (PV);2015;43.7;32.6;67.2;31.3;1.7;66.2;19.9;81.9;11.2;1.8
60;Waarde;Overijssel (PV);2016;42.8;34.5;67.1;30.0;1.7;63.1;20.3;81.8;11.3;1.8
61;Waarde;Overijssel (PV);2017;42.2;33.5;65.8;28.8;1.7;61.9;18.0;81.1;10.3;1.7
62;Waarde;Overijssel (PV);2019;46.4;34.8;67.5;29.3;1.8;61.8;22.5;82.2;10.0;1.8
63;Waarde;Flevoland (PV);2012;41.2;31.0;69.6;31.6;1.7;67.2;12.1;83.1;19.0;1.8
64;Waarde;Flevoland (PV);2013;42.4;33.0;72.0;33.1;1.8;69.8;11.8;82.0;15.6;1.8
65;Waarde;Flevoland (PV);2014;44.7;33.2;72.8;32.8;1.8;68.5;12.7;83.5;17.0;1.8
66;Waarde;Flevoland (PV);2015;43.6;32.8;69.8;32.7;1.8;65.6;12.5;81.6;15.8;1.8
67;Waarde;Flevoland (PV);2016;42.9;31.7;69.0;29.8;1.7;65.7;14.2;83.0;18.2;1.8
68;Waarde;Flevoland (PV);2017;43.6;31.5;69.3;29.9;1.7;65.6;13.6;80.0;16.6;1.8
69;Waarde;Flevoland (PV);2019;48.5;34.2;68.9;29.1;1.8;64.4;14.1;80.5;16.5;1.8
70;Waarde;Gelderland (PV);2012;43.7;36.1;72.5;34.2;1.9;69.3;22.3;83.7;13.7;1.9
71;Waarde;Gelderland (PV);2013;44.1;36.9;71.5;34.1;1.9;66.6;22.6;82.4;12.8;1.8
72;Waarde;Gelderland (PV);2014;44.9;37.4;71.8;33.9;1.9;67.5;22.8;83.9;12.8;1.9
73;Waarde;Gelderland (PV);2015;44.9;37.4;71.6;33.6;1.9;67.6;23.2;82.4;12.9;1.9
74;Waarde;Gelderland (PV);2016;44.4;37.5;71.3;32.2;1.9;65.4;23.1;82.8;11.9;1.8
75;Waarde;Gelderland (PV);2017;43.7;37.5;70.4;30.9;1.8;65.7;23.6;82.0;12.3;1.8
76;Waarde;Gelderland (PV);2019;47.2;37.8;71.6;30.0;1.9;64.8;25.4;81.5;12.0;1.8
77;Waarde;Utrecht (PV);2012;40.1;35.1;74.5;32.5;1.8;68.5;11.8;76.2;13.1;1.7
78;Waarde;Utrecht (PV);2013;42.7;34.5;74.2;33.0;1.8;67.9;11.9;74.8;12.7;1.7
79;Waarde;Utrecht (PV);2014;41.9;36.6;74.6;32.2;1.9;67.5;12.0;75.1;13.6;1.7
80;Waarde;Utrecht (PV);2015;43.3;37.6;76.2;32.3;1.9;68.2;11.8;76.8;12.8;1.7
81;Waarde;Utrecht (PV);2016;40.3;38.1;73.3;30.4;1.8;66.4;12.2;75.0;11.9;1.7
82;Waarde;Utrecht (PV);2017;40.8;37.6;73.5;28.3;1.8;67.7;12.6;75.2;11.7;1.7
83;Waarde;Utrecht (PV);2019;44.1;37.8;75.1;28.0;1.8;63.9;13.8;72.3;12.0;1.6
84;Waarde;Noord-Holland (PV);2012;35.0;30.4;68.6;30.3;1.6;65.5;10.0;68.8;12.3;1.6
85;Waarde;Noord-Holland (PV);2013;35.7;30.3;66.9;32.2;1.7;64.2;9.8;67.4;12.2;1.5
86;Waarde;Noord-Holland (PV);2014;36.4;30.6;67.9;30.3;1.7;64.7;9.8;68.3;12.7;1.6
87;Waarde;Noord-Holland (PV);2015;37.0;31.4;66.6;30.4;1.7;64.6;11.3;69.0;12.6;1.6
88;Waarde;Noord-Holland (PV);2016;37.8;32.3;66.5;28.8;1.7;63.5;10.8;67.3;12.8;1.5
89;Waarde;Noord-Holland (PV);2017;36.9;31.3;65.1;28.0;1.6;62.6;10.5;67.5;12.2;1.5
90;Waarde;Noord-Holland (PV);2019;39.2;32.1;66.6;26.5;1.6;61.2;11.7;65.2;11.8;1.5
