ID;FruitFarmingRegions;Periods;TotalAppleVarieties_1;CoxSOrangePippin_2;DelbarestivaleDelcorf_3;Elstar_4;GoldenDelicious_5;Jonagold_6;Jonagored_7;Junami_8;Kanzi_9;RodeBoskoopRennetApple_10;Rubens_11;OtherAppleVarieties_12;TotalPearVarieties_13;BeurreAlexandreLucas_14;Conference_15;DoyenneDuComice_16;CookingPears_17;TriompheDeVienne_18;OtherPearVarieties_19;TotalAppleVarieties_20;CoxSOrangePippin_21;DelbarestivaleDelcorf_22;Elstar_23;GoldenDelicious_24;Jonagold_25;Jonagored_26;Junami_27;Kanzi_28;RodeBoskoopRennetApple_29;Rubens_30;OtherAppleVarieties_31;TotalPearVarieties_32;BeurreAlexandreLucas_33;Conference_34;DoyenneDuComice_35;CookingPears_36;TriompheDeVienne_37;OtherPearVarieties_38
10;Total Netherlands;2007;391;8;6;172;25;88;49;2.0;5.0;19;2.0;15;260;10.0;200;34;7;5;4;9380;255;226;4220;536;1558;900;259.0;306.0;615;145.0;360;7296;263.0;5444;1000;254;161;174
11;Total Netherlands;2008;375;7;5;160;23;79;46;5.0;6.0;23;4.0;17;172;6.0;138;19;4;3;3;9302;194;195;3964;502;1523;852;345.0;311.0;627;186.0;603;7476;326.0;5662;936;232;132;187
12;Total Netherlands;2009;407;6;6;176;23;86;49;10.0;11.0;17;5.0;18;295;12.0;230;34;8;5;6;9129;160;186;3960;500;1470;835;391.0;350.0;574;183.0;520;7800;362.0;5877;935;255;135;235
13;Total Netherlands;2010;334;4;5;145;20;67;33;10.0;15.0;14;7.0;14;274;15.0;214;26;8;5;6;8681;121;168;3598;469;1520;753;429.0;380.0;476;192.0;576;7995;428.0;5888;968;260;142;309
14;Total Netherlands;2011;418;5;4;172;24;92;40;17.0;17.0;19;8.0;19;336;22.0;260;33;9;4;8;8266;121;143;3367;473;1459;624;442.0;410.0;442;192.0;592;8203;450.0;6024;966;303;120;340
15;Total Netherlands;2012;282;3;3;115;20;53;21;8.0;14.0;14;3.0;27;199;12.0;161;17;5;1;3;7948;110;143;3289;450;1375;470;445.0;408.0;453;170.0;635;8169;450.0;6114;880;256;107;362
16;Total Netherlands;2013;314;4;5;123;16;66;26;12.0;17.0;16;3.0;26;327;24.0;256;28;8;4;8;7906;110;150;3191;430;1319;509;450.0;414.0;473;109.0;751;8509;500.0;6364;859;248;105;434
17;Total Netherlands;2014;353;3;4;140;18;70;30;16.0;19.0;19;2.0;31;349;20.0;275;30;9;4;11;7850;81;150;3154;385;1319;509;456.0;479.0;424;77.0;816;8603;514.0;6447;859;273;100;410
18;Total Netherlands;2015;336;3;4;129;15;75;23;14.0;19.0;18;1.0;34;349;25.0;275;28;6;3;12;7600;80;150;2954;350;1280;489;460.0;495.0;423;57.0;862;9234;515.0;6974;914;270;106;455
19;Total Netherlands;2016;317;2;4;133;13;74;21;15.0;18.0;15;;22;374;29.0;293;31;7;3;11;7335;49;178;3175;304;1356;362;469.0;500.0;397;;545;9434;632.0;7041;851;235;106;570
