ID;BedrijfsindelingenBedrijfsgrootte;Perioden;TotaalGevolgdeOpleidingen_1;Per100WerknemersAlleBedrijven_2;Per100WerknemersBedrMetOpl_3;TotaleKosten_4;InVanDeArbeidskostenAlleBedr_5;InVanDeArbeidskostenBedrMetOpl_6;PerWerknemerAlleBedrijven_7;PerWerknemerBedrMetOpl_8
0;Totaal meer dan 10 werkzame personen;1986;681.0;25.0;37.0;946.0;1.5;2.0;358.0;486.0
1;Totaal meer dan 10 werkzame personen;1990;1034.0;33.0;43.0;1311.0;1.7;2.2;417.0;545.0
2;Totaal meer dan 10 werkzame personen;1993;1187.0;38.0;49.0;1531.0;1.8;2.3;495.0;631.0
3;Totaal meer dan 10 werkzame personen;1999;2862.0;77.0;83.0;3052.0;2.8;3.0;826.0;889.0
4;Totaal meer dan 10 werkzame personen;2005;;;;3041.0;2.2;2.4;817.0;941.0
5;10 tot 100 werknemers;1986;98.0;10.0;21.0;89.0;0.4;0.8;86.0;186.0
6;10 tot 100 werknemers;1990;162.0;14.0;27.0;137.0;0.5;1.0;113.0;227.0
7;10 tot 100 werknemers;1993;240.0;20.0;41.0;224.0;0.8;1.5;191.0;381.0
8;10 tot 100 werknemers;1999;1005.0;69.0;83.0;848.0;1.8;2.1;581.0;699.0
9;10 tot 100 werknemers;2005;;;;749.0;1.4;1.7;464.0;610.0
10;100 tot 500 werknemers;1986;127.0;26.0;26.0;;;;;
11;100 tot 500 werknemers;1990;210.0;33.0;36.0;192.0;1.1;1.2;295.0;331.0
12;100 tot 500 werknemers;1993;279.0;41.0;47.0;274.0;1.3;1.5;399.0;463.0
13;100 tot 500 werknemers;1999;661.0;85.0;89.0;645.0;2.8;2.9;830.0;867.0
14;100 tot 500 werknemers;2005;;;;672.0;2.1;2.2;859.0;943.0
15;500 en meer werknemers;1986;458.0;46.0;48.0;;;;;
16;500 en meer werknemers;1990;663.0;54.0;54.0;982.0;3.2;3.2;803.0;799.0
17;500 en meer werknemers;1993;668.0;53.0;53.0;1033.0;3.1;3.1;826.0;826.0
18;500 en meer werknemers;1999;1196.0;81.0;81.0;1559.0;3.9;3.9;1062.0;1062.0
19;500 en meer werknemers;2005;;;;1619.0;3.2;3.1;1222.0;1254.0
20;D Industrie;1986;;;;;;;;
21;D Industrie;1990;300.0;35.0;43.0;483.0;1.9;2.4;563.0;699.0
22;D Industrie;1993;280.0;35.0;44.0;439.0;1.7;2.0;554.0;694.0
23;D Industrie;1999;602.0;80.0;85.0;615.0;2.2;2.4;817.0;871.0
24;D Industrie;2005;;;;650.0;2.2;2.2;976.0;1111.0
25;E Productie en distributie van en ..;1986;;;;;;;;
26;E Productie en distributie van en ..;1990;17.0;37.0;36.0;25.0;1.9;1.9;567.0;549.0
27;E Productie en distributie van en ..;1993;20.0;45.0;45.0;34.0;2.2;2.2;767.0;767.0
28;E Productie en distributie van en ..;1999;27.0;83.0;83.0;39.0;2.8;2.8;1180.0;1180.0
29;E Productie en distributie van en ..;2005;;;;40.0;3.2;3.2;1773.0;1773.0
30;45 Bouwnijverheid;1986;;;;;;;;
31;45 Bouwnijverheid;1990;61.0;19.0;32.0;38.0;0.5;0.8;118.0;195.0
32;45 Bouwnijverheid;1993;88.0;31.0;50.0;65.0;0.8;1.3;231.0;368.0
33;45 Bouwnijverheid;1999;306.0;98.0;106.0;228.0;2.2;2.4;735.0;794.0
34;45 Bouwnijverheid;2005;;;;231.0;1.9;2.1;775.0;864.0
35;5000c Autobranche, detailhandel, ..;1986;;;;;;;;
36;5000c Autobranche, detailhandel, ..;1990;199.0;27.0;41.0;145.0;1.1;1.7;195.0;299.0
37;5000c Autobranche, detailhandel, ..;1993;217.0;29.0;41.0;178.0;1.1;1.6;236.0;336.0
38;5000c Autobranche, detailhandel, ..;1999;644.0;68.0;76.0;462.0;2.2;2.5;490.0;545.0
39;5000c Autobranche, detailhandel, ..;2005;;;;447.0;1.6;1.9;417.0;500.0
