ID;Functies;Perioden;TotaalVerstrekt_1;VerstrektAanBedrijven_2;VerstrektAanGezinnen_3;VerstrektAanOverheid_4;VerstrektAanOverigeInstellingen_5;TotaleAflossing_6;AflossingBedrijven_7;AflossingGezinnen_8;AflossingOverheid_9;AflossingOverigeInstellingen_10;TotaalAandelenDeelnemingen_11;AandelenDeelnemingenInNederland_12;AandelenDeelnemingenInBuitenland_13;TotaalLiquidatieAandelenDeelnemingen_14;LiquidatieDeelnemingenInNederland_15;LiquidatieDeelnemingenInBuitenland_16;OpbrengstObligaties_17;AflossingObligaties_18;OpbrengstLanglopendeLeningen_19;AflossingLanglopendeLeningen_20
44;Sociale voorzieningen;2001;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
45;Sociale voorzieningen;2002;43;43;0;0;0;0;0;0;0;0;71;71;0;0;0;0;0;0;0;0
46;Sociale voorzieningen;2003;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
47;Sociale voorzieningen;2004;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
48;Sociale voorzieningen;2005;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
49;Volkshuisvesting en milieu;1999;18;0;0;18;0;24;0;0;24;0;0;0;0;0;0;0;0;0;0;0
50;Volkshuisvesting en milieu;2000;59;0;0;59;0;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0
51;Volkshuisvesting en milieu;2001;60;0;0;60;0;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0
52;Volkshuisvesting en milieu;2002;20;0;0;20;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
53;Volkshuisvesting en milieu;2003;31;0;0;31;0;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0
54;Volkshuisvesting en milieu;2004;20;0;0;20;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
55;Volkshuisvesting en milieu;2005;26;0;0;26;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
56;Cultuur, recreatie en erediensten;1999;3;0;0;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;29
57;Cultuur, recreatie en erediensten;2000;20;0;0;20;0;0;0;0;0;0;0;0;0;0;0;0;0;0;-22;0
58;Cultuur, recreatie en erediensten;2001;20;0;0;20;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;29
59;Cultuur, recreatie en erediensten;2002;7;0;0;7;0;0;0;0;0;0;0;0;0;0;0;0;0;0;-3;0
60;Cultuur, recreatie en erediensten;2003;11;0;0;11;0;0;0;0;0;0;0;0;0;0;0;0;0;0;6;0
61;Cultuur, recreatie en erediensten;2004;7;0;0;7;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
62;Cultuur, recreatie en erediensten;2005;9;0;0;9;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
63;Landbouw, jacht en visserij;1999;178;32;0;135;10;32;27;0;4;0;0;0;0;102;102;0;0;0;0;3
64;Landbouw, jacht en visserij;2000;134;35;0;30;69;32;27;0;5;0;0;0;0;0;0;0;0;0;0;0
65;Landbouw, jacht en visserij;2001;99;29;0;0;70;35;29;0;7;0;0;0;0;0;0;0;0;0;0;0
66;Landbouw, jacht en visserij;2002;46;23;0;0;23;35;28;0;7;0;0;0;0;0;0;0;0;0;0;0
67;Landbouw, jacht en visserij;2003;58;21;0;0;36;34;27;0;7;0;0;0;0;0;0;0;0;0;0;0
68;Landbouw, jacht en visserij;2004;40;17;0;0;23;38;27;0;11;0;0;0;0;0;0;0;0;0;0;0
69;Landbouw, jacht en visserij;2005;46;15;0;0;31;31;27;0;4;0;0;0;0;0;0;0;0;0;0;0
70;Algemene economische aangelegenheden;1999;-115;59;0;-174;0;80;73;0;0;7;0;0;0;1266;1266;0;0;0;0;23
71;Algemene economische aangelegenheden;2000;48;48;0;0;0;86;55;0;1;30;0;0;0;8;8;0;0;0;0;0
72;Algemene economische aangelegenheden;2001;29;29;0;0;0;98;98;0;0;0;836;836;0;7;7;0;0;0;0;0
73;Algemene economische aangelegenheden;2002;17;17;0;0;0;95;95;0;0;0;3;3;0;94;94;0;0;0;0;0
74;Algemene economische aangelegenheden;2003;20;20;0;0;0;553;553;0;0;0;7;7;0;2025;2025;0;16;0;0;0
75;Algemene economische aangelegenheden;2004;25;25;0;0;0;251;231;0;20;1;4;4;0;1287;1287;0;39;0;0;1
76;Algemene economische aangelegenheden;2005;0;0;0;0;0;88;88;0;0;0;2824;2824;0;3697;3697;0;38;0;0;0
77;Verkeer en vervoer;1999;0;0;0;0;0;450;450;0;0;0;139;139;0;28;28;0;0;0;0;26
78;Verkeer en vervoer;2000;66;0;0;66;0;228;227;0;1;0;73;73;0;0;0;0;0;0;0;26
79;Verkeer en vervoer;2001;554;0;0;554;0;85;85;0;0;0;1909;1909;0;906;906;0;0;0;0;26
80;Verkeer en vervoer;2002;356;0;0;356;0;0;0;0;0;0;224;224;0;155;155;0;0;0;0;26
81;Verkeer en vervoer;2003;34;0;0;34;0;64;8;0;51;5;28;28;0;1;1;0;0;0;0;26
82;Verkeer en vervoer;2004;50;0;0;50;0;7;0;0;6;1;3;3;0;0;0;0;0;0;0;26
83;Verkeer en vervoer;2005;108;0;0;108;0;1;0;0;0;1;0;0;0;0;0;0;0;0;0;72
84;Niet over andere functies te verdelen;1999;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;53815;31762;0;22409
85;Niet over andere functies te verdelen;2000;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;18295;24436;0;5922
86;Niet over andere functies te verdelen;2001;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;19854;16770;0;2716
87;Niet over andere functies te verdelen;2002;613;0;0;613;0;0;0;0;0;0;0;0;0;0;0;0;23001;25002;0;547
88;Niet over andere functies te verdelen;2003;500;0;0;500;0;32;0;0;32;0;0;0;0;0;0;0;34208;23718;0;214
89;Niet over andere functies te verdelen;2004;267;0;0;267;0;118;0;0;118;0;0;0;0;0;0;0;33540;18761;0;118
90;Niet over andere functies te verdelen;2005;272;0;0;272;0;123;0;0;123;0;0;0;0;0;0;0;32118;26952;0;54
