ID;Perioden;SaldoLopendeRekeningAlsBbp_1;NettoExternVermogenAlsBbp_2;ReeleEffectieveWisselkoers_3;ExportmarktaandeelAlsMondialeExport_4;NominaleLoonkostenPerEenheidProduct_5;ReeleHuizenprijsindex_6;KredietstroomPrivateSectorAlsBbp_7;SchuldPrivateSectorAlsBbp_8;OverheidsschuldEMUSchuldAlsBbp_9;Werkloosheid3JaarsGemiddelde_10;TotaleSchuldFinancieleSector_11
0;2006 1e kwartaal;7.6;-5.8;1.3;0.1;1.6;;16.0;206.4;51.0;4.9;14.2
1;2006 2e kwartaal;7.9;-2.3;-0.3;-0.9;0.7;;13.7;206.8;50.6;5.0;12.3
2;2006 3e kwartaal;8.1;-6.0;-1.2;-3.1;0.2;;11.7;206.1;49.6;4.9;13.6
3;2006 4e kwartaal;8.1;3.2;-2.1;-4.4;0.4;2.1;12.7;209.3;47.4;4.9;12.1
4;2006;8.1;3.2;-2.1;-4.4;0.4;2.1;12.7;209.3;47.4;4.9;12.1
5;2007 1e kwartaal;8.3;-1.9;-2.3;-3.5;0.8;2.5;15.9;212.8;47.7;4.8;12.7
6;2007 2e kwartaal;8.2;-14.7;-2.1;-3.7;0.9;2.5;14.5;211.6;48.1;4.7;13.8
7;2007 3e kwartaal;8.0;-8.7;-2.1;-3.7;1.2;2.9;14.9;210.6;46.9;4.5;12.1
8;2007 4e kwartaal;7.8;-6.0;-2.1;-2.7;1.8;3.0;9.9;207.8;45.3;4.4;16.3
9;2007;7.8;-6.0;-2.1;-2.7;1.8;3.0;9.9;207.8;45.3;4.4;16.3
10;2008 1e kwartaal;7.7;-3.0;-1.7;-4.7;2.3;2.9;8.1;208.8;46.3;4.2;12.8
11;2008 2e kwartaal;7.4;-0.2;-1.2;-6.6;3.2;2.7;7.6;207.2;46.3;4.0;11.7
12;2008 3e kwartaal;7.2;2.4;-0.7;-7.7;4.0;2.0;8.2;207.6;46.8;3.8;8.7
13;2008 4e kwartaal;6.8;4.2;0.0;-9.4;5.4;0.9;7.5;207.5;58.5;3.7;-0.6
14;2008;6.8;4.2;-0.1;-9.4;5.4;0.9;7.5;207.5;58.5;3.7;-0.6
15;2009 1e kwartaal;6.2;1.9;1.2;-8.6;7.3;-0.1;6.1;210.3;61.4;3.5;-1.0
16;2009 2e kwartaal;5.8;9.4;1.8;-7.3;9.4;-1.4;6.6;214.5;60.7;3.5;-1.5
17;2009 3e kwartaal;5.5;11.4;2.2;-6.1;10.5;-2.9;4.5;217.4;61.3;3.4;0.9
18;2009 4e kwartaal;5.4;16.7;2.6;-6.3;10.2;-3.9;6.4;221.2;60.8;3.5;6.1
19;2009;5.4;16.7;2.7;-6.3;10.2;-3.9;6.4;221.2;60.8;3.5;6.1
20;2010 1e kwartaal;5.3;19.2;1.9;-7.0;9.4;-4.6;4.4;222.2;61.6;3.5;9.1
21;2010 2e kwartaal;5.3;15.2;0.5;-8.8;8.7;-4.4;4.7;223.1;63.4;3.6;10.0
22;2010 3e kwartaal;5.5;22.9;-0.5;-9.5;8.4;-3.5;6.0;222.5;63.2;3.7;9.8
23;2010 4e kwartaal;5.6;24.5;-1.6;-8.5;7.8;-2.9;4.9;221.2;63.4;3.8;7.1
24;2010;5.6;24.5;-1.6;-8.5;7.8;-2.9;4.9;221.2;63.4;3.8;7.1
25;2011 1e kwartaal;5.8;25.1;-2.4;-8.3;7.3;-2.4;5.1;218.6;63.4;3.8;4.8
26;2011 2e kwartaal;6.1;26.5;-2.5;-7.3;6.7;-2.8;5.2;219.3;64.4;3.9;3.4
27;2011 3e kwartaal;6.5;33.6;-2.4;-7.0;6.3;-3.4;3.1;218.4;65.0;4.1;5.8
28;2011 4e kwartaal;7.2;34.1;-2.5;-8.3;5.8;-4.2;3.2;219.3;65.7;4.2;8.5
29;2011;7.2;34.1;-2.5;-8.3;5.8;-4.2;3.2;219.3;65.7;4.2;8.5
30;2012 1e kwartaal;7.8;39.2;-3.2;-9.3;4.9;-5.5;2.9;219.1;66.7;4.4;10.3
31;2012 2e kwartaal;8.0;41.2;-4.2;-10.2;3.4;-6.3;2.5;221.1;68.4;4.5;9.9
32;2012 3e kwartaal;8.3;44.8;-5.3;-11.6;3.2;-7.8;1.9;220.3;69.6;4.6;6.8
33;2012 4e kwartaal;8.7;45.8;-6.0;-12.0;3.3;-8.7;0.2;219.3;71.3;4.7;4.9
34;2012;8.7;45.8;-6.0;-12.0;3.3;-8.7;0.2;219.3;71.3;4.7;4.9
35;2013 1e kwartaal;9.1;51.8;-5.0;-11.8;4.2;-9.4;1.0;220.0;72.0;4.9;1.8
36;2013 2e kwartaal;9.4;50.0;-3.2;-11.3;5.4;-10.1;-0.8;219.6;73.9;5.0;-0.2
37;2013 3e kwartaal;9.6;49.8;-1.2;-9.9;6.0;-8.8;-0.8;218.6;73.6;5.3;-2.7
38;2013 4e kwartaal;9.7;53.0;;-9.3;6.0;-7.8;1.7;218.6;73.5;5.5;-4.8
39;2013;9.7;53.0;;-9.3;6.0;-7.8;1.7;218.6;73.5;5.5;-4.8
