ID;Perioden;TotaleBevolking_1;AlleenDeNederlandseNationaliteit_2;NederlandseEnEenNietNederlandse_3;NederlandseEnTweeNietNederlandse_4;NederlandseEnDrieNietNederlandse_5;EenNietNederlandseNationaliteit_6;TweeNietNederlandseNationaliteiten_7;DrieNietNederlandseNationaliteiten_8;Staatloos_9
0;1995;15424122;14264786;393460;8628;110;741917;6995;149;8077
1;1996;15493889;14296201;463142;9002;123;712190;6990;141;6100
2;1997;15567107;14334788;542877;9444;129;668153;6797;134;4785
3;1998;15654192;14368190;598013;9770;142;666967;6738;130;4242
4;1999;15760225;14422037;665324;10345;147;649304;6831;132;6105
5;2000;15863950;14476743;724695;10833;147;637685;6962;130;6755
6;2001;15987075;14528763;778966;11395;149;652864;7219;128;7591
7;2002;16105285;14573889;829113;11737;153;675442;7339;125;7487
8;2003;16192572;14599134;880933;12390;161;683832;7640;136;8346
9;2004;16258032;14617398;925241;13045;163;685940;7953;141;8151
10;2005;16305526;14629038;963409;13565;163;684420;8450;144;6337
11;2006;16334210;14629364;999334;13995;160;677844;9063;149;4301
12;2007;16357992;14628729;1032794;14371;166;667948;9707;140;4137
13;2008;16405399;14633168;1068758;14930;168;673405;10404;143;4423
14;2009;16485787;14644648;1105724;15750;171;703136;11354;141;4863
15;2010;16574989;14684405;1137100;18106;181;719597;13335;168;2097
16;2011;16655799;14700341;1175820;19082;188;743713;14371;177;2107
17;2012;16730348;14709624;1214316;20168;192;767865;15971;179;2033
18;2013;16779575;14710174;1251519;21439;208;775925;18099;208;2003
19;2014;16829289;14706984;1283076;22976;222;795685;18156;212;1978
