ID;Financieringsvorm;Wijken;Perioden;Gemeentenaam_1;SoortRegio_2;Codering_3;IndelingswijzigingWijken_4;WmoClienten_5;WmoClientenPer1000Inwoners_6
47;Totaal;Wijk 15 Gasselternijveen;2017;Aa en Hunze                             ;Wijk     ;WK168015;1.0;105.0;56.0
48;Totaal;Wijk 16 Gasselternijveenschemond;1e halfjaar 2017;Aa en Hunze                             ;Wijk     ;WK168016;1.0;20.0;30.0
49;Totaal;Wijk 16 Gasselternijveenschemond;2e halfjaar 2017;Aa en Hunze                             ;Wijk     ;WK168016;1.0;20.0;30.0
50;Totaal;Wijk 16 Gasselternijveenschemond;2017;Aa en Hunze                             ;Wijk     ;WK168016;1.0;20.0;30.0
51;Totaal;Wijk 17 Gieten;1e halfjaar 2017;Aa en Hunze                             ;Wijk     ;WK168017;1.0;235.0;46.0
52;Totaal;Wijk 17 Gieten;2e halfjaar 2017;Aa en Hunze                             ;Wijk     ;WK168017;1.0;255.0;50.0
53;Totaal;Wijk 17 Gieten;2017;Aa en Hunze                             ;Wijk     ;WK168017;1.0;280.0;55.0
54;Totaal;Wijk 18 Gieterveen;1e halfjaar 2017;Aa en Hunze                             ;Wijk     ;WK168018;1.0;30.0;25.0
55;Totaal;Wijk 18 Gieterveen;2e halfjaar 2017;Aa en Hunze                             ;Wijk     ;WK168018;1.0;35.0;29.0
56;Totaal;Wijk 18 Gieterveen;2017;Aa en Hunze                             ;Wijk     ;WK168018;1.0;35.0;29.0
57;Totaal;Wijk 19 Rolde;1e halfjaar 2017;Aa en Hunze                             ;Wijk     ;WK168019;1.0;250.0;54.0
58;Totaal;Wijk 19 Rolde;2e halfjaar 2017;Aa en Hunze                             ;Wijk     ;WK168019;1.0;270.0;58.0
59;Totaal;Wijk 19 Rolde;2017;Aa en Hunze                             ;Wijk     ;WK168019;1.0;290.0;63.0
60;Totaal;Wijk 20 Grolloo;1e halfjaar 2017;Aa en Hunze                             ;Wijk     ;WK168020;1.0;45.0;38.0
61;Totaal;Wijk 20 Grolloo;2e halfjaar 2017;Aa en Hunze                             ;Wijk     ;WK168020;1.0;40.0;34.0
62;Totaal;Wijk 20 Grolloo;2017;Aa en Hunze                             ;Wijk     ;WK168020;1.0;40.0;34.0
63;Totaal;Wijk 21 Ekehaar;1e halfjaar 2017;Aa en Hunze                             ;Wijk     ;WK168021;1.0;15.0;30.0
64;Totaal;Wijk 21 Ekehaar;2e halfjaar 2017;Aa en Hunze                             ;Wijk     ;WK168021;1.0;15.0;30.0
65;Totaal;Wijk 21 Ekehaar;2017;Aa en Hunze                             ;Wijk     ;WK168021;1.0;15.0;30.0
66;Totaal;Aalburg;1e halfjaar 2017;Aalburg                                 ;Gemeente ;GM0738  ;;660.0;51.0
67;Totaal;Aalburg;2e halfjaar 2017;Aalburg                                 ;Gemeente ;GM0738  ;;675.0;52.0
68;Totaal;Aalburg;2017;Aalburg                                 ;Gemeente ;GM0738  ;;725.0;55.0
69;Totaal;Wijk 00 Wijk en Aalburg;1e halfjaar 2017;Aalburg                                 ;Wijk     ;WK073800;1.0;385.0;62.0
70;Totaal;Wijk 00 Wijk en Aalburg;2e halfjaar 2017;Aalburg                                 ;Wijk     ;WK073800;1.0;390.0;62.0
71;Totaal;Wijk 00 Wijk en Aalburg;2017;Aalburg                                 ;Wijk     ;WK073800;1.0;415.0;66.0
72;Totaal;Wijk 01 Veen;1e halfjaar 2017;Aalburg                                 ;Wijk     ;WK073801;1.0;100.0;37.0
73;Totaal;Wijk 01 Veen;2e halfjaar 2017;Aalburg                                 ;Wijk     ;WK073801;1.0;105.0;38.0
74;Totaal;Wijk 01 Veen;2017;Aalburg                                 ;Wijk     ;WK073801;1.0;110.0;40.0
75;Totaal;Wijk 02 Genderen;1e halfjaar 2017;Aalburg                                 ;Wijk     ;WK073802;1.0;75.0;44.0
76;Totaal;Wijk 02 Genderen;2e halfjaar 2017;Aalburg                                 ;Wijk     ;WK073802;1.0;75.0;44.0
77;Totaal;Wijk 02 Genderen;2017;Aalburg                                 ;Wijk     ;WK073802;1.0;80.0;47.0
78;Totaal;Wijk 03 Eethen;1e halfjaar 2017;Aalburg                                 ;Wijk     ;WK073803;1.0;25.0;31.0
79;Totaal;Wijk 03 Eethen;2e halfjaar 2017;Aalburg                                 ;Wijk     ;WK073803;1.0;30.0;37.0
80;Totaal;Wijk 03 Eethen;2017;Aalburg                                 ;Wijk     ;WK073803;1.0;30.0;37.0
81;Totaal;Wijk 04 Meeuwen;1e halfjaar 2017;Aalburg                                 ;Wijk     ;WK073804;1.0;25.0;34.0
82;Totaal;Wijk 04 Meeuwen;2e halfjaar 2017;Aalburg                                 ;Wijk     ;WK073804;1.0;30.0;41.0
83;Totaal;Wijk 04 Meeuwen;2017;Aalburg                                 ;Wijk     ;WK073804;1.0;30.0;41.0
84;Totaal;Wijk 05 Drongelen;1e halfjaar 2017;Aalburg                                 ;Wijk     ;WK073805;1.0;20.0;51.0
85;Totaal;Wijk 05 Drongelen;2e halfjaar 2017;Aalburg                                 ;Wijk     ;WK073805;1.0;20.0;51.0
86;Totaal;Wijk 05 Drongelen;2017;Aalburg                                 ;Wijk     ;WK073805;1.0;20.0;51.0
87;Totaal;Wijk 06 Babyloniënbroek;1e halfjaar 2017;Aalburg                                 ;Wijk     ;WK073806;1.0;10.0;24.0
88;Totaal;Wijk 06 Babyloniënbroek;2e halfjaar 2017;Aalburg                                 ;Wijk     ;WK073806;1.0;10.0;24.0
89;Totaal;Wijk 06 Babyloniënbroek;2017;Aalburg                                 ;Wijk     ;WK073806;1.0;10.0;24.0
90;Totaal;Aalsmeer;1e halfjaar 2017;Aalsmeer                                ;Gemeente ;GM0358  ;;1830.0;58.0
91;Totaal;Aalsmeer;2e halfjaar 2017;Aalsmeer                                ;Gemeente ;GM0358  ;;1815.0;58.0
92;Totaal;Aalsmeer;2017;Aalsmeer                                ;Gemeente ;GM0358  ;;1960.0;62.0
93;Totaal;Wijk 00 Aalsmeer;1e halfjaar 2017;Aalsmeer                                ;Wijk     ;WK035800;1.0;1075.0;88.0
94;Totaal;Wijk 00 Aalsmeer;2e halfjaar 2017;Aalsmeer                                ;Wijk     ;WK035800;1.0;1055.0;86.0
95;Totaal;Wijk 00 Aalsmeer;2017;Aalsmeer                                ;Wijk     ;WK035800;1.0;1140.0;93.0
96;Totaal;Wijk 01 Kudelstraat en Kalslagen;1e halfjaar 2017;Aalsmeer                                ;Wijk     ;WK035801;1.0;395.0;43.0
97;Totaal;Wijk 01 Kudelstraat en Kalslagen;2e halfjaar 2017;Aalsmeer                                ;Wijk     ;WK035801;1.0;385.0;42.0
98;Totaal;Wijk 01 Kudelstraat en Kalslagen;2017;Aalsmeer                                ;Wijk     ;WK035801;1.0;415.0;45.0
99;Totaal;Wijk 02 Oosteinde;1e halfjaar 2017;Aalsmeer                                ;Wijk     ;WK035802;1.0;330.0;33.0
100;Totaal;Wijk 02 Oosteinde;2e halfjaar 2017;Aalsmeer                                ;Wijk     ;WK035802;1.0;325.0;33.0
101;Totaal;Wijk 02 Oosteinde;2017;Aalsmeer                                ;Wijk     ;WK035802;1.0;350.0;35.0
102;Totaal;Aalten;1e halfjaar 2017;Aalten                                  ;Gemeente ;GM0197  ;;1465.0;54.0
103;Totaal;Aalten;2e halfjaar 2017;Aalten                                  ;Gemeente ;GM0197  ;;1460.0;54.0
104;Totaal;Aalten;2017;Aalten                                  ;Gemeente ;GM0197  ;;1585.0;59.0
105;Totaal;Wijk 01 Buitengebied Aalten;1e halfjaar 2017;Aalten                                  ;Wijk     ;WK019701;1.0;110.0;27.0
106;Totaal;Wijk 01 Buitengebied Aalten;2e halfjaar 2017;Aalten                                  ;Wijk     ;WK019701;1.0;115.0;28.0
107;Totaal;Wijk 01 Buitengebied Aalten;2017;Aalten                                  ;Wijk     ;WK019701;1.0;120.0;29.0
108;Totaal;Wijk 02 Bredevoort;1e halfjaar 2017;Aalten                                  ;Wijk     ;WK019702;1.0;80.0;42.0
109;Totaal;Wijk 02 Bredevoort;2e halfjaar 2017;Aalten                                  ;Wijk     ;WK019702;1.0;75.0;39.0
110;Totaal;Wijk 02 Bredevoort;2017;Aalten                                  ;Wijk     ;WK019702;1.0;85.0;44.0
111;Totaal;Wijk 03 Aalten Kern;1e halfjaar 2017;Aalten                                  ;Wijk     ;WK019703;1.0;765.0;60.0
112;Totaal;Wijk 03 Aalten Kern;2e halfjaar 2017;Aalten                                  ;Wijk     ;WK019703;1.0;755.0;59.0
113;Totaal;Wijk 03 Aalten Kern;2017;Aalten                                  ;Wijk     ;WK019703;1.0;815.0;64.0
114;Totaal;Wijk 04 Dinxperlo;1e halfjaar 2017;Aalten                                  ;Wijk     ;WK019704;1.0;475.0;58.0
115;Totaal;Wijk 04 Dinxperlo;2e halfjaar 2017;Aalten                                  ;Wijk     ;WK019704;1.0;465.0;57.0
116;Totaal;Wijk 04 Dinxperlo;2017;Aalten                                  ;Wijk     ;WK019704;1.0;500.0;61.0
117;Totaal;Achtkarspelen;1e halfjaar 2017;Achtkarspelen                           ;Gemeente ;GM0059  ;;1505.0;54.0
118;Totaal;Achtkarspelen;2e halfjaar 2017;Achtkarspelen                           ;Gemeente ;GM0059  ;;1555.0;56.0
119;Totaal;Achtkarspelen;2017;Achtkarspelen                           ;Gemeente ;GM0059  ;;1680.0;60.0
120;Totaal;Wijk 00 Noord;1e halfjaar 2017;Achtkarspelen                           ;Wijk     ;WK005900;1.0;615.0;51.0
121;Totaal;Wijk 00 Noord;2e halfjaar 2017;Achtkarspelen                           ;Wijk     ;WK005900;1.0;630.0;53.0
122;Totaal;Wijk 00 Noord;2017;Achtkarspelen                           ;Wijk     ;WK005900;1.0;670.0;56.0
123;Totaal;Wijk 01 Centrum;1e halfjaar 2017;Achtkarspelen                           ;Wijk     ;WK005901;1.0;135.0;41.0
124;Totaal;Wijk 01 Centrum;2e halfjaar 2017;Achtkarspelen                           ;Wijk     ;WK005901;1.0;135.0;41.0
