ID;NederlandseEconomie;Perioden;RamingCO2EmissieMlnKg_1;RamingCO2EmissieJaarmutatie_2;RamingCO2EmissieWeersgecorrigeerd_3
0;CO2 emissie totaal, Nederlandse economie;2015 1e kwartaal;;8.1;3.8
1;CO2 emissie totaal, Nederlandse economie;2015 2e kwartaal;;4.1;2.7
2;CO2 emissie totaal, Nederlandse economie;2015 3e kwartaal;;6.8;6.4
3;CO2 emissie totaal, Nederlandse economie;2015 4e kwartaal;;0.4;2.4
4;CO2 emissie totaal, Nederlandse economie;2016 1e kwartaal;;-1.3;-0.8
5;CO2 emissie totaal, Nederlandse economie;2016 2e kwartaal;;-0.3;0.3
6;CO2 emissie totaal, Nederlandse economie;2016 3e kwartaal;;-2.3;-1.0
7;CO2 emissie totaal, Nederlandse economie;2016 4e kwartaal;;7.3;2.7
8;CO2 emissie totaal, Nederlandse economie;2017 1e kwartaal;;1.9;2.3
9;CO2 emissie totaal, Nederlandse economie;2017 2e kwartaal;;-0.9;-0.4
10;CO2 emissie totaal, Nederlandse economie;2017 3e kwartaal;;0.2;-1.2
11;CO2 emissie totaal, Nederlandse economie;2017 4e kwartaal;;-2.2;-0.2
12;CO2 emissie totaal, Nederlandse economie;2018 1e kwartaal;;2.5;1.1
13;CO2 emissie totaal, Nederlandse economie;2018 2e kwartaal;;-3.8;-0.8
14;CO2 emissie totaal, Nederlandse economie;2018 3e kwartaal;;0.1;0.8
15;CO2 emissie totaal, Nederlandse economie;2018 4e kwartaal;;0.5;0.4
16;CO2 emissie totaal, Nederlandse economie;2019 1e kwartaal;;-0.8;1.6
17;CO2 emissie totaal, Nederlandse economie;2019 2e kwartaal;;2.9;-1.3
18;CO2 emissie totaal, Nederlandse economie;2019 3e kwartaal;;-4.4;-4.9
19;CO2 emissie totaal, Nederlandse economie;2019 4e kwartaal;;1.8;1.2
20;CO2 emissie totaal, Nederlandse economie;2020 1e kwartaal;;-8.7;-7.5
21;CO2 emissie totaal, Nederlandse economie;2020 2e kwartaal;;-21.1;-20.5
22;CO2 emissie totaal, Nederlandse economie;2020 3e kwartaal;;-4.5;-5.7
23;CO2 emissie totaal, Nederlandse economie;2020 4e kwartaal;;-9.7;-9.0
24;CO2 emissie totaal, Nederlandse economie;2021 1e kwartaal;48229.0;-0.6;-3.8
25;CO2 emissie totaal, Nederlandse economie;2021 2e kwartaal;40907.0;14.1;9.2
26;CO2 emissie totaal, Nederlandse economie;2021 3e kwartaal;38857.0;-0.6;0.5
27;CO2 emissie totaal, Nederlandse economie;2021 4e kwartaal;48422.0;2.8;3.2
28;CO2 emissie totaal, Nederlandse economie;2021;177942.0;3.1;1.6
29;CO2 emissie totaal, Nederlandse economie;2022 1e kwartaal;44517.0;-10.9;-7.5
30;CO2 emissie totaal, Nederlandse economie;2022 2e kwartaal;36988.0;-7.5;-4.2
31;CO2 emissie totaal, Nederlandse economie;2022 3e kwartaal;35448.0;-3.5;-4.3
32;CO2 emissie totaal, Nederlandse economie;2022 4e kwartaal;42167.0;-10.5;-9.8
33;CO2 emissie totaal, Nederlandse economie;2022;159121.0;-8.4;-6.6
34;CO2 emissie totaal, Nederlandse economie;2023 1e kwartaal;41928.0;-3.3;-5.3
35;CO2 emissie totaal, Nederlandse economie;2023 2e kwartaal;34449.0;-3.2;-1.0
36;CO2 emissie totaal, Nederlandse economie;2023 3e kwartaal;33773.0;-10.5;-8.5
37;CO2 emissie totaal, Nederlandse economie;2023 4e kwartaal;42478.0;-4.4;-2.6
38;CO2 emissie totaal, Nederlandse economie;2023;159455.0;-5.5;-4.7
39;CO2 emissie totaal, Nederlandse economie;2024 1e kwartaal;43722.0;-4.1;-2.7
40;CO2 emissie totaal, Nederlandse economie;2024 2e kwartaal;35231.0;-6.6;-4.9
41;CO2 emissie totaal, Nederlandse economie;2024 3e kwartaal;32660.0;-2.9;-4.2
42;CO2 emissie totaal, Nederlandse economie;2024 4e kwartaal;43354.0;3.4;1.3
43;CO2 emissie totaal, Nederlandse economie;2024;154001.0;-1.5;-1.6
44;CO2 emissies huishoudens;2015 1e kwartaal;;9.8;
45;CO2 emissies huishoudens;2015 2e kwartaal;;6.4;
46;CO2 emissies huishoudens;2015 3e kwartaal;;2.0;
47;CO2 emissies huishoudens;2015 4e kwartaal;;-4.2;
48;CO2 emissies huishoudens;2016 1e kwartaal;;-0.8;
49;CO2 emissies huishoudens;2016 2e kwartaal;;-0.2;
50;CO2 emissies huishoudens;2016 3e kwartaal;;-0.4;
51;CO2 emissies huishoudens;2016 4e kwartaal;;13.7;
52;CO2 emissies huishoudens;2017 1e kwartaal;;-1.1;
53;CO2 emissies huishoudens;2017 2e kwartaal;;0.0;
54;CO2 emissies huishoudens;2017 3e kwartaal;;5.3;
55;CO2 emissies huishoudens;2017 4e kwartaal;;-3.2;
56;CO2 emissies huishoudens;2018 1e kwartaal;;5.2;
57;CO2 emissies huishoudens;2018 2e kwartaal;;-6.3;
58;CO2 emissies huishoudens;2018 3e kwartaal;;-1.3;
59;CO2 emissies huishoudens;2018 4e kwartaal;;1.8;
60;CO2 emissies huishoudens;2019 1e kwartaal;;-3.0;
61;CO2 emissies huishoudens;2019 2e kwartaal;;12.7;
62;CO2 emissies huishoudens;2019 3e kwartaal;;2.9;
63;CO2 emissies huishoudens;2019 4e kwartaal;;1.0;
64;CO2 emissies huishoudens;2020 1e kwartaal;;-5.9;
65;CO2 emissies huishoudens;2020 2e kwartaal;;-17.1;
66;CO2 emissies huishoudens;2020 3e kwartaal;;-1.3;
67;CO2 emissies huishoudens;2020 4e kwartaal;;-9.0;
68;CO2 emissies huishoudens;2021 1e kwartaal;11296.0;3.0;
69;CO2 emissies huishoudens;2021 2e kwartaal;7718.0;25.4;
70;CO2 emissies huishoudens;2021 3e kwartaal;4870.0;-1.1;
71;CO2 emissies huishoudens;2021 4e kwartaal;9282.0;4.8;
72;CO2 emissies huishoudens;2021;31827.0;6.8;
73;CO2 emissies huishoudens;2022 1e kwartaal;9660.0;-13.6;
74;CO2 emissies huishoudens;2022 2e kwartaal;5409.0;-15.3;
75;CO2 emissies huishoudens;2022 3e kwartaal;4155.0;-1.9;
76;CO2 emissies huishoudens;2022 4e kwartaal;8227.0;-10.8;
77;CO2 emissies huishoudens;2022;27451.0;-11.5;
78;CO2 emissies huishoudens;2023 1e kwartaal;9440.0;-4.9;
79;CO2 emissies huishoudens;2023 2e kwartaal;5640.0;2.5;
80;CO2 emissies huishoudens;2023 3e kwartaal;4170.0;-6.6;
81;CO2 emissies huishoudens;2023 4e kwartaal;8726.0;-3.9;
82;CO2 emissies huishoudens;2023;29771.0;-2.9;
83;CO2 emissies huishoudens;2024 1e kwartaal;9813.0;-5.2;
84;CO2 emissies huishoudens;2024 2e kwartaal;5628.0;-10.0;
85;CO2 emissies huishoudens;2024 3e kwartaal;4466.0;4.6;
86;CO2 emissies huishoudens;2024 4e kwartaal;8523.0;1.6;
87;CO2 emissies huishoudens;2024;27987.0;-2.2;
88;CO2 emissies energie- , waterbedrijven;2015 1e kwartaal;;16.5;
89;CO2 emissies energie- , waterbedrijven;2015 2e kwartaal;;10.2;
90;CO2 emissies energie- , waterbedrijven;2015 3e kwartaal;;17.3;
91;CO2 emissies energie- , waterbedrijven;2015 4e kwartaal;;4.3;
92;CO2 emissies energie- , waterbedrijven;2016 1e kwartaal;;-3.2;
93;CO2 emissies energie- , waterbedrijven;2016 2e kwartaal;;-2.9;
94;CO2 emissies energie- , waterbedrijven;2016 3e kwartaal;;-6.0;
95;CO2 emissies energie- , waterbedrijven;2016 4e kwartaal;;5.5;
96;CO2 emissies energie- , waterbedrijven;2017 1e kwartaal;;4.3;
97;CO2 emissies energie- , waterbedrijven;2017 2e kwartaal;;-4.8;
98;CO2 emissies energie- , waterbedrijven;2017 3e kwartaal;;-8.3;
99;CO2 emissies energie- , waterbedrijven;2017 4e kwartaal;;-8.2;
100;CO2 emissies energie- , waterbedrijven;2018 1e kwartaal;;-3.8;
101;CO2 emissies energie- , waterbedrijven;2018 2e kwartaal;;-6.9;
102;CO2 emissies energie- , waterbedrijven;2018 3e kwartaal;;0.7;
103;CO2 emissies energie- , waterbedrijven;2018 4e kwartaal;;-1.7;
104;CO2 emissies energie- , waterbedrijven;2019 1e kwartaal;;0.7;
105;CO2 emissies energie- , waterbedrijven;2019 2e kwartaal;;-3.8;
106;CO2 emissies energie- , waterbedrijven;2019 3e kwartaal;;-12.7;
107;CO2 emissies energie- , waterbedrijven;2019 4e kwartaal;;3.2;
108;CO2 emissies energie- , waterbedrijven;2020 1e kwartaal;;-20.1;
109;CO2 emissies energie- , waterbedrijven;2020 2e kwartaal;;-24.8;
110;CO2 emissies energie- , waterbedrijven;2020 3e kwartaal;;8.6;
111;CO2 emissies energie- , waterbedrijven;2020 4e kwartaal;;-12.1;
112;CO2 emissies energie- , waterbedrijven;2021 1e kwartaal;4670.0;6.7;
113;CO2 emissies energie- , waterbedrijven;2021 2e kwartaal;9914.0;-0.6;
114;CO2 emissies energie- , waterbedrijven;2021 3e kwartaal;11756.0;-8.3;
115;CO2 emissies energie- , waterbedrijven;2021 4e kwartaal;14351.0;10.7;
116;CO2 emissies energie- , waterbedrijven;2021;49353.0;3.0;
117;CO2 emissies energie- , waterbedrijven;2022 1e kwartaal;11234.0;-12.8;
118;CO2 emissies energie- , waterbedrijven;2022 2e kwartaal;10242.0;-0.5;
119;CO2 emissies energie- , waterbedrijven;2022 3e kwartaal;11932.0;9.5;
120;CO2 emissies energie- , waterbedrijven;2022 4e kwartaal;12170.0;-12.0;
121;CO2 emissies energie- , waterbedrijven;2022;45578.0;-4.8;
122;CO2 emissies energie- , waterbedrijven;2023 1e kwartaal;10081.0;-3.0;
123;CO2 emissies energie- , waterbedrijven;2023 2e kwartaal;7835.0;-13.7;
124;CO2 emissies energie- , waterbedrijven;2023 3e kwartaal;8968.0;-27.8;
125;CO2 emissies energie- , waterbedrijven;2023 4e kwartaal;10337.0;-14.9;
126;CO2 emissies energie- , waterbedrijven;2023;39647.0;-15.3;
127;CO2 emissies energie- , waterbedrijven;2024 1e kwartaal;9990.0;-12.1;
128;CO2 emissies energie- , waterbedrijven;2024 2e kwartaal;6905.0;-23.0;
129;CO2 emissies energie- , waterbedrijven;2024 3e kwartaal;7473.0;-12.8;
130;CO2 emissies energie- , waterbedrijven;2024 4e kwartaal;12015.0;22.0;
131;CO2 emissies energie- , waterbedrijven;2024;37032.0;-2.5;
132;CO2 emissies transportbedrijven;2015 1e kwartaal;;0.3;
133;CO2 emissies transportbedrijven;2015 2e kwartaal;;1.0;
134;CO2 emissies transportbedrijven;2015 3e kwartaal;;4.3;
135;CO2 emissies transportbedrijven;2015 4e kwartaal;;1.7;
136;CO2 emissies transportbedrijven;2016 1e kwartaal;;2.3;
137;CO2 emissies transportbedrijven;2016 2e kwartaal;;1.9;
138;CO2 emissies transportbedrijven;2016 3e kwartaal;;4.6;
139;CO2 emissies transportbedrijven;2016 4e kwartaal;;5.3;
140;CO2 emissies transportbedrijven;2017 1e kwartaal;;4.8;
141;CO2 emissies transportbedrijven;2017 2e kwartaal;;4.7;
142;CO2 emissies transportbedrijven;2017 3e kwartaal;;2.9;
143;CO2 emissies transportbedrijven;2017 4e kwartaal;;3.5;
144;CO2 emissies transportbedrijven;2018 1e kwartaal;;5.1;
145;CO2 emissies transportbedrijven;2018 2e kwartaal;;1.2;
146;CO2 emissies transportbedrijven;2018 3e kwartaal;;1.0;
147;CO2 emissies transportbedrijven;2018 4e kwartaal;;2.8;
148;CO2 emissies transportbedrijven;2019 1e kwartaal;;0.8;
149;CO2 emissies transportbedrijven;2019 2e kwartaal;;1.5;
150;CO2 emissies transportbedrijven;2019 3e kwartaal;;1.7;
151;CO2 emissies transportbedrijven;2019 4e kwartaal;;-0.9;
152;CO2 emissies transportbedrijven;2020 1e kwartaal;;-6.9;
153;CO2 emissies transportbedrijven;2020 2e kwartaal;;-48.3;
154;CO2 emissies transportbedrijven;2020 3e kwartaal;;-40.6;
155;CO2 emissies transportbedrijven;2020 4e kwartaal;;-24.7;
156;CO2 emissies transportbedrijven;2021 1e kwartaal;101.0;-25.8;
157;CO2 emissies transportbedrijven;2021 2e kwartaal;4269.0;23.5;
158;CO2 emissies transportbedrijven;2021 3e kwartaal;6478.0;28.1;
159;CO2 emissies transportbedrijven;2021 4e kwartaal;6601.0;25.6;
160;CO2 emissies transportbedrijven;2021;22964.0;7.3;
