ID;Interval;Leeftijd;Perioden;TotaalMannenEnVrouwen_1;Mannen_2;Vrouwen_3
32;1;Totaal over alle leeftijden;2035;17701403;8761425;8939978
33;1;Totaal over alle leeftijden;2036;17710150;8763793;8946357
34;1;Totaal over alle leeftijden;2037;17715565;8764668;8950897
35;1;Totaal over alle leeftijden;2038;17717934;8764203;8953731
36;1;Totaal over alle leeftijden;2039;17717495;8762495;8955000
37;1;Totaal over alle leeftijden;2040;17714591;8759731;8954860
38;1;Totaal over alle leeftijden;2041;17709488;8756035;8953453
39;1;Totaal over alle leeftijden;2042;17702503;8751557;8950946
40;1;Totaal over alle leeftijden;2043;17693956;8746482;8947474
41;1;Totaal over alle leeftijden;2044;17684149;8740931;8943218
42;1;Totaal over alle leeftijden;2045;17673359;8735065;8938294
43;1;Totaal over alle leeftijden;2046;17661924;8729036;8932888
44;1;Totaal over alle leeftijden;2047;17650106;8722980;8927126
45;1;Totaal over alle leeftijden;2048;17638236;8717035;8921201
46;1;Totaal over alle leeftijden;2049;17626529;8711318;8915211
47;1;Totaal over alle leeftijden;2050;17615232;8705950;8909282
48;1;0-4 jaar;2003;1022279;523217;499062
49;1;0-4 jaar;2004;1021011;522655;498356
50;1;0-4 jaar;2005;1014322;519139;495183
51;1;0-4 jaar;2006;999304;511740;487564
52;1;0-4 jaar;2007;985379;504604;480775
53;1;0-4 jaar;2008;971063;497266;473797
54;1;0-4 jaar;2009;956016;489562;466454
55;1;0-4 jaar;2010;942584;482700;459884
56;1;0-4 jaar;2011;931400;476994;454406
57;1;0-4 jaar;2012;922787;472606;450181
58;1;0-4 jaar;2013;916899;469612;447287
59;1;0-4 jaar;2014;913599;467938;445661
60;1;0-4 jaar;2015;912730;467504;445226
61;1;0-4 jaar;2016;913928;468125;445803
62;1;0-4 jaar;2017;916814;469608;447206
63;1;0-4 jaar;2018;921067;471791;449276
64;1;0-4 jaar;2019;926309;474480;451829
65;1;0-4 jaar;2020;932348;477579;454769
66;1;0-4 jaar;2021;938728;480851;457877
67;1;0-4 jaar;2022;945232;484189;461043
68;1;0-4 jaar;2023;951583;487448;464135
69;1;0-4 jaar;2024;957516;490493;467023
70;1;0-4 jaar;2025;962879;493244;469635
71;1;0-4 jaar;2026;967704;495720;471984
72;1;0-4 jaar;2027;971880;497865;474015
73;1;0-4 jaar;2028;975439;499691;475748
74;1;0-4 jaar;2029;978358;501192;477166
75;1;0-4 jaar;2030;980666;502379;478287
76;1;0-4 jaar;2031;982286;503214;479072
77;1;0-4 jaar;2032;983234;503703;479531
78;1;0-4 jaar;2033;983414;503799;479615
79;1;0-4 jaar;2034;982786;503480;479306
80;1;0-4 jaar;2035;981248;502697;478551
81;1;0-4 jaar;2036;978911;501503;477408
82;1;0-4 jaar;2037;975749;499888;475861
83;1;0-4 jaar;2038;971961;497952;474009
84;1;0-4 jaar;2039;967727;495788;471939
85;1;0-4 jaar;2040;963293;493518;469775
86;1;0-4 jaar;2041;958855;491248;467607
87;1;0-4 jaar;2042;954699;489123;465576
88;1;0-4 jaar;2043;951008;487237;463771
89;1;0-4 jaar;2044;947994;485695;462299
90;1;0-4 jaar;2045;945730;484538;461192
91;1;0-4 jaar;2046;944356;483836;460520
92;1;0-4 jaar;2047;943836;483575;460261
93;1;0-4 jaar;2048;944154;483742;460412
94;1;0-4 jaar;2049;945220;484292;460928
95;1;0-4 jaar;2050;946965;485188;461777
96;1;5-9 jaar;2003;986754;504636;482118
97;1;5-9 jaar;2004;991814;507301;484513
98;1;5-9 jaar;2005;997479;510325;487154
99;1;5-9 jaar;2006;1012792;517985;494807
