ID;WijkenEnBuurten;Perioden;Gemeentenaam_1;SoortRegio_2;Codering_3;IndelingswijzigingWijkenEnBuurten_4;Werkloosheidsuitkering_5;Bijstandsuitkering_6;Arbeidsongeschiktheidsuitkering_7;AOWUitkering_8;Werkloosheidsuitkering_9;Bijstandsuitkering_10;Arbeidsongeschiktheidsuitkering_11;AOWUitkering_12;InwonersVanaf15Jaar_13;InwonersVanaf15JrTotAOWLeeftijd_14;InwonersVanafDeAOWLeeftijd_15
0;Totaal;2016 maart;                                        ;        ;NL00      ;;390040.0;458460.0;768470.0;3336050.0;;;;;;;
1;Totaal;2016 juni;                                        ;        ;NL00      ;;362830.0;460010.0;761830.0;3353970.0;;;;;;;
2;Totaal;2016 september;                                        ;        ;NL00      ;;353680.0;458210.0;760550.0;3376680.0;;;;;;;
3;Totaal;2016 december;                                        ;        ;NL00      ;;362900.0;464490.0;757880.0;3398110.0;;;;;;;
4;Nederland;2016 maart;                                        ;        ;NL01      ;;384020.0;458030.0;745110.0;2995080.0;3.0;3.0;5.0;21.0;14200060.0;11196860.0;3003200.0
5;Nederland;2016 juni;                                        ;        ;NL01      ;;357620.0;459620.0;738380.0;3012620.0;3.0;3.0;5.0;21.0;14225320.0;11204220.0;3021110.0
6;Nederland;2016 september;                                        ;        ;NL01      ;;348530.0;457810.0;736970.0;3034290.0;2.0;3.0;5.0;21.0;14271600.0;11228530.0;3043070.0
7;Nederland;2016 december;                                        ;        ;NL01      ;;355720.0;464110.0;734360.0;3051770.0;3.0;3.0;5.0;21.0;14294830.0;11234130.0;3060700.0
8;Buitenland;2016 maart;                                        ;        ;NL98      ;;6020.0;430.0;23360.0;340970.0;;;;;;;
9;Buitenland;2016 juni;                                        ;        ;NL98      ;;5210.0;400.0;23450.0;341350.0;;;;;;;
10;Buitenland;2016 september;                                        ;        ;NL98      ;;5150.0;400.0;23580.0;342400.0;;;;;;;
11;Buitenland;2016 december;                                        ;        ;NL98      ;;7180.0;380.0;23520.0;346340.0;;;;;;;
12;Aa en Hunze;2016 maart;Aa en Hunze                             ;Gemeente;GM1680    ;;590.0;390.0;1150.0;5990.0;3.0;2.0;5.0;28.0;21600.0;15610.0;5990.0
13;Aa en Hunze;2016 juni;Aa en Hunze                             ;Gemeente;GM1680    ;;550.0;370.0;1160.0;6010.0;3.0;2.0;5.0;28.0;21700.0;15680.0;6020.0
14;Aa en Hunze;2016 september;Aa en Hunze                             ;Gemeente;GM1680    ;;520.0;360.0;1150.0;6030.0;2.0;2.0;5.0;28.0;21660.0;15630.0;6040.0
15;Aa en Hunze;2016 december;Aa en Hunze                             ;Gemeente;GM1680    ;;560.0;390.0;1140.0;6070.0;3.0;2.0;5.0;28.0;21710.0;15640.0;6080.0
