ID;Geslacht;Leeftijd;Generatie;Perioden;TotaleBevolking_1;Autochtoon_2;Allochtoon_3;TotaalNietWesters_4;Afrika_5;Azie_6;LatijnsAmerika_7;Marokko_8;NederlandseAntillenEnAruba_9;Suriname_10;Turkije_11;TotaalWesters_12;k_26EULanden_13;OverigEuropa_14;Indonesie_15;OverigBuitenEuropa_16
0;Mannen en Vrouwen;Totaal over alle leeftijden;Totaal bevolking;2011;16654455;13229906.0;3424545;1899138;220926;359874;87399;355638;141838;344711;388743;1525408;919402;150459;379808;75752
1;Mannen en Vrouwen;Totaal over alle leeftijden;Totaal bevolking;2012;16733123;13244976.0;3488151;1939098;227110;371617;91447;362744;144972;347320;393886;1549050;940180;154590;377263;77024
2;Mannen en Vrouwen;Totaal over alle leeftijden;Totaal bevolking;2013;16808539;13258913.0;3549622;1977405;231566;383208;95222;370275;147984;349984;399163;1572218;960290;158872;374824;78232
3;Mannen en Vrouwen;Totaal over alle leeftijden;Totaal bevolking;2014;16877754;13268590.0;3609162;2014954;235598;394564;98824;377589;151229;352859;404281;1594205;978970;163415;372480;79343
4;Mannen en Vrouwen;Totaal over alle leeftijden;Totaal bevolking;2015;16941209;13275332.0;3665873;2051150;239465;405943;102182;384298;154510;355645;409115;1614712;996282;168035;369991;80402
5;Mannen en Vrouwen;Totaal over alle leeftijden;Totaal bevolking;2016;17001322;13279816.0;3721504;2087037;243303;417432;105398;390811;157810;358445;413847;1634460;1012760;172711;367488;81499
6;Mannen en Vrouwen;Totaal over alle leeftijden;Totaal bevolking;2017;17059337;13283600.0;3775744;2122263;247119;428943;108490;397094;161146;361113;418382;1653474;1028446;177406;364976;82640
7;Mannen en Vrouwen;Totaal over alle leeftijden;Totaal bevolking;2018;17116427;13287604.0;3828817;2156980;250930;440452;111549;403125;164534;363643;422756;1671847;1043436;182127;362433;83837
8;Mannen en Vrouwen;Totaal over alle leeftijden;Totaal bevolking;2019;17172929;13292116.0;3880820;2191176;254758;451965;114577;408921;167947;366055;426944;1689651;1057797;186863;359866;85117
9;Mannen en Vrouwen;Totaal over alle leeftijden;Totaal bevolking;2020;17228785;13296998.0;3931789;2224872;258633;463391;117599;414482;171398;368355;431017;1706920;1071578;191606;357267;86476
10;Mannen en Vrouwen;Totaal over alle leeftijden;Totaal bevolking;2021;17283800;13302145.0;3981651;2258027;262546;474684;120601;419815;174857;370547;434968;1723627;1084764;196335;354616;87915
11;Mannen en Vrouwen;Totaal over alle leeftijden;Totaal bevolking;2022;17337589;13307005.0;4030579;2290853;266577;486006;123601;424907;178330;372633;438801;1739729;1097365;201057;351911;89394
12;Mannen en Vrouwen;Totaal over alle leeftijden;Totaal bevolking;2023;17389863;13311263.0;4078593;2323394;270689;497389;126566;429796;181814;374621;442523;1755204;1109394;205748;349162;90903
