ID;Omzetklassen;Perioden;Bedrijven_1;Bedrijfsopbrengsten_2;TotaalNettoOmzet_3;VerleendeDiensten_4;Handelsgoederen_5;OverigeOpbrengsten_6;TotaalBedrijfslasten_7;KostprijsVanDeOmzet_8;Personeelskosten_9;Afschrijvingen_10;OverigeBedrijfslasten_11;TotaalOverigeBedrijfslasten_12;Huisvestingskosten_13;InventarisEnMachinekosten_14;Autokosten_15;Verkoopkosten_16;AndereKosten_17;Bedrijfsresultaat_18;SaldoFinancieleResultaten_19;ResultaatVoorBelastingen_20;BrutoWinstmarge_21;OperationeleWinstmarge_22;WinstmargeVoorBelastingen_23;Investeringsquote_24;NettoOmzetPerFte_25;LoonkostenPerFte_26;NettoOmzet_27;TotaalVerleendeDiensten_28;VerzorgenVanFinancieleAdministraties_29;AdviseringExclBelastingadvies_30;Accountantscontrolewerkzaamheden_31;VerzorgenVanNietFinancieleAdm_32;BelastingAdviesWerkzaamheden_33;OverigeDienstverlening_34;TotaalOverigeActiviteiten_35;OntvangstenVoorUitleenEnSubsidie_36;TotaalPersoneelskosten_37;BrutoLonenEnSalarissen_38;SocialeLasten_39;Pensioenpremies_40;KostenUitzendkrachten_41;KostenIngeleendPersoneel_42;OverigePersoneelskosten_43;TotaalOverigeBedrijfslasten_44;TotaalHuisvestingskosten_45;BetaaldeHurenPachtenEDVanLeasing_46;OnroerendeZaakbelastingMilieuheffing_47;Energiekosten_48;ReparatieEnOnderhoudskosten_49;Verzekeringen_50;OverigeHuisvestingskosten_51;TotaalInventarisEnMachinekosten_52;BetaaldeHurenEnKostenVanOperLease_53;Onderhoudskosten_54;OverigeInventarisEnMachinekosten_55;TotaalAutokosten_56;BetaaldeHurenEnKostenVanOperLease_57;Brandstof_58;OverigeAutokosten_59;TotaalVerkoopkosten_60;ReclameEnAdvertentiekosten_61;ReisVerblijfsEnRepresentatiekosten_62;OverigeVerkoopkosten_63;TotaalAndereKosten_64;AccountantsEnAdviesdiensten_65;KantoorbenodigdhDrukwerkVakliteratuur_66;OverigeVerzekeringen_67;OverigeKostprijsverhogendeBelastingen_68;Communicatiekosten_69;Beheerskosten_70;OverigeAutomatiseringskosten_71;NogNietEerderGenoemdeBedrijfskosten_72;TotaalAantalWerkzamePersonen_73;WerknemersOpDeLoonlijst_74;WerknemersNietOpLoonlijst_75;OverigPersoneel_76;AantalVte_77;TotaalInvesteringen_78;TotaalMaterieleVasteActiva_79;Bedrijfsruimten_80;Vervoermiddelen_81;Computers_82;OverigeMachinesApparatenED_83;OverigeMaterieleVasteActiva_84;TotaalImmaterieleVasteActiva_85
0;Totaal SBI 7412;1996;120.3;3844;3776;3772;4;68;3198;3.3;64.9;6.3;25.4;814;198;34;118;94;370;646;-73;573;97.2;15.1;14.9;7.0;58.9;41.5;3776;99.9;;;;;;;0.1;0.1;2076;79.5;4.9;4.6;1.4;2.2;7.5;814;198;66.9;1.3;8.6;9.0;0.8;13.4;34;28.9;46.2;24.9;118;59.5;10.3;30.2;94;34.2;49.4;16.4;370;9.6;24.5;8.2;0.2;14.8;16.7;5.6;20.4;706;77.6;19.2;3.1;641;270;86.6;11.7;14.5;38.2;6.9;15.3;13.4
1;Totaal SBI 7412;1997;134.1;4200;4142;4138;4;58;3529;3.8;64.6;6.1;25.5;901;219;36;124;103;418;672;-20;652;96.8;15.3;15.5;6.9;60.4;43.1;4142;99.9;;;;;;;0.1;0.1;2280;79.8;4.5;4.5;1.5;1.9;8.0;901;219;69.0;1.2;8.5;8.6;0.7;11.9;36;28.0;50.7;21.2;124;59.8;12.0;28.2;103;36.8;45.6;17.6;418;11.0;25.2;8.4;0.1;15.9;13.1;5.2;21.2;765;77.3;19.7;3.0;686;291;75.3;17.1;10.3;29.6;6.6;11.7;24.7
2;Totaal SBI 7412;1998;136.3;4717;4639;4633;6;78;3954;5.0;63.2;6.2;25.6;1012;240;46;137;110;479;763;-41;722;95.7;15.2;15.3;6.3;64.3;44.7;4639;99.9;32.2;10.7;25.5;6.3;18.9;6.3;0.1;0.2;2500;77.0;6.8;4.4;1.8;2.2;8.0;1012;240;;;;;;;46;;;;137;;;;110;;;;479;;;;;;;;;812;77.5;19.5;3.1;722;297;95.5;19.6;11.8;35.9;7.1;21.0;4.5
3;Totaal SBI 7412;1999;136.8;5310;5236;5232;5;74;4550;6.3;62.0;5.9;25.7;1171;255;44;152;111;609;760;-35;725;94.5;13.5;13.6;6.4;;;5236;99.9;30.4;11.5;27.4;5.3;16.9;8.4;0.1;0.3;2822;76.9;7.5;4.7;2.1;1.8;7.3;1171;255;;;;;;;44;;;;152;;;;111;;;;609;;;;;;;;;824;81.1;16.7;2.2;723;342;88.8;20.5;11.8;37.2;4.9;14.5;11.2
4;Tot 250 000 euro;1996;106.1;499;491;491;0;8;309;4.3;48.1;10.6;37.0;114;23;4;22;10;54;190;3;193;97.3;38.4;38.6;12.4;;;491;99.9;;;;;;;0.1;0.2;149;76.2;6.7;7.0;0.4;6.5;3.4;114;23;67.0;1.7;14.7;8.4;1.9;6.3;4;18.0;45.0;37.1;22;41.0;21.4;37.6;10;39.9;52.3;7.8;54;9.3;38.4;3.5;0.1;12.9;11.3;7.5;17.1;190;42.0;55.9;2.1;167;62;81.8;5.2;29.8;18.9;5.5;22.4;18.2
5;Tot 250 000 euro;1997;118.9;568;561;559;1;7;354;4.8;46.2;11.0;38.0;134;28;4;26;13;64;214;-1;213;97.0;37.9;37.6;9.8;;;561;99.8;;;;;;;0.2;0.2;164;80.3;6.0;5.6;0.2;4.2;4.0;134;28;69.4;1.3;13.8;5.4;1.3;8.7;4;36.3;32.0;31.7;26;44.7;23.7;31.7;13;45.7;43.2;11.2;64;19.1;39.4;3.7;0.0;11.5;5.8;4.8;15.8;213;40.9;57.5;1.5;182;55;72.7;17.4;23.5;16.5;4.3;10.9;27.3
6;Tot 250 000 euro;1998;120.8;585;578;576;2;7;362;4.5;46.8;10.8;37.8;137;27;5;25;14;65;223;6;229;97.2;38.6;39.1;11.1;;;578;99.7;67.8;3.8;5.0;3.9;16.7;2.5;0.3;0.6;169;79.8;7.4;5.7;0.8;2.7;4.1;137;27;;;;;;;5;;;;25;;;;14;;;;65;;;;;;;;;217;39.5;58.9;1.6;179;65;85.2;10.9;24.6;24.7;8.6;16.5;14.8
7;Tot 250 000 euro;1999;121.6;667;658;656;2;9;425;5.3;47.9;10.6;36.1;154;32;5;28;17;73;242;9;251;96.6;36.6;37.7;8.2;;;658;99.6;67.3;5.6;4.8;3.6;12.2;6.1;0.4;0.7;204;79.3;7.6;6.3;0.4;2.1;4.9;154;32;;;;;;;5;;;;28;;;;17;;;;73;;;;;;;;;201;45.1;53.6;1.3;169;55;93.4;13.8;29.7;25.7;7.9;16.2;6.6
8;250 000 tot 500 000 euro;1996;7.0;248;244;244;0;4;188;3.5;59.7;9.1;27.7;52;13;5;6;6;22;60;-2;58;97.3;23.0;23.3;5.9;;;244;100.0;;;;;;;0.0;0.1;112;75.0;6.5;4.4;1.1;7.1;5.9;52;13;66.5;1.8;8.9;13.2;1.7;7.9;5;69.0;20.0;11.1;6;43.9;21.2;34.9;6;35.9;46.1;18.0;22;10.4;28.6;4.9;0.1;16.1;11.7;10.5;16.9;51;82.5;13.6;3.9;45;15;94.9;17.8;28.0;24.6;14.0;10.5;5.1
9;250 000 tot 500 000 euro;1997;7.9;282;280;280;0;2;230;3.3;63.2;8.1;25.4;58;15;3;7;6;27;53;1;54;97.3;19.0;19.0;5.4;;;280;100.0;;;;;;;0.0;0.5;145;81.8;5.8;5.5;0.3;1.6;5.5;58;15;75.2;1.2;8.4;9.5;1.3;4.4;3;37.6;42.3;20.1;7;43.4;22.2;34.4;6;49.9;31.0;19.1;27;28.7;24.1;4.1;0.1;13.5;7.9;6.3;15.3;61;88.9;10.7;0.4;52;15;77.3;21.7;9.9;30.5;9.5;5.7;22.7
