ID;TypeReIntegratieParticipatievoorz;StatusVoorziening;RegioS;Perioden;ReIntegratieParticipatievoorzieningen_1
0;Totaal re-integratie-/participatievoorz.;Lopend eind verslagperiode;Nederland;2023 januari;219870
1;Totaal re-integratie-/participatievoorz.;Lopend eind verslagperiode;Nederland;2023 februari;220170
2;Totaal re-integratie-/participatievoorz.;Lopend eind verslagperiode;Nederland;2023 maart;221010
3;Totaal re-integratie-/participatievoorz.;Lopend eind verslagperiode;Nederland;2023 april;222910
4;Totaal re-integratie-/participatievoorz.;Lopend eind verslagperiode;Nederland;2023 mei;224560
5;Totaal re-integratie-/participatievoorz.;Lopend eind verslagperiode;Nederland;2023 juni;224350
6;Totaal re-integratie-/participatievoorz.;Lopend eind verslagperiode;Nederland;2023 juli;225500
7;Totaal re-integratie-/participatievoorz.;Lopend eind verslagperiode;Nederland;2023 augustus;226040
8;Totaal re-integratie-/participatievoorz.;Lopend eind verslagperiode;Nederland;2023 september;229720
9;Totaal re-integratie-/participatievoorz.;Lopend eind verslagperiode;Nederland;2023 oktober;230890
10;Totaal re-integratie-/participatievoorz.;Lopend eind verslagperiode;Nederland;2023 november;233580
11;Totaal re-integratie-/participatievoorz.;Lopend eind verslagperiode;Nederland;2023 december;225220
12;Totaal re-integratie-/participatievoorz.;Lopend eind verslagperiode;Nederland;2024 januari;234670
13;Totaal re-integratie-/participatievoorz.;Lopend eind verslagperiode;Nederland;2024 februari;236750
14;Totaal re-integratie-/participatievoorz.;Lopend eind verslagperiode;Nederland;2024 maart;237890
15;Totaal re-integratie-/participatievoorz.;Lopend eind verslagperiode;Nederland;2024 april;238670
16;Totaal re-integratie-/participatievoorz.;Lopend eind verslagperiode;Nederland;2024 mei;239840
17;Totaal re-integratie-/participatievoorz.;Lopend eind verslagperiode;Nederland;2024 juni;238440
18;Totaal re-integratie-/participatievoorz.;Lopend eind verslagperiode;Nederland;2024 juli;239150
19;Totaal re-integratie-/participatievoorz.;Lopend eind verslagperiode;Nederland;2024 augustus;239240
20;Totaal re-integratie-/participatievoorz.;Lopend eind verslagperiode;Nederland;2024 september;243410
21;Totaal re-integratie-/participatievoorz.;Lopend eind verslagperiode;Noord-Nederland (LD);2023 januari;30580
22;Totaal re-integratie-/participatievoorz.;Lopend eind verslagperiode;Noord-Nederland (LD);2023 februari;30900
23;Totaal re-integratie-/participatievoorz.;Lopend eind verslagperiode;Noord-Nederland (LD);2023 maart;29820
24;Totaal re-integratie-/participatievoorz.;Lopend eind verslagperiode;Noord-Nederland (LD);2023 april;30190
25;Totaal re-integratie-/participatievoorz.;Lopend eind verslagperiode;Noord-Nederland (LD);2023 mei;30030
26;Totaal re-integratie-/participatievoorz.;Lopend eind verslagperiode;Noord-Nederland (LD);2023 juni;30080
27;Totaal re-integratie-/participatievoorz.;Lopend eind verslagperiode;Noord-Nederland (LD);2023 juli;30600
28;Totaal re-integratie-/participatievoorz.;Lopend eind verslagperiode;Noord-Nederland (LD);2023 augustus;30580
29;Totaal re-integratie-/participatievoorz.;Lopend eind verslagperiode;Noord-Nederland (LD);2023 september;30900
30;Totaal re-integratie-/participatievoorz.;Lopend eind verslagperiode;Noord-Nederland (LD);2023 oktober;31080
31;Totaal re-integratie-/participatievoorz.;Lopend eind verslagperiode;Noord-Nederland (LD);2023 november;31600
32;Totaal re-integratie-/participatievoorz.;Lopend eind verslagperiode;Noord-Nederland (LD);2023 december;30550
33;Totaal re-integratie-/participatievoorz.;Lopend eind verslagperiode;Noord-Nederland (LD);2024 januari;31740
34;Totaal re-integratie-/participatievoorz.;Lopend eind verslagperiode;Noord-Nederland (LD);2024 februari;31880
35;Totaal re-integratie-/participatievoorz.;Lopend eind verslagperiode;Noord-Nederland (LD);2024 maart;32210
36;Totaal re-integratie-/participatievoorz.;Lopend eind verslagperiode;Noord-Nederland (LD);2024 april;32630
37;Totaal re-integratie-/participatievoorz.;Lopend eind verslagperiode;Noord-Nederland (LD);2024 mei;32900
38;Totaal re-integratie-/participatievoorz.;Lopend eind verslagperiode;Noord-Nederland (LD);2024 juni;32540
39;Totaal re-integratie-/participatievoorz.;Lopend eind verslagperiode;Noord-Nederland (LD);2024 juli;32510
40;Totaal re-integratie-/participatievoorz.;Lopend eind verslagperiode;Noord-Nederland (LD);2024 augustus;32690
41;Totaal re-integratie-/participatievoorz.;Lopend eind verslagperiode;Noord-Nederland (LD);2024 september;33320
42;Totaal re-integratie-/participatievoorz.;Lopend eind verslagperiode;Oost-Nederland (LD);2023 januari;47330
43;Totaal re-integratie-/participatievoorz.;Lopend eind verslagperiode;Oost-Nederland (LD);2023 februari;47630
44;Totaal re-integratie-/participatievoorz.;Lopend eind verslagperiode;Oost-Nederland (LD);2023 maart;47920
45;Totaal re-integratie-/participatievoorz.;Lopend eind verslagperiode;Oost-Nederland (LD);2023 april;48120
46;Totaal re-integratie-/participatievoorz.;Lopend eind verslagperiode;Oost-Nederland (LD);2023 mei;48530
47;Totaal re-integratie-/participatievoorz.;Lopend eind verslagperiode;Oost-Nederland (LD);2023 juni;48920
48;Totaal re-integratie-/participatievoorz.;Lopend eind verslagperiode;Oost-Nederland (LD);2023 juli;49020
49;Totaal re-integratie-/participatievoorz.;Lopend eind verslagperiode;Oost-Nederland (LD);2023 augustus;48790
50;Totaal re-integratie-/participatievoorz.;Lopend eind verslagperiode;Oost-Nederland (LD);2023 september;49710
51;Totaal re-integratie-/participatievoorz.;Lopend eind verslagperiode;Oost-Nederland (LD);2023 oktober;50340
52;Totaal re-integratie-/participatievoorz.;Lopend eind verslagperiode;Oost-Nederland (LD);2023 november;50960
53;Totaal re-integratie-/participatievoorz.;Lopend eind verslagperiode;Oost-Nederland (LD);2023 december;48510
54;Totaal re-integratie-/participatievoorz.;Lopend eind verslagperiode;Oost-Nederland (LD);2024 januari;51060
55;Totaal re-integratie-/participatievoorz.;Lopend eind verslagperiode;Oost-Nederland (LD);2024 februari;51620
56;Totaal re-integratie-/participatievoorz.;Lopend eind verslagperiode;Oost-Nederland (LD);2024 maart;51410
57;Totaal re-integratie-/participatievoorz.;Lopend eind verslagperiode;Oost-Nederland (LD);2024 april;51610
58;Totaal re-integratie-/participatievoorz.;Lopend eind verslagperiode;Oost-Nederland (LD);2024 mei;51980
59;Totaal re-integratie-/participatievoorz.;Lopend eind verslagperiode;Oost-Nederland (LD);2024 juni;51970
