ID;Overheidslagen;Perioden;TotaalVorderingen_1;TotaalFinancieleVasteActiva_2;Kapitaalverstrekkingen_3;LeningenAanVerbondenPartijen_4;OverigeLanglopendeLeningen_5;OverigeLanglopendeUitzettingen_6;TotaalFinancieleVlottendeActiva_7;KortlopendeVorderingenEnUitzettingen_8;LiquideMiddelenKasBankEnGiro_9;OverlopendeActiva_10;TotaalSchulden_11;TotaalVasteSchuld_12;OnderhandseLeningenVanBinFinInst_13;OverigeVasteSchuld_14;TotaalVlottendePassiva_15;KortlopendeSchuld_16;OverlopendePassiva_17
0;Totaal decentrale overheid;2006 1e kwartaal;44020;22005;4518;9723;4625;3139;22016;16149;2372;3495;50270;35529;32051;3478;14741;10542;4199
1;Totaal decentrale overheid;2006 2e kwartaal;43167;22173;4695;9441;4942;3095;20994;13770;3644;3579;49618;36072;32225;3847;13547;8576;4971
2;Totaal decentrale overheid;2006 3e kwartaal;38017;21651;4554;8878;5057;3163;16366;11563;2749;2054;46392;36821;31900;4922;9571;6611;2960
3;Totaal decentrale overheid;2006 4e kwartaal;38172;21444;4589;9070;4755;3029;16729;10683;2999;3047;47567;35453;31455;3998;12114;8348;3766
4;Totaal decentrale overheid;2007 1e kwartaal;39025;21475;4812;9133;4046;3484;17550;12878;2318;2353;45844;34597;30735;3861;11248;7061;4187
5;Totaal decentrale overheid;2007 2e kwartaal;40795;22021;4369;9551;4724;3376;18773;13594;3709;1470;46992;36072;32319;3752;10920;7301;3619
6;Totaal decentrale overheid;2007 3e kwartaal;40155;21240;4346;9316;4546;3032;18916;12452;3774;2690;46902;36677;32685;3992;10225;6029;4196
7;Totaal decentrale overheid;2007 4e kwartaal;42092;21563;4133;9444;4668;3319;20528;13183;3228;4117;49700;35703;32651;3052;13997;8697;5300
8;Totaal decentrale overheid;2008 1e kwartaal;44546;20451;4299;7988;4568;3595;24095;17936;2181;3978;50553;35051;31856;3195;15502;10196;5306
9;Totaal decentrale overheid;2008 2e kwartaal;46144;21495;4639;9687;4405;2764;24649;16820;3793;4036;53083;37931;33979;3952;15152;7791;7361
10;Totaal decentrale overheid;2008 3e kwartaal;43165;21862;4584;9362;4410;3506;21303;14396;3862;3045;51527;37753;33351;4402;13774;7827;5947
11;Totaal decentrale overheid;2008 4e kwartaal;41324;21661;4510;9145;4595;3411;19663;13084;3297;3282;56584;38229;34101;4128;18355;9596;8759
12;Totaal decentrale overheid;2009 1e kwartaal;44704;21085;4627;8703;4334;3421;23619;17421;3709;2489;59897;37607;32899;4708;22290;11400;10890
13;Totaal decentrale overheid;2009 2e kwartaal;44050;21353;4721;8809;4401;3422;22697;14891;4094;3712;61194;38423;34369;4054;22771;11599;11172
14;Totaal decentrale overheid;2009 3e kwartaal;62893;29215;5642;10654;8085;4834;33678;13132;15469;5077;60622;38605;34673;3932;22017;9807;12210
15;Totaal decentrale overheid;2009 4e kwartaal;59643;32675;5700;11101;9504;6370;26968;12812;9126;5030;63338;39474;35308;4166;23864;11965;11899
16;Totaal decentrale overheid;2010 1e kwartaal;62543;36511;6446;10933;9151;9981;26032;18454;3818;3760;63413;39100;35006;4094;24313;12777;11536
17;Totaal decentrale overheid;2010 2e kwartaal;61527;37476;6830;10802;9640;10204;24051;14894;5669;3488;63673;40911;36390;4521;22762;11970;10792
18;Totaal decentrale overheid;2010 3e kwartaal;57227;36906;6716;10686;9392;10111;20321;12191;4426;3705;61233;41021;36559;4462;20211;9939;10272
19;Totaal decentrale overheid;2010 4e kwartaal;59687;36626;4678;10354;10755;10839;23061;12545;4209;6307;68805;42886;39343;3543;25919;13141;12778
20;Totaal decentrale overheid;2011 1e kwartaal;59191;34966;4702;10313;9185;10767;24225;16556;3506;4163;66260;41556;38321;3235;24704;12638;12066
21;Totaal decentrale overheid;2011 2e kwartaal;57305;34876;4844;10140;7480;12412;22429;14267;4589;3573;66114;42579;39227;3351;23535;11663;11872
22;Totaal decentrale overheid;2011 3e kwartaal;53198;34080;5252;9733;6359;12736;19117;11852;3900;3365;64786;43985;40646;3339;20801;9090;11711
23;Totaal decentrale overheid;2011 4e kwartaal;55066;33932;5461;9123;6300;13049;21133;12594;3701;4838;68719;44982;41328;3654;23737;11731;12006
24;Totaal decentrale overheid;2012 1e kwartaal;56870;32289;5154;8623;6377;12135;24581;16152;4398;4032;69815;45518;41804;3714;24297;12329;11967
25;Totaal decentrale overheid;2012 2e kwartaal;56165;32757;5267;8487;6529;12474;23408;14849;4764;3795;66410;43972;40637;3336;22438;9976;12462
26;Totaal decentrale overheid;2012 3e kwartaal;52383;32630;5298;8964;6258;12110;19753;11697;4165;3891;65982;44836;40863;3973;21146;9613;11533
27;Totaal decentrale overheid;2012 4e kwartaal;53339;32148;5254;8172;6621;12100;21191;12919;3770;4502;69878;45529;42407;3122;24349;12205;12144
28;Totaal decentrale overheid;2013 1e kwartaal;55011;31168;5097;8408;6422;11241;23843;15393;4365;4085;70538;45454;41912;3542;25085;13331;11753
29;Totaal decentrale overheid;2013 2e kwartaal;52263;30780;5117;8220;6491;10951;21483;13265;4738;3480;69239;45926;42188;3738;23313;11316;11997
30;Totaal decentrale overheid;2013 3e kwartaal;51074;30012;5434;8297;5647;10633;21063;13010;4894;3159;68928;45757;42431;3326;23171;11464;11708
31;Totaal decentrale overheid;2013 4e kwartaal;50815;30305;6053;7516;5771;10964;20510;12553;3627;4330;71816;47169;43503;3666;24647;12784;11863
32;Totaal decentrale overheid;2014 1e kwartaal;52218;28062;4176;7353;5514;11019;24156;18372;1722;4062;69559;44963;42706;2257;24596;12775;11821
33;Totaal decentrale overheid;2014 2e kwartaal;50556;27558;4296;6951;5516;10795;22998;15977;3550;3471;69111;45706;43424;2282;23405;11751;11654
34;Totaal decentrale overheid;2014 3e kwartaal;49220;27900;4404;7255;5599;10642;21320;14577;3238;3505;68119;46021;43557;2464;22098;11280;10818
35;Gemeenten;2006 1e kwartaal;34394;18826;4103;9443;3673;1607;15568;13132;547;1889;40489;29786;27124;2661;10703;8071;2633
36;Gemeenten;2006 2e kwartaal;33267;18890;4308;9148;3941;1494;14377;10339;1434;2603;40433;30253;27538;2715;10180;6169;4010
37;Gemeenten;2006 3e kwartaal;28486;18329;4040;8613;4095;1581;10157;8331;678;1147;37934;31304;27392;3911;6631;4447;2184
38;Gemeenten;2006 4e kwartaal;29370;18459;4227;8776;3855;1600;10912;7457;1128;2327;38245;29808;27372;2436;8437;5676;2762
39;Gemeenten;2007 1e kwartaal;30376;18139;4302;8826;3068;1943;12237;10070;654;1513;37166;28781;26192;2589;8385;5077;3308
