ID;BedrijfstakkenBranchesSBI2008;TypeGefailleerde;Perioden;UitgesprokenFaillissementen_1
0;A-U Alle economische activiteiten;Bedrijven, instellingen en eenmanszaken;2019 week 1;17
1;A-U Alle economische activiteiten;Bedrijven, instellingen en eenmanszaken;2019 week 2;74
2;A-U Alle economische activiteiten;Bedrijven, instellingen en eenmanszaken;2019 week 3;69
3;A-U Alle economische activiteiten;Bedrijven, instellingen en eenmanszaken;2019 week 4;82
4;A-U Alle economische activiteiten;Bedrijven, instellingen en eenmanszaken;2019 week 5;85
5;A-U Alle economische activiteiten;Bedrijven, instellingen en eenmanszaken;2019 week 6;71
6;A-U Alle economische activiteiten;Bedrijven, instellingen en eenmanszaken;2019 week 7;84
7;A-U Alle economische activiteiten;Bedrijven, instellingen en eenmanszaken;2019 week 8;64
8;A-U Alle economische activiteiten;Bedrijven, instellingen en eenmanszaken;2019 week 9;82
9;A-U Alle economische activiteiten;Bedrijven, instellingen en eenmanszaken;2019 week 10;73
10;A-U Alle economische activiteiten;Bedrijven, instellingen en eenmanszaken;2019 week 11;63
11;A-U Alle economische activiteiten;Bedrijven, instellingen en eenmanszaken;2019 week 12;84
12;A-U Alle economische activiteiten;Bedrijven, instellingen en eenmanszaken;2019 week 13;80
13;A-U Alle economische activiteiten;Bedrijven, instellingen en eenmanszaken;2019 week 14;85
14;A-U Alle economische activiteiten;Bedrijven, instellingen en eenmanszaken;2019 week 15;81
15;A-U Alle economische activiteiten;Bedrijven, instellingen en eenmanszaken;2019 week 16;88
16;A-U Alle economische activiteiten;Bedrijven, instellingen en eenmanszaken;2019 week 17;64
17;A-U Alle economische activiteiten;Bedrijven, instellingen en eenmanszaken;2019 week 18;58
18;A-U Alle economische activiteiten;Bedrijven, instellingen en eenmanszaken;2019 week 19;72
19;A-U Alle economische activiteiten;Bedrijven, instellingen en eenmanszaken;2019 week 20;56
20;A-U Alle economische activiteiten;Bedrijven, instellingen en eenmanszaken;2019 week 21;78
21;A-U Alle economische activiteiten;Bedrijven, instellingen en eenmanszaken;2019 week 22;83
22;A-U Alle economische activiteiten;Bedrijven, instellingen en eenmanszaken;2019 week 23;59
23;A-U Alle economische activiteiten;Bedrijven, instellingen en eenmanszaken;2019 week 24;65
24;A-U Alle economische activiteiten;Bedrijven, instellingen en eenmanszaken;2019 week 25;81
25;A-U Alle economische activiteiten;Bedrijven, instellingen en eenmanszaken;2019 week 26;77
26;A-U Alle economische activiteiten;Bedrijven, instellingen en eenmanszaken;2019 week 27;75
27;A-U Alle economische activiteiten;Bedrijven, instellingen en eenmanszaken;2019 week 28;74
28;A-U Alle economische activiteiten;Bedrijven, instellingen en eenmanszaken;2019 week 29;76
29;A-U Alle economische activiteiten;Bedrijven, instellingen en eenmanszaken;2019 week 30;64
30;A-U Alle economische activiteiten;Bedrijven, instellingen en eenmanszaken;2019 week 31;69
31;A-U Alle economische activiteiten;Bedrijven, instellingen en eenmanszaken;2019 week 32;66
