ID;GemeentelijkeHeffingenVanaf2017;Regiokenmerken;Perioden;GemeentelijkeHeffingenInMlnEuro_1;GemeentelijkeHeffingenEuroInwoner_2
0;Totaal gemeentelijke heffingen;Nederland;2017;9921.0;581.0
1;Totaal gemeentelijke heffingen;Nederland;2018;10153.0;591.0
2;Totaal gemeentelijke heffingen;Nederland;2019;10508.0;608.0
3;Totaal gemeentelijke heffingen;Nederland;2020;10687.0;614.0
4;Totaal gemeentelijke heffingen;Nederland;2021;11375.0;651.0
5;Totaal gemeentelijke heffingen;Nederland;2022;11840.0;673.0
6;Totaal gemeentelijke heffingen;Nederland;2023;12781.0;717.0
7;Totaal gemeentelijke heffingen;Noord-Nederland (LD);2017;947.0;550.0
8;Totaal gemeentelijke heffingen;Noord-Nederland (LD);2018;979.0;568.0
9;Totaal gemeentelijke heffingen;Noord-Nederland (LD);2019;992.0;575.0
10;Totaal gemeentelijke heffingen;Noord-Nederland (LD);2020;1024.0;592.0
11;Totaal gemeentelijke heffingen;Noord-Nederland (LD);2021;1090.0;629.0
12;Totaal gemeentelijke heffingen;Noord-Nederland (LD);2022;1112.0;638.0
13;Totaal gemeentelijke heffingen;Noord-Nederland (LD);2023;1164.0;662.0
14;Totaal gemeentelijke heffingen;Oost-Nederland (LD);2017;1923.0;534.0
15;Totaal gemeentelijke heffingen;Oost-Nederland (LD);2018;1947.0;537.0
16;Totaal gemeentelijke heffingen;Oost-Nederland (LD);2019;1985.0;545.0
17;Totaal gemeentelijke heffingen;Oost-Nederland (LD);2020;2053.0;559.0
18;Totaal gemeentelijke heffingen;Oost-Nederland (LD);2021;2175.0;589.0
19;Totaal gemeentelijke heffingen;Oost-Nederland (LD);2022;2200.0;592.0
20;Totaal gemeentelijke heffingen;Oost-Nederland (LD);2023;2311.0;614.0
21;Totaal gemeentelijke heffingen;West-Nederland (LD);2017;5185.0;638.0
22;Totaal gemeentelijke heffingen;West-Nederland (LD);2018;5306.0;648.0
23;Totaal gemeentelijke heffingen;West-Nederland (LD);2019;5538.0;671.0
24;Totaal gemeentelijke heffingen;West-Nederland (LD);2020;5573.0;669.0
25;Totaal gemeentelijke heffingen;West-Nederland (LD);2021;5959.0;713.0
26;Totaal gemeentelijke heffingen;West-Nederland (LD);2022;6276.0;745.0
27;Totaal gemeentelijke heffingen;West-Nederland (LD);2023;6965.0;816.0
28;Totaal gemeentelijke heffingen;Zuid-Nederland (LD);2017;1867.0;514.0
29;Totaal gemeentelijke heffingen;Zuid-Nederland (LD);2018;1920.0;527.0
30;Totaal gemeentelijke heffingen;Zuid-Nederland (LD);2019;1993.0;544.0
31;Totaal gemeentelijke heffingen;Zuid-Nederland (LD);2020;2036.0;553.0
32;Totaal gemeentelijke heffingen;Zuid-Nederland (LD);2021;2151.0;583.0
33;Totaal gemeentelijke heffingen;Zuid-Nederland (LD);2022;2252.0;607.0
34;Totaal gemeentelijke heffingen;Zuid-Nederland (LD);2023;2340.0;623.0
35;Totaal gemeentelijke heffingen;Groningen (PV);2017;346.0;592.0
36;Totaal gemeentelijke heffingen;Groningen (PV);2018;358.0;614.0
37;Totaal gemeentelijke heffingen;Groningen (PV);2019;367.0;629.0
38;Totaal gemeentelijke heffingen;Groningen (PV);2020;394.0;673.0
39;Totaal gemeentelijke heffingen;Groningen (PV);2021;415.0;708.0
40;Totaal gemeentelijke heffingen;Groningen (PV);2022;437.0;740.0
41;Totaal gemeentelijke heffingen;Groningen (PV);2023;467.0;783.0
42;Totaal gemeentelijke heffingen;Fryslân (PV);2017;357.0;551.0
43;Totaal gemeentelijke heffingen;Fryslân (PV);2018;373.0;576.0
44;Totaal gemeentelijke heffingen;Fryslân (PV);2019;375.0;578.0
45;Totaal gemeentelijke heffingen;Fryslân (PV);2020;375.0;577.0
46;Totaal gemeentelijke heffingen;Fryslân (PV);2021;404.0;621.0
47;Totaal gemeentelijke heffingen;Fryslân (PV);2022;391.0;598.0
48;Totaal gemeentelijke heffingen;Fryslân (PV);2023;403.0;611.0
49;Totaal gemeentelijke heffingen;Drenthe (PV);2017;245.0;498.0
50;Totaal gemeentelijke heffingen;Drenthe (PV);2018;248.0;505.0
51;Totaal gemeentelijke heffingen;Drenthe (PV);2019;250.0;508.0
52;Totaal gemeentelijke heffingen;Drenthe (PV);2020;255.0;516.0
53;Totaal gemeentelijke heffingen;Drenthe (PV);2021;271.0;547.0
54;Totaal gemeentelijke heffingen;Drenthe (PV);2022;284.0;571.0
55;Totaal gemeentelijke heffingen;Drenthe (PV);2023;294.0;586.0
56;Totaal gemeentelijke heffingen;Overijssel (PV);2017;594.0;517.0
57;Totaal gemeentelijke heffingen;Overijssel (PV);2018;609.0;529.0
58;Totaal gemeentelijke heffingen;Overijssel (PV);2019;626.0;541.0
59;Totaal gemeentelijke heffingen;Overijssel (PV);2020;646.0;556.0
60;Totaal gemeentelijke heffingen;Overijssel (PV);2021;683.0;585.0
61;Totaal gemeentelijke heffingen;Overijssel (PV);2022;711.0;606.0
62;Totaal gemeentelijke heffingen;Overijssel (PV);2023;745.0;629.0
63;Totaal gemeentelijke heffingen;Flevoland (PV);2017;223.0;546.0
64;Totaal gemeentelijke heffingen;Flevoland (PV);2018;226.0;550.0
65;Totaal gemeentelijke heffingen;Flevoland (PV);2019;234.0;562.0
66;Totaal gemeentelijke heffingen;Flevoland (PV);2020;239.0;565.0
67;Totaal gemeentelijke heffingen;Flevoland (PV);2021;251.0;587.0
68;Totaal gemeentelijke heffingen;Flevoland (PV);2022;271.0;624.0
69;Totaal gemeentelijke heffingen;Flevoland (PV);2023;295.0;663.0
70;Totaal gemeentelijke heffingen;Gelderland (PV);2017;1106.0;540.0
71;Totaal gemeentelijke heffingen;Gelderland (PV);2018;1112.0;540.0
72;Totaal gemeentelijke heffingen;Gelderland (PV);2019;1126.0;543.0
73;Totaal gemeentelijke heffingen;Gelderland (PV);2020;1168.0;560.0
74;Totaal gemeentelijke heffingen;Gelderland (PV);2021;1241.0;592.0
75;Totaal gemeentelijke heffingen;Gelderland (PV);2022;1219.0;577.0
76;Totaal gemeentelijke heffingen;Gelderland (PV);2023;1271.0;596.0
77;Totaal gemeentelijke heffingen;Utrecht (PV);2017;702.0;546.0
78;Totaal gemeentelijke heffingen;Utrecht (PV);2018;714.0;551.0
79;Totaal gemeentelijke heffingen;Utrecht (PV);2019;764.0;569.0
80;Totaal gemeentelijke heffingen;Utrecht (PV);2020;795.0;587.0
81;Totaal gemeentelijke heffingen;Utrecht (PV);2021;854.0;628.0
82;Totaal gemeentelijke heffingen;Utrecht (PV);2022;906.0;661.0
83;Totaal gemeentelijke heffingen;Utrecht (PV);2023;1000.0;720.0
84;Totaal gemeentelijke heffingen;Noord-Holland (PV);2017;1955.0;696.0
85;Totaal gemeentelijke heffingen;Noord-Holland (PV);2018;2009.0;710.0
86;Totaal gemeentelijke heffingen;Noord-Holland (PV);2019;2134.0;748.0
87;Totaal gemeentelijke heffingen;Noord-Holland (PV);2020;2035.0;707.0
88;Totaal gemeentelijke heffingen;Noord-Holland (PV);2021;2199.0;761.0
89;Totaal gemeentelijke heffingen;Noord-Holland (PV);2022;2379.0;818.0
90;Totaal gemeentelijke heffingen;Noord-Holland (PV);2023;2694.0;911.0
91;Totaal gemeentelijke heffingen;Zuid-Holland (PV);2017;2255.0;618.0
92;Totaal gemeentelijke heffingen;Zuid-Holland (PV);2018;2300.0;625.0
93;Totaal gemeentelijke heffingen;Zuid-Holland (PV);2019;2348.0;639.0
94;Totaal gemeentelijke heffingen;Zuid-Holland (PV);2020;2454.0;662.0
95;Totaal gemeentelijke heffingen;Zuid-Holland (PV);2021;2588.0;695.0
96;Totaal gemeentelijke heffingen;Zuid-Holland (PV);2022;2661.0;709.0
97;Totaal gemeentelijke heffingen;Zuid-Holland (PV);2023;2930.0;770.0
98;Totaal gemeentelijke heffingen;Zeeland (PV);2017;273.0;715.0
99;Totaal gemeentelijke heffingen;Zeeland (PV);2018;283.0;739.0
100;Totaal gemeentelijke heffingen;Zeeland (PV);2019;292.0;762.0
101;Totaal gemeentelijke heffingen;Zeeland (PV);2020;290.0;755.0
102;Totaal gemeentelijke heffingen;Zeeland (PV);2021;317.0;822.0
103;Totaal gemeentelijke heffingen;Zeeland (PV);2022;330.0;853.0
104;Totaal gemeentelijke heffingen;Zeeland (PV);2023;342.0;875.0
105;Totaal gemeentelijke heffingen;Noord-Brabant (PV);2017;1248.0;497.0
