ID;Perioden;ToerismeToegevoegdeWaardeBasisprijs_1;ToerismeBestedingenNLEconomieTotaal_2;RecreatieveBestedingenVanHuishoudens_3;ToerismeToegevoegdeWaardeBasisprijs_4;ToerismeBestedingenNLEconomieTotaal_5;RecreatieveBestedingenVanHuishoudens_6;ToerismeToegevoegdeWaardeBasisprijs_7;RecreatieveBestedingenVanHuishoudens_8;ToerismeBanen_9;ToerismeWerkzamePersonen_10;ToerismeArbeidsvolume_11;ToerismeBanen_12;ToerismeWerkzamePersonen_13;ToerismeArbeidsvolume_14
0;2010;18103;59516;51939;82.4;86.0;97.4;3.2;17.9;641;550;384;6.6;6.3;5.5
1;2011;18618;62237;53842;85.8;88.2;98.3;3.2;18.1;663;567;392;6.7;6.4;5.6
2;2012;19445;64692;54978;87.4;89.2;97.5;3.3;18.5;671;575;395;6.8;6.5;5.6
3;2013;20378;66037;54676;89.3;90.3;96.0;3.4;18.2;677;581;400;6.9;6.7;5.8
4;2014;22305;69441;55538;95.2;94.8;97.3;3.7;18.3;703;604;413;7.2;6.9;6.0
5;2015;24541;73513;57456;100.0;100.0;100.0;4.0;18.5;718;616;423;7.3;7.0;6.0
6;2016;26493;76843;58095;105.2;104.8;101.6;4.2;18.4;737;632;438;7.3;7.1;6.1
7;2017;28428;82188;60718;110.5;110.1;103.9;4.3;18.6;765;656;459;7.4;7.2;6.2
8;2018;30270;86454;62545;115.7;113.7;105.0;4.4;18.3;785;668;479;7.4;7.1;6.3
9;2019;31841;90814;64601;119.4;116.3;105.7;4.4;18.3;812;692;496;7.5;7.2;6.4
10;2020;16547;53252;37582;58.2;67.2;61.0;2.3;11.2;683;581;403;6.4;6.1;5.3
11;2021;19049;59291;42767;66.9;72.4;66.6;2.5;11.8;655;557;377;6.0;5.7;4.8
12;2022;31675;95835;68479;111.2;108.4;98.4;3.7;16.7;790;675;452;6.9;6.6;5.5
