ID;WijkenEnGemeenten;BewoondeHuizen_1;OnbewoondeWoonhuizen_2;WoonhuizenInAanbouw_3;OverigeOnbewoondeGebouwen_4;PermanentAanwezig_5;TijdelijkAanwezig_6;PermanentAanwezig_7;TijdelijkAanwezig_8;Mannen_9;Vrouwen_10;TotaleBevolking_11;Mannen_12;Vrouwen_13;Pagina_14
0;Algemeen totaal;235;3;0;16;5;0;0;0;653;681;1334;13;13;GR004
1;B, Totaal;95;2;0;2;5;0;0;0;278;268;546;4;5;GR004
2;B, A, Dorp Adorp, Huizen;17;1;0;0;0;0;0;0;45;42;87;0;0;GR004
3;B, A, Buurtsch. Adorpermeeden, Huizen;10;0;0;0;0;0;0;0;25;28;53;0;0;GR004
4;B, H, Buurtsch. Harssens, Huizen;13;0;0;0;0;0;0;0;30;38;68;1;1;GR004
5;B, H, Geh. Hekkum, Huizen;6;0;0;0;0;0;0;0;21;21;42;0;0;GR004
6;B, S, Dorp Sauwerd, Huizen;9;0;0;1;0;0;0;0;27;24;51;0;2;GR004
7;B, S, Dorp Sauwerd, Schepen;0;0;0;0;5;0;0;0;13;11;24;0;0;GR004
8;B, S, Buurtsch. Sauwerdermeeden, Huizen;10;0;0;0;0;0;0;0;25;18;43;1;0;GR004
9;B, S, Geh. Arwerd, Huizen;6;0;0;1;0;0;0;0;17;13;30;1;0;GR004
10;B, W, Buurtsch. Dorkwerd, Huizen;1;0;0;0;0;0;0;0;4;4;8;0;0;GR004
11;B, W, Buurtsch. Paddepoel, Huizen;5;0;0;0;0;0;0;0;17;19;36;0;0;GR004
12;B, W, Buurtsch. Wetsingermeeden, Huizen;9;0;0;0;0;0;0;0;28;25;53;1;2;GR004
13;B, W, Dorp Wetsinge, Huizen;5;0;0;0;0;0;0;0;17;15;32;0;0;GR004
14;B, W, Geh. Wierum, Huizen;4;1;0;0;0;0;0;0;9;10;19;0;0;GR004
15;K, Totaal;140;1;0;14;0;0;0;0;375;413;788;9;8;GR004
16;K, A, Dorp Adorp, Huizen;43;0;0;5;0;0;0;0;121;127;248;3;1;GR004
17;K, S, Dorp Sauwerd, Huizen;70;0;0;5;0;0;0;0;182;207;389;6;4;GR004
18;K, W, Dorp Wetsinge, Huizen;27;1;0;4;0;0;0;0;72;79;151;0;3;GR004
19;Algemeen totaal;481;11;0;29;9;3;0;0;952;1002;1954;33;37;GR004
20;B, Totaal;182;6;0;12;9;3;0;0;463;472;935;16;15;GR004
21;B, A, Dorp Aduard, Huizen;7;0;0;0;0;0;0;0;15;11;26;0;1;GR004
22;B, A, Dorp Aduard, Schepen;0;0;0;0;8;0;0;0;15;16;31;0;0;GR004
23;B, A, Dorp Aduard, Tijd. aanw. schip;0;0;0;0;0;1;0;0;0;0;0;3;2;GR004
24;B, B, Geh. Fransum, Huizen;29;2;0;3;0;0;0;0;77;68;145;0;2;GR004
25;B, C, Dorp den Ham, Huizen;38;1;0;4;0;0;0;0;101;96;197;6;1;GR004
26;B, D, Buurtsch. Hoogemeeden, Huizen;39;1;0;4;0;0;0;0;87;111;198;0;0;GR004
27;B, E, Buurtsch. Lagemeeden, Huizen;35;0;0;1;0;0;0;0;70;76;146;0;3;GR004
28;B, E, Buurtsch. Lagemeeden, Schepen;0;0;0;0;1;0;0;0;1;1;2;0;0;GR004
29;B, E, Buurts. Lagemeeden, Td. aanw. sch.;0;0;0;0;0;1;0;0;0;0;0;2;4;GR004
30;B, F, Buurtsch. Wierum, Huizen;34;2;0;0;0;0;0;0;97;93;190;3;1;GR004
31;B, F, Buurts. Wierum, Tijd. aanw. sch.;0;0;0;0;0;1;0;0;0;0;0;2;1;GR004
32;K, Totaal;299;5;0;17;0;0;0;0;489;530;1019;17;22;GR004
33;K, A, Dorp Aduard, Huizen;203;2;0;11;0;0;0;0;337;357;694;12;18;GR004
34;K, C, Dorp den Ham, Huizen;47;3;0;2;0;0;0;0;75;81;156;3;0;GR004
35;K, D, Dorp den Horn, Huizen;49;0;0;4;0;0;0;0;77;92;169;2;4;GR004
36;Algemeen totaal;742;5;1;102;36;13;0;0;2100;2248;4348;95;90;GR005
37;B, Totaal;323;4;0;49;35;12;0;0;1014;985;1999;50;35;GR005
38;B, E, Dorp Opwierde, Huizen;92;0;0;13;0;0;0;0;223;241;464;8;4;GR005
39;B, F, Dorp Solwerd, Kazerne Kon. Mar.;1;0;0;0;0;0;0;0;8;10;18;0;0;GR005
40;B, F, Dorp Solwerd, Overige huizen;48;1;0;11;0;0;0;0;118;121;239;5;4;GR005
