ID;StarRating;Regions;Periods;BusinessRelatedOvernightStays_1
0;Total;Nederland;2017 January;1260
1;Total;Nederland;2017 February;1300
2;Total;Nederland;2017 March;1540
3;Total;Nederland;2017 1st quarter;4090
4;Total;Nederland;2017 April;1780
5;Total;Nederland;2017 May;1790
6;Total;Nederland;2017 June;1810
7;Total;Nederland;2017 2nd quarter;5390
8;Total;Nederland;2017 July;1590
9;Total;Nederland;2017 August;1600
10;Total;Nederland;2017 September;1850
11;Total;Nederland;2017 3rd quarter;5040
12;Total;Nederland;2017 October;1830
13;Total;Nederland;2017 November;1600
14;Total;Nederland;2017 December;1310
15;Total;Nederland;2017 4th quarter;4740
16;Total;Nederland;2017;19260
17;Total;Nederland;2018 January;1410
18;Total;Nederland;2018 February;1390
19;Total;Nederland;2018 March;1680
20;Total;Nederland;2018 1st quarter;4480
21;Total;Nederland;2018 April;1810
22;Total;Nederland;2018 May;1900
23;Total;Nederland;2018 June;1880
24;Total;Nederland;2018 2nd quarter;5590
25;Total;Nederland;2018 July;1650
26;Total;Nederland;2018 August;1590
27;Total;Nederland;2018 September;1930
28;Total;Nederland;2018 3rd quarter;5170
29;Total;Nederland;2018 October;1920
30;Total;Nederland;2018 November;1620
31;Total;Nederland;2018 December;1260
32;Total;Nederland;2018 4th quarter;4800
33;Total;Nederland;2018;20040
34;Total;Nederland;2019 January;1400
35;Total;Nederland;2019 February;1390
36;Total;Nederland;2019 March;1730
37;Total;Nederland;2019 1st quarter;4520
38;Total;Nederland;2019 April;1940
39;Total;Nederland;2019 May;1930
40;Total;Nederland;2019 June;2010
41;Total;Nederland;2019 2nd quarter;5880
42;Total;Nederland;2019 July;1720
43;Total;Nederland;2019 August;1770
44;Total;Nederland;2019 September;2000
45;Total;Nederland;2019 3rd quarter;5490
46;Total;Nederland;2019 October;2070
47;Total;Nederland;2019 November;1740
48;Total;Nederland;2019 December;1360
49;Total;Nederland;2019 4th quarter;5180
50;Total;Nederland;2019;21060
51;Total;Nederland;2020 January;1480
52;Total;Nederland;2020 February;1510
53;Total;Nederland;2020 March;730
54;Total;Nederland;2020 1st quarter;3720
55;Total;Nederland;2020 April;230
56;Total;Nederland;2020 May;270
57;Total;Nederland;2020 June;490
58;Total;Nederland;2020 2nd quarter;990
59;Total;Nederland;2020 July;600
60;Total;Nederland;2020 August;650
61;Total;Nederland;2020 September;720
62;Total;Nederland;2020 3rd quarter;1970
63;Total;Nederland;2020 October;510
64;Total;Nederland;2020 November;410
65;Total;Nederland;2020 December;340
66;Total;Nederland;2020 4th quarter;1270
67;Total;Nederland;2020;7940
68;Total;Nederland;2021 January;280
69;Total;Nederland;2021 February;330
70;Total;Nederland;2021 March;390
71;Total;Nederland;2021 1th quarter;1010
72;Total;Nederland;2021 April;450
73;Total;Nederland;2021 May;630
74;Total;Nederland;2021 June;740
75;Total;Nederland;2021 2nd quarter;1820
76;Total;Nederland;2021 July;810
77;Total;Nederland;2021 August;900
78;Total;Nederland;2021 September;1100
79;Total;Nederland;2021 3rd quarter;2800
80;Total;Nederland;2021 October;1260
81;Total;Nederland;2021 November;980
82;Total;Nederland;2021 December;490
83;Total;Nederland;2021 4th quarter;2730
84;Total;Nederland;2021;8350
85;Total;Nederland;2022 January;480
86;Total;Nederland;2022 February;780
87;Total;Nederland;2022 March;1160
88;Total;Nederland;2022 1th quarter;2420
89;Total;Nederland;2022 April;1500
90;Total;Nederland;2022 May;1670
91;Total;Nederland;2022 June;1750
92;Total;Nederland;2022 2nd quarter;4930
93;Total;Nederland;2022 July;1450
94;Total;Nederland;2022 August;1390
95;Total;Nederland;2022 September;1760
96;Total;Nederland;2022 3rd quarter;4590
97;Total;Nederland;2022 October;1800
98;Total;Nederland;2022 November;1530
99;Total;Nederland;2022 December;1180
100;Total;Nederland;2022 4th quarter;4500
101;Total;Nederland;2022;16450
102;Total;Nederland;2023 January;1120
103;Total;Nederland;2023 February;1230
104;Total;Nederland;2023 March;1530
105;Total;Nederland;2023 1st quarter;3880
106;Total;Nederland;2023 April;1610
107;Total;Nederland;2023 May;1630
108;Total;Nederland;2023 June;1620
109;Total;Nederland;2023 2nd quarter;4860
110;Total;Nederland;2023 July;1420
111;Total;Nederland;2023 August;1380
112;Total;Nederland;2023 September;1540
113;Total;Nederland;2023 3rd quarter;4340
114;Total;Nederland;2023 October;1670
115;Total;Nederland;2023 November;1410
116;Total;Nederland;2023 December;1130
117;Total;Nederland;2023 4th quarter;4210
118;Total;Nederland;2023;17300
119;Total;Nederland;2024 January;1210
120;Total;Nederland;2024 February;1220
121;Total;Nederland;2024 March;1490
122;Total;Nederland;2024 1st quarter;3920
123;Total;Nederland;2024 April;1530
124;Total;Nederland;2024 May;1680
125;Total;Nederland;2024 June;1660
126;Total;Nederland;2024 2nd quarter;4870
127;Total;Nederland;2024 July;1400
128;Total;Nederland;2024 August;1370
129;Total;Nederland;2024 September;1680
130;Total;Nederland;2024 3rd quarter;4480
131;Total;Nederland;2024 October;1570
132;Total;Nederland;2024 November;1540
133;Total;Nederland;2024 December;1170
134;Total;Nederland;2024 4th quarter;4280
135;Total;Nederland;2024;17540
136;Total;Nederland;2025 January;1210
137;Total;Nederland;2025 February;1180
138;Total;Amsterdam;2017 January;350
139;Total;Amsterdam;2017 February;380
140;Total;Amsterdam;2017 March;410
141;Total;Amsterdam;2017 1st quarter;1140
142;Total;Amsterdam;2017 April;480
143;Total;Amsterdam;2017 May;470
144;Total;Amsterdam;2017 June;480
145;Total;Amsterdam;2017 2nd quarter;1430
146;Total;Amsterdam;2017 July;430
147;Total;Amsterdam;2017 August;420
148;Total;Amsterdam;2017 September;490
149;Total;Amsterdam;2017 3rd quarter;1340
150;Total;Amsterdam;2017 October;480
151;Total;Amsterdam;2017 November;430
152;Total;Amsterdam;2017 December;370
153;Total;Amsterdam;2017 4th quarter;1290
154;Total;Amsterdam;2017;5200
155;Total;Amsterdam;2018 January;410
156;Total;Amsterdam;2018 February;390
157;Total;Amsterdam;2018 March;460
158;Total;Amsterdam;2018 1st quarter;1260
159;Total;Amsterdam;2018 April;470
160;Total;Amsterdam;2018 May;510
161;Total;Amsterdam;2018 June;510
162;Total;Amsterdam;2018 2nd quarter;1490
163;Total;Amsterdam;2018 July;490
164;Total;Amsterdam;2018 August;460
165;Total;Amsterdam;2018 September;530
166;Total;Amsterdam;2018 3rd quarter;1480
167;Total;Amsterdam;2018 October;510
168;Total;Amsterdam;2018 November;430
169;Total;Amsterdam;2018 December;370
170;Total;Amsterdam;2018 4th quarter;1310
171;Total;Amsterdam;2018;5530
172;Total;Amsterdam;2019 January;400
173;Total;Amsterdam;2019 February;410
174;Total;Amsterdam;2019 March;470
175;Total;Amsterdam;2019 1st quarter;1280
176;Total;Amsterdam;2019 April;550
177;Total;Amsterdam;2019 May;550
178;Total;Amsterdam;2019 June;510
179;Total;Amsterdam;2019 2nd quarter;1610
180;Total;Amsterdam;2019 July;480
181;Total;Amsterdam;2019 August;500
182;Total;Amsterdam;2019 September;550
183;Total;Amsterdam;2019 3rd quarter;1530
184;Total;Amsterdam;2019 October;560
185;Total;Amsterdam;2019 November;460
186;Total;Amsterdam;2019 December;380
187;Total;Amsterdam;2019 4th quarter;1390
188;Total;Amsterdam;2019;5820
189;Total;Amsterdam;2020 January;370
190;Total;Amsterdam;2020 February;370
191;Total;Amsterdam;2020 March;140
192;Total;Amsterdam;2020 1st quarter;890
193;Total;Amsterdam;2020 April;20
194;Total;Amsterdam;2020 May;20
195;Total;Amsterdam;2020 June;30
196;Total;Amsterdam;2020 2nd quarter;60
197;Total;Amsterdam;2020 July;80
198;Total;Amsterdam;2020 August;80
199;Total;Amsterdam;2020 September;60
200;Total;Amsterdam;2020 3rd quarter;220
201;Total;Amsterdam;2020 October;40
202;Total;Amsterdam;2020 November;30
203;Total;Amsterdam;2020 December;30
204;Total;Amsterdam;2020 4th quarter;100
205;Total;Amsterdam;2020;1270
206;Total;Amsterdam;2021 January;30
207;Total;Amsterdam;2021 February;30
208;Total;Amsterdam;2021 March;30
209;Total;Amsterdam;2021 1th quarter;80
210;Total;Amsterdam;2021 April;30
211;Total;Amsterdam;2021 May;50
212;Total;Amsterdam;2021 June;60
213;Total;Amsterdam;2021 2nd quarter;130
214;Total;Amsterdam;2021 July;100
215;Total;Amsterdam;2021 August;110
216;Total;Amsterdam;2021 September;150
217;Total;Amsterdam;2021 3rd quarter;370
218;Total;Amsterdam;2021 October;230
219;Total;Amsterdam;2021 November;180
220;Total;Amsterdam;2021 December;60
221;Total;Amsterdam;2021 4th quarter;460
222;Total;Amsterdam;2021;1050
223;Total;Amsterdam;2022 January;60
