ID;GoodsAndServices;Periods;VolumeChanges_1;VolumeChangesShoppingdayAdjusted_2;Indices2000100_3;ValueChanges_4;ValueIndices_5;ShareInDomesticConsOfHouseholds_6;AbsoluteValueInEuroS_7
92;8000;2000 2nd quarter;3.6;;99.9;7.4;99.8;;
93;8000;2000 July;0.1;;98.3;3.6;97.8;;
94;8000;2000 August;5.8;;97.8;9.3;97.8;;
95;8000;2000 September;4.5;;99.1;8.5;99.9;;
96;8000;2000 3rd quarter;3.4;;98.4;7.1;98.5;;
97;8000;2000 October;1.0;;99.0;5.2;100.1;;
98;8000;2000 November;4.3;;101.0;8.7;102.2;;
99;8000;2000 December;3.6;;105.4;7.8;106.2;;
100;8000;2000 4th quarter;2.9;;101.8;7.2;102.8;;
101;8000;2000;3.7;;100.0;7.6;100.0;100.0;209090.0
102;8000;2001 January;1.7;;102.2;6.2;105.0;;
103;8000;2001 February;0.0;;96.3;4.6;99.6;;
104;8000;2001 March;2.2;;104.9;7.0;109.5;;
105;8000;2001 1st quarter;1.3;;101.2;5.9;104.7;;
106;8000;2001 April;0.2;;99.5;5.1;104.1;;
107;8000;2001 May;2.5;;103.1;7.5;108.2;;
108;8000;2001 June;3.1;;103.1;7.8;107.6;;
109;8000;2001 2nd quarter;1.9;;101.9;6.8;106.6;;
110;8000;2001 July;1.4;;99.7;6.0;103.7;;
111;8000;2001 August;2.7;;100.5;7.2;104.9;;
112;8000;2001 September;0.9;;100.0;5.4;105.3;;
113;8000;2001 3rd quarter;1.7;;100.1;6.2;104.6;;
114;8000;2001 October;2.9;;101.9;7.3;107.4;;
115;8000;2001 November;2.6;;103.6;6.9;109.2;;
116;8000;2001 December;0.1;;105.5;4.7;111.2;;
117;8000;2001 4th quarter;1.8;;103.7;6.3;109.3;;
118;8000;2001;1.7;;101.7;6.3;106.3;100.0;222277.0
119;8000;2002 January;2.0;1.2;104.2;5.4;110.6;;
120;8000;2002 February;1.2;1.2;97.5;4.4;104.0;;
121;8000;2002 March;0.4;1.4;105.4;3.5;113.4;;
122;8000;2002 1st quarter;1.2;1.3;102.4;4.4;109.3;;
123;8000;2002 April;1.7;1.3;101.2;4.7;109.0;;
124;8000;2002 May;1.3;0.8;104.5;3.9;112.5;;
125;8000;2002 June;0.3;1.5;103.4;3.1;110.9;;
126;8000;2002 2nd quarter;1.1;1.2;103.0;3.9;110.8;;
127;8000;2002 July;1.6;0.7;101.4;4.9;108.7;;
128;8000;2002 August;1.1;0.6;101.6;4.3;109.4;;
129;8000;2002 September;-0.2;0.7;99.7;2.9;108.4;;
130;8000;2002 3rd quarter;0.8;0.7;100.9;4.0;108.9;;
131;8000;2002 October;2.1;1.3;104.1;5.2;113.0;;
132;8000;2002 November;0.0;-0.2;103.6;2.8;112.2;;
133;8000;2002 December;0.0;0.8;105.5;2.8;114.3;;
134;8000;2002 4th quarter;0.7;0.6;104.4;3.6;113.2;;
135;8000;2002;1.0;0.9;102.7;4.0;110.5;100.0;231109.0
136;8000;2003 January;1.8;1.1;106.1;4.5;115.5;;
137;8000;2003 February;1.8;1.8;99.2;4.5;108.7;;
138;8000;2003 March;-1.4;-0.2;103.9;1.4;114.9;;
139;8000;2003 1st quarter;0.7;0.9;103.1;3.4;113.1;;
140;8000;2003 April;0.6;-0.1;101.9;3.0;112.2;;
141;8000;2003 May;0.7;0.0;105.2;2.9;115.8;;
142;8000;2003 June;-1.3;-0.2;102.0;0.8;111.8;;
143;8000;2003 2nd quarter;0.0;-0.1;103.0;2.2;113.2;;
144;8000;2003 July;-0.2;-1.0;101.1;2.1;111.0;;
145;8000;2003 August;-1.6;-0.4;99.9;0.7;110.2;;
146;8000;2003 September;0.2;-0.5;99.9;2.2;110.8;;
147;8000;2003 3rd quarter;-0.6;-0.6;100.3;1.7;110.7;;
148;8000;2003 October;0.7;0.0;104.8;3.1;116.5;;
149;8000;2003 November;-1.9;-0.5;101.6;0.5;112.8;;
150;8000;2003 December;-0.6;-1.5;104.9;1.4;115.9;;
151;8000;2003 4th quarter;-0.6;-0.7;103.8;1.6;115.0;;
152;8000;2003;-0.1;-0.1;102.5;2.2;113.0;100.0;236278.0
153;8000;2004 January;1.3;1.0;107.5;2.2;118.1;;
154;8000;2004 February;0.2;-0.1;99.5;1.2;110.0;;
155;8000;2004 March;1.4;1.1;105.3;2.1;117.3;;
156;8000;2004 1st quarter;1.0;0.7;104.1;1.8;115.1;;
