ID;RegioS;Perioden;BeginstandVoorraad_1;Nieuwbouw_2;TotaalOverigeToevoegingen_3;LateResponsNieuwbouw_4;TotaalInBestaandePanden_5;Transformatie_6;LateResponsTransformatie_7;Woningsplitsing_8;Woningsamenvoeging_9;OverigDoorVerbouw_10;TotaalAdministratief_11;CorrectieZorgvastgoed_12;CorrectieWooneenheden_13;VanLogiesfunctieNaarWoonfunctie_14;VanOverigeFunctieNaarWoonfunctie_15;OverigAdministratief_16;Sloop_17;TotaalOverigeOnttrekkingen_18;LateResponsSloop_19;TotaalInBestaandePanden_20;Woningsplitsing_21;Woningsamenvoeging_22;OverigDoorVerbouw_23;TotaalAdministratief_24;CorrectieZorgvastgoed_25;CorrectieWooneenheden_26;VanWoonNaarLogiesfunctie_27;VanWoonfunctieNaarOverigeFunctie_28;OverigAdministratief_29;SaldoVoorraad_30;EindstandVoorraad_31;SaldoWoningsplitsing_32;SaldoWoningsamenvoeging_33
0;Nederland;2012;7386745.0;48670.0;58545.0;;10360.0;6475.0;;3360.0;525.0;;48185.0;3365.0;6815.0;745.0;4840.0;32420.0;13655.0;31040.0;2015.0;2500.0;1115.0;1385.0;;26520.0;1160.0;1120.0;8055.0;6745.0;9445.0;62535.0;7449300.0;2245.0;-860.0
1;Nederland;2013;7449300.0;49310.0;70145.0;665.0;15640.0;11690.0;275.0;3165.0;510.0;;53845.0;30660.0;1380.0;825.0;2060.0;18920.0;12905.0;20540.0;2005.0;2350.0;1115.0;1235.0;;16185.0;1655.0;600.0;5470.0;1805.0;6650.0;86015.0;7535315.0;2050.0;-725.0
2;Nederland;2014;7535315.0;45170.0;36080.0;340.0;13450.0;9015.0;745.0;3160.0;530.0;;22295.0;7245.0;1535.0;605.0;1475.0;11430.0;10990.0;17620.0;1995.0;2685.0;1200.0;1490.0;;12940.0;1880.0;1045.0;2120.0;1795.0;6100.0;52645.0;7587965.0;1960.0;-960.0
3;Nederland;2015;7587965.0;48380.0;31795.0;70.0;18700.0;10770.0;985.0;3105.0;395.0;3445.0;13020.0;3215.0;1330.0;790.0;1760.0;5925.0;11520.0;15320.0;1840.0;2745.0;1140.0;990.0;615.0;10730.0;1255.0;1560.0;1785.0;1335.0;4795.0;53335.0;7641325.0;1965.0;-595.0
4;Nederland;2016;7641325.0;54850.0;33060.0;210.0;17820.0;10235.0;640.0;3095.0;415.0;3440.0;15030.0;2970.0;4190.0;645.0;1450.0;5775.0;10140.0;32920.0;2740.0;2620.0;1105.0;1040.0;470.0;27560.0;1695.0;18030.0;990.0;1365.0;5475.0;44850.0;7686180.0;1990.0;-625.0
5;Nederland;2017;7686180.0;62980.0;29525.0;60.0;17785.0;10235.0;275.0;2915.0;525.0;3835.0;11680.0;2030.0;3840.0;185.0;1195.0;4430.0;12860.0;24835.0;2565.0;3005.0;1105.0;1360.0;540.0;19265.0;1790.0;10800.0;1090.0;850.0;4735.0;54805.0;7740985.0;1810.0;-835.0
6;Nederland;2018;7740985.0;66585.0;28680.0;195.0;19895.0;12210.0;310.0;2880.0;590.0;3905.0;8590.0;1335.0;1055.0;225.0;1485.0;4490.0;8760.0;12585.0;1980.0;3005.0;1075.0;1290.0;640.0;7595.0;820.0;810.0;1365.0;710.0;3885.0;73920.0;7814910.0;1805.0;-700.0
7;Nederland;2019;7814910.0;71550.0;29265.0;60.0;19655.0;12480.0;305.0;3010.0;435.0;3425.0;9550.0;1455.0;1220.0;225.0;1320.0;5330.0;10685.0;13260.0;1625.0;2690.0;1155.0;1020.0;515.0;8950.0;1300.0;755.0;1450.0;815.0;4630.0;76870.0;7891785.0;1855.0;-585.0
8;Nederland;2020;7891785.0;69985.0;24695.0;95.0;16415.0;10215.0;375.0;2645.0;275.0;2905.0;8180.0;1305.0;960.0;390.0;1385.0;4135.0;10245.0;9890.0;1385.0;2155.0;1000.0;730.0;420.0;6350.0;800.0;330.0;890.0;655.0;3680.0;74545.0;7966330.0;1645.0;-455.0
9;Nederland;2021;7966330.0;71220.0;27520.0;35.0;19825.0;10480.0;565.0;3565.0;320.0;4895.0;7660.0;1325.0;845.0;510.0;1520.0;3460.0;9925.0;9565.0;860.0;2700.0;1365.0;815.0;525.0;6005.0;770.0;605.0;565.0;665.0;3400.0;79250.0;8045580.0;2200.0;-495.0
10;Nederland;2022;8045580.0;74560.0;25870.0;90.0;17560.0;9565.0;370.0;3295.0;265.0;4065.0;8220.0;1620.0;1185.0;245.0;1845.0;3325.0;10560.0;10220.0;935.0;2420.0;1235.0;735.0;450.0;6865.0;1040.0;555.0;1390.0;610.0;3275.0;79650.0;8125230.0;2060.0;-470.0
11;Groningen (PV);2012;265330.0;805.0;3045.0;;845.0;660.0;;180.0;5.0;;2200.0;150.0;185.0;0.0;65.0;1800.0;400.0;1315.0;160.0;110.0;70.0;40.0;;1045.0;130.0;30.0;215.0;410.0;260.0;2135.0;267465.0;110.0;-35.0
12;Groningen (PV);2013;267465.0;1455.0;3475.0;30.0;825.0;695.0;20.0;105.0;5.0;;2625.0;1535.0;95.0;5.0;135.0;855.0;560.0;750.0;120.0;45.0;30.0;15.0;;580.0;40.0;25.0;230.0;100.0;185.0;3620.0;271085.0;75.0;-10.0
13;Groningen (PV);2014;271085.0;1090.0;2080.0;0.0;1280.0;1055.0;10.0;165.0;50.0;;795.0;250.0;100.0;0.0;30.0;420.0;265.0;1215.0;130.0;250.0;50.0;200.0;;840.0;40.0;100.0;0.0;100.0;600.0;1685.0;272775.0;115.0;-150.0
14;Groningen (PV);2015;272775.0;1460.0;1325.0;0.0;880.0;490.0;30.0;165.0;15.0;180.0;445.0;135.0;100.0;0.0;45.0;170.0;310.0;545.0;135.0;115.0;55.0;40.0;15.0;300.0;15.0;15.0;0.0;60.0;205.0;1930.0;274720.0;110.0;-25.0
15;Groningen (PV);2016;274720.0;1715.0;1260.0;0.0;960.0;455.0;25.0;340.0;10.0;135.0;295.0;25.0;140.0;0.0;25.0;100.0;525.0;445.0;70.0;185.0;140.0;20.0;25.0;185.0;10.0;75.0;0.0;15.0;85.0;2005.0;276730.0;200.0;-10.0
16;Groningen (PV);2017;276730.0;1715.0;1810.0;0.0;975.0;455.0;10.0;320.0;45.0;150.0;835.0;80.0;595.0;0.0;40.0;120.0;275.0;2865.0;65.0;245.0;125.0;95.0;25.0;2555.0;45.0;2280.0;5.0;60.0;170.0;385.0;277115.0;195.0;-50.0
17;Groningen (PV);2018;277115.0;2140.0;1560.0;75.0;1020.0;325.0;30.0;430.0;10.0;220.0;465.0;115.0;130.0;0.0;95.0;125.0;540.0;610.0;50.0;235.0;170.0;35.0;30.0;325.0;25.0;145.0;5.0;35.0;120.0;2550.0;279660.0;260.0;-25.0
