ID;SICOrInstitutionalSector;TypeOfCapitalAsset;Periods;CapitalStockOpeningBalanceSheet_1;Revaluation_2;InvestInFixedAssetsProdAndImport_3;Depreciation_4;TradeAndOtherChanges_5;StatisticalDiscrepancy_6;CapitalStockClosingBalanceSheet_7;VolumeIndices2021100_8
0;A-U All economic activities;Total capital stock;1995;961421.0;32796.0;69719.0;52833.0;-1268.0;0.0;1009835.0;66.6
1;A-U All economic activities;Total capital stock;1996;1009835.0;24921.0;75047.0;54636.0;-1177.0;-1.0;1053989.0;67.8
2;A-U All economic activities;Total capital stock;1997;1053989.0;19491.0;80777.0;57022.0;-1351.0;-1.0;1095883.0;69.2
3;A-U All economic activities;Total capital stock;1998;1095883.0;24066.0;87287.0;59840.0;-1357.0;0.0;1146039.0;70.8
4;A-U All economic activities;Total capital stock;1999;1146039.0;32246.0;97195.0;63647.0;-1381.0;0.0;1210452.0;72.8
5;A-U All economic activities;Total capital stock;2000;1210452.0;55834.0;102972.0;69100.0;-1318.0;0.0;1298840.0;74.6
6;A-U All economic activities;Total capital stock;2001;1298840.0;64924.0;108426.0;74568.0;-1975.0;0.0;1395647.0;76.4
7;A-U All economic activities;Total capital stock;2002;1395647.0;64723.0;107485.0;79465.0;-1937.0;0.0;1486453.0;77.7
8;A-U All economic activities;Total capital stock;2003;1486453.0;45594.0;107773.0;82836.0;-2266.0;-1.0;1554717.0;78.9
9;A-U All economic activities;Total capital stock;2004;1554717.0;31623.0;109457.0;85821.0;-2366.0;1.0;1607611.0;80.0
10;A-U All economic activities;Total capital stock;2005;1607611.0;31645.0;115566.0;88841.0;-3387.0;0.0;1662594.0;81.1
11;A-U All economic activities;Total capital stock;2006;1662594.0;50478.0;125946.0;92764.0;-3269.0;0.0;1742985.0;82.5
12;A-U All economic activities;Total capital stock;2007;1742985.0;37429.0;146945.0;97501.0;-3242.0;-1.0;1826615.0;84.6
13;A-U All economic activities;Total capital stock;2008;1826615.0;55890.0;145874.0;102874.0;-3187.0;0.0;1922318.0;86.4
14;A-U All economic activities;Total capital stock;2009;1922318.0;48256.0;136293.0;106739.0;-3645.0;-1.0;1996482.0;87.6
15;A-U All economic activities;Total capital stock;2010;1996482.0;31267.0;128218.0;109568.0;-3408.0;-1.0;2042990.0;88.2
16;A-U All economic activities;Total capital stock;2011;2042990.0;-19910.0;134029.0;109889.0;-3436.0;0.0;2043784.0;89.1
17;A-U All economic activities;Total capital stock;2012;2043784.0;-10235.0;125250.0;110834.0;-3041.0;0.0;2044924.0;89.6
18;A-U All economic activities;Total capital stock;2013;2044924.0;-2699.0;126095.0;112775.0;-5155.0;0.0;2050390.0;90.0
19;A-U All economic activities;Total capital stock;2014;2050390.0;-19673.0;123432.0;113838.0;-5606.0;1.0;2034706.0;90.2
20;A-U All economic activities;Total capital stock;2015;2034706.0;-23583.0;163953.0;115177.0;-14783.0;0.0;2045116.0;91.7
21;A-U All economic activities;Total capital stock;2016;2045116.0;-2879.0;141854.0;117405.0;-3086.0;1.0;2063601.0;92.7
22;A-U All economic activities;Total capital stock;2017;2063601.0;13602.0;151124.0;120212.0;-2893.0;0.0;2105222.0;93.9
23;A-U All economic activities;Total capital stock;2018;2105222.0;65964.0;161602.0;125571.0;-4623.0;-1.0;2202593.0;95.3
24;A-U All economic activities;Total capital stock;2019;2202593.0;81021.0;177365.0;131351.0;-3990.0;0.0;2325638.0;97.0
25;A-U All economic activities;Total capital stock;2020;2325638.0;84915.0;177592.0;137279.0;-4117.0;1.0;2446750.0;98.5
26;A-U All economic activities;Total capital stock;2021;2446750.0;110042.0;189188.0;144622.0;-4920.0;0.0;2596438.0;100.0
27;A-U All economic activities;Total capital stock;2022;2596438.0;168601.0;208818.0;157386.0;-5563.0;0.0;2810908.0;101.7
28;A-U All economic activities;Total capital stock;2023;2810909.0;124400.0;220480.0;167046.0;-6109.0;-1.0;2982633.0;103.3
29;A-U All economic activities;Dwellings;1995;388564.0;20379.0;17403.0;8323.0;70.0;0.0;418093.0;66.1
30;A-U All economic activities;Dwellings;1996;418093.0;14718.0;18855.0;8944.0;48.0;0.0;442770.0;67.6
31;A-U All economic activities;Dwellings;1997;442770.0;10163.0;20551.0;9531.0;74.0;0.0;464027.0;69.3
32;A-U All economic activities;Dwellings;1998;464027.0;13261.0;21573.0;10219.0;100.0;1.0;488743.0;70.9
33;A-U All economic activities;Dwellings;1999;488743.0;20489.0;23327.0;11149.0;52.0;0.0;521462.0;72.6
34;A-U All economic activities;Dwellings;2000;521462.0;31123.0;25245.0;12345.0;133.0;1.0;565619.0;74.3
35;A-U All economic activities;Dwellings;2001;565619.0;36807.0;27819.0;13662.0;115.0;-1.0;616697.0;76.1
36;A-U All economic activities;Dwellings;2002;616697.0;37128.0;27892.0;14983.0;89.0;0.0;666823.0;77.6
37;A-U All economic activities;Dwellings;2003;666823.0;31695.0;27998.0;16131.0;123.0;0.0;710508.0;78.9
38;A-U All economic activities;Dwellings;2004;710508.0;21869.0;30214.0;17106.0;50.0;0.0;745535.0;80.4
39;A-U All economic activities;Dwellings;2005;745535.0;18538.0;32778.0;18050.0;65.0;-1.0;778865.0;81.9
40;A-U All economic activities;Dwellings;2006;778865.0;28561.0;36050.0;19261.0;78.0;-1.0;824292.0;83.6
41;A-U All economic activities;Dwellings;2007;824292.0;15221.0;38661.0;20247.0;90.0;0.0;858017.0;85.5
42;A-U All economic activities;Dwellings;2008;858017.0;24527.0;40052.0;21374.0;55.0;0.0;901277.0;87.3
43;A-U All economic activities;Dwellings;2009;901277.0;30389.0;35168.0;22351.0;77.0;-1.0;944559.0;88.5
44;A-U All economic activities;Dwellings;2010;944559.0;10656.0;29874.0;22923.0;25.0;1.0;962192.0;89.1
45;A-U All economic activities;Dwellings;2011;962192.0;-27293.0;27658.0;22011.0;71.0;0.0;940617.0;89.7
46;A-U All economic activities;Dwellings;2012;940617.0;-19074.0;23421.0;21217.0;58.0;1.0;923806.0;89.9
47;A-U All economic activities;Dwellings;2013;923806.0;-14375.0;20278.0;21010.0;49.0;0.0;908748.0;89.8
48;A-U All economic activities;Dwellings;2014;908748.0;-25084.0;21052.0;20657.0;73.0;1.0;884133.0;89.9
49;A-U All economic activities;Dwellings;2015;884133.0;-24565.0;24578.0;20395.0;58.0;0.0;863809.0;90.3
50;A-U All economic activities;Dwellings;2016;863809.0;-3450.0;30573.0;20669.0;298.0;0.0;870561.0;91.4
51;A-U All economic activities;Dwellings;2017;870561.0;-655.0;34596.0;21144.0;31.0;0.0;883389.0;92.8
52;A-U All economic activities;Dwellings;2018;883389.0;40438.0;39548.0;22576.0;34.0;0.0;940833.0;94.5
53;A-U All economic activities;Dwellings;2019;940833.0;49801.0;43148.0;24134.0;26.0;-1.0;1009673.0;96.3
54;A-U All economic activities;Dwellings;2020;1009673.0;59078.0;45220.0;25960.0;21.0;0.0;1088032.0;98.1
55;A-U All economic activities;Dwellings;2021;1088032.0;60709.0;50509.0;27924.0;24.0;0.0;1171350.0;100.0
56;A-U All economic activities;Dwellings;2022;1171350.0;65980.0;54753.0;30811.0;47.0;-1.0;1261318.0;101.9
57;A-U All economic activities;Dwellings;2023;1261318.0;54584.0;55562.0;32027.0;15.0;1.0;1339453.0;103.8
58;A-U All economic activities;Non-residential buildings;1995;187792.0;11967.0;10216.0;9051.0;-70.0;0.0;200854.0;81.7
59;A-U All economic activities;Non-residential buildings;1996;200854.0;7057.0;10175.0;9461.0;-48.0;0.0;208577.0;81.9
60;A-U All economic activities;Non-residential buildings;1997;208577.0;4653.0;10805.0;9765.0;-74.0;0.0;214196.0;82.3
61;A-U All economic activities;Non-residential buildings;1998;214196.0;5877.0;11947.0;10146.0;-76.0;-1.0;221797.0;83.0
62;A-U All economic activities;Non-residential buildings;1999;221797.0;6820.0;13600.0;10605.0;-52.0;1.0;231561.0;84.0
63;A-U All economic activities;Non-residential buildings;2000;231561.0;11782.0;15358.0;11347.0;-133.0;0.0;247221.0;85.4
64;A-U All economic activities;Non-residential buildings;2001;247221.0;14637.0;16541.0;12244.0;-115.0;-1.0;266039.0;86.7
65;A-U All economic activities;Non-residential buildings;2002;266039.0;12605.0;17292.0;13033.0;-89.0;1.0;282815.0;88.0
66;A-U All economic activities;Non-residential buildings;2003;282815.0;6480.0;17130.0;13541.0;-123.0;0.0;292761.0;89.1
67;A-U All economic activities;Non-residential buildings;2004;292761.0;5288.0;16383.0;13976.0;-50.0;0.0;300406.0;89.8
68;A-U All economic activities;Non-residential buildings;2005;300406.0;7033.0;16609.0;14457.0;-65.0;1.0;309527.0;90.4
69;A-U All economic activities;Non-residential buildings;2006;309527.0;10555.0;17728.0;15111.0;-78.0;0.0;322621.0;91.1
70;A-U All economic activities;Non-residential buildings;2007;322621.0;7855.0;20434.0;15672.0;-95.0;0.0;335143.0;92.4
71;A-U All economic activities;Non-residential buildings;2008;335143.0;12043.0;22774.0;16497.0;-55.0;0.0;353408.0;94.1
72;A-U All economic activities;Non-residential buildings;2009;353408.0;14185.0;22276.0;17426.0;-114.0;1.0;372330.0;95.3
73;A-U All economic activities;Non-residential buildings;2010;372330.0;7527.0;19771.0;17966.0;-25.0;0.0;381637.0;95.7
74;A-U All economic activities;Non-residential buildings;2011;381637.0;-328.0;20192.0;18059.0;-106.0;0.0;383336.0;96.2
75;A-U All economic activities;Non-residential buildings;2012;383336.0;-1843.0;18297.0;18061.0;-70.0;0.0;381659.0;96.3
76;A-U All economic activities;Non-residential buildings;2013;381659.0;5554.0;17452.0;18415.0;-78.0;1.0;386173.0;96.0
77;A-U All economic activities;Non-residential buildings;2014;386173.0;1467.0;17348.0;18527.0;-73.0;-1.0;386387.0;95.7
78;A-U All economic activities;Non-residential buildings;2015;386387.0;-7838.0;17507.0;18187.0;-101.0;-1.0;377767.0;95.5
79;A-U All economic activities;Non-residential buildings;2016;377767.0;-3253.0;18360.0;18098.0;-362.0;0.0;374414.0;95.5
80;A-U All economic activities;Non-residential buildings;2017;374414.0;109.0;19503.0;18157.0;-82.0;0.0;375787.0;95.8
81;A-U All economic activities;Non-residential buildings;2018;375787.0;5331.0;21117.0;18532.0;-34.0;0.0;383669.0;96.4
82;A-U All economic activities;Non-residential buildings;2019;383669.0;9357.0;24105.0;19190.0;0.0;0.0;397941.0;97.6
83;A-U All economic activities;Non-residential buildings;2020;397941.0;15779.0;25141.0;20195.0;-21.0;0.0;418645.0;98.8
84;A-U All economic activities;Non-residential buildings;2021;418645.0;14228.0;26369.0;21103.0;-24.0;1.0;438116.0;100.0
85;A-U All economic activities;Non-residential buildings;2022;438116.0;14242.0;29807.0;22081.0;-47.0;-1.0;460036.0;101.7
86;A-U All economic activities;Non-residential buildings;2023;460036.0;25577.0;31543.0;23639.0;-15.0;0.0;493502.0;103.3
87;A-U All economic activities;Civil engineering works;1995;166362.0;129.0;7124.0;5129.0;0.0;-1.0;168485.0;64.3
