ID;Klimaatsectoren;EmissiesNaarLucht;Perioden;EmissieBroeikasgassen_1
0;Totaal klimaatsectoren;Totaal broeikasgassen;1990;227.5
1;Totaal klimaatsectoren;Totaal broeikasgassen;1991 ;235.5
2;Totaal klimaatsectoren;Totaal broeikasgassen;1992;235.8
3;Totaal klimaatsectoren;Totaal broeikasgassen;1993 ;236.1
4;Totaal klimaatsectoren;Totaal broeikasgassen;1994 ;236.7
5;Totaal klimaatsectoren;Totaal broeikasgassen;1995;236.5
6;Totaal klimaatsectoren;Totaal broeikasgassen;1996 ;246.7
7;Totaal klimaatsectoren;Totaal broeikasgassen;1997 ;238.1
8;Totaal klimaatsectoren;Totaal broeikasgassen;1998 ;238.7
9;Totaal klimaatsectoren;Totaal broeikasgassen;1999 ;226.0
10;Totaal klimaatsectoren;Totaal broeikasgassen;2000;224.6
11;Totaal klimaatsectoren;Totaal broeikasgassen;2001;226.1
12;Totaal klimaatsectoren;Totaal broeikasgassen;2002;224.0
13;Totaal klimaatsectoren;Totaal broeikasgassen;2003;224.0
14;Totaal klimaatsectoren;Totaal broeikasgassen;2004;225.7
15;Totaal klimaatsectoren;Totaal broeikasgassen;2005;219.8
16;Totaal klimaatsectoren;Totaal broeikasgassen;2006;214.5
17;Totaal klimaatsectoren;Totaal broeikasgassen;2007;213.4
18;Totaal klimaatsectoren;Totaal broeikasgassen;2008;213.6
19;Totaal klimaatsectoren;Totaal broeikasgassen;2009;207.7
20;Totaal klimaatsectoren;Totaal broeikasgassen;2010;219.3
21;Totaal klimaatsectoren;Totaal broeikasgassen;2011;205.3
22;Totaal klimaatsectoren;Totaal broeikasgassen;2012;200.9
23;Totaal klimaatsectoren;Totaal broeikasgassen;2013;199.9
24;Totaal klimaatsectoren;Totaal broeikasgassen;2014;192.6
25;Totaal klimaatsectoren;Totaal broeikasgassen;2015;199.9
26;Totaal klimaatsectoren;Totaal broeikasgassen;2016;200.2
27;Totaal klimaatsectoren;Totaal broeikasgassen;2017;196.7
28;Totaal klimaatsectoren;Totaal broeikasgassen;2018;191.4
29;Totaal klimaatsectoren;Totaal broeikasgassen;2019;185.2
30;Totaal klimaatsectoren;Totaal broeikasgassen;2020;168.3
