ID;Periods;TermsOfTrade_1;ImportPrices_2;ExportPrices_3;TermsOfTrade_4;ImportPrices_5;ExportPrices_6
0;1995 January;93.2;93.0;86.7;;;
1;1995 February;94.1;92.8;87.4;;;
2;1995 March;96.1;93.0;89.4;;;
3;1995 1st quarter;94.5;92.9;87.9;;;
4;1995 April;94.2;92.9;87.5;;;
5;1995 May;96.3;91.2;87.8;;;
6;1995 June;96.9;90.3;87.5;;;
7;1995 2nd quarter;95.8;91.4;87.6;;;
8;1995 July;97.1;91.0;88.4;;;
9;1995 August;98.0;91.8;89.9;;;
10;1995 September;96.4;92.7;89.3;;;
11;1995 3rd quarter;97.2;91.8;89.2;;;
12;1995 October;96.1;93.2;89.6;;;
13;1995 November;94.3;94.7;89.2;;;
14;1995 December;92.8;97.1;90.1;;;
15;1995 4th quarter;94.4;94.9;89.6;;;
16;1995;95.5;92.8;88.6;;;
17;1996 January;93.5;91.3;85.3;0.3;-1.8;-1.6
18;1996 February;94.7;90.9;86.1;0.6;-2.1;-1.5
19;1996 March;96.0;93.0;89.2;-0.1;0.0;-0.2
20;1996 1st quarter;94.7;91.7;86.9;0.2;-1.3;-1.1
21;1996 April;94.3;93.7;88.4;0.1;0.9;1.0
22;1996 May;97.4;91.2;88.8;1.1;0.0;1.1
23;1996 June;97.5;90.3;88.0;0.6;0.0;0.6
24;1996 2nd quarter;96.4;91.7;88.4;0.6;0.3;0.9
25;1996 July;97.4;91.5;89.2;0.3;0.6;0.9
26;1996 August;98.3;92.0;90.5;0.4;0.2;0.6
27;1996 September;97.3;93.6;91.1;0.9;1.0;1.9
28;1996 3rd quarter;97.7;92.4;90.2;0.5;0.6;1.1
29;1996 October;95.8;95.8;91.8;-0.4;2.8;2.4
30;1996 November;94.2;96.6;91.0;-0.1;2.0;1.9
31;1996 December;92.5;99.4;92.0;-0.3;2.4;2.1
32;1996 4th quarter;94.2;97.2;91.6;-0.3;2.4;2.1
33;1996;95.7;93.3;89.3;0.2;0.5;0.8
34;1997 January;93.5;93.8;87.7;0.0;2.8;2.8
35;1997 February;94.3;93.4;88.0;-0.4;2.7;2.3
36;1997 March;96.7;93.9;90.8;0.8;1.0;1.8
37;1997 1st quarter;94.8;93.7;88.9;0.1;2.1;2.2
38;1997 April;95.7;93.8;89.8;1.5;0.1;1.6
39;1997 May;98.3;92.2;90.7;1.0;1.2;2.1
40;1997 June;98.2;91.7;90.0;0.7;1.5;2.3
41;1997 2nd quarter;97.4;92.6;90.2;1.0;0.9;2.0
42;1997 July;97.6;94.3;92.0;0.2;3.1;3.2
43;1997 August;99.1;95.3;94.4;0.8;3.6;4.4
44;1997 September;98.2;95.2;93.6;1.0;1.8;2.8
45;1997 3rd quarter;98.3;95.0;93.3;0.6;2.8;3.4
46;1997 October;97.9;96.8;94.8;2.2;1.0;3.3
47;1997 November;96.7;97.4;94.2;2.7;0.8;3.6
48;1997 December;95.6;98.6;94.2;3.3;-0.8;2.5
49;1997 4th quarter;96.7;97.6;94.4;2.7;0.4;3.1
50;1997;96.8;94.7;91.7;1.2;1.5;2.7
51;1998 January;95.6;93.1;88.9;2.2;-0.8;1.4
52;1998 February;96.5;92.1;88.8;2.3;-1.3;0.9
53;1998 March;98.4;92.9;91.3;1.7;-1.1;0.6
54;1998 1st quarter;96.8;92.7;89.8;2.1;-1.1;1.0
55;1998 April;96.8;92.8;89.8;1.2;-1.1;0.0
56;1998 May;98.8;90.4;89.3;0.5;-2.0;-1.5
57;1998 June;99.7;88.8;88.5;1.5;-3.1;-1.6
58;1998 2nd quarter;98.4;90.6;89.2;1.1;-2.1;-1.0
59;1998 July;100.4;89.7;90.1;2.9;-4.9;-2.1
60;1998 August;100.8;89.7;90.4;1.7;-5.9;-4.3
61;1998 September;99.5;89.9;89.4;1.3;-5.6;-4.4
62;1998 3rd quarter;100.2;89.8;89.9;1.9;-5.5;-3.6
63;1998 October;98.5;90.7;89.3;0.6;-6.3;-5.8
64;1998 November;97.2;91.3;88.7;0.5;-6.3;-5.8
