ID;Geslacht;Onderwijssoort;Vooropleiding;Opleidingsfase;Perioden;Eerstejaarsstudenten_1
0;Totaal mannen en vrouwen;Hoger onderwijs;Totaal vooropleiding;Opleidingsfase totaal;2011/'12;135110.0
1;Totaal mannen en vrouwen;Hoger onderwijs;Totaal vooropleiding;Opleidingsfase totaal;2012/'13;133700.0
2;Totaal mannen en vrouwen;Hoger onderwijs;Totaal vooropleiding;Opleidingsfase totaal;2013/'14;143390.0
3;Totaal mannen en vrouwen;Hoger onderwijs;Totaal vooropleiding;Opleidingsfase totaal;2014/'15;138640.0
4;Totaal mannen en vrouwen;Hoger onderwijs;Totaal vooropleiding;Opleidingsfase totaal;2015/'16;132070.0
5;Totaal mannen en vrouwen;Hoger onderwijs;Totaal vooropleiding;Opleidingsfase totaal;2016/'17;141330.0
6;Totaal mannen en vrouwen;Hoger onderwijs;Totaal vooropleiding;Opleidingsfase totaal;2017/'18;151010.0
7;Totaal mannen en vrouwen;Hoger onderwijs;Totaal vooropleiding;Opleidingsfase totaal;2018/'19;156780.0
8;Totaal mannen en vrouwen;Hoger onderwijs;Totaal vooropleiding;Opleidingsfase totaal;2019/'20;159310.0
9;Totaal mannen en vrouwen;Hoger onderwijs;Totaal vooropleiding;Opleidingsfase totaal;2020/'21;176970.0
10;Totaal mannen en vrouwen;Hoger onderwijs;Totaal vooropleiding;Opleidingsfase totaal;2021/'22;164870.0
11;Totaal mannen en vrouwen;Hoger onderwijs;Totaal vooropleiding;Opleidingsfase totaal;2022/'23;154900.0
12;Totaal mannen en vrouwen;Hoger onderwijs;Totaal vooropleiding;Opleidingsfase totaal;2023/'24;152340.0
13;Totaal mannen en vrouwen;Hoger onderwijs;Totaal vooropleiding;Opleidingsfase totaal;2024/'25;152660.0
14;Totaal mannen en vrouwen;Hoger onderwijs;Totaal vooropleiding;Bachelor- en doctoraalopleidingen;2011/'12;127920.0
15;Totaal mannen en vrouwen;Hoger onderwijs;Totaal vooropleiding;Bachelor- en doctoraalopleidingen;2012/'13;126060.0
16;Totaal mannen en vrouwen;Hoger onderwijs;Totaal vooropleiding;Bachelor- en doctoraalopleidingen;2013/'14;135410.0
17;Totaal mannen en vrouwen;Hoger onderwijs;Totaal vooropleiding;Bachelor- en doctoraalopleidingen;2014/'15;129990.0
18;Totaal mannen en vrouwen;Hoger onderwijs;Totaal vooropleiding;Bachelor- en doctoraalopleidingen;2015/'16;121940.0
19;Totaal mannen en vrouwen;Hoger onderwijs;Totaal vooropleiding;Bachelor- en doctoraalopleidingen;2016/'17;130110.0
20;Totaal mannen en vrouwen;Hoger onderwijs;Totaal vooropleiding;Bachelor- en doctoraalopleidingen;2017/'18;138920.0
21;Totaal mannen en vrouwen;Hoger onderwijs;Totaal vooropleiding;Bachelor- en doctoraalopleidingen;2018/'19;144090.0
22;Totaal mannen en vrouwen;Hoger onderwijs;Totaal vooropleiding;Bachelor- en doctoraalopleidingen;2019/'20;146430.0
23;Totaal mannen en vrouwen;Hoger onderwijs;Totaal vooropleiding;Bachelor- en doctoraalopleidingen;2020/'21;163650.0
24;Totaal mannen en vrouwen;Hoger onderwijs;Totaal vooropleiding;Bachelor- en doctoraalopleidingen;2021/'22;149380.0
25;Totaal mannen en vrouwen;Hoger onderwijs;Totaal vooropleiding;Bachelor- en doctoraalopleidingen;2022/'23;141330.0
26;Totaal mannen en vrouwen;Hoger onderwijs;Totaal vooropleiding;Bachelor- en doctoraalopleidingen;2023/'24;138590.0
27;Totaal mannen en vrouwen;Hoger onderwijs;Totaal vooropleiding;Bachelor- en doctoraalopleidingen;2024/'25;138820.0
28;Totaal mannen en vrouwen;Hoger onderwijs;Totaal vooropleiding;Master- en vervolgopleidingen;2011/'12;7200.0
29;Totaal mannen en vrouwen;Hoger onderwijs;Totaal vooropleiding;Master- en vervolgopleidingen;2012/'13;7640.0
30;Totaal mannen en vrouwen;Hoger onderwijs;Totaal vooropleiding;Master- en vervolgopleidingen;2013/'14;7980.0
31;Totaal mannen en vrouwen;Hoger onderwijs;Totaal vooropleiding;Master- en vervolgopleidingen;2014/'15;8650.0
32;Totaal mannen en vrouwen;Hoger onderwijs;Totaal vooropleiding;Master- en vervolgopleidingen;2015/'16;10120.0
33;Totaal mannen en vrouwen;Hoger onderwijs;Totaal vooropleiding;Master- en vervolgopleidingen;2016/'17;11210.0
34;Totaal mannen en vrouwen;Hoger onderwijs;Totaal vooropleiding;Master- en vervolgopleidingen;2017/'18;12090.0
35;Totaal mannen en vrouwen;Hoger onderwijs;Totaal vooropleiding;Master- en vervolgopleidingen;2018/'19;12690.0
36;Totaal mannen en vrouwen;Hoger onderwijs;Totaal vooropleiding;Master- en vervolgopleidingen;2019/'20;12870.0
37;Totaal mannen en vrouwen;Hoger onderwijs;Totaal vooropleiding;Master- en vervolgopleidingen;2020/'21;13320.0
38;Totaal mannen en vrouwen;Hoger onderwijs;Totaal vooropleiding;Master- en vervolgopleidingen;2021/'22;15490.0
39;Totaal mannen en vrouwen;Hoger onderwijs;Totaal vooropleiding;Master- en vervolgopleidingen;2022/'23;13560.0
40;Totaal mannen en vrouwen;Hoger onderwijs;Totaal vooropleiding;Master- en vervolgopleidingen;2023/'24;13750.0
41;Totaal mannen en vrouwen;Hoger onderwijs;Totaal vooropleiding;Master- en vervolgopleidingen;2024/'25;13840.0
42;Totaal mannen en vrouwen;Hoger onderwijs;Havo-diploma;Opleidingsfase totaal;2011/'12;43740.0
43;Totaal mannen en vrouwen;Hoger onderwijs;Havo-diploma;Opleidingsfase totaal;2012/'13;43620.0
44;Totaal mannen en vrouwen;Hoger onderwijs;Havo-diploma;Opleidingsfase totaal;2013/'14;47380.0
45;Totaal mannen en vrouwen;Hoger onderwijs;Havo-diploma;Opleidingsfase totaal;2014/'15;46140.0
46;Totaal mannen en vrouwen;Hoger onderwijs;Havo-diploma;Opleidingsfase totaal;2015/'16;42330.0
47;Totaal mannen en vrouwen;Hoger onderwijs;Havo-diploma;Opleidingsfase totaal;2016/'17;45750.0
48;Totaal mannen en vrouwen;Hoger onderwijs;Havo-diploma;Opleidingsfase totaal;2017/'18;45790.0
49;Totaal mannen en vrouwen;Hoger onderwijs;Havo-diploma;Opleidingsfase totaal;2018/'19;47020.0
50;Totaal mannen en vrouwen;Hoger onderwijs;Havo-diploma;Opleidingsfase totaal;2019/'20;47320.0
51;Totaal mannen en vrouwen;Hoger onderwijs;Havo-diploma;Opleidingsfase totaal;2020/'21;53340.0
52;Totaal mannen en vrouwen;Hoger onderwijs;Havo-diploma;Opleidingsfase totaal;2021/'22;44040.0
53;Totaal mannen en vrouwen;Hoger onderwijs;Havo-diploma;Opleidingsfase totaal;2022/'23;41140.0
54;Totaal mannen en vrouwen;Hoger onderwijs;Havo-diploma;Opleidingsfase totaal;2023/'24;40600.0
55;Totaal mannen en vrouwen;Hoger onderwijs;Havo-diploma;Opleidingsfase totaal;2024/'25;43440.0
56;Totaal mannen en vrouwen;Hoger onderwijs;Havo-diploma;Bachelor- en doctoraalopleidingen;2011/'12;43730.0
57;Totaal mannen en vrouwen;Hoger onderwijs;Havo-diploma;Bachelor- en doctoraalopleidingen;2012/'13;43610.0
58;Totaal mannen en vrouwen;Hoger onderwijs;Havo-diploma;Bachelor- en doctoraalopleidingen;2013/'14;47370.0
59;Totaal mannen en vrouwen;Hoger onderwijs;Havo-diploma;Bachelor- en doctoraalopleidingen;2014/'15;46130.0
60;Totaal mannen en vrouwen;Hoger onderwijs;Havo-diploma;Bachelor- en doctoraalopleidingen;2015/'16;42320.0
61;Totaal mannen en vrouwen;Hoger onderwijs;Havo-diploma;Bachelor- en doctoraalopleidingen;2016/'17;45740.0
62;Totaal mannen en vrouwen;Hoger onderwijs;Havo-diploma;Bachelor- en doctoraalopleidingen;2017/'18;45770.0
63;Totaal mannen en vrouwen;Hoger onderwijs;Havo-diploma;Bachelor- en doctoraalopleidingen;2018/'19;47010.0
64;Totaal mannen en vrouwen;Hoger onderwijs;Havo-diploma;Bachelor- en doctoraalopleidingen;2019/'20;47300.0
65;Totaal mannen en vrouwen;Hoger onderwijs;Havo-diploma;Bachelor- en doctoraalopleidingen;2020/'21;53330.0
66;Totaal mannen en vrouwen;Hoger onderwijs;Havo-diploma;Bachelor- en doctoraalopleidingen;2021/'22;44020.0
67;Totaal mannen en vrouwen;Hoger onderwijs;Havo-diploma;Bachelor- en doctoraalopleidingen;2022/'23;41130.0
