ID;Afvalsoort;RegioS;Perioden;HuishoudelijkRestafvalKgPerInwoner_1;HuishoudelijkRestafvalTonnages_2
0;Huishoudelijk restafval;Aa en Hunze;2023;;
1;Huishoudelijk restafval;Aalsmeer;2023;161.0;5324.0
2;Huishoudelijk restafval;Aalten;2023;;
3;Huishoudelijk restafval;Achtkarspelen;2023;204.1;5745.2
4;Huishoudelijk restafval;Alblasserdam;2023;;
5;Huishoudelijk restafval;Albrandswaard;2023;166.4;4386.8
6;Huishoudelijk restafval;Alkmaar;2023;16.0;1789.3
7;Huishoudelijk restafval;Almelo;2023;;
8;Huishoudelijk restafval;Almere;2023;80.1;17851.6
9;Huishoudelijk restafval;Alphen aan den Rijn;2023;;
10;Huishoudelijk restafval;Alphen-Chaam;2023;;
11;Huishoudelijk restafval;Altena;2023;;
12;Huishoudelijk restafval;Ameland;2023;552.1;2120.1
13;Huishoudelijk restafval;Amersfoort;2023;;
14;Huishoudelijk restafval;Amstelveen;2023;;
15;Huishoudelijk restafval;Amsterdam;2023;27.7;25420.0
16;Huishoudelijk restafval;Apeldoorn;2023;;
17;Huishoudelijk restafval;Arnhem;2023;;
18;Huishoudelijk restafval;Assen;2023;;
19;Huishoudelijk restafval;Asten;2023;;
20;Huishoudelijk restafval;Baarle-Nassau;2023;;
21;Huishoudelijk restafval;Baarn;2023;124.5;3114.0
22;Huishoudelijk restafval;Barendrecht;2023;191.2;9334.4
23;Huishoudelijk restafval;Barneveld;2023;;
24;Huishoudelijk restafval;Beek (L.);2023;11.2;180.2
25;Huishoudelijk restafval;Beekdaelen;2023;;
26;Huishoudelijk restafval;Beesel;2023;;
27;Huishoudelijk restafval;Berg en Dal;2023;;
28;Huishoudelijk restafval;Bergeijk;2023;;
29;Huishoudelijk restafval;Bergen (L.);2023;;
30;Huishoudelijk restafval;Bergen (NH.);2023;;
31;Huishoudelijk restafval;Bergen op Zoom;2023;;
32;Huishoudelijk restafval;Berkelland;2023;;
33;Huishoudelijk restafval;Bernheze;2023;;
34;Huishoudelijk restafval;Best;2023;;
35;Huishoudelijk restafval;Beuningen;2023;;
36;Huishoudelijk restafval;Beverwijk;2023;121.0;5168.0
37;Huishoudelijk restafval;De Bilt;2023;;
38;Huishoudelijk restafval;Bladel;2023;;
39;Huishoudelijk restafval;Blaricum;2023;;
40;Huishoudelijk restafval;Bloemendaal;2023;;
41;Huishoudelijk restafval;Bodegraven-Reeuwijk;2023;;
42;Huishoudelijk restafval;Boekel;2023;;
43;Huishoudelijk restafval;Borger-Odoorn;2023;;
44;Huishoudelijk restafval;Borne;2023;;
45;Huishoudelijk restafval;Borsele;2023;;
46;Huishoudelijk restafval;Boxtel;2023;;
47;Huishoudelijk restafval;Breda;2023;;
48;Huishoudelijk restafval;Bronckhorst;2023;;
49;Huishoudelijk restafval;Brummen;2023;;
50;Huishoudelijk restafval;Brunssum;2023;;
51;Huishoudelijk restafval;Bunnik;2023;;
52;Huishoudelijk restafval;Bunschoten;2023;151.2;3401.0
53;Huishoudelijk restafval;Buren;2023;;
54;Huishoudelijk restafval;Capelle aan den IJssel;2023;260.1;17572.9
55;Huishoudelijk restafval;Castricum;2023;;
