ID;LeeftijdVoertuig;BrandstofsoortVoertuig;Perioden;KilometersNederlandsePersonenautoS_1;GemiddeldJaarkilometrage_2;NederlandsePersonenautoSInGebruik_3
0;Totaal;Totaal;2015;115913.1;13091;8854502
1;Totaal;Totaal;2016;118725.4;13241;8966391
2;Totaal;Totaal;2017;120025.7;13120;9148204
3;Totaal;Totaal;2018;121628.9;13004;9353259
4;Totaal;Totaal;2019;122505.5;12851;9532991
5;Totaal;Totaal;2020;100600.1;10454;9623316
6;Totaal;Benzine/overige;2015;77631.3;10888;7130208
7;Totaal;Benzine/overige;2016;80284.2;11022;7283851
8;Totaal;Benzine/overige;2017;82430.0;11014;7484438
9;Totaal;Benzine/overige;2018;85136.0;11026;7721544
10;Totaal;Benzine/overige;2019;88611.0;11104;7979903
11;Totaal;Benzine/overige;2020;76524.8;9342;8191747
12;Totaal;Diesel;2015;35400.2;22934;1543583
13;Totaal;Diesel;2016;35790.4;23622;1515114
14;Totaal;Diesel;2017;35191.3;23334;1508139
15;Totaal;Diesel;2018;34334.9;23092;1486894
16;Totaal;Diesel;2019;31974.3;22531;1419131
17;Totaal;Diesel;2020;22635.8;17350;1304679
18;Totaal;LPG;2015;2881.6;15946;180711
19;Totaal;LPG;2016;2650.8;15833;167426
20;Totaal;LPG;2017;2404.4;15450;155627
21;Totaal;LPG;2018;2158.0;14901;144821
22;Totaal;LPG;2019;1920.1;14334;133957
23;Totaal;LPG;2020;1439.4;11344;126890
24;0 jaar;Totaal;2015;4667.5;10183;458355
25;0 jaar;Totaal;2016;3996.4;10240;390270
26;0 jaar;Totaal;2017;4874.9;11449;425794
27;0 jaar;Totaal;2018;5506.2;11940;461152
28;0 jaar;Totaal;2019;5372.3;11563;464594
29;0 jaar;Totaal;2020;2844.8;7743;367424
30;0 jaar;Benzine/overige;2015;2783.6;8584;324261
31;0 jaar;Benzine/overige;2016;2707.9;8608;314566
32;0 jaar;Benzine/overige;2017;3344.0;9588;348778
33;0 jaar;Benzine/overige;2018;4115.3;10275;400513
34;0 jaar;Benzine/overige;2019;4591.1;10704;428938
35;0 jaar;Benzine/overige;2020;2594.0;7377;351613
36;0 jaar;Diesel;2015;1879.1;14052;133725
37;0 jaar;Diesel;2016;1279.7;17101;74831
38;0 jaar;Diesel;2017;1515.5;19991;75808
39;0 jaar;Diesel;2018;1376.2;23062;59671
40;0 jaar;Diesel;2019;772.1;21967;35150
41;0 jaar;Diesel;2020;237.3;17272;13740
42;0 jaar;LPG;2015;4.8;13100;370
43;0 jaar;LPG;2016;8.9;10192;873
44;0 jaar;LPG;2017;15.4;12759;1208
45;0 jaar;LPG;2018;14.7;15151;968
46;0 jaar;LPG;2019;9.0;17768;506
47;0 jaar;LPG;2020;13.5;6512;2071
48;1 jaar;Totaal;2015;8858.7;21440;413181
49;1 jaar;Totaal;2016;10659.4;22088;482599
50;1 jaar;Totaal;2017;8016.5;19271;415982
51;1 jaar;Totaal;2018;8890.5;19590;453825
52;1 jaar;Totaal;2019;9753.0;19852;491297
53;1 jaar;Totaal;2020;7746.0;15581;497152
54;1 jaar;Benzine/overige;2015;4758.2;15955;298220
55;1 jaar;Benzine/overige;2016;5739.2;16778;342062
56;1 jaar;Benzine/overige;2017;5208.4;15656;332685
57;1 jaar;Benzine/overige;2018;5981.4;16117;371116
58;1 jaar;Benzine/overige;2019;7381.8;17240;428182
59;1 jaar;Benzine/overige;2020;6698.5;14549;460419
60;1 jaar;Diesel;2015;4075.6;35785;113892
61;1 jaar;Diesel;2016;4909.7;35039;140119
62;1 jaar;Diesel;2017;2785.1;33814;82366
63;1 jaar;Diesel;2018;2878.7;35340;81458
64;1 jaar;Diesel;2019;2345.4;37776;62087
65;1 jaar;Diesel;2020;1035.8;28636;36171
66;1 jaar;LPG;2015;24.9;23314;1068
67;1 jaar;LPG;2016;10.6;25264;418
