ID;Uitvalcategorie;VoertuigType;Perioden;TotaalAantalUitgevallenVoertuigen_1;JongerDan1Jaar_2;k_1Jaar_3;k_2Jaar_4;k_3Jaar_5;k_4Jaar_6;k_5Jaar_7;k_6Jaar_8;k_7Jaar_9;k_8Jaar_10;k_9Jaar_11;k_10Jaar_12;k_11Jaar_13;k_12Jaar_14;k_13Jaar_15;k_14Jaar_16;k_15Jaar_17;k_16Jaar_18;k_17Jaar_19;k_18Jaar_20;k_19Jaar_21;k_20Jaar_22;k_21Jaar_23;k_22Jaar_24;k_23Jaar_25;k_24JaarOfOuder_26
0;Totaal uitval;Personenauto;2018;417602;1223;1959;2425;9345;15420;17913;9039;8268;7453;6988;11370;13524;19087;20102;21092;24047;28640;32591;39637;39438;28631;19021;13118;8324;18947
1;Totaal uitval;Personenauto;2019;438016;2556;2993;3562;7213;23607;20129;10350;9690;11379;9773;9519;13930;15432;20649;22047;23758;27285;31404;33275;38468;34554;22709;14099;9299;20336
2;Totaal uitval;Personenauto;2020;404513;1013;2637;3492;7846;13342;27996;8473;7196;10796;12758;10736;9375;13581;15526;20369;22148;24206;27509;30163;29705;31695;26699;16217;9627;21408
3;Totaal uitval;Personenauto;2021;438287;1218;1829;2805;7521;14163;14127;15642;7730;9872;14630;16886;13511;11585;16539;18909;23945;26548;29897;32995;34064;31291;30365;23874;13559;24782
4;Totaal uitval;Personenauto;2022;403331;935;1726;2168;6266;15543;16678;9582;10494;10122;12346;16729;18561;14982;12379;17259;19243;23514;25222;27516;28310;27645;23316;21014;15894;25887
5;Totaal uitval;Personenauto;2023;366566;1151;1514;2183;4851;14637;20580;10740;7234;10958;11416;13389;17045;20213;15309;12766;16366;17935;20671;21442;22897;22526;20632;16819;14323;28969
6;Totaal uitval;Personenauto;2024;387643;1058;2079;2909;4532;11671;25566;11273;7676;8343;12562;13221;15040;18182;20621;16244;13593;17925;19478;22480;23156;24299;22720;20309;15320;37386
7;Totaal uitval;Bedrijfsmotorvoertuig;2018;60271;933;500;700;1162;1621;2147;2502;2864;2409;2632;4787;4307;3447;3287;4191;3590;3611;3439;3153;2751;1949;1263;739;397;1890
8;Totaal uitval;Bedrijfsmotorvoertuig;2019;65743;748;508;829;1470;2384;2512;2651;3393;3794;3068;3308;5203;4810;3687;3472;4198;3580;3449;2900;2620;2098;1547;960;594;1960
9;Totaal uitval;Bedrijfsmotorvoertuig;2020;62702;459;561;781;1295;2186;2658;2573;2696;3171;3467;2921;3056;4917;4261;3560;3128;4043;3508;3170;2580;2109;1634;1134;700;2134
