ID;HoutTextielEdelsteenEnMetaal;WereldEUEnNietEU;Perioden;Invoerwaarde_1;Invoerhoeveelheid_2;Uitvoerwaarde_3;Uitvoerhoeveelheid_4;EenheidVanGoederensoort_5
0;4101201000 Gehele huiden en vellen, v...;Totaal landen;2008 januari;118.0;3764.0;;;stuks                    
1;4101201000 Gehele huiden en vellen, v...;Totaal landen;2008 februari;35.0;1105.0;;;stuks                    
2;4101201000 Gehele huiden en vellen, v...;Totaal landen;2008 maart;1.0;52.0;;;stuks                    
3;4101201000 Gehele huiden en vellen, v...;Totaal landen;2008 april;38.0;1109.0;;;stuks                    
4;4101201000 Gehele huiden en vellen, v...;Totaal landen;2008 mei;1.0;40.0;;;stuks                    
5;4101201000 Gehele huiden en vellen, v...;Totaal landen;2008 juni;1.0;51.0;;;stuks                    
6;4101201000 Gehele huiden en vellen, v...;Totaal landen;2008 juli;0.0;20.0;;;stuks                    
7;4101201000 Gehele huiden en vellen, v...;Totaal landen;2008 augustus;0.0;36.0;;;stuks                    
8;4101201000 Gehele huiden en vellen, v...;Totaal landen;2008 september;0.0;17.0;;;stuks                    
9;4101201000 Gehele huiden en vellen, v...;Totaal landen;2008 oktober;0.0;30.0;;;stuks                    
10;4101201000 Gehele huiden en vellen, v...;Totaal landen;2008 november;0.0;32.0;;;stuks                    
11;4101201000 Gehele huiden en vellen, v...;Totaal landen;2008 december;1.0;64.0;;;stuks                    
12;4101201000 Gehele huiden en vellen, v...;Totaal landen;2008;196.0;6320.0;;;stuks                    
13;4101201000 Gehele huiden en vellen, v...;Totaal landen;2009 januari;;;0.0;1.0;stuks                    
14;4101201000 Gehele huiden en vellen, v...;Totaal landen;2009 februari;;;;;                         
15;4101201000 Gehele huiden en vellen, v...;Totaal landen;2009 maart;25.0;3032.0;;;stuks                    
16;4101201000 Gehele huiden en vellen, v...;Totaal landen;2009 april;;;1.0;2.0;stuks                    
17;4101201000 Gehele huiden en vellen, v...;Totaal landen;2009 mei;;;;;                         
18;4101201000 Gehele huiden en vellen, v...;Totaal landen;2009 juni;;;;;                         
19;4101201000 Gehele huiden en vellen, v...;Totaal landen;2009 juli;;;;;                         
20;4101201000 Gehele huiden en vellen, v...;Totaal landen;2009 augustus;;;;;                         
21;4101201000 Gehele huiden en vellen, v...;Totaal landen;2009 september;;;;;                         
22;4101201000 Gehele huiden en vellen, v...;Totaal landen;2009 oktober;;;;;                         
23;4101201000 Gehele huiden en vellen, v...;Totaal landen;2009 november;;;;;                         
24;4101201000 Gehele huiden en vellen, v...;Totaal landen;2009 december;;;;;                         
25;4101201000 Gehele huiden en vellen, v...;Totaal landen;2009;25.0;3032.0;2.0;3.0;stuks                    
26;4101201000 Gehele huiden en vellen, v...;Totaal landen;2010 januari;;;;;                         
27;4101201000 Gehele huiden en vellen, v...;Totaal landen;2010 februari;;;;;                         
28;4101201000 Gehele huiden en vellen, v...;Totaal landen;2010 maart;;;;;                         
29;4101201000 Gehele huiden en vellen, v...;Totaal landen;2010 april;157.0;3440.0;;;stuks                    
30;4101201000 Gehele huiden en vellen, v...;Totaal landen;2010 mei;320.0;6577.0;;;stuks                    
31;4101201000 Gehele huiden en vellen, v...;Totaal landen;2010 juni;170.0;3402.0;;;stuks                    
32;4101201000 Gehele huiden en vellen, v...;Totaal landen;2010 juli;;;;;                         
33;4101201000 Gehele huiden en vellen, v...;Totaal landen;2010 augustus;;;;;                         
34;4101201000 Gehele huiden en vellen, v...;Totaal landen;2010 september;;;;;                         
35;4101201000 Gehele huiden en vellen, v...;Totaal landen;2010 oktober;;;;;                         
36;4101201000 Gehele huiden en vellen, v...;Totaal landen;2010 november;;;;;                         
37;4101201000 Gehele huiden en vellen, v...;Totaal landen;2010 december;2431.0;42690.0;2363.0;37407.0;stuks                    
38;4101201000 Gehele huiden en vellen, v...;Totaal landen;2010;3078.0;56109.0;2363.0;37407.0;stuks                    
39;4101201000 Gehele huiden en vellen, v...;Totaal landen;2011 januari;2928.0;48375.0;3477.0;48293.0;stuks                    
40;4101201000 Gehele huiden en vellen, v...;Totaal landen;2011 februari;97.0;1759.0;;;stuks                    
41;4101201000 Gehele huiden en vellen, v...;Totaal landen;2011 maart;;;2.0;1.0;stuks                    
42;4101201000 Gehele huiden en vellen, v...;Totaal landen;2011 april;;;0.0;0.0;stuks                    
43;4101201000 Gehele huiden en vellen, v...;Totaal landen;2011 mei;;;;;                         
44;4101201000 Gehele huiden en vellen, v...;Totaal landen;2011 juni;103.0;1713.0;;;stuks                    
45;4101201000 Gehele huiden en vellen, v...;Totaal landen;2011 juli;184.0;3206.0;0.0;0.0;stuks                    
46;4101201000 Gehele huiden en vellen, v...;Totaal landen;2011 augustus;90.0;1630.0;2.0;1.0;stuks                    
47;4101201000 Gehele huiden en vellen, v...;Totaal landen;2011 september;189.0;3582.0;;;stuks                    
48;4101201000 Gehele huiden en vellen, v...;Totaal landen;2011 oktober;280.0;5481.0;2.0;1.0;stuks                    
49;4101201000 Gehele huiden en vellen, v...;Totaal landen;2011 november;304.0;6193.0;2.0;1.0;stuks                    
50;4101201000 Gehele huiden en vellen, v...;Totaal landen;2011 december;213.0;4604.0;187.0;13086.0;stuks                    
51;4101201000 Gehele huiden en vellen, v...;Totaal landen;2011;4387.0;76543.0;3673.0;61383.0;stuks                    
52;4101201000 Gehele huiden en vellen, v...;Totaal landen;2012 januari;;;;;                         
53;4101201000 Gehele huiden en vellen, v...;Totaal landen;2012 februari;;;;;                         
54;4101201000 Gehele huiden en vellen, v...;Totaal landen;2012 maart;;;;;                         
55;4101201000 Gehele huiden en vellen, v...;Totaal landen;2012 april;;;;;                         
56;4101201000 Gehele huiden en vellen, v...;Totaal landen;2012 mei;;;;;                         
57;4101201000 Gehele huiden en vellen, v...;Totaal landen;2012 juni;;;;;                         
58;4101201000 Gehele huiden en vellen, v...;Totaal landen;2012 juli;;;;;                         
59;4101201000 Gehele huiden en vellen, v...;Totaal landen;2012 augustus;;;;;                         
60;4101201000 Gehele huiden en vellen, v...;Totaal landen;2012 september;;;;;                         
61;4101201000 Gehele huiden en vellen, v...;Totaal landen;2012 oktober;;;;;                         
62;4101201000 Gehele huiden en vellen, v...;Totaal landen;2012 november;;;;;                         
63;4101201000 Gehele huiden en vellen, v...;Totaal landen;2012 december;;;;;                         
64;4101201000 Gehele huiden en vellen, v...;Totaal landen;2012;;;;;                         
65;4101201000 Gehele huiden en vellen, v...;Totaal landen;2013 januari;;;;;                         
66;4101201000 Gehele huiden en vellen, v...;Totaal landen;2013 februari;;;;;                         
67;4101201000 Gehele huiden en vellen, v...;Totaal landen;2013 maart;;;;;                         
68;4101201000 Gehele huiden en vellen, v...;Totaal landen;2013 april;;;;;                         
