ID;Bedrijfstypen;Rechtsvorm;TypeActiviteit;Perioden;AantalBedrijven_1;StandaardOpbrengstSOWaarde_2;TotaalActiva_3;ImmaterieleVasteActiva_4;MaterieleVasteActiva_5;FinancieleVasteActiva_6;Voorraden_7;Vorderingen_8;Effecten_9;LiquideMiddelen_10;TotaalPassiva_11;TotaalEigenVermogen_12;Oudedagsreserve_13;Ondernemingsvermogen_14;Terugkeerreserve_15;TotaalVoorzieningen_16;LanglopendeSchulden_17;KortlopendeSchulden_18;TotaalBedrijfsopbrengsten_19;NettoOmzet_20;TotaalBedrijfskosten_21;KostenGrondEnHulpstoffen_22;Personeelskosten_23;Afschrijving_24;OverigeImmaterieleEnMaterieleActiva_25;WaardeverminderingVanVlottendeActiva_26;OverigeBedrijfskosten_27;TotaalFinancieleBatenEnLasten_28;Renteopbrengsten_29;KostenVanSchulden_30;ResultaatUitGewoneBedrijfsuitoefening_31;TotaalResultaten_32;BuitengewoneBaten_33;BuitengewoneLasten_34;SaldoFiscaleWinstberekening_35
0;Totaal bedrijfstype;Totaal rechtsvormen;Alle activiteiten;2010;72324.0;19607.5;68381.4;1775.9;49068.7;3898.2;3827.3;5690.8;180.2;3940.3;68381.4;25452.2;2251.6;19113.0;5.4;915.1;34148.4;7860.3;28418.8;25787.7;23515.9;12961.4;2492.2;2888.6;-326.7;-4.4;5504.9;-1358.3;85.9;1369.6;3544.5;3160.8;3446.7;285.4;6850.5
1;Totaal bedrijfstype;Totaal rechtsvormen;Alle activiteiten;2011;70392.0;19313.5;73517.6;1570.1;53078.9;5199.3;3973.0;5525.7;147.9;4022.6;73517.6;30416.5;2107.2;23086.9;4.0;935.8;33882.1;8279.1;29740.3;26851.4;24935.9;13973.0;2538.9;2936.2;-206.6;-17.3;5711.7;-1386.8;77.7;1387.7;3417.6;3283.2;3575.4;290.9;6841.1
2;Totaal bedrijfstype;Totaal rechtsvormen;Alle activiteiten;2012;68810.0;19059.7;77062.3;1233.0;57215.3;4853.7;4204.8;5446.6;143.7;3965.2;77062.3;34496.2;2072.7;27241.7;3.1;898.7;33494.5;8169.9;30239.1;27410.5;25294.3;14334.7;2530.5;2824.9;-54.3;0.8;5657.6;-1330.6;81.1;1357.7;3614.2;2983.4;3305.1;321.6;6748.6
3;Totaal bedrijfstype;Totaal rechtsvormen;Alle activiteiten;2013;67481.0;21226.0;78803.8;829.8;59408.8;4750.0;4255.8;5444.4;113.2;4001.9;78803.8;37211.7;1996.2;29744.4;4.3;849.1;32544.5;8194.2;30734.4;28206.5;25965.5;15011.6;2556.7;2804.7;-81.1;7.5;5666.1;-1259.8;66.9;1257.4;3509.1;2190.4;2447.1;256.7;5778.1
4;Totaal bedrijfstype;Totaal rechtsvormen;Alle activiteiten;2014;65507.0;21220.0;81620.0;450.6;62667.2;4771.7;4272.1;5214.1;119.9;4124.5;81620.0;40276.5;1958.9;32509.1;5.4;881.1;32285.2;8171.8;30279.6;27754.6;25732.5;14556.2;2619.2;2768.9;17.7;2.4;5768.1;-1216.2;55.7;1219.5;3330.9;2005.0;2250.4;246.6;5485.1
5;Totaal bedrijfstype;Totaal rechtsvormen;Alle activiteiten;2015;63913.0;21434.4;84756.1;257.6;65888.3;4880.1;4327.7;5297.2;122.5;3982.7;84756.1;43250.5;1952.4;35414.8;12.1;837.7;32594.0;8061.8;30886.8;27819.5;25999.8;14912.8;2728.0;2487.1;180.2;2.5;5689.2;-1136.2;51.1;1154.9;3750.8;2546.6;3125.7;579.1;6470.3
6;Totaal bedrijfstype;Totaal rechtsvormen;Alle activiteiten;2016;55688.0;24100.3;87430.7;317.7;69793.2;3560.1;4353.7;5243.5;103.1;4059.6;87430.7;45619.6;1895.7;39121.1;15.1;774.7;33298.3;7723.1;30141.0;27557.6;25147.5;14630.0;2629.4;2400.9;-118.4;1.0;5604.6;-1085.4;40.8;1101.3;3908.2;2297.5;2509.2;211.7;6350.1
7;Totaal bedrijfstype;Totaal rechtsvormen;Alle activiteiten;2017;54849.0;24008.9;91032.2;455.7;72356.4;3595.8;4355.7;5398.1;103.5;4767.0;91032.2;49292.7;1856.6;42410.7;14.7;839.8;32918.1;7966.8;31679.7;29048.8;26181.8;14985.0;2757.1;2533.7;-98.9;2.4;6002.5;-901.6;65.5;987.0;4596.3;1564.5;1740.0;175.5;6254.9
8;Totaal bedrijfstype;Totaal rechtsvormen;Alle activiteiten;2018;53910.0;23841.4;90146.5;918.7;71559.6;3450.5;4200.7;5264.0;88.8;4664.3;90146.5;50365.7;1874.7;43316.3;18.6;781.7;31270.6;7709.9;30453.1;27824.5;25862.8;14887.4;2758.8;2309.7;-84.4;0.4;5991.0;-775.1;60.9;852.5;3815.2;1676.9;1828.1;151.3;5563.9
9;Totaal bedrijfstype;Totaal rechtsvormen;Alle activiteiten;2019;53233.0;23877.9;91802.4;1083.4;72750.2;3328.2;4462.4;5092.8;81.6;5003.8;91802.4;52469.3;1784.8;45116.7;18.9;779.8;30805.7;7728.7;31804.5;29310.6;26696.1;15131.6;2901.3;2463.7;-77.1;3.8;6272.0;-745.4;41.5;806.3;4363.1;1532.2;1714.1;181.9;5972.9
