ID;Sex;Age;MaritalStatus;CountryOfBirth;Periods;Immigration_1;EmigrationInclAdmCorrections_2;NetMigrationInclAdmCorrections_3;AdministrativeEntries_4;AdministrativeRemoval_5;NetAdministrativeCorrections_6
0;Total male and female;Total;Total marital status;Total;2020;220853.0;152494.0;68359.0;21267.0;40600.0;-19333.0
1;Total male and female;Total;Total marital status;Total;2021;252528.0;145330.0;107198.0;17296.0;34532.0;-17236.0
2;Total male and female;Total;Total marital status;Total;2022;403108.0;179310.0;223798.0;13970.0;37060.0;-23090.0
3;Total male and female;Total;Total marital status;Total;2023;335668.0;198302.0;137366.0;14360.0;46678.0;-32318.0
4;Total male and female;Total;Total marital status;The Netherlands;2020;31846.0;30626.0;1220.0;12586.0;12494.0;92.0
5;Total male and female;Total;Total marital status;The Netherlands;2021;25880.0;34989.0;-9109.0;9897.0;9535.0;362.0
6;Total male and female;Total;Total marital status;The Netherlands;2022;24986.0;43286.0;-18300.0;7789.0;9357.0;-1568.0
7;Total male and female;Total;Total marital status;The Netherlands;2023;25655.0;42454.0;-16799.0;8049.0;10389.0;-2340.0
8;Total male and female;Total;Total marital status;Total abroad;2020;189007.0;121868.0;67139.0;8681.0;28106.0;-19425.0
9;Total male and female;Total;Total marital status;Total abroad;2021;226645.0;110338.0;116307.0;7398.0;24997.0;-17599.0
10;Total male and female;Total;Total marital status;Total abroad;2022;378122.0;136024.0;242098.0;6181.0;27703.0;-21522.0
11;Total male and female;Total;Total marital status;Total abroad;2023;310013.0;155848.0;154165.0;6311.0;36289.0;-29978.0
12;Total male and female;Total;Total marital status;Africa;2020;14707.0;5841.0;8866.0;1799.0;3027.0;-1228.0
13;Total male and female;Total;Total marital status;Africa;2021;17215.0;6059.0;11156.0;1480.0;2820.0;-1340.0
14;Total male and female;Total;Total marital status;Africa;2022;23586.0;6325.0;17261.0;1271.0;2670.0;-1399.0
15;Total male and female;Total;Total marital status;Africa;2023;23116.0;7549.0;15567.0;1284.0;3306.0;-2022.0
16;Total male and female;Total;Total marital status;America;2020;22482.0;13175.0;9307.0;2492.0;3762.0;-1270.0
17;Total male and female;Total;Total marital status;America;2021;25605.0;11514.0;14091.0;1876.0;2575.0;-699.0
18;Total male and female;Total;Total marital status;America;2022;29328.0;12926.0;16402.0;1478.0;2558.0;-1080.0
19;Total male and female;Total;Total marital status;America;2023;29773.0;14684.0;15089.0;1398.0;3021.0;-1623.0
20;Total male and female;Total;Total marital status;Asia;2020;42203.0;26113.0;16090.0;1864.0;5878.0;-4014.0
21;Total male and female;Total;Total marital status;Asia;2021;62673.0;21883.0;40790.0;1586.0;5068.0;-3482.0
22;Total male and female;Total;Total marital status;Asia;2022;87612.0;21752.0;65860.0;1382.0;3955.0;-2573.0
23;Total male and female;Total;Total marital status;Asia;2023;88121.0;26201.0;61920.0;1356.0;4934.0;-3578.0
24;Total male and female;Total;Total marital status;Europe (excluding the Netherlands);2020;108208.0;75043.0;33165.0;2508.0;15201.0;-12693.0
25;Total male and female;Total;Total marital status;Europe (excluding the Netherlands);2021;120145.0;69755.0;50390.0;2434.0;14401.0;-11967.0
26;Total male and female;Total;Total marital status;Europe (excluding the Netherlands);2022;236029.0;93987.0;142042.0;2029.0;18441.0;-16412.0
27;Total male and female;Total;Total marital status;Europe (excluding the Netherlands);2023;166833.0;106106.0;60727.0;2260.0;24902.0;-22642.0
28;Total male and female;Total;Total marital status;Outside Europe;2020;80799.0;46825.0;33974.0;6173.0;12905.0;-6732.0
29;Total male and female;Total;Total marital status;Outside Europe;2021;106500.0;40583.0;65917.0;4964.0;10596.0;-5632.0
30;Total male and female;Total;Total marital status;Outside Europe;2022;142093.0;42037.0;100056.0;4152.0;9262.0;-5110.0
31;Total male and female;Total;Total marital status;Outside Europe;2023;143180.0;49742.0;93438.0;4051.0;11387.0;-7336.0
32;Total male and female;Total;Total marital status;Oceania;2020;1407.0;1696.0;-289.0;18.0;238.0;-220.0
33;Total male and female;Total;Total marital status;Oceania;2021;1007.0;1127.0;-120.0;22.0;133.0;-111.0
34;Total male and female;Total;Total marital status;Oceania;2022;1567.0;1034.0;533.0;21.0;79.0;-58.0
35;Total male and female;Total;Total marital status;Oceania;2023;2170.0;1308.0;862.0;13.0;126.0;-113.0
36;Total male and female;Total;Total marital status;European Union (excluding Netherlands);2020;93588.0;65959.0;27629.0;2175.0;13708.0;-11533.0
37;Total male and female;Total;Total marital status;European Union (excluding Netherlands);2021;105730.0;61116.0;44614.0;2093.0;12928.0;-10835.0
38;Total male and female;Total;Total marital status;European Union (excluding Netherlands);2022;115693.0;68507.0;47186.0;1654.0;13595.0;-11941.0
39;Total male and female;Total;Total marital status;European Union (excluding Netherlands);2023;112603.0;77140.0;35463.0;1657.0;16964.0;-15307.0
40;Total male and female;Total;Total marital status;GIPS countries (European Union);2020;16474.0;13049.0;3425.0;385.0;1971.0;-1586.0
41;Total male and female;Total;Total marital status;GIPS countries (European Union);2021;22664.0;11600.0;11064.0;410.0;1748.0;-1338.0
42;Total male and female;Total;Total marital status;GIPS countries (European Union);2022;26993.0;14553.0;12440.0;265.0;2036.0;-1771.0
43;Total male and female;Total;Total marital status;GIPS countries (European Union);2023;26926.0;16667.0;10259.0;273.0;2648.0;-2375.0
44;Total male and female;Total;Total marital status;Middle and Eastern European EU countries;2020;52634.0;33608.0;19026.0;1367.0;9610.0;-8243.0
45;Total male and female;Total;Total marital status;Middle and Eastern European EU countries;2021;57250.0;32490.0;24760.0;1260.0;9530.0;-8270.0
46;Total male and female;Total;Total marital status;Middle and Eastern European EU countries;2022;62574.0;35269.0;27305.0;1080.0;10098.0;-9018.0
47;Total male and female;Total;Total marital status;Middle and Eastern European EU countries;2023;60164.0;40781.0;19383.0;1142.0;12463.0;-11321.0
48;Total male and female;Total;Total marital status;Africa (excluding Morocco);2020;12074.0;5017.0;7057.0;1159.0;2259.0;-1100.0
49;Total male and female;Total;Total marital status;Africa (excluding Morocco);2021;14202.0;5303.0;8899.0;969.0;2279.0;-1310.0
50;Total male and female;Total;Total marital status;Africa (excluding Morocco);2022;19458.0;5292.0;14166.0;886.0;2034.0;-1148.0
51;Total male and female;Total;Total marital status;Africa (excluding Morocco);2023;19722.0;6320.0;13402.0;901.0;2564.0;-1663.0
52;Total male and female;Total;Total marital status;America and Oceania (excluding Suri...;2020;16922.0;12797.0;4125.0;530.0;2141.0;-1611.0
53;Total male and female;Total;Total marital status;America and Oceania (excluding Suri...;2021;18831.0;10154.0;8677.0;523.0;1435.0;-912.0
54;Total male and female;Total;Total marital status;America and Oceania (excluding Suri...;2022;22649.0;11090.0;11559.0;407.0;1298.0;-891.0
55;Total male and female;Total;Total marital status;America and Oceania (excluding Suri...;2023;23424.0;12959.0;10465.0;310.0;1656.0;-1346.0
56;Total male and female;Total;Total marital status;Asia (excluding Indonesia and Turkey);2020;33953.0;21438.0;12515.0;1205.0;4564.0;-3359.0
57;Total male and female;Total;Total marital status;Asia (excluding Indonesia and Turkey);2021;51061.0;17801.0;33260.0;1084.0;4107.0;-3023.0
58;Total male and female;Total;Total marital status;Asia (excluding Indonesia and Turkey);2022;70021.0;17542.0;52479.0;977.0;3088.0;-2111.0
59;Total male and female;Total;Total marital status;Asia (excluding Indonesia and Turkey);2023;70992.0;21257.0;49735.0;982.0;3848.0;-2866.0
60;Total male and female;Total;Total marital status;Antarctica;2020;0.0;0.0;0.0;0.0;0.0;0.0
61;Total male and female;Total;Total marital status;Antarctica;2021;0.0;0.0;0.0;0.0;0.0;0.0
62;Total male and female;Total;Total marital status;Antarctica;2022;0.0;0.0;0.0;0.0;0.0;0.0
63;Total male and female;Total;Total marital status;Antarctica;2023;0.0;0.0;0.0;0.0;0.0;0.0
64;Total male and female;Total;Total marital status;Afghanistan;2020;946.0;350.0;596.0;157.0;195.0;-38.0
65;Total male and female;Total;Total marital status;Afghanistan;2021;2674.0;460.0;2214.0;123.0;267.0;-144.0
66;Total male and female;Total;Total marital status;Afghanistan;2022;3709.0;431.0;3278.0;143.0;220.0;-77.0
67;Total male and female;Total;Total marital status;Afghanistan;2023;1668.0;424.0;1244.0;112.0;176.0;-64.0
68;Total male and female;Total;Total marital status;Albania;2020;406.0;210.0;196.0;5.0;53.0;-48.0
69;Total male and female;Total;Total marital status;Albania;2021;465.0;211.0;254.0;14.0;56.0;-42.0
70;Total male and female;Total;Total marital status;Albania;2022;604.0;214.0;390.0;10.0;49.0;-39.0
71;Total male and female;Total;Total marital status;Albania;2023;578.0;238.0;340.0;9.0;52.0;-43.0
72;Total male and female;Total;Total marital status;Algeria;2020;164.0;84.0;80.0;19.0;34.0;-15.0
73;Total male and female;Total;Total marital status;Algeria;2021;191.0;69.0;122.0;8.0;19.0;-11.0
74;Total male and female;Total;Total marital status;Algeria;2022;620.0;90.0;530.0;15.0;43.0;-28.0
75;Total male and female;Total;Total marital status;Algeria;2023;320.0;182.0;138.0;16.0;110.0;-94.0
76;Total male and female;Total;Total marital status;American Samoa;2020;0.0;0.0;0.0;0.0;0.0;0.0
77;Total male and female;Total;Total marital status;American Samoa;2021;0.0;1.0;-1.0;0.0;0.0;0.0
78;Total male and female;Total;Total marital status;American Samoa;2022;0.0;0.0;0.0;0.0;0.0;0.0
79;Total male and female;Total;Total marital status;American Samoa;2023;0.0;0.0;0.0;0.0;0.0;0.0
80;Total male and female;Total;Total marital status;American Virgin Islands;2020;0.0;1.0;-1.0;0.0;0.0;0.0
81;Total male and female;Total;Total marital status;American Virgin Islands;2021;4.0;0.0;4.0;0.0;0.0;0.0
82;Total male and female;Total;Total marital status;American Virgin Islands;2022;1.0;3.0;-2.0;0.0;1.0;-1.0
83;Total male and female;Total;Total marital status;American Virgin Islands;2023;4.0;0.0;4.0;0.0;0.0;0.0
84;Total male and female;Total;Total marital status;Andorra;2020;6.0;2.0;4.0;0.0;0.0;0.0
85;Total male and female;Total;Total marital status;Andorra;2021;13.0;6.0;7.0;0.0;0.0;0.0
86;Total male and female;Total;Total marital status;Andorra;2022;9.0;9.0;0.0;0.0;0.0;0.0
87;Total male and female;Total;Total marital status;Andorra;2023;10.0;12.0;-2.0;0.0;1.0;-1.0
88;Total male and female;Total;Total marital status;Angola;2020;176.0;107.0;69.0;75.0;98.0;-23.0
89;Total male and female;Total;Total marital status;Angola;2021;178.0;87.0;91.0;54.0;62.0;-8.0
90;Total male and female;Total;Total marital status;Angola;2022;204.0;117.0;87.0;40.0;61.0;-21.0
91;Total male and female;Total;Total marital status;Angola;2023;260.0;116.0;144.0;50.0;67.0;-17.0
92;Total male and female;Total;Total marital status;Anguilla;2020;1.0;1.0;0.0;0.0;1.0;-1.0
93;Total male and female;Total;Total marital status;Anguilla;2021;2.0;1.0;1.0;0.0;0.0;0.0
94;Total male and female;Total;Total marital status;Anguilla;2022;2.0;0.0;2.0;0.0;0.0;0.0
95;Total male and female;Total;Total marital status;Anguilla;2023;0.0;1.0;-1.0;0.0;0.0;0.0
96;Total male and female;Total;Total marital status;Antigua and Barbuda;2020;1.0;1.0;0.0;1.0;2.0;-1.0
97;Total male and female;Total;Total marital status;Antigua and Barbuda;2021;0.0;0.0;0.0;1.0;0.0;1.0
98;Total male and female;Total;Total marital status;Antigua and Barbuda;2022;3.0;1.0;2.0;1.0;1.0;0.0
99;Total male and female;Total;Total marital status;Antigua and Barbuda;2023;0.0;1.0;-1.0;1.0;1.0;0.0
100;Total male and female;Total;Total marital status;Argentina;2020;840.0;496.0;344.0;5.0;52.0;-47.0
101;Total male and female;Total;Total marital status;Argentina;2021;1164.0;411.0;753.0;16.0;41.0;-25.0
102;Total male and female;Total;Total marital status;Argentina;2022;1351.0;579.0;772.0;6.0;43.0;-37.0
103;Total male and female;Total;Total marital status;Argentina;2023;1244.0;706.0;538.0;10.0;92.0;-82.0
104;Total male and female;Total;Total marital status;Armenia;2020;234.0;110.0;124.0;23.0;40.0;-17.0
105;Total male and female;Total;Total marital status;Armenia;2021;269.0;155.0;114.0;19.0;71.0;-52.0
106;Total male and female;Total;Total marital status;Armenia;2022;676.0;182.0;494.0;19.0;50.0;-31.0
107;Total male and female;Total;Total marital status;Armenia;2023;392.0;184.0;208.0;15.0;72.0;-57.0
108;Total male and female;Total;Total marital status;Aruba;2020;1140.0;365.0;775.0;127.0;130.0;-3.0
109;Total male and female;Total;Total marital status;Aruba;2021;1458.0;464.0;994.0;104.0;111.0;-7.0
110;Total male and female;Total;Total marital status;Aruba;2022;1290.0;525.0;765.0;66.0;104.0;-38.0
111;Total male and female;Total;Total marital status;Aruba;2023;1173.0;571.0;602.0;91.0;136.0;-45.0
112;Total male and female;Total;Total marital status;Australia;2020;1046.0;1303.0;-257.0;17.0;191.0;-174.0
113;Total male and female;Total;Total marital status;Australia;2021;734.0;796.0;-62.0;17.0;93.0;-76.0
114;Total male and female;Total;Total marital status;Australia;2022;1185.0;771.0;414.0;14.0;64.0;-50.0
115;Total male and female;Total;Total marital status;Australia;2023;1582.0;977.0;605.0;7.0;98.0;-91.0
116;Total male and female;Total;Total marital status;Azerbaijan;2020;276.0;164.0;112.0;22.0;64.0;-42.0
117;Total male and female;Total;Total marital status;Azerbaijan;2021;401.0;154.0;247.0;24.0;61.0;-37.0
118;Total male and female;Total;Total marital status;Azerbaijan;2022;853.0;182.0;671.0;21.0;50.0;-29.0
119;Total male and female;Total;Total marital status;Azerbaijan;2023;631.0;283.0;348.0;16.0;103.0;-87.0
120;Total male and female;Total;Total marital status;Bahamas;2020;16.0;4.0;12.0;0.0;1.0;-1.0
121;Total male and female;Total;Total marital status;Bahamas;2021;5.0;2.0;3.0;1.0;1.0;0.0
122;Total male and female;Total;Total marital status;Bahamas;2022;5.0;6.0;-1.0;0.0;1.0;-1.0
123;Total male and female;Total;Total marital status;Bahamas;2023;8.0;5.0;3.0;1.0;1.0;0.0
