ID;Arbeidspositie;Persoonskenmerken;Perioden;TotaalPersonen_1;TotaalMetLangdurendeZorgsituatie_2;TotaalGezorgdVoorZieke_3;GezorgdVoorKindInHuishouden_4;GezorgdVoorPartner_5;GezorgdVoorOuder_6;TotaalPersonen_7;Zorgduur1Tot4UurPerWeek_8;Zorgduur4Tot12UurPerWeek_9;Zorgduur12Tot21UurPerWeek_10;Zorgduur21UurOfMeerPerWeek_11;ZorgduurOnbekend_12;PersoonHeeftNietGezorgdVoorZieke_13;PersonenZonderLangdurendeZorgsituatie_14
0;1;Totaal;2005;9199.0;1096.0;847.0;92.0;139.0;632.0;847.0;270.0;272.0;141.0;140.0;24.0;249.0;8103.0
1;1;Totaal;2007;9185.0;1118.0;812.0;101.0;146.0;582.0;812.0;215.0;264.0;148.0;161.0;25.0;306.0;8067.0
2;1;Totaal;2009;9209.0;1252.0;919.0;124.0;176.0;641.0;919.0;278.0;278.0;168.0;169.0;25.0;333.0;7957.0
3;1;Totaal;2011;9135.0;871.0;663.0;97.0;124.0;452.0;663.0;163.0;215.0;114.0;171.0;;208.0;8265.0
4;1;Man;2005;4500.0;534.0;337.0;39.0;77.0;228.0;337.0;124.0;95.0;55.0;52.0;11.0;197.0;3967.0
5;1;Man;2007;4495.0;542.0;325.0;39.0;79.0;214.0;325.0;99.0;102.0;54.0;59.0;11.0;216.0;3954.0
6;1;Man;2009;4510.0;609.0;378.0;50.0;93.0;244.0;378.0;127.0;111.0;64.0;65.0;11.0;232.0;3901.0
7;1;Man;2011;4476.0;412.0;267.0;39.0;63.0;170.0;267.0;74.0;77.0;43.0;73.0;;145.0;4064.0
8;1;Vrouw;2005;4699.0;563.0;510.0;53.0;62.0;405.0;510.0;146.0;177.0;87.0;87.0;13.0;52.0;4136.0
9;1;Vrouw;2007;4690.0;577.0;487.0;62.0;67.0;368.0;487.0;115.0;162.0;93.0;102.0;14.0;90.0;4113.0
10;1;Vrouw;2009;4699.0;643.0;542.0;74.0;83.0;397.0;542.0;152.0;168.0;104.0;104.0;14.0;101.0;4056.0
11;1;Vrouw;2011;4659.0;459.0;395.0;59.0;61.0;281.0;395.0;89.0;137.0;71.0;98.0;;63.0;4201.0
12;1;Leeftijd 15 tot 25 jaar;2005;452.0;20.0;16.0;;2.0;12.0;16.0;4.0;6.0;4.0;;;4.0;432.0
13;1;Leeftijd 15 tot 25 jaar;2007;447.0;24.0;16.0;;3.0;12.0;16.0;5.0;4.0;3.0;3.0;;8.0;423.0
14;1;Leeftijd 15 tot 25 jaar;2009;460.0;23.0;16.0;;3.0;12.0;16.0;5.0;4.0;3.0;3.0;;7.0;437.0
15;1;Leeftijd 15 tot 25 jaar;2011;416.0;11.0;9.0;;;6.0;9.0;;2.0;;3.0;;3.0;405.0
16;1;Leeftijd 25 tot 35 jaar;2005;1905.0;128.0;100.0;16.0;16.0;70.0;100.0;31.0;27.0;17.0;21.0;4.0;28.0;1777.0
17;1;Leeftijd 25 tot 35 jaar;2007;1837.0;109.0;73.0;14.0;15.0;47.0;73.0;20.0;20.0;13.0;18.0;3.0;35.0;1728.0
18;1;Leeftijd 25 tot 35 jaar;2009;1801.0;118.0;84.0;14.0;19.0;52.0;84.0;21.0;24.0;16.0;19.0;5.0;34.0;1683.0
19;1;Leeftijd 25 tot 35 jaar;2011;1792.0;73.0;51.0;11.0;10.0;31.0;51.0;12.0;17.0;9.0;13.0;;22.0;1719.0
20;1;Leeftijd 35 tot 45 jaar;2005;2625.0;296.0;221.0;32.0;29.0;165.0;221.0;79.0;63.0;37.0;36.0;7.0;75.0;2329.0
21;1;Leeftijd 35 tot 45 jaar;2007;2528.0;268.0;189.0;39.0;32.0;122.0;189.0;46.0;57.0;34.0;46.0;7.0;79.0;2261.0
22;1;Leeftijd 35 tot 45 jaar;2009;2436.0;294.0;209.0;48.0;38.0;128.0;209.0;64.0;59.0;39.0;41.0;6.0;85.0;2142.0
23;1;Leeftijd 35 tot 45 jaar;2011;2322.0;182.0;141.0;32.0;24.0;87.0;141.0;30.0;42.0;24.0;44.0;;42.0;2139.0
24;1;Leeftijd 45 tot 55 jaar;2005;2294.0;371.0;293.0;30.0;43.0;227.0;293.0;99.0;100.0;48.0;40.0;7.0;78.0;1923.0
25;1;Leeftijd 45 tot 55 jaar;2007;2338.0;410.0;302.0;34.0;43.0;231.0;302.0;86.0;102.0;53.0;51.0;9.0;108.0;1929.0
