ID;SectorBranchesSIC2008;Periods;LabourPriceIndex_1;YearOnYearChangePriceOfLabour_2
0;A-U All economic activities;2001;87.2;
1;A-U All economic activities;2002;91.2;4.6
2;A-U All economic activities;2003;94.1;3.2
3;A-U All economic activities;2004;95.7;1.7
4;A-U All economic activities;2005;97.6;2.0
5;A-U All economic activities;2006;100.0;2.5
6;A-U All economic activities;2007;103.2;3.2
7;A-U All economic activities;2008;106.3;3.0
8;A-U All economic activities;2009;107.8;1.4
9;A-U All economic activities;2010;108.7;0.8
10;A-U All economic activities;2011;110.1;1.3
11;A-U All economic activities;2012;111.7;1.5
12;A-U All economic activities;2013;114.0;2.1
13;A-U All economic activities;2006 January - 2006 December;100.0;2.5
14;A-U All economic activities;2006 April - 2007 March;101.1;
15;A-U All economic activities;2006 July - 2007 June;101.7;
16;A-U All economic activities;2006 October - 2007 September;102.3;
17;A-U All economic activities;2007 January - 2007 December;103.2;3.2
18;A-U All economic activities;2007 April - 2008 March;104.2;3.1
19;A-U All economic activities;2007 July - 2008 June;105.2;3.4
20;A-U All economic activities;2007 October - 2008 September;105.8;3.4
21;A-U All economic activities;2008 January - 2008 December;106.3;3.0
22;A-U All economic activities;2008 April - 2009 March;106.9;2.6
23;A-U All economic activities;2008 July - 2009 June;108.0;2.7
24;A-U All economic activities;2008 October - 2009 September;108.1;2.2
25;A-U All economic activities;2009 January - 2009 December;107.8;1.4
26;A-U All economic activities;2009 April - 2010 March;107.7;0.7
27;A-U All economic activities;2009 July - 2010 June;108.4;0.4
28;A-U All economic activities;2009 October - 2010 September;108.6;0.5
29;A-U All economic activities;2010 January - 2010 December;108.7;0.8
30;A-U All economic activities;2010 April - 2011 March;108.7;0.9
31;A-U All economic activities;2010 July - 2011 June;108.7;0.3
32;A-U All economic activities;2010 October - 2011 September;109.0;0.4
33;A-U All economic activities;2011 January - 2011 December;110.1;1.3
34;A-U All economic activities;2011 April - 2012 March;110.2;1.4
35;A-U All economic activities;2011 July - 2012 June;110.6;1.7
36;A-U All economic activities;2011 October - 2012 September;111.4;2.2
37;A-U All economic activities;2012 January - 2012 December;111.7;1.5
38;A-U All economic activities;2012 April - 2013 March;113.1;2.6
39;A-U All economic activities;2012 July - 2013 June;113.6;2.7
40;A-U All economic activities;2012 October - 2013 September;113.7;2.1
41;A-U All economic activities;2013 January - 2013 December;114.0;2.1
42;A-F Agriculture and industry;2001;86.3;
43;A-F Agriculture and industry;2002;90.4;4.8
44;A-F Agriculture and industry;2003;93.9;3.9
45;A-F Agriculture and industry;2004;95.8;2.0
46;A-F Agriculture and industry;2005;97.1;1.4
47;A-F Agriculture and industry;2006;100.0;3.0
48;A-F Agriculture and industry;2007;102.5;2.5
49;A-F Agriculture and industry;2008;106.4;3.8
50;A-F Agriculture and industry;2009;108.0;1.5
51;A-F Agriculture and industry;2010;108.4;0.4
52;A-F Agriculture and industry;2011;109.7;1.2
53;A-F Agriculture and industry;2012;111.4;1.5
54;A-F Agriculture and industry;2013;114.8;3.1
55;A-F Agriculture and industry;2006 January - 2006 December;100.0;3.0
56;A-F Agriculture and industry;2006 April - 2007 March;100.9;
57;A-F Agriculture and industry;2006 July - 2007 June;101.4;
58;A-F Agriculture and industry;2006 October - 2007 September;101.8;
59;A-F Agriculture and industry;2007 January - 2007 December;102.5;2.5
60;A-F Agriculture and industry;2007 April - 2008 March;103.9;3.0
61;A-F Agriculture and industry;2007 July - 2008 June;105.3;3.8
62;A-F Agriculture and industry;2007 October - 2008 September;106.1;4.2
63;A-F Agriculture and industry;2008 January - 2008 December;106.4;3.8
64;A-F Agriculture and industry;2008 April - 2009 March;107.2;3.2
65;A-F Agriculture and industry;2008 July - 2009 June;108.4;2.9
66;A-F Agriculture and industry;2008 October - 2009 September;108.6;2.4
67;A-F Agriculture and industry;2009 January - 2009 December;108.0;1.5
68;A-F Agriculture and industry;2009 April - 2010 March;108.0;0.7
69;A-F Agriculture and industry;2009 July - 2010 June;108.5;0.1
70;A-F Agriculture and industry;2009 October - 2010 September;108.5;-0.1
71;A-F Agriculture and industry;2010 January - 2010 December;108.4;0.4
72;A-F Agriculture and industry;2010 April - 2011 March;108.3;0.3
73;A-F Agriculture and industry;2010 July - 2011 June;108.2;-0.3
74;A-F Agriculture and industry;2010 October - 2011 September;108.5;0.0
75;A-F Agriculture and industry;2011 January - 2011 December;109.7;1.2
76;A-F Agriculture and industry;2011 April - 2012 March;109.8;1.4
77;A-F Agriculture and industry;2011 July - 2012 June;110.4;2.0
78;A-F Agriculture and industry;2011 October - 2012 September;111.1;2.4
79;A-F Agriculture and industry;2012 January - 2012 December;111.4;1.5
80;A-F Agriculture and industry;2012 April - 2013 March;113.1;3.0
81;A-F Agriculture and industry;2012 July - 2013 June;114.0;3.3
82;A-F Agriculture and industry;2012 October - 2013 September;114.1;2.7
83;A-F Agriculture and industry;2013 January - 2013 December;114.8;3.1
84;A Agriculture, forestry and fishing;2001;87.5;
85;A Agriculture, forestry and fishing;2002;93.3;6.6
86;A Agriculture, forestry and fishing;2003;97.5;4.5
87;A Agriculture, forestry and fishing;2004;96.5;-1.0
88;A Agriculture, forestry and fishing;2005;99.3;2.9
89;A Agriculture, forestry and fishing;2006;100.0;0.7
90;A Agriculture, forestry and fishing;2007;102.7;2.7
91;A Agriculture, forestry and fishing;2008;106.4;3.6
92;A Agriculture, forestry and fishing;2009;107.1;0.7
93;A Agriculture, forestry and fishing;2010;109.5;2.2
94;A Agriculture, forestry and fishing;2011;111.1;1.5
95;A Agriculture, forestry and fishing;2012;113.5;2.2
96;A Agriculture, forestry and fishing;2013;116.3;2.5
97;A Agriculture, forestry and fishing;2006 January - 2006 December;100.0;0.7
98;A Agriculture, forestry and fishing;2006 April - 2007 March;100.7;
99;A Agriculture, forestry and fishing;2006 July - 2007 June;100.8;
100;A Agriculture, forestry and fishing;2006 October - 2007 September;101.4;
101;A Agriculture, forestry and fishing;2007 January - 2007 December;102.7;2.7
102;A Agriculture, forestry and fishing;2007 April - 2008 March;102.3;1.6
103;A Agriculture, forestry and fishing;2007 July - 2008 June;103.8;3.0
104;A Agriculture, forestry and fishing;2007 October - 2008 September;107.8;6.3
105;A Agriculture, forestry and fishing;2008 January - 2008 December;106.4;3.6
106;A Agriculture, forestry and fishing;2008 April - 2009 March;106.8;4.4
107;A Agriculture, forestry and fishing;2008 July - 2009 June;107.6;3.7
108;A Agriculture, forestry and fishing;2008 October - 2009 September;108.0;0.2
109;A Agriculture, forestry and fishing;2009 January - 2009 December;107.1;0.7
110;A Agriculture, forestry and fishing;2009 April - 2010 March;107.4;0.6
111;A Agriculture, forestry and fishing;2009 July - 2010 June;108.0;0.4
112;A Agriculture, forestry and fishing;2009 October - 2010 September;108.2;0.2
113;A Agriculture, forestry and fishing;2010 January - 2010 December;109.5;2.2
114;A Agriculture, forestry and fishing;2010 April - 2011 March;109.6;2.0
115;A Agriculture, forestry and fishing;2010 July - 2011 June;109.6;1.5
116;A Agriculture, forestry and fishing;2010 October - 2011 September;110.2;1.8
117;A Agriculture, forestry and fishing;2011 January - 2011 December;111.1;1.5
118;A Agriculture, forestry and fishing;2011 April - 2012 March;111.7;1.9
119;A Agriculture, forestry and fishing;2011 July - 2012 June;112.1;2.3
120;A Agriculture, forestry and fishing;2011 October - 2012 September;112.9;2.5
121;A Agriculture, forestry and fishing;2012 January - 2012 December;113.5;2.2
122;A Agriculture, forestry and fishing;2012 April - 2013 March;114.9;2.9
123;A Agriculture, forestry and fishing;2012 July - 2013 June;115.8;3.3
124;A Agriculture, forestry and fishing;2012 October - 2013 September;116.1;2.8
125;A Agriculture, forestry and fishing;2013 January - 2013 December;116.3;2.5
126;B-F Industry and energy;2001;86.2;
127;B-F Industry and energy;2002;90.3;4.8
128;B-F Industry and energy;2003;93.7;3.8
129;B-F Industry and energy;2004;95.8;2.2
130;B-F Industry and energy;2005;97.0;1.3
131;B-F Industry and energy;2006;100.0;3.1
132;B-F Industry and energy;2007;102.4;2.4
133;B-F Industry and energy;2008;106.4;3.9
134;B-F Industry and energy;2009;108.1;1.6
135;B-F Industry and energy;2010;108.4;0.3
136;B-F Industry and energy;2011;109.6;1.1
137;B-F Industry and energy;2012;111.3;1.6
138;B-F Industry and energy;2013;114.7;3.1
139;B-F Industry and energy;2006 January - 2006 December;100.0;3.1
140;B-F Industry and energy;2006 April - 2007 March;100.9;
141;B-F Industry and energy;2006 July - 2007 June;101.4;
142;B-F Industry and energy;2006 October - 2007 September;101.8;
143;B-F Industry and energy;2007 January - 2007 December;102.4;2.4
144;B-F Industry and energy;2007 April - 2008 March;104.0;3.1
145;B-F Industry and energy;2007 July - 2008 June;105.4;3.9
146;B-F Industry and energy;2007 October - 2008 September;106.0;4.1
147;B-F Industry and energy;2008 January - 2008 December;106.4;3.9
148;B-F Industry and energy;2008 April - 2009 March;107.2;3.1
149;B-F Industry and energy;2008 July - 2009 June;108.4;2.8
150;B-F Industry and energy;2008 October - 2009 September;108.6;2.5
151;B-F Industry and energy;2009 January - 2009 December;108.1;1.6
152;B-F Industry and energy;2009 April - 2010 March;108.1;0.8
153;B-F Industry and energy;2009 July - 2010 June;108.5;0.1
154;B-F Industry and energy;2009 October - 2010 September;108.5;-0.1
155;B-F Industry and energy;2010 January - 2010 December;108.4;0.3
156;B-F Industry and energy;2010 April - 2011 March;108.3;0.2
157;B-F Industry and energy;2010 July - 2011 June;108.1;-0.4
158;B-F Industry and energy;2010 October - 2011 September;108.4;-0.1
