ID;RegioS;PolitiekePartijen;GeldigeStemmen_1;GeldigeStemmenRelatief_2;Zetelverdeling_3;ZetelverdelingRelatief_4
0;Nederland;1;5655464.0;100.0;564.0;100.0
1;Nederland;2;3573.0;0.1;0.0;0.0
2;Nederland;3;14576.0;0.3;1.0;0.2
3;Nederland;4;1412856.0;25.0;151.0;26.8
4;Nederland;5;309325.0;5.5;35.0;6.2
5;Nederland;6;49823.0;0.9;3.0;0.5
6;Nederland;7;1437.0;0.0;0.0;0.0
7;Nederland;8;145058.0;2.6;9.0;1.6
8;Nederland;9;1352.0;0.0;0.0;0.0
9;Nederland;10;2110.0;0.0;0.0;0.0
10;Nederland;11;5010.0;0.1;0.0;0.0
11;Nederland;12;28225.0;0.5;5.0;0.9
12;Nederland;13;9917.0;0.2;0.0;0.0
13;Nederland;14;6903.0;0.1;0.0;0.0
14;Nederland;15;3730.0;0.1;0.0;0.0
15;Nederland;16;347709.0;6.1;32.0;5.7
16;Nederland;17;706.0;0.0;0.0;0.0
17;Nederland;18;3179.0;0.1;0.0;0.0
18;Nederland;19;2168.0;0.0;0.0;0.0
19;Nederland;20;33333.0;0.6;1.0;0.2
20;Nederland;21;4010.0;0.1;0.0;0.0
21;Nederland;22;8051.0;0.1;0.0;0.0
22;Nederland;23;9219.0;0.2;1.0;0.2
23;Nederland;24;448.0;0.0;0.0;0.0
24;Nederland;25;1966.0;0.0;0.0;0.0
25;Nederland;26;4426.0;0.1;0.0;0.0
26;Nederland;27;1230.0;0.0;0.0;0.0
27;Nederland;28;6840.0;0.1;0.0;0.0
28;Nederland;29;2642.0;0.0;0.0;0.0
29;Nederland;30;1944.0;0.0;0.0;0.0
30;Nederland;31;27545.0;0.5;1.0;0.2
31;Nederland;32;14232.0;0.3;1.0;0.2
32;Nederland;33;1013786.0;17.9;114.0;20.2
33;Nederland;34;144132.0;2.5;9.0;1.6
34;Nederland;35;11267.0;0.2;1.0;0.2
35;Nederland;36;10402.0;0.2;2.0;0.4
36;Nederland;37;357.0;0.0;0.0;0.0
37;Nederland;38;838273.0;14.8;83.0;14.7
38;Nederland;39;134993.0;2.4;14.0;2.5
39;Nederland;40;1597.0;0.0;0.0;0.0
40;Nederland;41;12001.0;0.2;0.0;0.0
41;Nederland;42;1023189.0;18.1;101.0;17.9
42;Nederland;43;1924.0;0.0;0.0;0.0
43;Groningen (PV);1;227526.0;100.0;43.0;100.0
44;Groningen (PV);2;;;;
45;Groningen (PV);3;;;;
46;Groningen (PV);4;44091.0;19.4;9.0;20.9
47;Groningen (PV);5;23352.0;10.3;4.0;9.3
48;Groningen (PV);6;;;;
49;Groningen (PV);7;;;;
50;Groningen (PV);8;5915.0;2.6;1.0;2.3
51;Groningen (PV);9;;;;
52;Groningen (PV);10;;;;
53;Groningen (PV);11;;;;
54;Groningen (PV);12;;;;
55;Groningen (PV);13;;;;
56;Groningen (PV);14;;;;
57;Groningen (PV);15;;;;
58;Groningen (PV);16;17323.0;7.6;3.0;7.0
59;Groningen (PV);17;;;;
60;Groningen (PV);18;;;;
61;Groningen (PV);19;;;;
62;Groningen (PV);20;;;;
63;Groningen (PV);21;;;;
64;Groningen (PV);22;;;;
65;Groningen (PV);23;;;;
66;Groningen (PV);24;;;;
67;Groningen (PV);25;;;;
68;Groningen (PV);26;;;;
69;Groningen (PV);27;1230.0;0.5;0.0;0.0
70;Groningen (PV);28;;;;
71;Groningen (PV);29;;;;
72;Groningen (PV);30;;;;
73;Groningen (PV);31;;;;
74;Groningen (PV);32;;;;
75;Groningen (PV);33;59630.0;26.2;12.0;27.9
76;Groningen (PV);34;4913.0;2.2;1.0;2.3
77;Groningen (PV);35;8276.0;3.6;1.0;2.3
78;Groningen (PV);36;;;;
79;Groningen (PV);37;;;;
80;Groningen (PV);38;36203.0;15.9;7.0;16.3
81;Groningen (PV);39;;;;
82;Groningen (PV);40;;;;
83;Groningen (PV);41;;;;
84;Groningen (PV);42;26593.0;11.7;5.0;11.6
85;Groningen (PV);43;;;;
86;Friesland (PV);1;264269.0;100.0;43.0;100.0
87;Friesland (PV);2;;;;
88;Friesland (PV);3;;;;
89;Friesland (PV);4;68041.0;25.7;12.0;27.9
90;Friesland (PV);5;21638.0;8.2;3.0;7.0
91;Friesland (PV);6;;;;
92;Friesland (PV);7;1437.0;0.5;0.0;0.0
93;Friesland (PV);8;3441.0;1.3;0.0;0.0
94;Friesland (PV);9;;;;
95;Friesland (PV);10;;;;
96;Friesland (PV);11;;;;
97;Friesland (PV);12;28225.0;10.7;5.0;11.6
98;Friesland (PV);13;;;;
99;Friesland (PV);14;;;;
100;Friesland (PV);15;3730.0;1.4;0.0;0.0
101;Friesland (PV);16;10269.0;3.9;2.0;4.7
102;Friesland (PV);17;;;;
103;Friesland (PV);18;;;;
104;Friesland (PV);19;;;;
105;Friesland (PV);20;;;;
106;Friesland (PV);21;;;;
107;Friesland (PV);22;;;;
108;Friesland (PV);23;;;;
109;Friesland (PV);24;448.0;0.2;0.0;0.0
110;Friesland (PV);25;;;;
111;Friesland (PV);26;;;;
112;Friesland (PV);27;;;;
113;Friesland (PV);28;;;;
114;Friesland (PV);29;;;;
115;Friesland (PV);30;;;;
116;Friesland (PV);31;;;;
117;Friesland (PV);32;;;;
118;Friesland (PV);33;67712.0;25.6;12.0;27.9
119;Friesland (PV);34;4501.0;1.7;0.0;0.0
120;Friesland (PV);35;972.0;0.4;0.0;0.0
121;Friesland (PV);36;;;;
122;Friesland (PV);37;;;;
123;Friesland (PV);38;25281.0;9.6;4.0;9.3
124;Friesland (PV);39;;;;
125;Friesland (PV);40;;;;
126;Friesland (PV);41;;;;
127;Friesland (PV);42;28574.0;10.8;5.0;11.6
128;Friesland (PV);43;;;;
129;Drenthe (PV);1;190727.0;100.0;41.0;100.0
130;Drenthe (PV);2;3573.0;1.9;0.0;0.0
131;Drenthe (PV);3;;;;
