ID;HuishoudensKenmerken;Perioden;Vermogenssaldo_1;Totaal_2;ChartaalGeldEnDepositoS_3;Schuldbewijzen_4;Leningen_5;AandelenEnOverigeDeelnemingen_6;VerzekeringsPensioenregelingen_7;FinancieleDerivatenEnAandelenopties_8;OverigeVorderingen_9;Totaal_10;Leningen_11;FinancieleDerivatenEnAandelenopties_12;OverigeSchulden_13;Totaal_14;WoningenEnGrondOnderWoningen_15;OverigeNietFinancieleActiva_16;Vermogenssaldo_17;Totaal_18;ChartaalGeldEnDepositoS_19;Schuldbewijzen_20;Leningen_21;AandelenEnOverigeDeelnemingen_22;VerzekeringsPensioenregelingen_23;FinancieleDerivatenEnAandelenopties_24;OverigeVorderingen_25;Totaal_26;Leningen_27;FinancieleDerivatenEnAandelenopties_28;OverigeSchulden_29;Totaal_30;WoningenEnGrondOnderWoningen_31;OverigeNietFinancieleActiva_32;Vermogenssaldo_33;Totaal_34;ChartaalGeldEnDepositoS_35;Schuldbewijzen_36;Leningen_37;AandelenEnOverigeDeelnemingen_38;VerzekeringsPensioenregelingen_39;FinancieleDerivatenEnAandelenopties_40;OverigeVorderingen_41;Totaal_42;Leningen_43;FinancieleDerivatenEnAandelenopties_44;OverigeSchulden_45;Totaal_46;WoningenEnGrondOnderWoningen_47;OverigeNietFinancieleActiva_48;Vermogenssaldo_49;Totaal_50;ChartaalGeldEnDepositoS_51;Schuldbewijzen_52;Leningen_53;AandelenEnOverigeDeelnemingen_54;VerzekeringsPensioenregelingen_55;FinancieleDerivatenEnAandelenopties_56;OverigeVorderingen_57;Totaal_58;Leningen_59;FinancieleDerivatenEnAandelenopties_60;OverigeSchulden_61;Totaal_62;WoningenEnGrondOnderWoningen_63;OverigeNietFinancieleActiva_64
63;Eenpersoonshuishouden: man;2008;218107;143720;32669;1809;788;15108;88378;35;4933;71616;65711;2;5903;146003;131503;14500;182.9;120.5;27.4;1.5;0.7;12.7;74.1;0.0;4.1;60.1;55.1;0.0;4.9;122.4;110.3;12.2;182.9;120.5;27.4;1.5;0.7;12.7;74.1;0.0;4.1;60.1;55.1;0.0;4.9;122.4;110.3;12.2;100;65.9;15.0;0.8;0.4;6.9;40.5;0.0;2.3;32.8;30.1;0.0;2.7;66.9;60.3;6.6
64;Eenpersoonshuishouden: man;2009;214733;152110;33708;2596;793;23223;85192;53;6545;80353;71765;1;8587;142977;131536;11441;176.8;125.3;27.8;2.1;0.7;19.1;70.2;0.0;5.4;66.2;59.1;0.0;7.1;117.7;108.3;9.4;176.8;125.3;27.8;2.1;0.7;19.1;70.2;0.0;5.4;66.2;59.1;0.0;7.1;117.7;108.3;9.4;100;70.8;15.7;1.2;0.4;10.8;39.7;0.0;3.0;37.4;33.4;0.0;4.0;66.6;61.3;5.3
65;Eenpersoonshuishouden: man;2010;222330;162968;37310;2123;843;22415;94434;62;5781;76959;69279;7;7673;136322;124910;11411;180.4;132.3;30.3;1.7;0.7;18.2;76.6;0.1;4.7;62.5;56.2;0.0;6.2;110.6;101.4;9.3;180.4;132.3;30.3;1.7;0.7;18.2;76.6;0.1;4.7;62.5;56.2;0.0;6.2;110.6;101.4;9.3;100;73.3;16.8;1.0;0.4;10.1;42.5;0.0;2.6;34.6;31.2;0.0;3.5;61.3;56.2;5.1
66;Eenpersoonshuishouden: man;2011;229585;171327;37105;1687;715;21683;105686;58;4392;77889;71453;1;6435;136148;124629;11519;181.1;135.1;29.3;1.3;0.6;17.1;83.4;0.0;3.5;61.4;56.4;0.0;5.1;107.4;98.3;9.1;181.1;135.1;29.3;1.3;0.6;17.1;83.4;0.0;3.5;61.4;56.4;0.0;5.1;107.4;98.3;9.1;100;73.7;16.0;0.7;0.3;9.3;45.4;0.0;1.9;33.9;31.1;0.0;2.8;58.5;53.6;5.0
67;Eenpersoonshuishouden: man;2012;238796;190693;38872;1297;708;19554;125179;44;5037;82354;74516;1;7838;130457;119719;10738;184.5;147.3;30.0;1.0;0.5;15.1;96.7;0.0;3.9;63.6;57.6;0.0;6.1;100.8;92.5;8.3;184.5;147.3;30.0;1.0;0.5;15.1;96.7;0.0;3.9;63.6;57.6;0.0;6.1;100.8;92.5;8.3;100;79.9;16.3;0.5;0.3;8.2;52.4;0.0;2.1;34.5;31.2;0.0;3.3;54.6;50.1;4.5
68;Eenpersoonshuishouden: man;2013;234061;187907;38284;957;687;21750;122372;53;3805;77618;71062;1;6555;123772;112232;11540;180.1;144.6;29.5;0.7;0.5;16.7;94.1;0.0;2.9;59.7;54.7;0.0;5.0;95.2;86.3;8.9;180.1;144.6;29.5;0.7;0.5;16.7;94.1;0.0;2.9;59.7;54.7;0.0;5.0;95.2;86.3;8.9;100;80.3;16.4;0.4;0.3;9.3;52.3;0.0;1.6;33.2;30.4;0.0;2.8;52.9;47.9;4.9
69;Eenpersoonshuishouden: man;2014;282603;231957;41923;1112;768;34761;148365;84;4945;80542;72304;2;8236;131188;115825;15363;212.9;174.7;31.6;0.8;0.6;26.2;111.7;0.1;3.7;60.7;54.5;0.0;6.2;98.8;87.2;11.6;212.9;174.7;31.6;0.8;0.6;26.2;111.7;0.1;3.7;60.7;54.5;0.0;6.2;98.8;87.2;11.6;100;82.1;14.8;0.4;0.3;12.3;52.5;0.0;1.7;28.5;25.6;0.0;2.9;46.4;41.0;5.4
70;Eenpersoonshuishouden: vrouw;2005;182162;109863;40815;2659;1068;24796;35334;55;5135;39757;35238;1;4518;112057;108364;3693;135.3;81.6;30.3;2.0;0.8;18.4;26.2;0.0;3.8;29.5;26.2;0.0;3.4;83.2;80.5;2.7;135.3;81.6;30.3;2.0;0.8;18.4;26.2;0.0;3.8;29.5;26.2;0.0;3.4;83.2;80.5;2.7;100;60.3;22.4;1.5;0.6;13.6;19.4;0.0;2.8;21.8;19.3;0.0;2.5;61.5;59.5;2.0
71;Eenpersoonshuishouden: vrouw;2006;199047;123202;42004;3268;1102;31106;39832;73;5817;45343;40785;10;4548;121188;116852;4336;146.0;90.4;30.8;2.4;0.8;22.8;29.2;0.1;4.3;33.3;29.9;0.0;3.3;88.9;85.7;3.2;146.0;90.4;30.8;2.4;0.8;22.8;29.2;0.1;4.3;33.3;29.9;0.0;3.3;88.9;85.7;3.2;100;61.9;21.1;1.6;0.6;15.6;20.0;0.0;2.9;22.8;20.5;0.0;2.3;60.9;58.7;2.2
72;Eenpersoonshuishouden: vrouw;2007;203941;121580;44611;3354;1133;29630;37567;72;5213;48357;43765;12;4580;130717;125466;5251;148.2;88.3;32.4;2.4;0.8;21.5;27.3;0.1;3.8;35.1;31.8;0.0;3.3;95.0;91.2;3.8;148.2;88.3;32.4;2.4;0.8;21.5;27.3;0.1;3.8;35.1;31.8;0.0;3.3;95.0;91.2;3.8;100;59.6;21.9;1.6;0.6;14.5;18.4;0.0;2.6;23.7;21.5;0.0;2.2;64.1;61.5;2.6
