ID;Perioden;PrijsindexBestaandeKoopwoningen_1;OntwikkelingTOVVoorgaandePeriode_2;OntwikkelingTOVEenJaarEerder_3;AantalVerkochteWoningen_4;OntwikkelingTOVVoorgaandePeriode_5;OntwikkelingTOVEenJaarEerder_6;GemiddeldeVerkoopprijs_7;TotaleWaardeVerkoopprijzen_8
0;1995 januari;36.5;;;8793;;;88991;782
1;1995 februari;36.7;0.6;;10103;14.9;;89741;907
2;1995 maart;36.6;-0.3;;11838;17.2;;90432;1071
3;1995 1e kwartaal;36.6;;;30734;;;89792;2760
4;1995 april;36.8;0.5;;10626;-10.2;;89808;954
5;1995 mei;37.0;0.6;;12746;20.0;;92326;1177
6;1995 juni;37.4;1.0;;13682;7.3;;93652;1281
7;1995 2e kwartaal;37.1;1.2;;37054;20.6;;92094;3412
8;1995 juli;37.8;1.1;;14346;4.9;;95222;1366
9;1995 augustus;38.2;1.2;;13580;-5.3;;96583;1312
10;1995 september;38.3;0.1;;12572;-7.4;;95676;1203
11;1995 3e kwartaal;38.1;2.8;;40498;9.3;;95819;3880
12;1995 oktober;38.5;0.5;;13629;8.4;;95076;1296
13;1995 november;38.4;-0.1;;13363;-2.0;;95408;1275
14;1995 december;38.9;1.1;;19290;44.4;;96804;1867
15;1995 4e kwartaal;38.6;1.3;;46282;14.3;;95892;4438
16;1995;37.6;;;154568;;;93750;14491
17;1996 januari;39.4;1.4;7.9;10193;-47.2;15.9;96767;986
18;1996 februari;39.7;0.7;8.0;12061;18.3;19.4;96539;1164
19;1996 maart;40.0;0.7;9.1;13415;11.2;13.3;98188;1317
20;1996 1e kwartaal;39.7;2.8;8.3;35669;-22.9;16.1;97224;3468
21;1996 april;40.6;1.7;10.4;14610;8.9;37.5;99609;1455
22;1996 mei;41.1;1.2;11.1;15548;6.4;22.0;101317;1575
23;1996 juni;41.3;0.4;10.6;13652;-12.2;-0.2;99819;1363
24;1996 2e kwartaal;41.0;3.4;10.7;43810;22.8;18.2;100280;4393
25;1996 juli;42.0;1.6;11.1;17802;30.4;24.1;104167;1854
26;1996 augustus;42.5;1.2;11.1;14922;-16.2;9.9;105608;1576
27;1996 september;42.9;1.0;12.1;13858;-7.1;10.2;104589;1449
28;1996 3e kwartaal;42.5;3.5;11.5;46582;6.3;15.0;104754;4880
29;1996 oktober;43.1;0.3;11.9;14781;6.7;8.5;104819;1549
30;1996 november;43.5;1.0;13.1;14700;-0.5;10.0;106055;1559
31;1996 december;43.6;0.3;12.2;20209;37.5;4.8;108073;2184
32;1996 4e kwartaal;43.4;2.2;12.4;49690;6.7;7.4;106508;5292
33;1996;41.6;10.8;10.8;175751;13.7;13.7;102607;18033
