ID;Geslacht;Leeftijd;Nationaliteit;Perioden;AlleenstaandeMinderjarigeVreemdelingen_1
0;Totaal mannen en vrouwen;10000;Totaal;2008;725
1;Totaal mannen en vrouwen;10000;Totaal;2009;1040
2;Totaal mannen en vrouwen;10000;Totaal;2010;700
3;Totaal mannen en vrouwen;10000;Totaal;2011;485
4;Totaal mannen en vrouwen;10000;Totaal;2012;380
5;Totaal mannen en vrouwen;10000;Totaal;2013;310
6;Totaal mannen en vrouwen;10000;Totaal;2014;960
7;Totaal mannen en vrouwen;10000;Totaal;2015;3860
8;Totaal mannen en vrouwen;10000;Totaal;2016;1705
9;Totaal mannen en vrouwen;10000;Totaal;2017;1180
10;Totaal mannen en vrouwen;10000;Totaal;2018;1225
11;Totaal mannen en vrouwen;10000;Totaal;2019;1045
12;Totaal mannen en vrouwen;10000;Totaal;2020;985
13;Totaal mannen en vrouwen;10000;Totaal;2021;2190
14;Totaal mannen en vrouwen;10000;Totaal;2022;4205
15;Totaal mannen en vrouwen;10000;Totaal;2023;5805
16;Totaal mannen en vrouwen;10000;Afghaans ;2008;95
17;Totaal mannen en vrouwen;10000;Afghaans ;2009;0
18;Totaal mannen en vrouwen;10000;Afghaans ;2010;0
19;Totaal mannen en vrouwen;10000;Afghaans ;2011;260
20;Totaal mannen en vrouwen;10000;Afghaans ;2012;145
21;Totaal mannen en vrouwen;10000;Afghaans ;2013;60
22;Totaal mannen en vrouwen;10000;Afghaans ;2014;30
23;Totaal mannen en vrouwen;10000;Afghaans ;2015;535
24;Totaal mannen en vrouwen;10000;Afghaans ;2016;195
25;Totaal mannen en vrouwen;10000;Afghaans ;2017;65
26;Totaal mannen en vrouwen;10000;Afghaans ;2018;30
27;Totaal mannen en vrouwen;10000;Afghaans ;2019;55
28;Totaal mannen en vrouwen;10000;Afghaans ;2020;45
29;Totaal mannen en vrouwen;10000;Afghaans ;2021;85
30;Totaal mannen en vrouwen;10000;Afghaans ;2022;145
