ID;BedrijfstakkenSBI93;Perioden;Geschillen_1;VerlorenArbeidsdagen_2;BetrokkenWerknemers_3
32;10-14 Delfstoffenwinning;2001;0.0;0.0;0.0
33;10-14 Delfstoffenwinning;2002;0.0;0.0;0.0
34;10-14 Delfstoffenwinning;2003;0.0;0.0;0.0
35;10-14 Delfstoffenwinning;2004;0.0;0.0;0.0
36;10-14 Delfstoffenwinning;2005;0.0;0.0;0.0
37;10-14 Delfstoffenwinning;2006;0.0;0.0;0.0
38;10-14 Delfstoffenwinning;2007;0.0;0.0;0.0
39;10-14 Delfstoffenwinning;2008;0.0;0.0;0.0
40;15-37 Industrie;1999;7.0;4.2;1.9
41;15-37 Industrie;2000;7.0;3.4;1.1
42;15-37 Industrie;2001;;;
43;15-37 Industrie;2002;4.0;3.0;2.5
44;15-37 Industrie;2003;4.0;1.7;0.6
45;15-37 Industrie;2004;6.0;11.1;8.2
46;15-37 Industrie;2005;10.0;18.2;9.3
47;15-37 Industrie;2006;12.0;6.3;2.1
48;15-37 Industrie;2007;4.0;4.1;2.8
49;15-37 Industrie;2008;;;
50;40-41 Energie- en waterleidingbedrijven;1999;0.0;0.0;0.0
51;40-41 Energie- en waterleidingbedrijven;2000;0.0;0.0;0.0
52;40-41 Energie- en waterleidingbedrijven;2001;;;
53;40-41 Energie- en waterleidingbedrijven;2002;0.0;0.0;0.0
54;40-41 Energie- en waterleidingbedrijven;2003;0.0;0.0;0.0
55;40-41 Energie- en waterleidingbedrijven;2004;0.0;0.0;0.0
56;40-41 Energie- en waterleidingbedrijven;2005;0.0;0.0;0.0
57;40-41 Energie- en waterleidingbedrijven;2006;0.0;0.0;0.0
58;40-41 Energie- en waterleidingbedrijven;2007;0.0;0.0;0.0
59;40-41 Energie- en waterleidingbedrijven;2008;;;
60;45 Bouwnijverheid;1999;2.0;17.7;2.7
61;45 Bouwnijverheid;2000;0.0;0.0;0.0
62;45 Bouwnijverheid;2001;0.0;0.0;0.0
63;45 Bouwnijverheid;2002;1.0;224.2;20.2
64;45 Bouwnijverheid;2003;0.0;0.0;0.0
65;45 Bouwnijverheid;2004;0.0;0.0;0.0
66;45 Bouwnijverheid;2005;;;
67;45 Bouwnijverheid;2006;0.0;0.0;0.0
68;45 Bouwnijverheid;2007;0.0;0.0;0.0
69;45 Bouwnijverheid;2008;0.0;0.0;0.0
70;50-74 Commerciële dienstverlening;1999;11.0;0.9;1.5
71;50-74 Commerciële dienstverlening;2000;12.0;3.4;4.3
72;50-74 Commerciële dienstverlening;2001;10.0;13.0;7.9
73;50-74 Commerciële dienstverlening;2002;9.0;17.2;4.9
74;50-74 Commerciële dienstverlening;2003;8.0;12.5;7.6
75;50-74 Commerciële dienstverlening;2004;3.0;0.7;0.6
76;50-74 Commerciële dienstverlening;2005;13.0;4.2;3.9
77;50-74 Commerciële dienstverlening;2006;16.0;8.3;6.0
78;50-74 Commerciële dienstverlening;2007;11.0;8.2;3.8
79;50-74 Commerciële dienstverlening;2008;9.0;82.9;26.3
80;50-52 Handel;1999;0.0;0.0;0.0
81;50-52 Handel;2000;;;
82;50-52 Handel;2001;;;
83;50-52 Handel;2002;0.0;0.0;0.0
84;50-52 Handel;2003;;;
85;50-52 Handel;2004;0.0;0.0;0.0
86;50-52 Handel;2005;;;
87;50-52 Handel;2006;;;
88;50-52 Handel;2007;0.0;0.0;0.0
89;50-52 Handel;2008;0.0;0.0;0.0
90;55 Horeca;1999;0.0;0.0;0.0
91;55 Horeca;2000;;;
92;55 Horeca;2001;0.0;0.0;0.0
93;55 Horeca;2002;0.0;0.0;0.0
94;55 Horeca;2003;0.0;0.0;0.0
95;55 Horeca;2004;0.0;0.0;0.0
96;55 Horeca;2005;0.0;0.0;0.0
97;55 Horeca;2006;0.0;0.0;0.0
98;55 Horeca;2007;0.0;0.0;0.0
99;55 Horeca;2008;0.0;0.0;0.0
100;60-64 Vervoer en communicatie;1999;;;
101;60-64 Vervoer en communicatie;2000;8.0;3.3;4.1
102;60-64 Vervoer en communicatie;2001;;;
103;60-64 Vervoer en communicatie;2002;;;
104;60-64 Vervoer en communicatie;2003;;;
105;60-64 Vervoer en communicatie;2004;3.0;0.7;0.6
106;60-64 Vervoer en communicatie;2005;6.0;1.8;1.7
107;60-64 Vervoer en communicatie;2006;13.0;8.1;5.9
108;60-64 Vervoer en communicatie;2007;7.0;7.2;2.6
109;60-64 Vervoer en communicatie;2008;9.0;82.9;26.3
110;65-67 Financiële instellingen;1999;0.0;0.0;0.0
111;65-67 Financiële instellingen;2000;0.0;0.0;0.0
112;65-67 Financiële instellingen;2001;0.0;0.0;0.0
113;65-67 Financiële instellingen;2002;0.0;0.0;0.0
114;65-67 Financiële instellingen;2003;0.0;0.0;0.0
115;65-67 Financiële instellingen;2004;0.0;0.0;0.0
116;65-67 Financiële instellingen;2005;0.0;0.0;0.0
117;65-67 Financiële instellingen;2006;0.0;0.0;0.0
118;65-67 Financiële instellingen;2007;0.0;0.0;0.0
119;65-67 Financiële instellingen;2008;0.0;0.0;0.0
120;70-74 Zakelijke dienstverlening;1999;;;
121;70-74 Zakelijke dienstverlening;2000;;;
122;70-74 Zakelijke dienstverlening;2001;0.0;0.0;0.0
123;70-74 Zakelijke dienstverlening;2002;;;
124;70-74 Zakelijke dienstverlening;2003;;;
125;70-74 Zakelijke dienstverlening;2004;0.0;0.0;0.0
126;70-74 Zakelijke dienstverlening;2005;6.0;2.0;2.1
127;70-74 Zakelijke dienstverlening;2006;;;
128;70-74 Zakelijke dienstverlening;2007;4.0;1.0;1.2
129;70-74 Zakelijke dienstverlening;2008;0.0;0.0;0.0
130;75-99 Niet-commerciële dienstverlening;1999;4.0;53.0;52.8
131;75-99 Niet-commerciële dienstverlening;2000;4.0;2.6;4.8
132;75-99 Niet-commerciële dienstverlening;2001;3.0;23.5;20.4
133;75-99 Niet-commerciële dienstverlening;2002;;;
134;75-99 Niet-commerciële dienstverlening;2003;;;
135;75-99 Niet-commerciële dienstverlening;2004;;;
136;75-99 Niet-commerciële dienstverlening;2005;;;
137;75-99 Niet-commerciële dienstverlening;2006;3.0;1.2;3.1
138;75-99 Niet-commerciële dienstverlening;2007;5.0;14.2;14.1
139;75-99 Niet-commerciële dienstverlening;2008;3.0;28.1;19.4
140;75 Openbaar bestuur;1999;3.0;8.9;8.7
141;75 Openbaar bestuur;2000;;;
142;75 Openbaar bestuur;2001;0.0;0.0;0.0
143;75 Openbaar bestuur;2002;;;
144;75 Openbaar bestuur;2003;;;
145;75 Openbaar bestuur;2004;0.0;0.0;0.0
146;75 Openbaar bestuur;2005;0.0;0.0;0.0
147;75 Openbaar bestuur;2006;;;
148;75 Openbaar bestuur;2007;;;
149;75 Openbaar bestuur;2008;;;
150;80 Onderwijs;1999;1.0;44.1;44.1
151;80 Onderwijs;2000;;;
152;80 Onderwijs;2001;;;
153;80 Onderwijs;2002;0.0;0.0;0.0
154;80 Onderwijs;2003;0.0;0.0;0.0
155;80 Onderwijs;2004;0.0;0.0;0.0
156;80 Onderwijs;2005;0.0;0.0;0.0
157;80 Onderwijs;2006;0.0;0.0;0.0
158;80 Onderwijs;2007;;;
159;80 Onderwijs;2008;;;
160;85 Gezondheids- en welzijnszorg;1999;0.0;0.0;0.0
161;85 Gezondheids- en welzijnszorg;2000;0.0;0.0;0.0
162;85 Gezondheids- en welzijnszorg;2001;;;
163;85 Gezondheids- en welzijnszorg;2002;;;
164;85 Gezondheids- en welzijnszorg;2003;0.0;0.0;0.0
165;85 Gezondheids- en welzijnszorg;2004;0.0;0.0;0.0
166;85 Gezondheids- en welzijnszorg;2005;0.0;0.0;0.0
167;85 Gezondheids- en welzijnszorg;2006;;;
168;85 Gezondheids- en welzijnszorg;2007;;;
169;85 Gezondheids- en welzijnszorg;2008;0.0;0.0;0.0
170;90-93 Cultuur en overige dienstverlening;1999;0.0;0.0;0.0
171;90-93 Cultuur en overige dienstverlening;2000;;;
172;90-93 Cultuur en overige dienstverlening;2001;;;
173;90-93 Cultuur en overige dienstverlening;2002;0.0;0.0;0.0
174;90-93 Cultuur en overige dienstverlening;2003;;;
175;90-93 Cultuur en overige dienstverlening;2004;;;
176;90-93 Cultuur en overige dienstverlening;2005;;;
177;90-93 Cultuur en overige dienstverlening;2006;;;
178;90-93 Cultuur en overige dienstverlening;2007;0.0;0.0;0.0
179;90-93 Cultuur en overige dienstverlening;2008;0.0;0.0;0.0
180;95 Personeel in dienst van huish.;1999;0.0;0.0;0.0
181;95 Personeel in dienst van huish.;2000;0.0;0.0;0.0
182;95 Personeel in dienst van huish.;2001;0.0;0.0;0.0
183;95 Personeel in dienst van huish.;2002;0.0;0.0;0.0
184;95 Personeel in dienst van huish.;2003;0.0;0.0;0.0
185;95 Personeel in dienst van huish.;2004;0.0;0.0;0.0
186;95 Personeel in dienst van huish.;2005;0.0;0.0;0.0
187;95 Personeel in dienst van huish.;2006;0.0;0.0;0.0
188;95 Personeel in dienst van huish.;2007;0.0;0.0;0.0
189;95 Personeel in dienst van huish.;2008;0.0;0.0;0.0
190;99 Internationale gemeenschapsorg.;1999;0.0;0.0;0.0
191;99 Internationale gemeenschapsorg.;2000;0.0;0.0;0.0
192;99 Internationale gemeenschapsorg.;2001;0.0;0.0;0.0
193;99 Internationale gemeenschapsorg.;2002;0.0;0.0;0.0
194;99 Internationale gemeenschapsorg.;2003;0.0;0.0;0.0
195;99 Internationale gemeenschapsorg.;2004;0.0;0.0;0.0
196;99 Internationale gemeenschapsorg.;2005;0.0;0.0;0.0
197;99 Internationale gemeenschapsorg.;2006;0.0;0.0;0.0
198;99 Internationale gemeenschapsorg.;2007;0.0;0.0;0.0
199;99 Internationale gemeenschapsorg.;2008;0.0;0.0;0.0
200;SBI onbekend;1999;;;
201;SBI onbekend;2000;;;
202;SBI onbekend;2001;;;
203;SBI onbekend;2002;2.0;1.0;1.1
204;SBI onbekend;2003;2.0;0.8;2.5
205;SBI onbekend;2004;3.0;50.5;95.3
206;SBI onbekend;2005;4.0;19.2;15.7
207;SBI onbekend;2006;;;
208;SBI onbekend;2007;;;
209;SBI onbekend;2008;;;
