ID;Periods;NumberOfMuseums_1;OpenDuringTheWholeYear_2;OpenDuringPartOfTheYear_3;ArtsMuseums_4;HistoryMuseums_5;NaturalHistoryMuseums_6;EthnologyMuseums_7;ScienceAndEngineeringMuseums_8;MuseumsWithAMiscellaneousCollection_9;TotalNumberOfVisits_10;PaidVisitsFullRate_11;PaidVisitsWithDiscounts_12;VisitsWithMuseumCards_13;FreeVisits_14;Adults_15;Children_16;InMuseumInTheNetherlands_17;InOtherSpaceInTheNetherlands_18;Abroad_19;RevenueTotal_20;GovernmentTotal_21;PerHeadOfPopulation_22;Government_23;Provinces_24;LocalGovernment_25;Sponsors_26;WageSubsidies_27;OtherSubsidiesAndFinancialSupport_28;EntranceFeeMembership_29;RevenueMuseumCard_30;RevenueNSPass_31;TotalOtherRevenues_32;SalesGoods_33;Catering_34;Interests_35;OtherActivities_36;TotalCosts_37;StaffCostsTotal_38;GrossWagesAndSalaries_39;EmployersSocialContribution_40;HiredStaff_41;OtherStaffCosts_42;AccommodationCostsTotal_43;RentBuildingsAndSites_44;MaintenanceBuildingAndSites_45;EnergyCosts_46;OtherAccommodationCosts_47;PurchaseGoods_48;PurchaseCatering_49;Depreciation_50;PaidInterest_51;CostsExhibition_52;InsurancePremiums_53;MaintenanceCollection_54;OtherCosts_55;FinancialBalance_56;SalesFromTheCollection_57;PurchaseForTheCollection_58
0;1993;732;62;38;68;374;71;17;153;49;22993;17488;;1588;3921;1.54;0.92;1910;140.0;100.0;260;174;11;77;17;80;4;;11;37;3;;30;8;3;2;18;254;124;102;15;8;;32;6;13;7;6;;;10;10;19;2;6;50;6;;9
1;1994;741;64;36;72;377;69;18;153;52;21582;14022;;1723;5837;1.66;0.98;1927;148.0;52.0;280;184;12;85;19;80;5;;9;46;3;;33;9;3;2;19;272;132;107;16;9;;39;11;16;7;6;;;12;9;19;2;8;52;9;;6
2;1995;744;65;35;75;380;67;18;149;55;21921;14287;;1947;5686;1.84;1.06;1898;186.0;54.0;296;191;12;95;15;81;8;;11;44;4;;39;11;3;4;21;290;140;112;18;10;;47;16;15;8;8;;;13;8;22;2;9;50;6;;7
3;1997;942;76;24;102;491;50;20;260;19;20266;14578;;2804;2883;2.03;1.17;2032;157.0;110.0;285;179;11;82;21;77;8;;13;46;5;;34;11;4;2;17;280;147;113;15;15;4.0;40;16;10;7;7;;;14;5;16;3;7;48;5;;8
4;1999;902;63;37;109;451;59;18;255;10;20679;14012;;3225;3441;2.23;1.33;2249;246.0;55.0;358;221;14;102;17;102;8;4.0;21;48;6;;51;17;7;3;24;354;183;134;27;12;10.0;51;20;12;9;10;9.0;3.0;15;7;29;10;8;38;4;1.0;24
5;2001;873;62;38;105;448;49;17;245;9;20488;10929;3470.0;2445;3643;2.24;1.47;2135;;;411;261;16;140;16;104;8;4.0;27;56;5;;50;15;7;3;25;404;198;145;29;14;11.0;78;42;11;10;16;8.0;4.0;19;8;34;10;9;36;7;0.0;16
6;2003;828;64;36;118;423;44;17;217;9;19558;10233;3359.0;2438;3527;3.16;1.37;2162;;;476;305;19;168;22;115;10;8.0;34;59;5;;55;18;7;3;28;476;227;165;32;17;13.0;97;57;13;11;16;9.0;3.0;24;8;43;7;7;51;0;1.0;34
7;2005;775;68;32;107;391;51;18;196;12;19648;9624;3903.0;2320;3801;3.29;1.46;2041;164.0;74.0;527;340;21;186;28;126;11;6.0;34;64;6;2.0;63;21;9;4;29;522;246;175;39;16;16.0;105;61;12;13;19;12.0;5.0;23;7;45;7;6;66;4;3.0;47
8;2007;773;67;33;118;383;54;17;190;11;20540;10162;4043.0;2643;3692;3.77;1.77;2420;171.0;78.0;611;379;23;213;34;132;15;5.0;52;76;6;;78;23;12;7;35;602;267;193;41;21;13.0;121;70;11;17;24;15.0;6.0;25;7;52;9;8;90;9;1.0;92
9;2009;810;67;33;126;388;55;21;195;25;22037;9490;3949.0;3333;5265;4.49;2.2;2143;191.0;54.0;710;436;26;231;41;164;19;4.0;67;81;13;;89;23;14;8;45;683;304;221;41;27;15.0;145;85;15;21;25;14.0;8.0;29;5;62;8;14;93;28;0.0;24
