ID;Bronnen;Perioden;CO2_1;NMVOS_2;CH4_3;SO2_4;N2O_5;CO_6;NOx_7;NH3_8;PM10_9;PM25_10
0;Totaal Stationaire en mobiele bronnen;1990;171300;608.31;1276.1;243.0;60.72;1202.5;720.4;344.5;83.54;60.23
1;Totaal Stationaire en mobiele bronnen;1995;181200;429.7;1186.34;182.9;61.2;927.9;620.1;218.18;66.12;48.61
2;Totaal Stationaire en mobiele bronnen;2000;183000;339.09;968.47;139.9;54.17;777.0;556.0;173.54;55.53;40.14
3;Totaal Stationaire en mobiele bronnen;2001;188700;310.87;942.31;141.1;51.07;773.5;548.1;167.32;53.89;38.97
4;Totaal Stationaire en mobiele bronnen;2002;188300;295.47;896.67;133.5;48.03;758.3;533.4;160.01;52.6;37.29
5;Totaal Stationaire en mobiele bronnen;2003;191500;288.98;865.79;128.2;47.64;757.9;529.2;156.97;50.75;36.73
6;Totaal Stationaire en mobiele bronnen;2004;194400;271.28;849.67;128.3;48.9;779.1;518.1;156.77;49.58;35.49
7;Totaal Stationaire en mobiele bronnen;2005;191100;274.95;790.87;129.5;48.73;748.0;508.4;154.13;48.62;34.47
8;Totaal Stationaire en mobiele bronnen;2006;185600;269.35;772.9;132.9;49.02;744.7;501.9;156.95;48.09;34.29
9;Totaal Stationaire en mobiele bronnen;2007;185500;271.67;774.74;122.3;43.7;725.8;478.5;153.16;46.12;31.84
10;Totaal Stationaire en mobiele bronnen;2008;189400;267.7;783.95;93.0;31.09;724.7;457.6;140.49;43.68;29.52
11;Totaal Stationaire en mobiele bronnen;2009;186000;268.45;777.19;77.9;30.55;662.9;425.4;136.32;41.58;27.87
12;Totaal Stationaire en mobiele bronnen;2010;198400;278.99;774.28;70.1;29.6;691.9;419.6;133.91;41.17;27.44
13;Totaal Stationaire en mobiele bronnen;2011;185000;272.02;751.53;59.9;28.89;648.2;407.0;131.93;38.58;24.77
14;Totaal Stationaire en mobiele bronnen;2012;182800;265.16;734.95;58.2;28.38;630.5;387.7;126.26;37.31;23.42
15;Totaal Stationaire en mobiele bronnen;2013 ;181600;264.91;734.33;52.0;29.16;607.6;370.7;123.7;36.79;22.92
16;Totaal Stationaire en mobiele bronnen;2014 ;175800;249.12;716.98;52.8;29.68;571.9;363.4;127.3;35.7;21.68
17;Totaal Stationaire en mobiele bronnen;2015 ;183200;258.04;725.12;42.5;30.51;579.3;370.9;128.77;35.25;21.34
18;Totaal Stationaire en mobiele bronnen;2016 ;184700;254.34;730.01;33.9;29.54;563.4;360.6;130.02;33.99;20.11
19;Totaal Stationaire en mobiele bronnen;2017 ;181800;254.8;716.93;32.0;30.42;549.6;347.5;131.97;33.31;19.52
20;Totaal Stationaire en mobiele bronnen;2018 ;178400;247.71;693.58;29.5;29.69;534.1;343.8;129.76;33.15;19.39
21;Totaal Stationaire en mobiele bronnen;2019 ;174900;243.34;689.35;26.8;29.32;514.6;335.4;124.43;32.18;18.69
22;Totaal Stationaire en mobiele bronnen;2020 ;163100;276.47;678.97;23.0;28.76;460.1;316.2;123.42;30.23;17.36
23;Totaal Stationaire en mobiele bronnen;2021 ;169200;283.82;669.56;24.2;27.65;452.4;308.4;122.07;28.72;16.65
24;Stationaire bronnen, totaal;1990;136700;394.41;1267.57;170.7;60.22;369.5;280.6;343.56;52.55;31.64
25;Stationaire bronnen, totaal;1995;144600;288.32;1180.5;109.7;60.24;323.8;237.9;215.97;39.52;24.48
26;Stationaire bronnen, totaal;2000;142300;244.44;963.99;63.1;53.07;267.4;184.5;169.09;30.48;17.77
27;Stationaire bronnen, totaal;2001;147500;223.19;937.98;67.1;49.98;268.0;181.3;162.5;29.46;17.22
28;Stationaire bronnen, totaal;2002;146900;214.96;892.46;60.6;46.95;252.9;175.8;154.9;29.2;16.58
29;Stationaire bronnen, totaal;2003;149600;213.63;861.68;56.5;46.58;252.2;175.9;151.72;28.1;16.77
30;Stationaire bronnen, totaal;2004;151900;200.18;845.65;59.1;47.85;273.8;167.8;151.34;27.71;16.33
31;Stationaire bronnen, totaal;2005;148900;208.21;786.99;57.9;47.71;260.6;163.7;149.0;27.15;15.76
