ID;ForecastInterval;Periods;TotalPopulation_1;k_0To20Years_2;k_20To65Years_3;k_65YearsAndOlder_4;k_0To20Years_5;k_20To65Years_6;k_65YearsAndOlder_7;DemographicBurden_8;LiveBirths_9;TotalFertilityRate_10;Deaths_11;LifeExpectancyMen_12;LifeExpectancyWomen_13;Immigration_14;EmigrationInclNetAdmCorrections_15;NetMigrationInclNetAdmCorr_16
0;1;2010;;;;;;;;;182106;1.77;135568;78.82;82.71;147448;119427;28021
1;1;2011;16654455.0;3911480.0;10148032.0;2594942.0;23.5;60.9;15.6;64.11;180605;1.76;136895;79.02;82.86;150475;120514;29961
2;1;2012;16733120.0;3894091.0;10124245.0;2714785.0;23.3;60.5;16.2;65.27;179933;1.76;138276;79.21;83.02;150302;121620;28682
3;1;2013;16808532.0;3877988.0;10106007.0;2824535.0;23.1;60.1;16.8;66.32;180055;1.76;139706;79.4;83.17;147167;123447;23720
4;1;2014;16877752.0;3862721.0;10095079.0;2919954.0;22.9;59.8;17.3;67.18;180427;1.75;141174;79.59;83.32;144611;125655;18956
5;1;2015;16941204.0;3846065.0;10088904.0;3006234.0;22.7;59.6;17.7;67.91;181027;1.75;142714;79.78;83.45;143898;127408;16490
6;1;2016;17001320.0;3835139.0;10079285.0;3086893.0;22.6;59.3;18.2;68.67;181812;1.75;144321;79.97;83.58;143703;128547;15156
7;1;2017;17059336.0;3825215.0;10070252.0;3163871.0;22.4;59.0;18.5;69.4;182926;1.75;146009;80.15;83.71;143827;129093;14734
8;1;2018;17116424.0;3814922.0;10056547.0;3244953.0;22.3;58.8;19.0;70.2;184218;1.75;147788;80.32;83.83;144132;129527;14605
9;1;2019;17172928.0;3800024.0;10050217.0;3322686.0;22.1;58.5;19.3;70.87;185429;1.75;149714;80.49;83.94;144505;129868;14637
10;1;2020;17228780.0;3784982.0;10043389.0;3400409.0;22.0;58.3;19.7;71.54;186644;1.75;151804;80.64;84.05;144789;130121;14668
11;1;2021;17283796.0;3766481.0;10039471.0;3477842.0;21.8;58.1;20.1;72.15;187575;1.75;154058;80.78;84.15;144929;130162;14767
12;1;2022;17337588.0;3752442.0;10028222.0;3556923.0;21.6;57.8;20.5;72.88;188572;1.75;156477;80.91;84.24;144801;130129;14672
13;1;2023;17389854.0;3741228.0;10012512.0;3636120.0;21.5;57.6;20.9;73.68;189375;1.75;159048;81.03;84.34;144576;130033;14543
14;1;2024;17440238.0;3731894.0;9992355.0;3715987.0;21.4;57.3;21.3;74.53;189959;1.75;161781;81.15;84.43;144300;129872;14428
15;1;2025;17488346.0;3729760.0;9960592.0;3797996.0;21.3;57.0;21.7;75.57;190457;1.75;164664;81.25;84.51;144010;129676;14334
16;1;2026;17533984.0;3733996.0;9922319.0;3877668.0;21.3;56.6;22.1;76.71;190751;1.75;167681;81.36;84.59;143736;129450;14286
17;1;2027;17576848.0;3740732.0;9876576.0;3959539.0;21.3;56.2;22.5;77.96;191041;1.75;170808;81.45;84.67;143450;129166;14284
18;1;2028;17616872.0;3751090.0;9826604.0;4039175.0;21.3;55.8;22.9;79.27;191180;1.75;174031;81.55;84.75;143199;128853;14346
19;1;2029;17653870.0;3758527.0;9776781.0;4118564.0;21.3;55.4;23.3;80.56;191222;1.75;177280;81.64;84.83;142996;128522;14474
20;1;2030;17687800.0;3765667.0;9725081.0;4197046.0;21.3;55.0;23.7;81.87;191111;1.75;180530;81.73;84.9;142837;128203;14634
21;1;2031;17718512.0;3775031.0;9676207.0;4267279.0;21.3;54.6;24.1;83.11;190823;1.75;183759;81.81;84.98;142690;127869;14822
22;1;2032;17745910.0;3785547.0;9630671.0;4329691.0;21.3;54.3;24.4;84.26;190310;1.75;186945;81.9;85.06;142623;127575;15048
23;1;2033;17769830.0;3796269.0;9586769.0;4386791.0;21.4;53.9;24.7;85.35;189609;1.75;190042;81.99;85.13;142632;127311;15321
24;1;2034;17790224.0;3806223.0;9542232.0;4441770.0;21.4;53.6;25.0;86.43;188743;1.75;193072;82.08;85.21;142692;127122;15570
25;1;2035;17806968.0;3814969.0;9489153.0;4502850.0;21.4;53.3;25.3;87.65;187797;1.75;195979;82.17;85.29;142881;126983;15898
26;1;2036;17820194.0;3822155.0;9443286.0;4554754.0;21.4;53.0;25.6;88.7;186814;1.75;198717;82.27;85.37;143068;126914;16154
27;1;2037;17829954.0;3827546.0;9408539.0;4593867.0;21.5;52.8;25.8;89.5;185856;1.75;201242;82.37;85.46;143252;126873;16379
28;1;2038;17836454.0;3830867.0;9385951.0;4619635.0;21.5;52.6;25.9;90.03;184949;1.75;203526;82.47;85.54;143417;126871;16546
29;1;2039;17839928.0;3831997.0;9380917.0;4627015.0;21.5;52.6;25.9;90.17;184166;1.75;205515;82.57;85.63;143580;126887;16693
30;1;2040;17840780.0;3831143.0;9384366.0;4625271.0;21.5;52.6;25.9;90.11;183517;1.75;207207;82.67;85.71;143724;126921;16803
31;1;2041;17839402.0;3828427.0;9396943.0;4614030.0;21.5;52.7;25.9;89.84;183022;1.75;208628;82.78;85.8;143825;126986;16839
32;1;2042;17836136.0;3824305.0;9411881.0;4599954.0;21.4;52.8;25.8;89.5;182698;1.75;209799;82.88;85.89;143923;127076;16847
33;1;2043;17831388.0;3818883.0;9429912.0;4582598.0;21.4;52.9;25.7;89.09;182548;1.75;210748;82.98;85.98;143992;127185;16807
