ID;TypeBibliotheken;TotaalCollectieS_1;TotaalBoeken_2;TotaalBoekenVoorVolwassenen_3;Fiction_4;NonFiction_5;Naslagwerken_6;TotaalBoekenVoorJeugdTM17Jr_7;Verhalen_8;Ontwikkelingsboeken_9;Naslagwerken_10;Bladmuziek_11;TotaalAudiovisueleMaterialen_12;MuziekplatenEnCassettes_13;CDS_14;VideocassettesEnBeeldplatenED_15;AndereAudiovisueleMiddelen_16;LosseTijdschriften_17;OnderwerpenKleinGrafischMateriaal_18;OverigCollecties_19;TotaalUitleningen_20;TotaalBoeken_21;TotaalBoekenVoorVolwassenen_22;Fiction_23;NonFiction_24;TotaalBoekenVoorJeugdTM17Jr_25;Verhalen_26;Ontwikkelingsboeken_27;Bladmuziek_28;TotaalAudiovisueleMaterialen_29;MuziekplatenEnCassettes_30;CDS_31;VideocassettesEnBeeldplatenED_32;AndereAudiovisueleMiddelen_33;LosseTijdschriften_34;OnderwerpenKleinGrafischMateriaal_35;Overig_36;TotaalIigeschrevenGebruikers_37;VolwassenenVanaf18Jaar_38;JeugdTM17Jaar_39;TotaalAantalInstellingen_40;Tot908Euro_41;k_908Tot1134Euro_42;k_1134Tot1361Euro_43;k_1361EuroEnMeer_44;TotaalBedrijfsopbrengsten_45;InkomstenVanGebruikers_46;TotaalSubsidiesEnBijdragen_47;Gemeentelijk_48;Provinciaal_49;ViaPBCOntvangenBijdragen_50;OverigeSubsidiesEnBijdragen_51;TotaalInterest_52;OntvangenRenteVanAOB_53;TotaalInkomstenPersoneelskosten_54;VoorRekeningAOB_55;OntvangenZiekengeld_56;TotaalOverigeBedrijfsopbrengsten_57;VerhuurMediaAanAOB_58;VerkoopMediaAanAOB_59;OverigeOntvangstenVanAOB_60;TotaalBedrijfslasten_61;BestuursEnOrganisatiekosten_62;TotaalHuisvestingskosten_63;HuurGebouwenEnTerreinen_64;Afschrijvingen_65;RenteInvesteringen_66;KostenVanEnergieEnWater_67;TotaalPersoneleKosten_68;BrutoLonenEnSalarissen_69;PersoneelskostenPBC_70;WerkgeversaandeelSocialeLasten_71;Administratiekosten_72;AankoopBewerkingEDVanMedia_73;TotaalOverigeBedrijfslasten_74;AanAOBBetaaldeRente_75;DienstenPBC_76;Explotatiesaldo_77
0;Totaal openbare bibliotheken;44229;41025;26534;12636;13455;443;14491;9852;4609;30;600;2339;174;1613;280;272;240;1340;264;179566;166242;100599;69966;30632;65643;53898;11746;687;6345;191;4262;1270;623;3913;945;1435;4549;2397;2152;605;19;31;148;407;382494;48288;299316;263590;33440;14;2273;2890;0;5169;0;2902;26831;0;0;0;379567;13204;80905;32518;9941;12718;7775;177466;140745;0;20591;30284;58829;18878;0;0;2927
1;Provinciale bibliotheekcentrales;3854;3487;2287;1131;1150;7;1200;878;321;0;95;251;24;157;38;32;1;35;21;8019;7885;4330;3308;1021;3555;3091;465;35;74;4;19;38;13;3;5;16;165;53;112;11;0;1;3;7;99369;1731;36885;4554;31363;0;968;1466;15;39641;37296;1287;19646;1747;770;13519;99509;3233;6117;18;1486;2149;454;71846;57186;0;9697;7091;4883;6340;370;0;-141
2;Aangesloten openbare bibliotheken;15854;15088;9134;4706;4328;100;5954;3994;1951;8;29;608;25;451;69;62;134;947;128;71974;64964;37861;26871;10990;27104;22219;4885;101;1889;43;1182;482;182;3099;781;1139;1834;921;913;440;3;15;111;311;105382;16758;85637;85119;0;14;505;681;0;92;0;53;2214;0;0;0;102800;4635;23884;10412;2630;3755;2103;37838;0;37296;0;9331;22020;5092;0;0;2582
3;Zelfstandige openbare bibliotheken;24521;22451;15113;6800;7977;336;7338;4980;2336;22;476;1480;125;1004;173;177;105;358;115;99574;93393;58408;39787;18621;34984;28588;6396;551;4382;143;3062;750;427;810;158;280;2550;1423;1127;154;16;15;34;89;215039;29799;176793;173917;2076;0;800;743;0;2731;0;1563;4972;0;0;0;214553;5336;50904;22087;5825;6814;5218;105079;83560;0;10893;13862;31926;7447;0;948;486
