ID;Geslacht;Leeftijd;BurgerlijkeStaat;Perioden;Bevolking_1
0;Totaal mannen en vrouwen;Totaal leeftijd;Totaal burgerlijke staat;1950;10026773.0
1;Totaal mannen en vrouwen;Totaal leeftijd;Totaal burgerlijke staat;1951;10200280.0
2;Totaal mannen en vrouwen;Totaal leeftijd;Totaal burgerlijke staat;1952;10328343.0
3;Totaal mannen en vrouwen;Totaal leeftijd;Totaal burgerlijke staat;1953;10435631.0
4;Totaal mannen en vrouwen;Totaal leeftijd;Totaal burgerlijke staat;1954;10550737.0
5;Totaal mannen en vrouwen;Totaal leeftijd;Totaal burgerlijke staat;1955;10680023.0
6;Totaal mannen en vrouwen;Totaal leeftijd;Totaal burgerlijke staat;1956;10821661.0
7;Totaal mannen en vrouwen;Totaal leeftijd;Totaal burgerlijke staat;1957;10957040.0
8;Totaal mannen en vrouwen;Totaal leeftijd;Totaal burgerlijke staat;1958;11095726.0
9;Totaal mannen en vrouwen;Totaal leeftijd;Totaal burgerlijke staat;1959;11278024.0
10;Totaal mannen en vrouwen;Totaal leeftijd;Totaal burgerlijke staat;1960;11417254.0
11;Totaal mannen en vrouwen;Totaal leeftijd;Totaal burgerlijke staat;1961;11556008.0
12;Totaal mannen en vrouwen;Totaal leeftijd;Totaal burgerlijke staat;1962;11721416.0
13;Totaal mannen en vrouwen;Totaal leeftijd;Totaal burgerlijke staat;1963;11889962.0
14;Totaal mannen en vrouwen;Totaal leeftijd;Totaal burgerlijke staat;1964;12041970.0
15;Totaal mannen en vrouwen;Totaal leeftijd;Totaal burgerlijke staat;1965;12212269.0
16;Totaal mannen en vrouwen;Totaal leeftijd;Totaal burgerlijke staat;1966;12377194.0
17;Totaal mannen en vrouwen;Totaal leeftijd;Totaal burgerlijke staat;1967;12535307.0
18;Totaal mannen en vrouwen;Totaal leeftijd;Totaal burgerlijke staat;1968;12661095.0
19;Totaal mannen en vrouwen;Totaal leeftijd;Totaal burgerlijke staat;1969;12798346.0
20;Totaal mannen en vrouwen;Totaal leeftijd;Totaal burgerlijke staat;1970;12957621.0
