ID;Herkomstland;Geboorteland;Perioden;BevolkingOp1Januari_1;LevendGeborenKinderen_2;Overledenen_3;Immigratie_4;EmigratieInclusiefCorrecties_5;MigratiesaldoInclusiefCorrecties_6
0;Totaal;Totaal;2023;;47040.0;25823;319257;165695;153562
1;Totaal;Totaal;2024;5007917.0;48212.0;26262;303836;174651;129185
2;Totaal;Totaal;2025;5159052.0;49505.0;26701;295213;182851;112362
3;Totaal;Totaal;2026;5294217.0;50911.0;27141;286040;190644;95396
4;Totaal;Totaal;2027;5413382.0;52440.0;27584;286270;200593;85676
5;Totaal;Totaal;2028;5523914.0;54031.0;28028;286336;211249;75087
6;Totaal;Totaal;2029;5625003.0;55736.0;28480;287768;213394;74374
7;Totaal;Totaal;2030;5726634.0;57561.0;29133;288835;215030;73805
8;Totaal;Totaal;2031;5828866.0;59390.0;29790;289791;216244;73547
9;Totaal;Totaal;2032;5932011.0;61175.0;30449;290221;217054;73167
10;Totaal;Totaal;2033;6035904.0;62883.0;31112;289737;217406;72331
11;Totaal;Totaal;2034;6140006.0;64471.0;31781;289130;218322;70808
12;Totaal;Totaal;2035;6243504.0;65893.0;32458;289462;219263;70199
13;Totaal;Totaal;2036;6347137.0;67099.0;33147;289680;220347;69334
14;Totaal;Totaal;2037;6450423.0;68042.0;33848;289864;221455;68409
15;Totaal;Totaal;2038;6553026.0;68672.0;34563;290049;222466;67583
16;Totaal;Totaal;2039;6654719.0;69067.0;35289;290245;223374;66872
17;Totaal;Totaal;2040;6755368.0;69429.0;36022;290452;224208;66244
18;Totaal;Totaal;2041;6855019.0;69763.0;36769;290644;224959;65685
19;Totaal;Totaal;2042;6953697.0;70085.0;37521;290866;225643;65223
20;Totaal;Totaal;2043;7051482.0;70399.0;38287;291053;226301;64752
21;Totaal;Totaal;2044;7148346.0;70706.0;39056;291295;226913;64383
22;Totaal;Totaal;2045;7244380.0;71016.0;39837;291443;227479;63964
23;Totaal;Totaal;2046;7339522.0;71324.0;40623;291593;227981;63612
24;Totaal;Totaal;2047;7433834.0;71620.0;41419;291748;228422;63326
25;Totaal;Totaal;2048;7527361.0;71918.0;42233;291895;228837;63058
26;Totaal;Totaal;2049;7620105.0;72214.0;43064;292042;229239;62803
27;Totaal;Totaal;2050;7712058.0;72496.0;43910;292196;229601;62595
28;Totaal;Totaal;2051;7803239.0;72784.0;44774;292349;230048;62300
29;Totaal;Totaal;2052;7893549.0;73074.0;45646;292477;230412;62065
30;Totaal;Totaal;2053;7983042.0;73364.0;46525;292599;230705;61894
31;Totaal;Totaal;2054;8071775.0;73658.0;47403;292757;231003;61753
32;Totaal;Totaal;2055;8159782.0;73959.0;48277;292897;231316;61581
33;Totaal;Totaal;2056;8247044.0;74271.0;49143;293064;231638;61426
34;Totaal;Totaal;2057;8333599.0;74606.0;49998;293203;231968;61235
35;Totaal;Totaal;2058;8419441.0;74969.0;50841;293363;232304;61059
36;Totaal;Totaal;2059;8504628.0;75346.0;51672;293552;232635;60917
37;Totaal;Totaal;2060;8589218.0;75762.0;52490;293689;232960;60728
38;Totaal;Totaal;2061;8673219.0;76201.0;53305;293876;233285;60591
39;Totaal;Totaal;2062;8756707.0;76653.0;54118;294046;233601;60445
40;Totaal;Totaal;2063;8839687.0;77126.0;54931;294212;233914;60298
41;Totaal;Totaal;2064;8922180.0;77593.0;55755;294408;234223;60185
42;Totaal;Totaal;2065;9004204.0;78054.0;56598;294544;234532;60012
43;Totaal;Totaal;2066;9085673.0;78501.0;57468;294731;234836;59895
44;Totaal;Totaal;2067;9166601.0;78927.0;58373;294881;235135;59747
45;Totaal;Totaal;2068;9246902.0;79319.0;59313;294993;235424;59569
46;Totaal;Totaal;2069;9326475.0;79683.0;60292;295147;235707;59440
47;Totaal;Totaal;2070;9405308.0;80008.0;61314;295280;235985;59295
48;Totaal;Geboren in Nederland;2023;;47040.0;9765;7788;14376;-6588
49;Totaal;Geboren in Nederland;2024;2086874.0;48212.0;9855;7310;15407;-8097
50;Totaal;Geboren in Nederland;2025;2117134.0;49505.0;9942;7165;16525;-9360
51;Totaal;Geboren in Nederland;2026;2147336.0;50911.0;10027;7100;17776;-10676
52;Totaal;Geboren in Nederland;2027;2177544.0;52440.0;10110;7215;19123;-11908
53;Totaal;Geboren in Nederland;2028;2207966.0;54031.0;10190;7806;20605;-12799
54;Totaal;Geboren in Nederland;2029;2239008.0;55736.0;10269;8364;20993;-12629
55;Totaal;Geboren in Nederland;2030;2271846.0;57561.0;10417;8829;21405;-12576
56;Totaal;Geboren in Nederland;2031;2306413.0;59390.0;10560;9508;21798;-12290
57;Totaal;Geboren in Nederland;2032;2342952.0;61175.0;10698;10075;22173;-12098
58;Totaal;Geboren in Nederland;2033;2381331.0;62883.0;10832;10615;22512;-11897
59;Totaal;Geboren in Nederland;2034;2421485.0;64471.0;10964;11030;22876;-11846
60;Totaal;Geboren in Nederland;2035;2463146.0;65893.0;11094;11362;23254;-11892
61;Totaal;Geboren in Nederland;2036;2506053.0;67099.0;11224;11580;23659;-12079
62;Totaal;Geboren in Nederland;2037;2549850.0;68042.0;11353;11764;24069;-12305
63;Totaal;Geboren in Nederland;2038;2594233.0;68672.0;11484;11949;24456;-12507
64;Totaal;Geboren in Nederland;2039;2638915.0;69067.0;11614;12145;24816;-12670
65;Totaal;Geboren in Nederland;2040;2683697.0;69429.0;11744;12352;25138;-12786
66;Totaal;Geboren in Nederland;2041;2728595.0;69763.0;11877;12544;25431;-12887
67;Totaal;Geboren in Nederland;2042;2773594.0;70085.0;12011;12766;25700;-12934
68;Totaal;Geboren in Nederland;2043;2818733.0;70399.0;12150;12953;25956;-13003
69;Totaal;Geboren in Nederland;2044;2863978.0;70706.0;12291;13195;26202;-13006
70;Totaal;Geboren in Nederland;2045;2909387.0;71016.0;12441;13343;26443;-13100
71;Totaal;Geboren in Nederland;2046;2954862.0;71324.0;12595;13493;26678;-13185
72;Totaal;Geboren in Nederland;2047;3000406.0;71620.0;12759;13648;26908;-13260
73;Totaal;Geboren in Nederland;2048;3046007.0;71918.0;12938;13795;27138;-13343
74;Totaal;Geboren in Nederland;2049;3091644.0;72214.0;13130;13942;27377;-13435
75;Totaal;Geboren in Nederland;2050;3137293.0;72496.0;13334;14096;27623;-13527
76;Totaal;Geboren in Nederland;2051;3182928.0;72784.0;13549;14249;27882;-13634
77;Totaal;Geboren in Nederland;2052;3228529.0;73074.0;13771;14377;28145;-13768
