ID;VrachtautoSTrekkersLaadvermogenLV;LeeftijdVoertuig;Perioden;TotaalKilometersInNederland_1;KilometersDoorNederlandseVoertuigen_2;KilometersDoorBuitenlandseVoertuigen_3;TotaalKilometers_4;KilometersInNederland_5;KilometersInHetBuitenland_6;TotaalGemiddeldJaarkilometrage_7;GemiddeldJaarkilometrageInNederland_8;GemiddeldJaarkilometrageInBuitenland_9;NederlandseVrachtvoertuigenInGebruik_10
0;Vrachtauto's en trekkers voor oplegger;Totaal leeftijd voertuig;2018;7252.8;6364.9;887.9;9231.2;6364.9;2866.3;59486;41015;18471;155183
1;Vrachtauto's en trekkers voor oplegger;Totaal leeftijd voertuig;2019;7312.2;6405.5;906.7;9136.9;6405.5;2731.4;57702;40453;17249;158346
2;Vrachtauto's en trekkers voor oplegger;Totaal leeftijd voertuig;2020;7282.8;6331.5;951.3;8925.6;6331.5;2594.1;57596;40857;16740;154968
3;Vrachtauto's en trekkers voor oplegger;Totaal leeftijd voertuig;2021;7413.1;6446.2;966.9;9209.1;7413.1;2762.9;59277;41493;17784;155357
4;Vrachtauto's en trekkers voor oplegger;Totaal leeftijd voertuig;2022;7628.8;6651.1;977.7;9220.2;7628.8;2569.1;57721;41638;16083;159738
5;Vrachtauto's en trekkers voor oplegger;Totaal leeftijd voertuig;2023;7427.3;6452.0;975.3;8996.5;7427.3;2544.5;54658;39199;15459;164596
6;Vrachtauto's en trekkers voor oplegger;Voertuig 0 jaar oud;2018;520.1;448.1;72.0;680.6;448.1;232.5;48502;31935;16567;14032
7;Vrachtauto's en trekkers voor oplegger;Voertuig 0 jaar oud;2019;516.3;442.0;74.4;666.0;442.0;224.0;48310;32060;16250;13786
8;Vrachtauto's en trekkers voor oplegger;Voertuig 0 jaar oud;2020;388.4;338.1;50.3;475.4;338.1;137.3;51457;36599;14858;9238
9;Vrachtauto's en trekkers voor oplegger;Voertuig 0 jaar oud;2021;386.8;324.3;62.6;503.1;386.8;178.8;48949;31548;17401;10278
10;Vrachtauto's en trekkers voor oplegger;Voertuig 0 jaar oud;2022;397.2;330.3;66.9;506.1;397.2;175.8;43922;28663;15259;11523
11;Vrachtauto's en trekkers voor oplegger;Voertuig 0 jaar oud;2023;490.5;419.8;70.8;604.4;490.5;184.6;41168;28591;12577;14682
12;Vrachtauto's en trekkers voor oplegger;Voertuig 1 jaar oud;2018;890.8;764.1;126.7;1173.1;764.1;409.0;92962;60555;32408;12619
13;Vrachtauto's en trekkers voor oplegger;Voertuig 1 jaar oud;2019;936.9;799.0;137.9;1214.4;799.0;415.4;88886;58479;30406;13663
14;Vrachtauto's en trekkers voor oplegger;Voertuig 1 jaar oud;2020;962.2;825.9;136.3;1197.6;825.9;371.7;87814;60562;27252;13638
15;Vrachtauto's en trekkers voor oplegger;Voertuig 1 jaar oud;2021;642.6;559.5;83.1;796.8;642.6;237.3;87669;61560;26109;9089
16;Vrachtauto's en trekkers voor oplegger;Voertuig 1 jaar oud;2022;723.1;614.1;109.0;900.5;723.1;286.3;89438;61000;28438;10068
17;Vrachtauto's en trekkers voor oplegger;Voertuig 1 jaar oud;2023;769.8;649.1;120.8;964.2;769.8;315.1;85493;57551;27942;11278
18;Vrachtauto's en trekkers voor oplegger;Voertuig 2 jaar oud;2018;944.6;805.5;139.1;1254.6;805.5;449.1;93313;59913;33400;13445
19;Vrachtauto's en trekkers voor oplegger;Voertuig 2 jaar oud;2019;886.7;763.1;123.7;1135.6;763.1;372.5;88518;59479;29038;12829
20;Vrachtauto's en trekkers voor oplegger;Voertuig 2 jaar oud;2020;949.5;803.3;146.2;1202.0;803.3;398.7;86833;58030;28804;13843
21;Vrachtauto's en trekkers voor oplegger;Voertuig 2 jaar oud;2021;954.1;822.8;131.3;1198.1;954.1;375.3;87227;59903;27324;13735
22;Vrachtauto's en trekkers voor oplegger;Voertuig 2 jaar oud;2022;645.4;561.8;83.7;781.6;645.4;219.9;85291;61300;23991;9164
23;Vrachtauto's en trekkers voor oplegger;Voertuig 2 jaar oud;2023;699.9;593.7;106.2;870.8;699.9;277.1;85722;58444;27278;10159
24;Vrachtauto's en trekkers voor oplegger;Voertuig 3 jaar oud;2018;818.8;701.5;117.3;1080.1;701.5;378.7;90227;58596;31631;11971
25;Vrachtauto's en trekkers voor oplegger;Voertuig 3 jaar oud;2019;915.8;783.6;132.3;1182.0;783.6;398.4;86752;57509;29243;13625
26;Vrachtauto's en trekkers voor oplegger;Voertuig 3 jaar oud;2020;883.4;751.4;132.0;1111.3;751.4;360.0;85612;57883;27729;12981
27;Vrachtauto's en trekkers voor oplegger;Voertuig 3 jaar oud;2021;960.5;810.6;149.9;1238.8;960.5;428.3;86354;56502;29852;14346
28;Vrachtauto's en trekkers voor oplegger;Voertuig 3 jaar oud;2022;944.8;811.3;133.5;1162.0;944.8;350.8;82532;57619;24913;14080
29;Vrachtauto's en trekkers voor oplegger;Voertuig 3 jaar oud;2023;615.9;533.4;82.5;748.6;615.9;215.2;79959;56975;22984;9362
30;Vrachtauto's en trekkers voor oplegger;Voertuig 4 jaar oud;2018;622.9;546.1;76.8;794.1;546.1;248.0;86287;59343;26944;9203
31;Vrachtauto's en trekkers voor oplegger;Voertuig 4 jaar oud;2019;773.8;657.4;116.4;1007.9;657.4;350.5;82937;54096;28841;12153
32;Vrachtauto's en trekkers voor oplegger;Voertuig 4 jaar oud;2020;885.3;748.9;136.4;1120.8;748.9;371.9;82271;54974;27298;13623
33;Vrachtauto's en trekkers voor oplegger;Voertuig 4 jaar oud;2021;885.6;753.5;132.1;1131.1;885.6;377.6;84490;56285;28204;13387
34;Vrachtauto's en trekkers voor oplegger;Voertuig 4 jaar oud;2022;985.4;839.9;145.5;1222.3;985.4;382.4;81492;55998;25495;14999
35;Vrachtauto's en trekkers voor oplegger;Voertuig 4 jaar oud;2023;894.9;774.5;120.3;1088.5;894.9;314.0;76246;54253;21994;14276
36;Vrachtauto's en trekkers voor oplegger;Voertuig 5 jaar oud;2018;679.6;583.9;95.8;893.1;583.9;309.2;83512;54597;28915;10694
37;Vrachtauto's en trekkers voor oplegger;Voertuig 5 jaar oud;2019;589.0;516.8;72.2;734.4;516.8;217.6;79268;55781;23486;9265
38;Vrachtauto's en trekkers voor oplegger;Voertuig 5 jaar oud;2020;756.3;649.1;107.2;941.4;649.1;292.2;78650;54235;24415;11969
39;Vrachtauto's en trekkers voor oplegger;Voertuig 5 jaar oud;2021;868.7;745.3;123.4;1097.9;868.7;352.6;80604;54715;25889;13621
40;Vrachtauto's en trekkers voor oplegger;Voertuig 5 jaar oud;2022;886.6;767.9;118.8;1080.0;886.6;312.2;79658;56635;23024;13558
41;Vrachtauto's en trekkers voor oplegger;Voertuig 5 jaar oud;2023;921.8;787.4;134.3;1137.9;921.8;350.5;75495;52241;23254;15073
42;Vrachtauto's en trekkers voor oplegger;Voertuig 6 jaar oud;2018;568.9;499.3;69.7;724.1;499.3;224.9;74421;51311;23110;9730
43;Vrachtauto's en trekkers voor oplegger;Voertuig 6 jaar oud;2019;597.4;520.4;77.0;752.3;520.4;231.9;74082;51248;22834;10155
44;Vrachtauto's en trekkers voor oplegger;Voertuig 6 jaar oud;2020;512.5;445.2;67.3;628.6;445.2;183.4;71117;50370;20746;8839
45;Vrachtauto's en trekkers voor oplegger;Voertuig 6 jaar oud;2021;709.2;613.0;96.2;887.8;709.2;274.8;76110;52549;23562;11665
46;Vrachtauto's en trekkers voor oplegger;Voertuig 6 jaar oud;2022;815.8;709.1;106.6;989.4;815.8;280.2;73696;52822;20874;13425
47;Vrachtauto's en trekkers voor oplegger;Voertuig 6 jaar oud;2023;770.4;674.5;95.9;924.7;770.4;250.3;70008;51062;18946;13209
48;Vrachtauto's en trekkers voor oplegger;Voertuig 7 jaar oud;2018;480.4;424.1;56.3;605.9;424.1;181.8;65087;45556;19532;9309
49;Vrachtauto's en trekkers voor oplegger;Voertuig 7 jaar oud;2019;471.1;421.8;49.3;570.3;421.8;148.4;63418;46913;16505;8992
50;Vrachtauto's en trekkers voor oplegger;Voertuig 7 jaar oud;2020;497.9;433.6;64.3;608.8;433.6;175.3;65878;46915;18963;9242
51;Vrachtauto's en trekkers voor oplegger;Voertuig 7 jaar oud;2021;462.8;409.3;53.4;562.0;462.8;152.7;67887;49441;18446;8279
52;Vrachtauto's en trekkers voor oplegger;Voertuig 7 jaar oud;2022;643.8;564.7;79.2;772.7;643.8;208.1;68753;50241;18513;11239
53;Vrachtauto's en trekkers voor oplegger;Voertuig 7 jaar oud;2023;668.7;574.2;94.5;820.8;668.7;246.6;64191;44908;19284;12787
54;Vrachtauto's en trekkers voor oplegger;Voertuig 8 jaar oud;2018;313.2;283.6;29.6;379.0;283.6;95.4;55036;41185;13851;6887
55;Vrachtauto's en trekkers voor oplegger;Voertuig 8 jaar oud;2019;374.1;337.5;36.5;447.6;337.5;110.1;54174;40853;13321;8262
56;Vrachtauto's en trekkers voor oplegger;Voertuig 8 jaar oud;2020;343.4;311.0;32.4;399.4;311.0;88.4;52445;40839;11606;7616
57;Vrachtauto's en trekkers voor oplegger;Voertuig 8 jaar oud;2021;406.4;356.5;49.9;499.1;406.4;142.7;61056;43605;17451;8175
58;Vrachtauto's en trekkers voor oplegger;Voertuig 8 jaar oud;2022;394.1;352.8;41.3;461.4;394.1;108.5;59895;45805;14090;7703
59;Vrachtauto's en trekkers voor oplegger;Voertuig 8 jaar oud;2023;497.7;442.7;55.0;586.2;497.7;143.5;57040;43080;13959;10277
60;Vrachtauto's en trekkers voor oplegger;Voertuig 9 jaar of ouder;2018;1413.3;1308.6;104.7;1646.6;1308.6;337.9;28739;22841;5898;57293
61;Vrachtauto's en trekkers voor oplegger;Voertuig 9 jaar of ouder;2019;1251.0;1163.9;87.1;1426.3;1163.9;262.5;25646;20927;4719;55616
62;Vrachtauto's en trekkers voor oplegger;Voertuig 9 jaar of ouder;2020;1103.9;1024.9;79.0;1240.3;1024.9;215.4;22977;18987;3990;53979
63;Vrachtauto's en trekkers voor oplegger;Voertuig 9 jaar of ouder;2021;1136.5;1051.5;85.0;1294.3;1136.5;242.8;24521;19922;4599;52782
64;Vrachtauto's en trekkers voor oplegger;Voertuig 9 jaar of ouder;2022;1192.5;1099.3;93.2;1344.3;1192.5;244.9;24903;20366;4538;53979
65;Vrachtauto's en trekkers voor oplegger;Voertuig 9 jaar of ouder;2023;1097.5;1002.6;94.9;1250.3;1097.5;247.6;23373;18743;4630;53493
66;Trekker voor oplegger;Totaal leeftijd voertuig;2018;5126.4;4383.7;742.7;6781.2;4383.7;2397.6;77005;49779;27226;88063
67;Trekker voor oplegger;Totaal leeftijd voertuig;2019;5209.4;4455.5;753.9;6726.7;4455.5;2271.2;74241;49174;25067;90607
68;Trekker voor oplegger;Totaal leeftijd voertuig;2020;5255.5;4468.2;787.3;6615.0;4468.2;2146.8;74694;50453;24240;88562
69;Trekker voor oplegger;Totaal leeftijd voertuig;2021;5383.4;4580.4;803.0;6874.8;5383.4;2294.4;76425;50919;25506;89955
70;Trekker voor oplegger;Totaal leeftijd voertuig;2022;5594.5;4783.8;810.7;6914.0;5594.5;2130.2;73456;50824;22632;94125
