ID;RegioS;Perioden;BeginstandVoorraad_1;Nieuwbouw_2;TotaalOverigeToevoegingen_3;TotaalFysiekeToevoeging_4;LateResponsNieuwbouw_5;Transformatie_6;LateResponsTransformatie_7;Woningsplitsing_8;Woningsamenvoeging_9;OverigDoorVerbouw_10;TotaalToevoegingDoorFunctiewijziging_11;VanLogiesfunctieNaarWoonfunctie_12;VanOverigeFunctieNaarWoonfunctie_13;TotaalAdministratieveToevoeging_14;Sloop_15;TotaalOverigeOnttrekkingen_16;TotaalFysiekeOnttrekking_17;LateResponsSloop_18;Woningsplitsing_19;Woningsamenvoeging_20;OverigDoorVerbouw_21;TotaalOnttrekkingDoorFunctiewijziging_22;VanWoonNaarLogiesfunctie_23;VanWoonfunctieNaarOverigeFunctie_24;TotaalAdministratieveOnttrekking_25;SaldoVoorraad_26;EindstandVoorraad_27;SaldoWoningsplitsing_28;SaldoWoningsamenvoeging_29;SaldoOverigDoorVerbouw_30
0;Nederland;2020;7891785.0;69985.0;24695.0;19865.0;95.0;10215.0;375.0;2765.0;345.0;6070.0;1820.0;405.0;1415.0;3010.0;10245.0;9890.0;5130.0;1180.0;1005.0;1085.0;1855.0;1700.0;915.0;785.0;3060.0;74545.0;7966330.0;1760.0;-740.0;4215.0
1;Nederland;2021;7966330.0;71220.0;27520.0;22605.0;35.0;10480.0;565.0;3610.0;520.0;7395.0;2105.0;520.0;1585.0;2810.0;9925.0;9565.0;5720.0;860.0;1360.0;1220.0;2275.0;1310.0;550.0;755.0;2540.0;79250.0;8045580.0;2250.0;-700.0;5120.0
2;Nederland;2022;8045580.0;74560.0;25870.0;20335.0;90.0;9565.0;370.0;3390.0;275.0;6645.0;2750.0;245.0;2505.0;2785.0;10560.0;10220.0;5510.0;935.0;1245.0;990.0;2335.0;2045.0;1385.0;660.0;2670.0;79650.0;8125230.0;2145.0;-715.0;4310.0
3;Nederland;2023;8125230.0;73640.0;22340.0;18525.0;40.0;8755.0;160.0;2705.0;355.0;6510.0;1370.0;255.0;1115.0;2445.0;9335.0;7820.0;4185.0;625.0;1000.0;1020.0;1540.0;1165.0;585.0;580.0;2470.0;78820.0;8204050.0;1705.0;-665.0;4970.0
4;Noord-Nederland (LD);2020;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
5;Noord-Nederland (LD);2021;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
6;Noord-Nederland (LD);2022;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
7;Noord-Nederland (LD);2023;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
8;Oost-Nederland (LD);2020;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
9;Oost-Nederland (LD);2021;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
10;Oost-Nederland (LD);2022;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
11;Oost-Nederland (LD);2023;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
12;West-Nederland (LD);2020;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
13;West-Nederland (LD);2021;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
14;West-Nederland (LD);2022;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
15;West-Nederland (LD);2023;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
16;Zuid-Nederland (LD);2020;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
17;Zuid-Nederland (LD);2021;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
18;Zuid-Nederland (LD);2022;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
19;Zuid-Nederland (LD);2023;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
20;Groningen (PV);2020;282045.0;3155.0;1180.0;1020.0;0.0;345.0;75.0;315.0;5.0;280.0;65.0;5.0;60.0;95.0;705.0;665.0;360.0;140.0;100.0;15.0;100.0;220.0;185.0;35.0;85.0;2965.0;285010.0;215.0;-10.0;180.0
21;Groningen (PV);2021;285010.0;2400.0;1480.0;1315.0;0.0;550.0;15.0;425.0;10.0;320.0;85.0;0.0;85.0;80.0;665.0;660.0;450.0;30.0;150.0;25.0;245.0;65.0;0.0;65.0;145.0;2555.0;287570.0;275.0;-15.0;75.0
22;Groningen (PV);2022;287570.0;3205.0;1440.0;1150.0;0.0;455.0;10.0;400.0;5.0;280.0;100.0;0.0;95.0;195.0;755.0;900.0;320.0;100.0;140.0;10.0;65.0;385.0;365.0;20.0;190.0;2995.0;290560.0;260.0;-5.0;215.0
23;Groningen (PV);2023;290560.0;2275.0;1205.0;935.0;0.0;245.0;10.0;295.0;0.0;380.0;75.0;0.0;70.0;195.0;785.0;450.0;185.0;10.0;110.0;20.0;45.0;30.0;10.0;15.0;235.0;2250.0;292810.0;185.0;-20.0;335.0
24;Fryslân (PV);2020;302580.0;2165.0;805.0;635.0;0.0;320.0;10.0;45.0;5.0;255.0;85.0;5.0;80.0;85.0;605.0;250.0;130.0;35.0;15.0;10.0;70.0;30.0;5.0;25.0;85.0;2115.0;304695.0;30.0;-5.0;185.0
25;Fryslân (PV);2021;304695.0;1935.0;875.0;740.0;0.0;380.0;20.0;70.0;0.0;265.0;70.0;5.0;60.0;65.0;630.0;240.0;120.0;30.0;30.0;5.0;55.0;30.0;10.0;20.0;90.0;1940.0;306635.0;40.0;-5.0;210.0
26;Fryslân (PV);2022;306635.0;2260.0;955.0;720.0;0.0;435.0;15.0;45.0;0.0;225.0;65.0;5.0;60.0;170.0;370.0;710.0;390.0;280.0;20.0;5.0;85.0;220.0;175.0;45.0;100.0;2135.0;308770.0;25.0;-5.0;140.0
27;Fryslân (PV);2023;308770.0;1845.0;940.0;775.0;0.0;435.0;5.0;70.0;25.0;235.0;85.0;10.0;75.0;80.0;345.0;420.0;190.0;25.0;30.0;55.0;80.0;150.0;130.0;25.0;80.0;2020.0;310785.0;40.0;-30.0;155.0
28;Drenthe (PV);2020;223250.0;1450.0;685.0;450.0;30.0;230.0;5.0;45.0;5.0;135.0;145.0;10.0;135.0;90.0;280.0;550.0;160.0;60.0;15.0;65.0;20.0;275.0;260.0;10.0;120.0;1305.0;224555.0;30.0;-60.0;115.0
