ID;Hoofdfuncties;Perioden;TotaalLopendeEnKapitaaluitgaven_1;TotaalLopendeEnKapitaalinkomsten_2;SaldoLopendeEnKapitaalrekening_3;UitgavenLopendeRekening_4;InkomstenLopendeRekening_5;SaldoLopendeRekening_6;UitgavenKapitaalrekening_7;InkomstenKapitaalrekening_8;SaldoKapitaalrekening_9
0;Totaal van alle functies;1997;93498;86593;-6905;84851;82657;-2194;8647;3936;-4711
1;Totaal van alle functies;1998;95550;91221;-4329;88275;86082;-2193;7275;5139;-2136
2;Totaal van alle functies;1999;99608;96730;-2877;92127;91977;-150;7481;4754;-2727
3;Totaal van alle functies;2000;105164;106728;1565;96217;99112;2894;8946;7617;-1330
4;Totaal van alle functies;2001;115758;115411;-347;105265;110615;5350;10493;4796;-5697
5;Totaal van alle functies;2002;122883;117980;-4903;112636;113034;398;10247;4946;-5301
6;Totaal van alle functies;2003;130690;117151;-13540;119308;112007;-7301;11382;5144;-6238
7;Totaal van alle functies;2004;130016;121374;-8643;119311;116108;-3204;10705;5266;-5439
8;Totaal van alle functies;2005;129519;128643;-876;120315;125779;5465;9204;2864;-6341
9;1;1997;7212;1911;-5300;6584;1719;-4865;627;192;-435
10;1;1998;8015;1483;-6532;7269;1142;-6127;745;341;-404
11;1;1999;8352;1589;-6763;7557;1109;-6448;795;480;-315
12;1;2000;9348;1656;-7691;8528;1360;-7168;820;296;-523
13;1;2001;10000;2013;-7987;9068;1831;-7237;932;182;-750
14;1;2002;10631;1775;-8856;9669;1690;-7979;962;85;-877
15;1;2003;10728;1995;-8733;9654;1895;-7759;1075;101;-974
16;1;2004;11613;2485;-9128;10612;2235;-8377;1002;250;-751
17;1;2005;12653;2360;-10293;11502;2001;-9502;1151;360;-791
18;2;1997;6182;339;-5842;5449;277;-5172;733;62;-671
19;2;1998;6139;589;-5550;5453;537;-4917;686;53;-633
20;2;1999;6939;402;-6537;6142;316;-5826;797;85;-711
21;2;2000;6683;360;-6323;5963;289;-5674;720;72;-648
22;2;2001;7247;392;-6855;6458;330;-6128;789;62;-727
23;2;2002;7165;213;-6952;6620;193;-6426;545;19;-526
24;2;2003;7293;223;-7070;6792;196;-6596;500;27;-473
25;2;2004;7298;289;-7009;6739;257;-6482;559;32;-527
26;2;2005;7417;421;-6996;6689;333;-6356;728;88;-640
27;3;1997;4465;523;-3941;4171;517;-3654;294;6;-288
28;3;1998;4978;582;-4396;4538;576;-3963;439;6;-433
29;3;1999;5544;738;-4805;5209;676;-4533;335;62;-272
30;3;2000;5961;856;-5105;5539;782;-4756;422;73;-348
31;3;2001;6756;999;-5758;6307;928;-5379;450;71;-379
32;3;2002;7578;1033;-6545;6965;963;-6002;613;70;-543
33;3;2003;7993;1151;-6842;7478;1056;-6422;515;95;-420
34;3;2004;8304;1217;-7087;7856;1057;-6799;448;160;-288
35;3;2005;8017;1277;-6740;7851;1120;-6731;165;157;-9
36;4;1997;15606;361;-15245;15096;361;-14734;511;0;-511
37;4;1998;16471;292;-16179;15938;292;-15646;533;0;-533
38;4;1999;17450;379;-17072;16923;376;-16547;527;2;-525
39;4;2000;18955;388;-18568;18375;384;-17991;580;4;-576
40;4;2001;20613;457;-20156;19750;453;-19297;862;4;-859
41;4;2002;22220;497;-21723;20826;492;-20334;1394;5;-1389
42;4;2003;23177;533;-22644;22095;527;-21568;1082;6;-1076
43;4;2004;24057;554;-23503;22865;551;-22314;1193;3;-1189
44;4;2005;25081;323;-24758;23745;319;-23427;1335;5;-1331
45;5;1997;3307;39;-3268;3297;39;-3258;10;0;-10
46;5;1998;3432;4;-3428;3413;4;-3410;18;0;-18
47;5;1999;3564;38;-3526;3498;36;-3462;66;2;-64
48;5;2000;3795;39;-3755;3780;36;-3743;15;3;-12
49;5;2001;5633;50;-5583;5620;47;-5573;14;4;-10
50;5;2002;6641;61;-6581;6626;57;-6569;15;3;-12
51;5;2003;7905;68;-7836;7882;64;-7818;22;4;-18
52;5;2004;9464;87;-9377;9451;78;-9373;13;9;-4
53;5;2005;9257;139;-9118;9222;128;-9094;35;11;-24
54;6;1997;16172;348;-15824;15151;346;-14805;1021;2;-1019
55;6;1998;16194;195;-15999;16127;193;-15934;68;2;-65
56;6;1999;16753;117;-16636;16684;102;-16582;69;15;-54
57;6;2000;17180;117;-17062;17058;99;-16960;121;19;-103
58;6;2001;19335;108;-19228;19229;79;-19150;107;29;-78
59;6;2002;22999;149;-22851;22861;121;-22741;138;28;-110
60;6;2003;25216;181;-25035;25011;151;-24859;205;29;-176
61;6;2004;24609;245;-24364;24505;221;-24285;104;25;-79
62;6;2005;26358;227;-26131;26329;207;-26121;30;20;-10
63;7;1997;2381;101;-2280;1389;101;-1288;992;0;-992
64;7;1998;2757;123;-2634;1230;115;-1115;1527;7;-1520
65;7;1999;2414;358;-2056;1250;149;-1101;1164;209;-956
66;7;2000;2492;386;-2106;1206;163;-1043;1286;222;-1063
67;7;2001;2379;363;-2016;1270;140;-1130;1109;223;-886
68;7;2002;2417;449;-1968;1360;205;-1155;1057;244;-813
69;7;2003;2590;525;-2065;1570;226;-1344;1019;299;-721
70;7;2004;2605;636;-1970;1448;301;-1146;1158;334;-824
71;7;2005;2243;623;-1619;1314;316;-998;929;307;-622
72;8;1997;682;89;-592;570;89;-481;111;0;-111
73;8;1998;694;77;-617;591;77;-513;104;0;-104
74;8;1999;714;78;-636;622;75;-547;93;3;-89
75;8;2000;1678;317;-1361;1460;316;-1144;219;1;-217
76;8;2001;1773;323;-1450;1577;322;-1255;196;1;-195
77;8;2002;1882;344;-1537;1661;342;-1319;220;2;-218
78;8;2003;1812;643;-1169;1642;339;-1303;169;304;134
79;8;2004;1785;225;-1560;1619;224;-1394;166;1;-166
80;8;2005;1780;244;-1536;1614;204;-1410;166;40;-126
81;9;1997;264;3416;3152;176;3412;3235;88;5;-83
82;9;1998;276;2378;2102;183;2377;2194;93;1;-92
83;9;1999;261;1956;1695;179;1956;1777;83;0;-83
84;9;2000;291;2888;2597;221;2888;2667;70;0;-70
85;9;2001;1680;4326;2646;228;4326;4098;1452;0;-1452
86;9;2002;231;3826;3596;199;3826;3627;32;0;-32
87;9;2003;279;4374;4096;224;4374;4151;55;0;-55
88;9;2004;312;4706;4394;264;4706;4442;48;0;-48
89;9;2005;449;6461;6012;377;6461;6084;72;0;-72
90;Landbouw, jacht en visserij;1997;1642;285;-1357;1396;193;-1204;246;92;-153
91;Landbouw, jacht en visserij;1998;1108;311;-797;861;227;-634;247;83;-164
92;Landbouw, jacht en visserij;1999;1360;356;-1004;903;254;-649;458;102;-355
93;Landbouw, jacht en visserij;2000;1500;372;-1128;794;254;-540;706;118;-588
94;Landbouw, jacht en visserij;2001;1655;572;-1083;1316;387;-929;339;186;-154
95;Landbouw, jacht en visserij;2002;1524;519;-1006;1227;433;-793;298;86;-212
96;Landbouw, jacht en visserij;2003;1712;453;-1259;1351;363;-989;361;91;-270
97;Landbouw, jacht en visserij;2004;1332;406;-926;1089;337;-752;243;69;-174
98;Landbouw, jacht en visserij;2005;1134;224;-909;960;153;-807;173;71;-102
99;Algemene economische aangelegenheden;1997;781;1007;226;712;967;255;69;40;-29
100;Algemene economische aangelegenheden;1998;762;1563;801;784;947;162;-23;616;639
101;Algemene economische aangelegenheden;1999;937;763;-174;1000;732;-268;-63;31;94
102;Algemene economische aangelegenheden;2000;1324;682;-641;1086;645;-441;238;38;-200
103;Algemene economische aangelegenheden;2001;1068;1649;581;1104;1598;494;-36;51;87
104;Algemene economische aangelegenheden;2002;1293;1422;129;1095;1394;299;198;28;-169
105;Algemene economische aangelegenheden;2003;1395;805;-590;1174;758;-417;221;47;-174
106;Algemene economische aangelegenheden;2004;1253;1204;-50;1129;1129;0;124;74;-50
107;Algemene economische aangelegenheden;2005;914;1345;432;1053;1320;267;-139;26;165
108;Verkeer en vervoer;1997;5623;603;-5020;3196;547;-2649;2427;55;-2372
109;Verkeer en vervoer;1998;6163;1161;-5002;3326;864;-2463;2837;297;-2540
110;Verkeer en vervoer;1999;6686;721;-5965;3527;644;-2883;3159;76;-3082
111;Verkeer en vervoer;2000;7250;3401;-3849;3499;608;-2892;3751;2793;-957
112;Verkeer en vervoer;2001;8266;869;-7397;3987;761;-3226;4279;108;-4171
113;Verkeer en vervoer;2002;9013;729;-8284;4237;637;-3600;4776;91;-4684
114;Verkeer en vervoer;2003;9608;738;-8870;4246;619;-3627;5362;119;-5243
115;Verkeer en vervoer;2004;8913;764;-8150;3920;544;-3376;4994;220;-4774
116;Verkeer en vervoer;2005;8346;206;-8140;4325;135;-4190;4022;71;-3951
117;Functioneel niet toegerekend;1997;29164;77570;48406;27646;74088;46442;1518;3482;1964
