ID;Landen;Perioden;KapitaalgoederenvoorraadTotaal_1;ICTKapitaalgoederenvoorraad_2;InvesteringsquoteBedrijvensector_3;ICTInvesteringenTotaal_4;ITApparatuur_5;Communicatiemiddelen_6;Software_7;GeinvesteerdDurfkapitaalTotaal_8;GeinvesteerdDurfkapitaalVroegeFase_9;GeinvesteerdDurfkapitaalVervolgfase_10;DBIInkomend_11;DBIUitgaand_12;DBISaldoUitgaandInkomend_13;DBIInkomendVoorraad_14;DBIUitgaandVoorraad_15;DBISaldoUitgaandInkomendVoorraad_16
116;Finland;1996;218.0;4.42;10.2;17.5;26.2;34.5;39.3;0.04;0.01;0.03;0.9;2.8;1.9;6.9;13.8;6.9
117;Finland;1997;210.0;4.91;10.2;17.5;19.9;41.2;38.9;0.08;0.01;0.08;1.7;4.3;2.6;7.7;16.5;8.8
118;Finland;1998;206.0;5.83;11.2;18.7;21.0;38.4;40.6;0.1;0.05;0.05;9.4;14.4;5.0;12.7;22.7;10.0
119;Finland;1999;204.0;6.84;11.1;19.4;19.4;37.8;42.8;0.14;0.06;0.08;3.5;5.1;1.5;14.1;26.0;11.9
120;Finland;2000;199.0;7.77;11.4;19.5;14.4;41.5;44.1;0.19;0.1;0.09;7.3;19.7;12.5;19.9;42.8;22.9
121;Finland;2001;199.0;8.28;12.2;17.9;7.0;45.0;48.0;0.16;0.1;0.05;3.0;6.7;3.7;19.3;41.9;22.6
122;Finland;2002;201.0;8.79;11.0;18.5;7.9;42.3;49.8;0.2;0.07;0.14;6.0;5.5;-0.5;25.1;47.3;22.2
123;Finland;2003;204.0;9.52;10.5;20.1;8.6;36.6;54.8;0.2;0.06;0.14;2.0;;;30.6;46.3;15.7
124;Finland;2004;201.0;10.09;10.3;19.2;8.2;34.4;57.4;0.07;0.03;0.05;1.5;;;30.3;45.0;14.6
125;Finland;2005;200.0;10.78;10.6;21.2;7.3;30.5;62.2;0.1;0.04;0.05;2.4;2.2;-0.3;28.0;41.8;13.8
126;Finland;2006;;;10.4;;;;;0.11;0.03;0.09;3.7;2.3;-1.4;33.9;46.3;12.3
127;Finland;2007;;;11.7;;;;;0.12;0.04;0.08;5.1;2.9;-2.1;37.3;47.3;10.1
128;Finland;2008;;;12.1;;;;;0.12;0.03;0.09;;3.4;;30.7;42.0;11.3
129;Finland;2009;;;10.9;;;;;0.17;0.03;0.14;0.2;2.1;1.9;35.3;53.9;18.6
130;Finland;2010;;;9.7;;;;;0.12;0.04;0.09;2.8;4.4;1.6;36.0;57.6;21.6
131;Finland;2011;;;10.3;;;;;0.09;0.03;0.06;;2.0;;31.1;52.1;21.0
132;Frankrijk;1990;;;11.1;11.9;30.4;25.4;44.2;0.06;0.01;0.05;1.3;2.9;1.7;6.8;8.9;2.0
133;Frankrijk;1991;;;11.1;11.5;29.0;25.1;45.9;0.07;0.0;0.06;1.2;2.0;0.8;7.8;10.4;2.6
134;Frankrijk;1992;;;10.6;11.8;23.8;26.0;50.3;0.06;0.0;0.06;1.3;2.2;0.9;9.3;11.4;2.1
135;Frankrijk;1993;;;9.8;12.5;26.4;25.8;47.8;0.05;0.0;0.05;1.3;1.5;0.3;10.4;12.2;1.8
136;Frankrijk;1994;;;9.7;13.1;26.6;26.1;47.3;0.07;0.0;0.07;1.1;1.8;0.6;11.9;13.3;1.4
137;Frankrijk;1995;;;9.9;13.9;26.5;23.5;50.0;0.04;0.0;0.04;1.5;1.0;-0.5;12.2;13.0;0.8
138;Frankrijk;1996;;;9.8;15.5;24.1;22.4;53.4;0.06;0.01;0.05;1.4;1.9;0.5;12.7;14.7;2.0
139;Frankrijk;1997;;;9.8;17.5;21.7;21.7;56.7;0.05;0.01;0.04;1.6;2.5;0.9;13.8;16.7;2.9
140;Frankrijk;1998;;;10.5;18.7;20.0;22.0;58.0;0.07;0.02;0.05;2.1;3.3;1.2;16.8;19.6;2.8
141;Frankrijk;1999;;;11.1;19.9;24.1;16.7;59.2;0.13;0.04;0.09;3.2;8.7;5.5;16.8;22.9;6.1
142;Frankrijk;2000;;;11.6;19.2;23.2;17.8;59.0;0.23;0.08;0.15;3.3;13.4;10.1;19.6;33.6;14.0
143;Frankrijk;2001;;;10.7;20.5;22.2;18.4;59.4;0.09;0.04;0.05;3.8;6.5;2.7;22.1;38.0;16.0
144;Frankrijk;2002;;;10.3;19.2;19.3;17.5;63.2;0.08;0.03;0.06;3.4;3.5;0.1;26.5;40.4;13.9
145;Frankrijk;2003;;;10.4;18.6;22.3;14.0;63.6;0.11;0.03;0.09;2.4;3.0;0.6;29.4;40.4;11.0
146;Frankrijk;2004;;;10.4;17.6;20.9;14.0;65.1;0.1;0.03;0.08;1.6;2.8;1.2;31.2;41.1;9.9
147;Frankrijk;2005;;;10.6;17.4;18.5;15.3;66.3;0.1;0.03;0.07;4.0;5.4;1.4;29.4;40.6;11.3
148;Frankrijk;2006;;;10.8;17.0;17.0;14.6;68.4;0.11;0.03;0.08;3.2;4.9;1.7;33.8;46.3;12.5
149;Frankrijk;2007;;;11.4;16.1;13.9;14.8;71.3;0.09;0.02;0.07;3.7;6.4;2.6;37.0;49.8;12.8
150;Frankrijk;2008;;;11.8;16.0;;;;0.13;0.02;0.1;2.3;5.5;3.2;33.6;47.9;14.3
151;Frankrijk;2009;;;10.6;;;;;0.11;0.02;0.09;0.9;4.1;3.2;37.6;57.0;19.4
152;Frankrijk;2010;;;10.6;;;;;0.11;0.02;0.09;1.2;3.0;1.8;37.0;59.9;22.9
153;Frankrijk;2011;;;10.8;;;;;0.1;0.02;0.09;1.5;3.3;1.8;34.3;57.0;22.6
154;Hongarije;1990;;;;;;;;;;;;;;;;
155;Hongarije;1991;;;;;;;;;;;4.3;;;6.2;;
156;Hongarije;1992;;;;;;;;;;;3.9;;;9.0;0.6;-8.4
157;Hongarije;1993;;;;;;;;;;;6.2;0.0;-6.2;14.2;0.6;-13.6
