ID;Sex;Age;Nationality;CaribbeanNetherlands;Periods;PopulationOnJanuary1st_1
0;Total male and female;Total;Total;Caribbean Netherlands;2011;21087
1;Total male and female;Total;Total;Caribbean Netherlands;2012;22304
2;Total male and female;Total;Total;Caribbean Netherlands;2013;23296
3;Total male and female;Total;Total;Caribbean Netherlands;2014;24279
4;Total male and female;Total;Total;Caribbean Netherlands;2015;24593
5;Total male and female;Total;Total;Caribbean Netherlands;2016;24548
6;Total male and female;Total;Total;Caribbean Netherlands;2017;24439
7;Total male and female;Total;Total;Caribbean Netherlands;2018;25052
8;Total male and female;Total;Total;Caribbean Netherlands;2019;25157
9;Total male and female;Total;Total;Caribbean Netherlands;2020;25987
10;Total male and female;Total;Total;Caribbean Netherlands;2021;26805
11;Total male and female;Total;Total;Caribbean Netherlands;2022;27726
12;Total male and female;Total;Total;Caribbean Netherlands;2023;29418
13;Total male and female;Total;Total;Bonaire;2011;15679
14;Total male and female;Total;Total;Bonaire;2012;16541
15;Total male and female;Total;Total;Bonaire;2013;17408
16;Total male and female;Total;Total;Bonaire;2014;18413
17;Total male and female;Total;Total;Bonaire;2015;18905
18;Total male and female;Total;Total;Bonaire;2016;19408
19;Total male and female;Total;Total;Bonaire;2017;19179
20;Total male and female;Total;Total;Bonaire;2018;19549
21;Total male and female;Total;Total;Bonaire;2019;20104
22;Total male and female;Total;Total;Bonaire;2020;20915
23;Total male and female;Total;Total;Bonaire;2021;21745
24;Total male and female;Total;Total;Bonaire;2022;22573
25;Total male and female;Total;Total;Bonaire;2023;24090
26;Total male and female;Total;Total;St. Eustatius;2011;3611
27;Total male and female;Total;Total;St. Eustatius;2012;3792
28;Total male and female;Total;Total;St. Eustatius;2013;3897
29;Total male and female;Total;Total;St. Eustatius;2014;4020
30;Total male and female;Total;Total;St. Eustatius;2015;3877
31;Total male and female;Total;Total;St. Eustatius;2016;3193
32;Total male and female;Total;Total;St. Eustatius;2017;3250
33;Total male and female;Total;Total;St. Eustatius;2018;3348
34;Total male and female;Total;Total;St. Eustatius;2019;3138
35;Total male and female;Total;Total;St. Eustatius;2020;3139
36;Total male and female;Total;Total;St. Eustatius;2021;3142
37;Total male and female;Total;Total;St. Eustatius;2022;3242
38;Total male and female;Total;Total;St. Eustatius;2023;3293
39;Total male and female;Total;Total;Saba;2011;1797
40;Total male and female;Total;Total;Saba;2012;1971
41;Total male and female;Total;Total;Saba;2013;1991
42;Total male and female;Total;Total;Saba;2014;1846
