ID;Perioden;Kiesgerechtigden_1;Opkomst_2;TotaalStemmen_3;OngeldigeStemmen_4;GeldigeStemmen_5;ARP_6;CHU_7;PCG_8;KVP_9;CDA_10;GPV_11;GPVRPF_12;GPVRPFSGP_13;RPF_14;RPFSGP_15;SGP_16;ChristenUnie_17;ChristenUnieSGP_18;D66_19;DS70_20;CPN_21;PPR_22;PSP_23;PSPCPN_24;PSPCPNPPR_25;GROENLINKS_26;PvdA_27;PAK_28;BPPLM_29;SP_30;VVD_31;AOV_32;CDCentrumdemocraten_33;FNP_34;LPF_35;NM_36;OPD_37;PNL_38;PvdD_39;PVZ_40;OverigePartijen_41;TotaalAantalZetels_42;ARP_43;CHU_44;PCG_45;KVP_46;CDA_47;GPV_48;GPVRPF_49;GPVRPFSGP_50;RPF_51;RPFSGP_52;SGP_53;ChristenUnie_54;ChristenUnieSGP_55;D66_56;DS70_57;CPN_58;PPR_59;PSP_60;PSPCPN_61;PSPCPNPPR_62;GROENLINKS_63;PvdA_64;PAK_65;BPPLM_66;SP_67;VVD_68;AOV_69;CDCentrumdemocraten_70;FNP_71;LPF_72;NM_73;OPD_74;PNL_75;PvdD_76;PVZ_77;OverigePartijen_78
0;1946;5243809;92.2;4832977;158848;4674129;12.5;9.7;0.1;31.4;;;;;;;2.2;;;;;11.4;;;;;;25.8;;;;6.4;;;;;;;;;;0.5;590;78.0;62.0;0.0;188.0;;;;;;;10;;;;;58.0;;;;;;157;;;;37;;;;;;;;;;0
1;1950;5542119;91.9;5092602;248972;4843630;12.2;10.5;0.2;31.6;;0.6;;;;;2.3;;;;;6.8;;;;;;25.7;;;;8.5;;;;;;;;;;1.7;590;76.0;70.0;1.0;189.0;;1.0;;;;;11;;;;;31.0;;;;;;156;;;;49;;;;;;;;;;6
2;1954;5921197;93.4;5528877;199899;5328978;10.7;9.7;0.1;31.5;;0.7;;;;;2.2;;;;;5.3;;;;;;29.4;;;;8.8;;;;;;;;;;1.6;590;69.0;64.0;0.0;186.0;;2.0;;;;;11;;;;;24.0;;;;;;180;;;;50;;;;;;;;;;4
3;1958;6320702;94.4;5967795;193071;5774724;9.4;9.0;0.8;32.9;;0.8;;;;;2.2;;;;;4.1;;0.6;;;;28.6;;0.1;;11.4;;;;;;;;;;0.1;590;63.0;59.0;4.0;190.0;;2.0;;;;;11;;;;;18.0;;2.0;;;;178;;0.0;;63;;;;;;;;;;0
4;1962;6652883;93.5;6221324;185714;6035610;8.8;8.5;0.8;32.4;;0.7;;;;;2.1;;;;;2.9;;3.0;;;;29.9;;0.2;;10.0;;;;;;;;;;0.6;665;67.0;63.0;4.0;217.0;;3.0;;;;;12;;;;;13.0;;13.0;;;;207;;1.0;;64;;;;;;;;;;1
5;1966;7363273;94.6;6962651;211961;6750690;8.3;9.3;0.8;30.1;;0.8;;;;;2.1;;;;;2.7;;5.0;;;;23.4;;6.7;;10.0;;;0.1;;;;;;;0.6;673;66.0;72.0;5.0;199.0;;3.0;;;;;11;;;;;13.0;;24.0;;;;171;;44.0;;64;;;1.0;;;;;;;0
6;1970;7901005;68.9;5442176;62540;5379636;7.7;7.3;0.7;19.8;6.2;1.1;;;;;2.6;;;7.7;;4.4;1.7;1.6;;;;16.7;7.6;1.7;;12.1;;;0.2;;;;;;;1.0;689;55.0;53.0;4.0;130.0;65.0;6.0;;;;;16;;;47.0;;27.0;9.0;5.0;;;;101;80.0;7.0;;80;;;2.0;;;;;;;2
7;1974;9057866;75.1;6800098;48325;6751773;4.0;4.7;;7.1;15.0;1.7;;;;;2.4;;;1.0;1.5;3.5;4.9;1.4;;;;28.0;2.1;3.1;;19.0;;;0.3;;;;;;;0.3;693;28.0;35.0;;50.0;122.0;11.0;;;;;15;;;2.0;4.0;19.0;32.0;4.0;;;;199;20.0;17.0;;131;;;4.0;;;;;;;0
8;1978;9578005;79.6;7621239;42601;7578638;;;;;35.1;1.0;;;0.4;0.1;2.2;;;5.2;0.1;1.6;1.5;1.3;;;;32.1;1.8;0.5;0.0;16.9;;;0.2;;;;;;;0.1;705;;;;;268.0;4.0;;;0.0;0.0;13;;;31.0;0.0;5.0;6.0;4.0;;;;236;18.0;0.0;;118;;;2.0;;;;;;;0
9;1982;10089250;68.4;6904881;51258;6853623;;;;;33.4;0.7;1.0;0.2;0.7;0.4;2.2;;;8.3;;1.9;1.6;1.8;0.7;1.8;;20.7;1.3;0.0;0.6;22.2;;;0.3;;;;;;;0.2;705;;;;;248.0;6.0;6.0;1.0;6.0;2.0;15;;;54.0;;14.0;10.0;11.0;6.0;10.0;;151;12.0;0.0;0.0;150;;;3.0;;;;;;;0
10;1987;10777685;66.3;7148128;29370;7118758;;;;;33.0;0.6;1.2;0.4;0.2;0.3;2.1;;;6.7;;0.6;1.2;0.5;0.5;2.0;;33.0;;;0.5;15.5;;0.3;0.2;;;;0.4;;;0.7;748;;;;;255.0;5.0;8.0;2.0;1.0;4.0;15;;;45.0;;4.0;10.0;3.0;5.0;10.0;;261;;;1.0;112;;0.0;2.0;;;;4.0;;;1
11;1991;11234345;52.3;5877150;25994;5851156;;;;;32.6;0.8;1.6;0.5;0.2;0.4;2.5;;;15.6;;;;;;;5.7;20.4;;;0.9;15.7;;1.3;0.3;;;0.1;0.5;;;0.8;756;;;;;257.0;8.0;12.0;2.0;2.0;6.0;17;;;116.0;;;;;;;37.0;166;;;1.0;116;;3.0;3.0;;;1.0;5.0;;;4
12;1995;11498738;50.2;5767812;16977;5750835;;;;;22.9;0.8;2.4;0.2;0.5;0.3;2.5;;;9.2;;;;;;;5.9;17.0;;;2.1;27.2;5.1;1.4;0.3;;;0.1;0.5;;;1.5;756;;;;;186.0;9.0;15.0;1.0;6.0;3.0;19;;;67.0;;;;;;;37.0;142;;;12.0;207;33.0;3.0;3.0;;;2.0;5.0;;;6
13;1999;11801338;45.6;5386552;15806;5370746;;;;;24.4;0.7;2.8;0.6;0.4;0.3;2.7;;;5.9;;;;;;;10.1;19.0;;;3.3;23.7;1.7;0.4;0.4;;0.7;0.2;0.6;;0.2;2.0;760;;;;;194.0;8.0;23.0;3.0;3.0;3.0;22;;;39.0;;;;;;;77.0;154;;;19.0;182;6.0;0.0;4.0;;3.0;3.0;6.0;;4.0;7
14;2003;12054954;47.6;5741154;6658;5734496;;;;;28.0;;;;;;2.5;3.1;0.8;4.6;;;;;;;6.9;24.1;;;5.6;18.5;0.4;;0.6;2.9;;0.1;0.3;;0.1;1.6;764;;;;;222.0;;;;;;19;26.0;5.0;31.0;;;;;;;51.0;198;;;38.0;138;1.0;;7.0;17.0;;1.0;2.0;;2.0;6
15;2007;12238814;46.4;5679364;23900;5655464;;;;;25.0;;;;;;2.4;5.5;0.9;2.6;;;;;;;6.1;17.9;;;14.8;18.1;0.8;;0.5;0.2;;0.0;0.3;2.5;0.2;2.2;564;;;;;151.0;;;;;;14;35.0;3.0;9.0;;;;;;;32.0;114;;;83.0;101;1.0;;5.0;0.0;;0.0;1.0;9.0;2.0;4
