ID;KenmerkenAreaal;Perioden;AppelsTotaal_1;Elstar_2;Jonagold_3;Jonagored_4;GoldenDelicious_5;SchoneVanBoskoop_6;Clubrassen_7;OverigeAppelrassen_8;PerenTotaal_9;HandperenTotaal_10;Conference_11;DoyenneDuComice_12;BeurreAlexandreLucas_13;OverigeHandperen_14;Stoofperen_15
0;Totaal areaal;1997;15190.0;5130.0;3440.0;1160.0;1190.0;1280.0;;2990.0;6030.0;5480.0;3450.0;1270.0;;760.0;550.0
1;Totaal areaal;2002;11180.0;4370.0;2470.0;1080.0;760.0;810.0;;1690.0;6330.0;5840.0;4040.0;1120.0;200.0;480.0;490.0
2;Totaal areaal;2007;9380.0;4220.0;1560.0;900.0;540.0;620.0;720.0;840.0;7300.0;7050.0;5450.0;1000.0;260.0;340.0;250.0
3;Totaal areaal;2012;7950.0;3290.0;1380.0;470.0;380.0;450.0;1020.0;950.0;8170.0;7910.0;6060.0;940.0;450.0;470.0;260.0
4;Totaal areaal;2017;6950.0;3070.0;1200.0;300.0;280.0;370.0;1030.0;710.0;9740.0;9470.0;7260.0;770.0;780.0;660.0;270.0
5;Totaal areaal;2018;;;;;;;;;;;;;;;
6;Totaal areaal;2019;;;;;;;;;;;;;;;
7;Totaal areaal;2020;;;;;;;;;;;;;;;
8;Totaal areaal;2023;5500.0;2410.0;750.0;200.0;130.0;260.0;550.0;1220.0;9860.0;9670.0;7410.0;660.0;560.0;1030.0;190.0
9;Bomen: leeftijd 0 tot 5 jaar;1997;3630.0;990.0;990.0;540.0;230.0;340.0;;540.0;1280.0;1180.0;870.0;170.0;;140.0;100.0
10;Bomen: leeftijd 0 tot 5 jaar;2002;4230.0;2190.0;740.0;430.0;200.0;150.0;;520.0;1490.0;1420.0;1170.0;120.0;70.0;60.0;70.0
11;Bomen: leeftijd 0 tot 5 jaar;2007;2340.0;1040.0;350.0;190.0;90.0;120.0;350.0;200.0;1590.0;1580.0;1390.0;60.0;80.0;50.0;10.0
12;Bomen: leeftijd 0 tot 5 jaar;2012;1920.0;320.0;300.0;80.0;40.0;80.0;900.0;200.0;1740.0;1730.0;1400.0;60.0;160.0;110.0;10.0
13;Bomen: leeftijd 0 tot 5 jaar;2017;940.0;310.0;280.0;10.0;20.0;70.0;100.0;150.0;2250.0;2220.0;1600.0;80.0;300.0;240.0;30.0
14;Bomen: leeftijd 0 tot 5 jaar;2018;;;;;;;;;;;;;;;
15;Bomen: leeftijd 0 tot 5 jaar;2019;;;;;;;;;;;;;;;
16;Bomen: leeftijd 0 tot 5 jaar;2020;;;;;;;;;;;;;;;
17;Bomen: leeftijd 0 tot 5 jaar;2023;1390.0;580.0;160.0;40.0;20.0;50.0;140.0;410.0;1060.0;1040.0;790.0;60.0;40.0;150.0;20.0
18;Bomen: leeftijd 5 tot 10 jaar;1997;6660.0;2600.0;1430.0;490.0;380.0;440.0;;1320.0;1280.0;1150.0;780.0;220.0;;140.0;130.0
