ID;RegioS;SBI1993;Perioden;Volumemutatie_1;Deflator_2
0;Nederland;Totaal bedrijfsactiviteiten;1996;2.9;0.6
1;Nederland;Totaal bedrijfsactiviteiten;1997;3.7;1.7
2;Nederland;Totaal bedrijfsactiviteiten;1998;4.2;1.7
3;Nederland;Totaal bedrijfsactiviteiten;1999;4.0;1.5
4;Nederland;Totaal bedrijfsactiviteiten;2000;3.5;4.2
5;Nederland;Totaal bedrijfsactiviteiten;2001;1.6;4.6
6;Nederland;A+B  Landbouw, bosbouw en visserij;1996;-1.9;1.0
7;Nederland;A+B  Landbouw, bosbouw en visserij;1997;-5.3;2.9
8;Nederland;A+B  Landbouw, bosbouw en visserij;1998;9.3;-4.9
9;Nederland;A+B  Landbouw, bosbouw en visserij;1999;6.3;-9.4
10;Nederland;A+B  Landbouw, bosbouw en visserij;2000;1.5;5.2
11;Nederland;A+B  Landbouw, bosbouw en visserij;2001;-4.3;7.8
12;Nederland;C     Delfstoffenwinning;1996;13.4;4.5
13;Nederland;C     Delfstoffenwinning;1997;-8.2;10.1
14;Nederland;C     Delfstoffenwinning;1998;-0.8;-10.8
15;Nederland;C     Delfstoffenwinning;1999;-3.2;-12.1
16;Nederland;C     Delfstoffenwinning;2000;-2.3;50.8
17;Nederland;C     Delfstoffenwinning;2001;6.0;13.6
18;Nederland;D+E  Industrie, openbare nutsbedrijven;1996;1.0;-0.4
19;Nederland;D+E  Industrie, openbare nutsbedrijven;1997;1.5;1.4
20;Nederland;D+E  Industrie, openbare nutsbedrijven;1998;2.7;1.8
21;Nederland;D+E  Industrie, openbare nutsbedrijven;1999;2.0;0.1
22;Nederland;D+E  Industrie, openbare nutsbedrijven;2000;4.1;1.1
23;Nederland;D+E  Industrie, openbare nutsbedrijven;2001;-0.4;2.6
24;Nederland;F      Bouwnijverheid;1996;-1.8;4.3
25;Nederland;F      Bouwnijverheid;1997;3.3;2.4
26;Nederland;F      Bouwnijverheid;1998;3.2;3.2
27;Nederland;F      Bouwnijverheid;1999;5.4;4.8
28;Nederland;F      Bouwnijverheid;2000;4.2;5.9
29;Nederland;F      Bouwnijverheid;2001;1.9;6.3
30;Nederland;G     Handel, reparatie consumentenart.;1996;4.2;-2.5
31;Nederland;G     Handel, reparatie consumentenart.;1997;7.7;-2.2
32;Nederland;G     Handel, reparatie consumentenart.;1998;6.8;1.8
33;Nederland;G     Handel, reparatie consumentenart.;1999;6.9;0.8
34;Nederland;G     Handel, reparatie consumentenart.;2000;4.5;1.3
35;Nederland;G     Handel, reparatie consumentenart.;2001;0.3;2.9
36;Nederland;H     Horeca;1996;-0.3;3.0
37;Nederland;H     Horeca;1997;6.1;1.6
38;Nederland;H     Horeca;1998;6.1;1.0
39;Nederland;H     Horeca;1999;1.8;6.1
40;Nederland;H     Horeca;2000;3.5;3.8
41;Nederland;H     Horeca;2001;-1.7;6.8
42;Nederland;I       Vervoer, opslag en communicatie;1996;3.7;-1.3
43;Nederland;I       Vervoer, opslag en communicatie;1997;8.6;1.0
44;Nederland;I       Vervoer, opslag en communicatie;1998;9.4;-1.6
45;Nederland;I       Vervoer, opslag en communicatie;1999;6.9;-4.8
46;Nederland;I       Vervoer, opslag en communicatie;2000;10.4;-1.7
47;Nederland;I       Vervoer, opslag en communicatie;2001;3.4;1.1
48;Nederland;J      Financiële instellingen;1996;6.7;-2.9
49;Nederland;J      Financiële instellingen;1997;5.9;0.9
50;Nederland;J      Financiële instellingen;1998;2.1;4.6
51;Nederland;J      Financiële instellingen;1999;6.5;4.3
52;Nederland;J      Financiële instellingen;2000;-0.7;11.2
53;Nederland;J      Financiële instellingen;2001;1.8;6.7
54;Nederland;K     Verhuur, zakelijke dienstverlening;1996;6.5;3.5
55;Nederland;K     Verhuur, zakelijke dienstverlening;1997;5.6;3.2
56;Nederland;K     Verhuur, zakelijke dienstverlening;1998;4.7;3.7
57;Nederland;K     Verhuur, zakelijke dienstverlening;1999;5.5;3.3
58;Nederland;K     Verhuur, zakelijke dienstverlening;2000;4.0;3.4
59;Nederland;K     Verhuur, zakelijke dienstverlening;2001;2.8;3.9
60;Nederland;L      Overheid, defensie, sociale verz.;1996;0.4;0.1
61;Nederland;L      Overheid, defensie, sociale verz.;1997;2.0;1.6
62;Nederland;L      Overheid, defensie, sociale verz.;1998;2.7;0.9
63;Nederland;L      Overheid, defensie, sociale verz.;1999;1.2;3.5
64;Nederland;L      Overheid, defensie, sociale verz.;2000;1.4;4.1
65;Nederland;L      Overheid, defensie, sociale verz.;2001;2.1;5.1
66;Nederland;M     Gesubsidieerd Onderwijs;1996;0.8;1.6
67;Nederland;M     Gesubsidieerd Onderwijs;1997;4.5;-1.8
68;Nederland;M     Gesubsidieerd Onderwijs;1998;2.9;2.1
69;Nederland;M     Gesubsidieerd Onderwijs;1999;0.6;6.1
70;Nederland;M     Gesubsidieerd Onderwijs;2000;0.9;5.1
71;Nederland;M     Gesubsidieerd Onderwijs;2001;0.1;7.8
72;Nederland;N     Gezondheids- en welzijnszorg;1996;1.7;0.7
73;Nederland;N     Gezondheids- en welzijnszorg;1997;1.1;3.8
74;Nederland;N     Gezondheids- en welzijnszorg;1998;2.5;2.9
75;Nederland;N     Gezondheids- en welzijnszorg;1999;1.7;5.9
76;Nederland;N     Gezondheids- en welzijnszorg;2000;1.6;6.1
77;Nederland;N     Gezondheids- en welzijnszorg;2001;4.0;7.1
78;Nederland;O+P  Milieu, cultuur en ov. diensten;1996;1.7;2.8
79;Nederland;O+P  Milieu, cultuur en ov. diensten;1997;4.6;3.9
80;Nederland;O+P  Milieu, cultuur en ov. diensten;1998;2.1;4.6
81;Nederland;O+P  Milieu, cultuur en ov. diensten;1999;2.7;3.8
82;Nederland;O+P  Milieu, cultuur en ov. diensten;2000;2.4;4.1
83;Nederland;O+P  Milieu, cultuur en ov. diensten;2001;2.7;5.0
