ID;EnergySourcesTechniques;Periods;GrossProductionWithNormalisation_1;GrossProductionOfElectricity_2;NetProductionOfElectricity_3;GrossProductionWithNormalisation_4;GrossProductionOfElectricity_5;NetProductionOfElectricity_6;InstallationsInstalledEndOfYear_7;ElectricalCapacityEndOfYear_8
0;Total renewable energy sources;1990;809.0;807.0;725.0;1.0;0.99;0.92;;
1;Total renewable energy sources;1991;930.0;935.0;851.0;1.11;1.12;1.05;;
2;Total renewable energy sources;1992;982.0;994.0;898.0;1.14;1.16;1.08;;
3;Total renewable energy sources;1993;1128.0;1107.0;957.0;1.29;1.27;1.14;;
4;Total renewable energy sources;1994;1252.0;1257.0;1093.0;1.39;1.39;1.26;;
5;Total renewable energy sources;1995;1423.0;1404.0;1220.0;1.54;1.52;1.37;;
6;Total renewable energy sources;1996;1841.0;1816.0;1582.0;1.92;1.89;1.71;;
7;Total renewable energy sources;1997;2045.0;2015.0;1732.0;2.06;2.03;1.81;;
8;Total renewable energy sources;1998;2259.0;2328.0;2024.0;2.19;2.26;2.04;;
9;Total renewable energy sources;1999;2530.0;2509.0;2194.0;2.41;2.39;2.16;;
10;Total renewable energy sources;2000;2871.0;2979.0;2657.0;2.64;2.74;2.53;;
11;Total renewable energy sources;2001;3307.0;3309.0;2985.0;2.98;2.98;2.79;;
12;Total renewable energy sources;2002;4062.0;3981.0;3627.0;3.62;3.54;3.34;;
13;Total renewable energy sources;2003;4048.0;3969.0;3642.0;3.56;3.49;3.31;;
14;Total renewable energy sources;2004;5228.0;5314.0;4954.0;4.45;4.52;4.37;;
15;Total renewable energy sources;2005;7448.0;7452.0;7005.0;6.3;6.3;6.15;;
16;Total renewable energy sources;2006;7868.0;8049.0;7579.0;6.54;6.69;6.53;;
17;Total renewable energy sources;2007;7322.0;7584.0;7139.0;5.96;6.18;6.02;;
18;Total renewable energy sources;2008;9214.0;9533.0;8963.0;7.47;7.72;7.53;;
19;Total renewable energy sources;2009;10755.0;10835.0;10187.0;9.07;9.14;8.94;;
20;Total renewable energy sources;2010;11718.0;11196.0;10485.0;9.6;9.17;8.89;;
21;Total renewable energy sources;2011;11985.0;12320.0;11584.0;9.74;10.01;9.75;;
22;Total renewable energy sources;2012;12456.0;12481.0;11742.0;10.34;10.36;10.09;;
23;Total renewable energy sources;2013;11881.0;12106.0;11429.0;9.9;10.09;9.87;;
24;Total renewable energy sources;2014;11733.0;11648.0;10979.0;9.93;9.86;9.67;;
25;Total renewable energy sources;2015;13152.0;13685.0;13009.0;11.04;11.49;11.4;;
26;Total renewable energy sources;2016;15073.0;14777.0;14103.0;12.55;12.31;12.16;;
27;Total renewable energy sources;2017;16673.0;17437.0;16764.0;13.81;14.44;14.33;;
28;Total renewable energy sources;2018;18533.0;18892.0;18242.0;15.18;15.47;15.37;;
29;Total renewable energy sources;2019;22277.0;22796.0;22041.0;18.23;18.65;18.57;;
