ID;Bouwjaren;Eigendom;RegioS;Perioden;VoertuigenMetBromfietskenteken_1;Snorfiets_2;Bromfiets_3;Brommobiel_4;OverigeVoertuigenMetBromfietskenteken_5
0;Totaal alle bouwjaren;Totaal;Nederland;2007;711792.0;304816.0;385930.0;15740.0;5306.0
1;Totaal alle bouwjaren;Totaal;Nederland;2008;786408.0;339941.0;423189.0;17513.0;5765.0
2;Totaal alle bouwjaren;Totaal;Nederland;2009;873872.0;386025.0;464870.0;19008.0;3969.0
3;Totaal alle bouwjaren;Totaal;Nederland;2010;955701.0;435247.0;496145.0;20112.0;4197.0
4;Totaal alle bouwjaren;Totaal;Nederland;2011;1028096.0;487380.0;515517.0;20737.0;4462.0
5;Totaal alle bouwjaren;Totaal;Nederland;2012;1061676.0;526771.0;509333.0;20996.0;4576.0
6;Totaal alle bouwjaren;Totaal;Nederland;2013;1085243.0;560427.0;499050.0;21037.0;4729.0
7;Totaal alle bouwjaren;Totaal;Nederland;2014;1101978.0;588801.0;487700.0;20679.0;4798.0
8;Totaal alle bouwjaren;Totaal;Nederland;2015;1124795.0;617800.0;481749.0;20328.0;4918.0
9;Totaal alle bouwjaren;Totaal;Nederland;2016;1150833.0;647968.0;477878.0;19757.0;5230.0
10;Totaal alle bouwjaren;Totaal;Nederland;2017;1178300.0;680563.0;473085.0;19180.0;5472.0
11;Totaal alle bouwjaren;Totaal;Nederland;2018;1211522.0;720469.0;466611.0;18747.0;5695.0
12;Totaal alle bouwjaren;Totaal;Nederland;2019;1230038.0;748917.0;457404.0;18108.0;5609.0
13;Totaal alle bouwjaren;Totaal;Nederland;2020;1249420.0;764710.0;460618.0;18376.0;5716.0
14;Totaal alle bouwjaren;Totaal;Nederland;2021;1292975.0;802817.0;465403.0;18940.0;5815.0
15;Totaal alle bouwjaren;Totaal;Nederland;2022;1331319.0;826742.0;478638.0;19692.0;6247.0
16;Totaal alle bouwjaren;Totaal;Groningen (PV);2007;23274.0;9680.0;12598.0;748.0;248.0
17;Totaal alle bouwjaren;Totaal;Groningen (PV);2008;25200.0;10588.0;13536.0;814.0;262.0
18;Totaal alle bouwjaren;Totaal;Groningen (PV);2009;27422.0;11738.0;14567.0;864.0;253.0
19;Totaal alle bouwjaren;Totaal;Groningen (PV);2010;29856.0;13024.0;15640.0;916.0;276.0
20;Totaal alle bouwjaren;Totaal;Groningen (PV);2011;31710.0;14089.0;16390.0;932.0;299.0
21;Totaal alle bouwjaren;Totaal;Groningen (PV);2012;32553.0;14831.0;16462.0;958.0;302.0
22;Totaal alle bouwjaren;Totaal;Groningen (PV);2013;33018.0;15419.0;16285.0;1012.0;302.0
23;Totaal alle bouwjaren;Totaal;Groningen (PV);2014;33156.0;15930.0;15904.0;1010.0;312.0
24;Totaal alle bouwjaren;Totaal;Groningen (PV);2015;33594.0;16586.0;15702.0;997.0;309.0
25;Totaal alle bouwjaren;Totaal;Groningen (PV);2016;34097.0;17299.0;15514.0;961.0;323.0
26;Totaal alle bouwjaren;Totaal;Groningen (PV);2017;34787.0;18195.0;15308.0;945.0;339.0
27;Totaal alle bouwjaren;Totaal;Groningen (PV);2018;35560.0;19096.0;15202.0;904.0;358.0
28;Totaal alle bouwjaren;Totaal;Groningen (PV);2019;36216.0;19894.0;15109.0;855.0;358.0
29;Totaal alle bouwjaren;Totaal;Groningen (PV);2020;37020.0;20503.0;15253.0;901.0;363.0
30;Totaal alle bouwjaren;Totaal;Groningen (PV);2021;38728.0;21825.0;15651.0;884.0;368.0
31;Totaal alle bouwjaren;Totaal;Groningen (PV);2022;40668.0;23001.0;16359.0;920.0;388.0
32;Totaal alle bouwjaren;Totaal;Fryslân (PV);2007;26314.0;9243.0;15921.0;930.0;220.0
33;Totaal alle bouwjaren;Totaal;Fryslân (PV);2008;28260.0;9919.0;17062.0;1052.0;227.0
34;Totaal alle bouwjaren;Totaal;Fryslân (PV);2009;30538.0;10677.0;18546.0;1155.0;160.0
35;Totaal alle bouwjaren;Totaal;Fryslân (PV);2010;32505.0;11540.0;19575.0;1212.0;178.0
36;Totaal alle bouwjaren;Totaal;Fryslân (PV);2011;34871.0;12825.0;20609.0;1249.0;188.0
37;Totaal alle bouwjaren;Totaal;Fryslân (PV);2012;35940.0;13815.0;20677.0;1267.0;181.0
38;Totaal alle bouwjaren;Totaal;Fryslân (PV);2013;36627.0;14564.0;20591.0;1283.0;189.0
39;Totaal alle bouwjaren;Totaal;Fryslân (PV);2014;37372.0;15353.0;20532.0;1294.0;193.0
40;Totaal alle bouwjaren;Totaal;Fryslân (PV);2015;38080.0;16034.0;20562.0;1282.0;202.0
41;Totaal alle bouwjaren;Totaal;Fryslân (PV);2016;38970.0;16952.0;20576.0;1233.0;209.0
42;Totaal alle bouwjaren;Totaal;Fryslân (PV);2017;39924.0;17865.0;20658.0;1188.0;213.0
43;Totaal alle bouwjaren;Totaal;Fryslân (PV);2018;41465.0;19092.0;20968.0;1186.0;219.0
44;Totaal alle bouwjaren;Totaal;Fryslân (PV);2019;42623.0;20114.0;21155.0;1137.0;217.0
45;Totaal alle bouwjaren;Totaal;Fryslân (PV);2020;43842.0;20998.0;21484.0;1123.0;237.0
46;Totaal alle bouwjaren;Totaal;Fryslân (PV);2021;46387.0;23003.0;22040.0;1087.0;257.0
47;Totaal alle bouwjaren;Totaal;Fryslân (PV);2022;49395.0;25012.0;22961.0;1091.0;331.0
48;Totaal alle bouwjaren;Totaal;Drenthe (PV);2007;17479.0;5722.0;11076.0;536.0;145.0
49;Totaal alle bouwjaren;Totaal;Drenthe (PV);2008;18927.0;6280.0;11905.0;584.0;158.0
50;Totaal alle bouwjaren;Totaal;Drenthe (PV);2009;20713.0;7155.0;12817.0;623.0;118.0
51;Totaal alle bouwjaren;Totaal;Drenthe (PV);2010;22388.0;8075.0;13547.0;644.0;122.0
52;Totaal alle bouwjaren;Totaal;Drenthe (PV);2011;24023.0;9125.0;14085.0;677.0;136.0
53;Totaal alle bouwjaren;Totaal;Drenthe (PV);2012;24911.0;10166.0;13895.0;705.0;145.0
54;Totaal alle bouwjaren;Totaal;Drenthe (PV);2013;25644.0;11195.0;13597.0;706.0;146.0
55;Totaal alle bouwjaren;Totaal;Drenthe (PV);2014;26391.0;12222.0;13331.0;695.0;143.0
56;Totaal alle bouwjaren;Totaal;Drenthe (PV);2015;27438.0;13511.0;13131.0;654.0;142.0
57;Totaal alle bouwjaren;Totaal;Drenthe (PV);2016;28390.0;14575.0;13015.0;650.0;150.0
58;Totaal alle bouwjaren;Totaal;Drenthe (PV);2017;29702.0;15908.0;13008.0;639.0;147.0
59;Totaal alle bouwjaren;Totaal;Drenthe (PV);2018;31171.0;17449.0;12915.0;634.0;173.0
60;Totaal alle bouwjaren;Totaal;Drenthe (PV);2019;32498.0;18846.0;12872.0;621.0;159.0
61;Totaal alle bouwjaren;Totaal;Drenthe (PV);2020;33791.0;20078.0;12913.0;636.0;164.0
62;Totaal alle bouwjaren;Totaal;Drenthe (PV);2021;35648.0;21824.0;13053.0;618.0;153.0
63;Totaal alle bouwjaren;Totaal;Drenthe (PV);2022;37622.0;23233.0;13584.0;638.0;167.0
64;Totaal alle bouwjaren;Totaal;Overijssel (PV);2007;48432.0;22843.0;24247.0;1023.0;319.0
65;Totaal alle bouwjaren;Totaal;Overijssel (PV);2008;52331.0;25051.0;25812.0;1124.0;344.0
66;Totaal alle bouwjaren;Totaal;Overijssel (PV);2009;57033.0;27658.0;27893.0;1252.0;230.0
67;Totaal alle bouwjaren;Totaal;Overijssel (PV);2010;61066.0;29990.0;29451.0;1367.0;258.0
68;Totaal alle bouwjaren;Totaal;Overijssel (PV);2011;64950.0;32812.0;30462.0;1416.0;260.0
