ID;Geslacht;LeeftijdOp31December;BurgerlijkeStaat;Nationaliteit;Perioden;Immigratie_1;EmigratieInclusiefAdministratieveC_2;EmigratieExclusiefAdministratieveC_3;MigratiesaldoInclusiefAdministratie_4;MigratiesaldoExclusiefAdministratie_5;AdministratieveOpnemingen_6;AdministratieveAfvoeringen_7;SaldoAdministratieveCorrecties_8
0;Totaal mannen en vrouwen;Totaal;Totaal alle burgerlijke staten;Totaal Nederlands en niet-Nederlands;1972;81329.0;;62200.0;;19129.0;;;
1;Totaal mannen en vrouwen;Totaal;Totaal alle burgerlijke staten;Totaal Nederlands en niet-Nederlands;1973;84691.0;;63623.0;;21068.0;;;
2;Totaal mannen en vrouwen;Totaal;Totaal alle burgerlijke staten;Totaal Nederlands en niet-Nederlands;1974;93796.0;;60655.0;;33141.0;;;
3;Totaal mannen en vrouwen;Totaal;Totaal alle burgerlijke staten;Totaal Nederlands en niet-Nederlands;1975;127264.0;;55209.0;;72055.0;;;
4;Totaal mannen en vrouwen;Totaal;Totaal alle burgerlijke staten;Totaal Nederlands en niet-Nederlands;1976;82953.0;;61530.0;;21423.0;;;
5;Totaal mannen en vrouwen;Totaal;Totaal alle burgerlijke staten;Totaal Nederlands en niet-Nederlands;1977;83899.0;63555.0;61051.0;20344.0;22848.0;1801.0;4305.0;-2504.0
6;Totaal mannen en vrouwen;Totaal;Totaal alle burgerlijke staten;Totaal Nederlands en niet-Nederlands;1978;89184.0;62579.0;61117.0;26605.0;28067.0;2679.0;4141.0;-1462.0
7;Totaal mannen en vrouwen;Totaal;Totaal alle burgerlijke staten;Totaal Nederlands en niet-Nederlands;1979;104553.0;61517.0;59779.0;43036.0;44774.0;2415.0;4153.0;-1738.0
8;Totaal mannen en vrouwen;Totaal;Totaal alle burgerlijke staten;Totaal Nederlands en niet-Nederlands;1980;112504.0;61948.0;59470.0;50556.0;53034.0;2377.0;4855.0;-2478.0
9;Totaal mannen en vrouwen;Totaal;Totaal alle burgerlijke staten;Totaal Nederlands en niet-Nederlands;1981;80183.0;65814.0;63195.0;14369.0;16988.0;2578.0;5197.0;-2619.0
10;Totaal mannen en vrouwen;Totaal;Totaal alle burgerlijke staten;Totaal Nederlands en niet-Nederlands;1982;70740.0;72024.0;67507.0;-1284.0;3233.0;2948.0;7465.0;-4517.0
11;Totaal mannen en vrouwen;Totaal;Totaal alle burgerlijke staten;Totaal Nederlands en niet-Nederlands;1983;66762.0;64431.0;60784.0;2331.0;5978.0;3515.0;7162.0;-3647.0
12;Totaal mannen en vrouwen;Totaal;Totaal alle burgerlijke staten;Totaal Nederlands en niet-Nederlands;1984;66907.0;61774.0;58854.0;5133.0;8053.0;3480.0;6400.0;-2920.0
13;Totaal mannen en vrouwen;Totaal;Totaal alle burgerlijke staten;Totaal Nederlands en niet-Nederlands;1985;79362.0;59475.0;55215.0;19887.0;24147.0;4069.0;8329.0;-4260.0
14;Totaal mannen en vrouwen;Totaal;Totaal alle burgerlijke staten;Totaal Nederlands en niet-Nederlands;1986;87387.0;60607.0;54718.0;26780.0;32669.0;5311.0;11200.0;-5889.0
15;Totaal mannen en vrouwen;Totaal;Totaal alle burgerlijke staten;Totaal Nederlands en niet-Nederlands;1987;95935.0;60844.0;52011.0;35091.0;43924.0;5556.0;14389.0;-8833.0
16;Totaal mannen en vrouwen;Totaal;Totaal alle burgerlijke staten;Totaal Nederlands en niet-Nederlands;1988;91238.0;63996.0;55791.0;27242.0;35447.0;5872.0;14077.0;-8205.0
17;Totaal mannen en vrouwen;Totaal;Totaal alle burgerlijke staten;Totaal Nederlands en niet-Nederlands;1989;98914.0;72063.0;59707.0;26851.0;39207.0;6689.0;19045.0;-12356.0
18;Totaal mannen en vrouwen;Totaal;Totaal alle burgerlijke staten;Totaal Nederlands en niet-Nederlands;1990;117350.0;68939.0;57344.0;48411.0;60006.0;8261.0;19856.0;-11595.0
19;Totaal mannen en vrouwen;Totaal;Totaal alle burgerlijke staten;Totaal Nederlands en niet-Nederlands;1991;120249.0;70639.0;57328.0;49610.0;62921.0;8825.0;22136.0;-13311.0
20;Totaal mannen en vrouwen;Totaal;Totaal alle burgerlijke staten;Totaal Nederlands en niet-Nederlands;1992;116926.0;73808.0;58834.0;43118.0;58092.0;10500.0;25474.0;-14974.0
21;Totaal mannen en vrouwen;Totaal;Totaal alle burgerlijke staten;Totaal Nederlands en niet-Nederlands;1993;119154.0;74788.0;59222.0;44366.0;59932.0;11431.0;26997.0;-15566.0
22;Totaal mannen en vrouwen;Totaal;Totaal alle burgerlijke staten;Totaal Nederlands en niet-Nederlands;1994;99311.0;79228.0;62155.0;20083.0;37156.0;13521.0;30594.0;-17073.0
23;Totaal mannen en vrouwen;Totaal;Totaal alle burgerlijke staten;Totaal Nederlands en niet-Nederlands;1995;96099.0;82195.0;63321.0;13904.0;32778.0;12173.0;31047.0;-18874.0
24;Totaal mannen en vrouwen;Totaal;Totaal alle burgerlijke staten;Totaal Nederlands en niet-Nederlands;1996;108749.0;91945.0;65325.0;16804.0;43424.0;14181.0;40801.0;-26620.0
25;Totaal mannen en vrouwen;Totaal;Totaal alle burgerlijke staten;Totaal Nederlands en niet-Nederlands;1997;109860.0;81973.0;62218.0;27887.0;47642.0;14866.0;34621.0;-19755.0
26;Totaal mannen en vrouwen;Totaal;Totaal alle burgerlijke staten;Totaal Nederlands en niet-Nederlands;1998;122407.0;79289.0;60441.0;43118.0;61966.0;16379.0;35227.0;-18848.0
27;Totaal mannen en vrouwen;Totaal;Totaal alle burgerlijke staten;Totaal Nederlands en niet-Nederlands;1999;119151.0;78779.0;59023.0;40372.0;60128.0;17235.0;36991.0;-19756.0
28;Totaal mannen en vrouwen;Totaal;Totaal alle burgerlijke staten;Totaal Nederlands en niet-Nederlands;2000;132850.0;78977.0;61201.0;53873.0;71649.0;18710.0;36486.0;-17776.0
