ID;Opdrachtgever;Bouwfasen;Perioden;TotaleBouwkostenGebouwen_1;BouwkostenGebouwenNietNieuwbouw_2;BouwkostenGebouwenNieuwbouw_3;Wonen_4;ALandbouwBosbouwEnVisserij_5;BFNijverheidEnEnergie_6;GIHandelEnHoreca_7;HJVervoerInformatieEnCommunicatie_8;KNFinancieleEnZakelijkeDiensten_9;OOpenbaarBestuurEnOverheidsdiensten_10;POnderwijs_11;QGezondheidsEnWelzijnszorg_12;RUCultuurRecreatieOverigeDiensten_13
0;Totaal opdrachtgevers;Ontvangen orders;2015 januari;929;264;664;486.0;32.0;17.0;33.0;18.0;13.0;0.0;35.0;4.0;26.0
1;Totaal opdrachtgevers;Ontvangen orders;2015 februari;1415;285;1130;857.0;34.0;30.0;61.0;44.0;20.0;0.0;12.0;48.0;24.0
2;Totaal opdrachtgevers;Ontvangen orders;2015 maart;1397;262;1135;803.0;30.0;68.0;31.0;61.0;22.0;6.0;65.0;32.0;17.0
3;Totaal opdrachtgevers;Ontvangen orders;2015 1e kwartaal;3741;812;2929;2146.0;96.0;115.0;125.0;124.0;55.0;6.0;111.0;83.0;67.0
4;Totaal opdrachtgevers;Ontvangen orders;2015 april;1380;233;1148;821.0;34.0;25.0;39.0;23.0;106.0;1.0;59.0;24.0;17.0
5;Totaal opdrachtgevers;Ontvangen orders;2015 mei;1047;228;820;534.0;28.0;34.0;44.0;123.0;30.0;0.0;8.0;7.0;13.0
6;Totaal opdrachtgevers;Ontvangen orders;2015 juni;952;213;739;491.0;48.0;22.0;38.0;7.0;41.0;2.0;40.0;24.0;28.0
7;Totaal opdrachtgevers;Ontvangen orders;2015 2e kwartaal;3380;673;2707;1845.0;110.0;80.0;121.0;153.0;177.0;2.0;106.0;54.0;58.0
8;Totaal opdrachtgevers;Ontvangen orders;2015 juli;1055;319;736;457.0;45.0;32.0;23.0;54.0;40.0;1.0;30.0;38.0;16.0
9;Totaal opdrachtgevers;Ontvangen orders;2015 augustus;838;195;643;345.0;28.0;12.0;32.0;18.0;164.0;1.0;16.0;15.0;11.0
