ID;Periods;TotalCurrentAndCapitalExpenditures_1;TotalCurrentAndCapitalRevenues_2;BalanceCurrentAndCapitalAccount_3;BalanceCurrentAccount_4;TotalCurrentExpenditures_5;WagesSalariesAndSocialContributions_6;MaterialConsumption_7;ConsumptionOfFixedCapital_8;InterestOnPublicDebt_9;RentAndConcessions_10;TotalSubsidiesOnProducts_11;CommercialGovernmentEnterprises_12;OtherEnterprises_13;TaxesPaidOnProductionAndImports_14;TotalSocialTransfers_15;SocialTransfersInKind_16;SocialInsurances_17;PublicAuthorities_18;Households_19;Corporations_20;OtherCountries_21;TotalCurrentRevenues_22;ConsumptiveRevenues_23;InterestFromOutstandingDebts_24;DividendsRentEtc_25;TaxesOnProductionAndImports_26;TaxesOnIncomeAndWealth_27;TotalIncomeTransfers_28;PublicAuthorities_29;Households_30;Corporations_31;OtherCountries_32;BalanceCapitalAccount_33;TotalExpendituresCapitalAccount_34;ConstructionCivilEngineeringWorks_35;OtherNewInvestments_36;PurchaseOfExistingInvestments_37;PurchaseOfLand_38;InvestmentGrants_39;OtherCapitalTransfers_40;TotalCapitalRevenues_41;Disinvestments_42;SaleOfLand_43;Depreciations_44;CapitalTaxes_45;InvestmentGrants_46;OtherCapitalTransfers_47;NetLendingNetBorrowing_48;TotalChangesInAssetsNet_49;CurrencyAndDeposits_50;ShortTermLoans_51;LongTermLoans_52;SharesAndOtherEquity_53;OtherAccountsReceivable_54;TotalChangesInLiabilitiesNet_55;Currency_56;TreasuryBills_57;Bonds_58;ShortTermLoans_59;LongTermLoans_60;OtherAccountsPayable_61
0;1996;88352;83661;-4691;-2389;81511;7633;5439;2456;14009;18;1825;51;1774;43;50088;1936;2687;37199;5349;84;2833;79122;1886;588;4650;32505;38552;941;359;302;172;108;-2302;6841;988;1685;71;33;3170;893;4539;421;9;2456;885;14;754;4691;-354;-61;-27;-182;-616;533;4337;17;1310;9257;284;-5957;-575
1;1997;93498;86593;-6905;-2194;84851;7933;5975;2535;13917;17;2780;51;2729;41;51651;2102;3653;37640;5145;38;3073;82657;1890;455;4774;35301;39301;935;386;269;177;103;-4711;8647;990;1576;45;46;2986;3003;3936;310;18;2535;946;53;73;6905;-7023;-6334;41;-153;-374;-204;-119;26;-1113;5945;-196;-4409;-371
2;1998;95550;91221;-4329;-2193;88275;8237;6302;2612;14060;15;2754;59;2695;35;54260;2313;3146;39304;6012;104;3381;86082;1812;609;3791;38028;40692;1150;266;303;457;124;-2136;7275;975;1615;64;174;3065;1382;5139;237;1050;2612;1120;61;59;4329;910;2675;0;552;-2168;-150;5239;22;938;17172;351;-13861;617
3;1999;99608;96730;-2877;-150;92127;8730;7194;2678;13506;12;2914;61;2853;42;57050;2382;3189;41830;5975;125;3549;91977;1775;613;3077;42573;43014;925;249;346;179;151;-2727;7481;980;1586;41;192;3352;1330;4754;329;311;2678;1291;73;73;2877;-2626;-1128;0;-296;-1058;-143;252;-2;-1729;22052;4226;-22490;-1806
4;2000;105164;106728;1565;2894;96217;9060;7488;2794;12594;14;2721;87;2634;44;61504;2395;3117;44836;6953;122;4081;99112;2127;679;3892;45537;45811;1065;267;432;208;158;-1330;8946;935;1646;85;301;4427;1553;7617;291;2860;2794;1483;105;84;-1565;-3919;-4450;0;556;27;-53;-5484;33;462;-6141;6848;-5971;-715
5;2001;115758;115411;-347;5350;105265;9677;9044;2895;12074;18;3220;76;3144;35;68301;2036;4873;49430;7053;155;4754;110615;2342;976;6394;51173;48319;1411;498;497;251;165;-5697;10493;1704;1770;73;242;3931;2772;4796;220;68;2895;1307;111;196;347;562;-2404;0;724;1849;393;909;-52;262;3085;2733;-2772;-2347
6;2002;122883;117980;-4903;398;112636;10335;9299;2945;11254;16;3303;139;3164;37;75446;2441;8388;52661;6729;239;4988;113034;2587;936;5339;52571;50183;1417;500;514;275;128;-5301;10247;2053;1961;99;244;4127;1763;4946;141;25;2945;1695;112;29;4903;1965;-70;1088;939;59;-51;6868;-98;10328;-2001;7952;-576;-8737
7;2003;130690;117151;-13540;-7301;119308;10743;9315;2983;10734;16;3112;118;2994;52;82353;2391;11684;55895;7369;161;4853;112007;2951;988;5107;53981;47509;1472;446;577;287;162;-6238;11382;2630;1884;107;205;5011;1545;5144;134;377;2983;1460;93;97;13540;6913;6808;1680;208;-1978;196;20453;37;4258;10506;2746;-235;3141
8;2004;130016;121374;-8643;-3204;119311;10717;8692;3019;10640;15;2765;153;2612;47;83418;2469;12659;54844;7613;129;5704;116108;3042;1088;5919;56845;47638;1575;486;614;356;119;-5439;10705;2149;1641;87;158;4995;1676;5266;201;204;3019;1512;216;115;8643;2601;-1912;5273;228;-1275;388;11244;-28;-2554;14818;1620;-145;-2467
9;2005;132760;133263;503;5339;122451;10846;9021;3126;10388;19;2412;163;2249;44;86595;2899;13683;55956;7861;30;6166;127790;3383;1077;7542;59581;54693;1514;390;644;422;58;-4836;10310;1718;1801;94;215;4749;1732;5474;193;280;3126;1709;70;96;-503;12042;5431;5830;1970;-829;-264;11539;-66;244;5203;4487;-126;1796
10;2006;141174;145259;4085;8990;130641;11216;9732;3211;10259;0;2517;142;2375;45;93661;3524;13939;58413;11166;145;6474;139631;3256;1299;10008;63802;59488;1772;402;684;460;226;-4905;10533;1793;2075;103;113;5268;1181;5628;273;139;3211;1810;69;125;-4085;-6207;-5593;933;1883;-3684;382;-10291;-23;4111;-4542;-11892;-308;2363
11;2007;150865;153593;2728;8528;139261;11691;10533;3353;10721;0;3417;163;3254;45;99501;4724;15009;61778;11343;142;6505;147789;3096;1462;9736;66709;64879;1908;735;751;379;43;-5800;11604;1948;2225;109;111;5473;1738;5804;253;177;3353;1877;28;115;-2728;-113;-1877;139;2798;-1132;77;-2841;-49;-2769;-5296;7551;-79;-2199
12;2008;159305;162061;2756;9596;146583;12137;11421;3494;11559;0;3483;175;3308;50;104442;5523;13471;65100;13275;147;6926;156180;3393;2304;14621;67770;66013;2079;882;713;422;62;-6840;12721;2511;1839;99;240;5826;2206;5881;129;139;3494;1795;201;124;-2756;18634;-26497;2625;2474;36649;3383;15878;5;-67148;7766;40829;-34;34460
13;2009;172869;153506;-19364;-8018;155525;12618;12507;3524;10786;0;4398;165;4233;53;111637;5818;17219;69199;14609;176;4616;147506;3427;2938;11641;63091;64271;2139;872;757;448;62;-11346;17345;2484;1993;132;289;5820;6626;5999;141;103;3524;1813;327;91;19364;18842;17401;9087;1894;-7244;-2297;38205;-82;26170;13296;2565;-45;-3699
14;2010*;183718;159094;-24624;-7566;160308;12948;12254;3589;9607;0;4766;161;4605;53;117090;5800;18642;70456;15509;140;6543;152742;4113;2032;11607;66198;66546;2248;998;760;449;41;-17058;23411;2753;1911;131;224;6573;11819;6352;95;242;3589;1721;472;233;24624;9555;1976;4023;2917;-1017;1656;34179;-66;-4337;29823;2510;-30;6278
