ID;Marges;EigenaarOfHuurder;KenmerkenHuishoudens;KenmerkenWoningen;Perioden;TotaalWoonlasten_1;NettoWoonuitgaven_2;BijkomendeWoonlasten_3;Woonquote_4;GeenScheefhuur_5;GoedkopeScheefhuur_6;DureScheefhuur_7
0;Waarde;Totaal;Totaal;Totaal;2009;773.4;554.6;218.8;31.8;85.4;11.3;3.3
1;Waarde;Totaal;Totaal;Totaal;2012;822.9;601.1;221.8;33.5;85.1;9.7;5.3
2;Waarde;Totaal;Totaal;Totaal;2015;798.8;599.0;199.8;32.5;85.5;7.2;7.3
3;Waarde;Totaal;Totaal;Badgelegenheid: Bad en douche separaat;2009;991.9;724.0;267.9;29.7;97.0;1.9;1.2
4;Waarde;Totaal;Totaal;Badgelegenheid: Bad en douche separaat;2012;1052.7;783.1;269.6;30.7;97.1;1.5;1.3
5;Waarde;Totaal;Totaal;Badgelegenheid: Bad en douche separaat;2015;991.4;751.4;240.0;28.3;97.0;1.3;1.7
6;Waarde;Totaal;Totaal;Badgelegenheid: Bad of bad/douche;2009;860.7;626.1;234.6;31.7;91.1;6.4;2.4
7;Waarde;Totaal;Totaal;Badgelegenheid: Bad of bad/douche;2012;902.5;662.3;240.1;33.2;90.9;5.8;3.3
8;Waarde;Totaal;Totaal;Badgelegenheid: Bad of bad/douche;2015;839.0;630.1;208.9;31.3;89.8;5.0;5.2
9;Waarde;Totaal;Totaal;Badgelegenheid: Douche zonder bad;2009;647.4;455.8;191.6;32.8;78.5;17.0;4.6
10;Waarde;Totaal;Totaal;Badgelegenheid: Douche zonder bad;2012;697.8;502.5;195.3;34.8;78.1;14.4;7.6
11;Waarde;Totaal;Totaal;Badgelegenheid: Douche zonder bad;2015;697.7;519.1;178.6;34.7;79.1;10.5;10.5
12;Waarde;Totaal;Totaal;Bouwjaar woning: . .tot 1946;2009;884.1;646.3;237.8;34.7;88.8;9.1;2.1
13;Waarde;Totaal;Totaal;Bouwjaar woning: . .tot 1946;2012;932.5;694.3;238.2;36.1;88.9;7.8;3.3
14;Waarde;Totaal;Totaal;Bouwjaar woning: . .tot 1946;2015;900.8;686.8;214.0;34.3;88.8;6.6;4.6
15;Waarde;Totaal;Totaal;Bouwjaar woning: 1946 tot 1971;2009;681.5;469.1;212.3;32.1;81.8;15.2;3.0
