ID;Partij;GeldigeStemmen_1;InVanTotaalGeldigeStemmen_2;Totaal_3;Mannen_4;Vrouwen_5
0;Totaal;6878030;100.0;150;138;12
1;1;681060;9.9;15;14;1
2;2;327953;4.8;7;7;0
3;3;45335;0.7;0;0;0
4;4;560033;8.1;12;10;2
5;5;976;0.0;0;0;0
6;6;248318;3.6;5;5;0
7;8;45421;0.7;0;0;0
8;7;307810;4.5;7;6;1
9;9;59156;0.9;1;1;0
10;KVP;1822904;26.5;42;39;3
11;Landsbelangen;17594;0.3;0;0;0
12;Liberale Volkspartij;11279;0.2;0;0;0
13;Lijst v. Breukelen-Grein;3560;0.1;0;0;0
14;Lijst-Germeaux;1218;0.0;0;0;0
15;Lijst-Machiela;1669;0.0;0;0;0
16;Lijst-Rodermond;916;0.0;0;0;0
17;Lijst-Voogd;4808;0.1;0;0;0
18;Partij van het Recht;1070;0.0;0;0;0
19;Partij voor Ongehuwden;43361;0.6;0;0;0
20;PSP;197206;2.9;4;4;0
21;PvdA;1620112;23.6;37;34;3
22;SGP;138069;2.0;3;3;0
23;VVD;738202;10.7;17;15;2
