ID;MechanischeBestrijding;TeeltsectorenEnGewassen;Perioden;AantalBedrijven_1;PercentageBedrijven_2;GrootteOppervlakte_3;PercentageOppervlakte_4;Januari_5;Februari_6;Maart_7;April_8;Mei_9;Juni_10;Juli_11;Augustus_12;September_13;Oktober_14;November_15;December_16
0;Totaal mechanische bestrijding;Teeltsector akkerbouw;1995;;;236489.0;33.0;0.4;0.0;0.0;3.5;12.2;17.1;10.3;6.3;2.5;1.2;0.0;0.0
1;Totaal mechanische bestrijding;Teeltsector akkerbouw;1998;;;257040.0;34.9;0.9;0.0;0.0;1.3;18.7;9.8;9.8;10.7;2.3;0.9;0.0;0.0
2;Totaal mechanische bestrijding;Teeltsector akkerbouw;2000;;;279838.0;38.9;0.4;0.0;0.0;3.7;19.5;18.4;9.5;5.8;5.6;1.0;0.0;0.0
3;Totaal mechanische bestrijding;Teeltsector akkerbouw;2004;;;389614.0;52.9;1.7;0.0;0.0;8.7;33.3;24.0;9.6;4.5;4.6;2.0;0.0;0.0
4;Totaal mechanische bestrijding;Teeltsector akkerbouw;2008;;;242289.0;33.6;1.5;0.0;0.0;7.8;19.3;17.0;9.6;6.6;3.4;2.1;0.0;0.0
5;Totaal mechanische bestrijding;Teeltsector akkerbouw;2012;;;170815.0;25.0;6.9;0.0;0.0;7.5;15.5;15.3;5.9;4.2;3.7;1.7;0.0;0.0
6;Totaal mechanische bestrijding;Bruine bonen;1995;453.0;63.2;1339.0;60.3;4.9;0.0;0.0;15.3;8.3;42.0;31.1;5.4;1.0;0.0;0.0;0.0
7;Totaal mechanische bestrijding;Bruine bonen;1998;387.0;65.6;1049.0;53.6;0.0;0.0;0.0;0.7;13.4;33.8;33.1;12.2;1.3;0.0;0.0;0.0
8;Totaal mechanische bestrijding;Bruine bonen;2000;137.0;44.4;451.0;40.0;0.0;0.0;0.0;14.5;13.7;30.6;13.0;11.3;7.8;0.0;0.0;0.0
9;Totaal mechanische bestrijding;Bruine bonen;2004;395.0;79.5;1746.0;78.6;2.8;0.0;0.0;10.1;25.0;67.3;25.7;5.1;0.0;0.0;0.0;0.0
10;Totaal mechanische bestrijding;Bruine bonen;2008;150.0;70.4;648.0;71.1;0.0;0.0;0.0;37.9;17.9;40.9;25.6;12.1;12.0;2.9;0.0;0.0
11;Totaal mechanische bestrijding;Bruine bonen;2012;171.0;61.0;1028.0;64.4;3.7;0.0;0.0;0.0;20.6;33.4;17.8;8.9;11.4;0.0;0.0;0.0
12;Totaal mechanische bestrijding;Cichorei;1995;;;;;;;;;;;;;;;;
13;Totaal mechanische bestrijding;Cichorei;1998;820.0;89.3;3783.0;90.2;2.6;0.0;0.0;3.0;18.1;76.0;61.0;21.2;2.6;0.0;0.0;0.0
14;Totaal mechanische bestrijding;Cichorei;2000;802.0;87.8;4028.0;84.7;2.2;0.0;0.0;2.9;29.9;64.5;42.8;13.2;6.8;0.6;0.0;0.0
15;Totaal mechanische bestrijding;Cichorei;2004;831.0;89.2;4554.0;92.6;3.6;0.0;0.0;6.1;58.7;83.8;40.2;17.6;0.9;4.2;0.0;0.0
16;Totaal mechanische bestrijding;Cichorei;2008;612.0;95.1;3159.0;92.7;0.0;0.0;0.0;5.8;53.8;75.8;65.5;28.1;7.9;2.1;0.0;0.0
17;Totaal mechanische bestrijding;Cichorei;2012;303.0;70.7;1915.0;65.7;6.2;0.0;0.0;6.9;38.3;48.6;33.1;13.4;2.4;3.4;0.0;0.0
18;Totaal mechanische bestrijding;Consumptieaardappelen;1995;4171.0;32.1;26162.0;32.6;0.0;0.0;0.0;4.7;14.6;8.3;5.4;1.9;9.4;1.3;0.0;0.0
19;Totaal mechanische bestrijding;Consumptieaardappelen;1998;4030.0;34.5;21511.0;25.5;0.0;0.0;0.0;0.7;21.3;5.6;0.3;0.2;0.9;0.0;0.0;0.0
20;Totaal mechanische bestrijding;Consumptieaardappelen;2000;3888.0;34.9;22294.0;25.5;0.2;0.0;0.0;8.1;9.9;7.6;0.6;2.2;2.0;1.7;0.0;0.0
